k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-0.6120001572, 0.57175904776, -1.847081276, 0.01574151594, -0.0127909362, -0.0044008498, -0.0340938396, -0.107513871, 1.1202240291, -3.177064e-07, 5.882e-13, 399.75152639, 0.01597732412, -0.0252244646, -0.0094001416, -0.0085667661, -0.1218804907, 0.7190133075, -3.780477e-07, 9.307e-13, 402.01753386, 0.01484625118, -0.0210628994, -0.001166948, -0.0249509707, -0.1139847055, 0.92166020737, -3.295265e-07, 6.733e-13, 400.40175368, 0.01991666998, -1.22433082, 0.0119988756, -1.411897512, -0.1148065151, 0.44915582738, 5.95875e-08, -2.484e-13, 407.03024568, 0.02082242153, -1.238434791, 0.01389314763, -1.049686225, -0.1299513286, 0.33798380231, 4.5673127e-08, -1.792e-13, 405.91764962, 0.01658816461, -1.247226838, 0.01846788123, -0.8617315756, -0.1321089362, 0.28256800868, 4.7465711e-08, -1.509e-13, 404.73590637]|127387.7641439087601611|      1.00000000|[0, 0, 0, 0]                                                               | k=4
       1|[-0.6780954721199486, 0.6470943194165132, -1.9425942472820052, 0.0864387862737669, -0.1012078255098831, 0.058639741976371, -0.0836550756537052, -0.1077880730005826, 1.0987426268816582, 0.0763931748134555, 0.0385748706763904, 399.64780503956854, 0.0267990987219363, -0.1064240807937714, 0.0785908948747047, 0.0107719832491173, -0.1521517228281433, 0.6589642877460671, 0.0407404099352407, -0.0704926326861611, 402.07335646340454, 0.0790744580529401, 0.0511842630612808, 0.0295818141903419, -0.1279854595567924, -0.0293181478899651, 0.8851456382960845, -0.0347978713236611, -0.0126459999003234, 400.48781123865575, 0.1104224711212621, -1.2061558941809607, 0.0681615980087715, -1.5215973573140258, -0.1145284684834141, 0.3450249557860478, 0.04006059093549, -0.0838582068684201, 406.9882953945653, -0.0561299017875278, -1.1259454855633888, -0.0567740819628001, -1.1150132733016969, -0.1153741428648935, 0.3842538971219164, -0.0191706912208845, -0.0367578454317455, 405.84033644271244, 0.0668331776979879, -1.131904866523922, -0.0385102066422668, -0.8062148297048527, -0.0746228975449574, 0.3771782005616566, 0.0320583460535101, 0.0037074238060396, 404.8223834261457]|124227.3437500000000000|      3.33333333|[61, 4, 0, 1]                                                              | 
       2|[-0.6780954721199486, 0.6470943194165132, -1.9425942472820052, 0.0864387862737669, -0.1012078255098831, 0.058639741976371, -0.0836550756537052, -0.1077880730005826, 1.0987426268816582, 0.0763931748134555, 0.0385748706763904, 399.64780503956854, 0.0267990987219363, -0.1064240807937714, 0.0785908948747047, 0.0107719832491173, -0.1521517228281433, 0.6589642877460671, 0.0407404099352407, -0.0704926326861611, 402.07335646340454, 0.0790744580529401, 0.0511842630612808, 0.0295818141903419, -0.1279854595567924, -0.0293181478899651, 0.8851456382960845, -0.0347978713236611, -0.0126459999003234, 400.48781123865575, 0.1104224711212621, -1.2061558941809607, 0.0681615980087715, -1.5215973573140258, -0.1145284684834141, 0.3450249557860478, 0.04006059093549, -0.0838582068684201, 406.9882953945653, -0.0561299017875278, -1.1259454855633888, -0.0567740819628001, -1.1150132733016969, -0.1153741428648935, 0.3842538971219164, -0.0191706912208845, -0.0367578454317455, 405.84033644271244, 0.0668331776979879, -1.131904866523922, -0.0385102066422668, -0.8062148297048527, -0.0746228975449574, 0.3771782005616566, 0.0320583460535101, 0.0037074238060396, 404.8223834261457]|124227.3437500000000000|      1.00000000|[181, 12, 0, 3]                                                            | 
       3|[-0.5753997015582535, 0.7238064062132737, -1.9247059695129165, 0.0439985916371836, -0.0524279765468609, 0.1499741072846558, 0.0245615155256657, -0.1879452039572324, 1.1781926679373376, 0.12200596450395, -0.0563967786723454, 399.69458461998283, 0.0491742316104919, -0.0429014513539406, 0.17999244743265, 0.0134194923490329, -0.1949926804697449, 0.606801569718237, 0.0556866490043449, -0.0874752886584034, 401.99046664574945, 0.0823025687798628, 0.1174532584655243, 0.0334186992849846, -0.0552268147375328, -0.0730399914008312, 0.9759108239502479, -0.0072247496120494, -0.0515407351770225, 400.54361331571073, 0.167337229058455, -1.2557784261612368, 0.0471100812523561, -1.461865683864748, -0.2165226774749416, 0.3891222452290639, 0.0654331985689615, -0.1627486720683674, 406.97402714715463, -0.0222557439713561, -1.0454385721994552, 0.0278592684095143, -1.1896708475976945, -0.1906247237717615, 0.4389837573979002, 0.0950120417784403, 0.0620777644215222, 405.8859131939446, 0.1765690540197805, -1.1850376352443104, -0.0417860674417433, -0.900618558547588, -0.1456472558175098, 0.2989093522020718, -0.0729269879256197, 0.0363610275088232, 404.85227773898936]|116683.2734375000000000|      3.33333333|[241, 16, 0, 4]                                                            | 
       4|[-0.5753997015582535, 0.7238064062132737, -1.9247059695129165, 0.0439985916371836, -0.0524279765468609, 0.1499741072846558, 0.0245615155256657, -0.1879452039572324, 1.1781926679373376, 0.12200596450395, -0.0563967786723454, 399.69458461998283, 0.0491742316104919, -0.0429014513539406, 0.17999244743265, 0.0134194923490329, -0.1949926804697449, 0.606801569718237, 0.0556866490043449, -0.0874752886584034, 401.99046664574945, 0.0823025687798628, 0.1174532584655243, 0.0334186992849846, -0.0552268147375328, -0.0730399914008312, 0.9759108239502479, -0.0072247496120494, -0.0515407351770225, 400.54361331571073, 0.167337229058455, -1.2557784261612368, 0.0471100812523561, -1.461865683864748, -0.2165226774749416, 0.3891222452290639, 0.0654331985689615, -0.1627486720683674, 406.97402714715463, -0.0222557439713561, -1.0454385721994552, 0.0278592684095143, -1.1896708475976945, -0.1906247237717615, 0.4389837573979002, 0.0950120417784403, 0.0620777644215222, 405.8859131939446, 0.1765690540197805, -1.1850376352443104, -0.0417860674417433, -0.900618558547588, -0.1456472558175098, 0.2989093522020718, -0.0729269879256197, 0.0363610275088232, 404.85227773898936]|116683.2734375000000000|      1.00000000|[361, 24, 0, 6]                                                            | 
       5|[-0.5985277808087084, 0.759079786790838, -1.9009891714607248, 0.0594123965482606, -0.1318260870557796, 0.2407894129944946, 0.037784112133768, -0.1647984032603825, 1.085030794417917, 0.2288030114633502, -0.0834493990981657, 399.7719849318105, 0.1382181468822509, -0.112680080001268, 0.1036935102311501, -0.0529865266829686, -0.226397604117387, 0.5208246859492016, 0.1591997184552001, -0.1620576940467587, 402.0827889133414, 0.1278147830828795, 0.0763529613423305, -0.0217905052695732, -0.043966648904596, -0.1136527225297623, 0.9281889984101821, 0.0074914760641892, -0.1595925716676536, 400.6484268691036, 0.1007990069243417, -1.2587539610417706, -0.0091187836856646, -1.508761478435194, -0.2613409856793541, 0.41138835935968, -0.0034666415475393, -0.1165531128647427, 407.0170081906126, 0.0397142552525914, -1.1496145049048576, -0.0383511728818179, -1.1223187985449792, -0.1011225381886469, 0.4809199686858755, -0.0018968777347853, 0.089543245732605, 405.9615994401013, 0.1714200839634553, -1.1167664304150944, -0.120869003490251, -0.8340140485979038, -0.1233922262881767, 0.2592492411323926, 0.0171038089002661, -0.0652915723623354, 404.9483601953993]|99276.4218750000000000|      3.33333333|[481, 32, 0, 8]                                                            | 
       6|[-0.5985277808087084, 0.759079786790838, -1.9009891714607248, 0.0594123965482606, -0.1318260870557796, 0.2407894129944946, 0.037784112133768, -0.1647984032603825, 1.085030794417917, 0.2288030114633502, -0.0834493990981657, 399.7719849318105, 0.1382181468822509, -0.112680080001268, 0.1036935102311501, -0.0529865266829686, -0.226397604117387, 0.5208246859492016, 0.1591997184552001, -0.1620576940467587, 402.0827889133414, 0.1278147830828795, 0.0763529613423305, -0.0217905052695732, -0.043966648904596, -0.1136527225297623, 0.9281889984101821, 0.0074914760641892, -0.1595925716676536, 400.6484268691036, 0.1007990069243417, -1.2587539610417706, -0.0091187836856646, -1.508761478435194, -0.2613409856793541, 0.41138835935968, -0.0034666415475393, -0.1165531128647427, 407.0170081906126, 0.0397142552525914, -1.1496145049048576, -0.0383511728818179, -1.1223187985449792, -0.1011225381886469, 0.4809199686858755, -0.0018968777347853, 0.089543245732605, 405.9615994401013, 0.1714200839634553, -1.1167664304150944, -0.120869003490251, -0.8340140485979038, -0.1233922262881767, 0.2592492411323926, 0.0171038089002661, -0.0652915723623354, 404.9483601953993]|99276.4218750000000000|      1.00000000|[601, 40, 0, 10]                                                           | 
       7|[-0.6687661400811884, 0.7799583941980502, -2.0214295949493417, -0.0369049990196333, -0.1537736106347811, 0.1547598312688973, 0.1170074469230441, -0.1234281753274525, 1.1825443657994859, 0.2678763110799255, -0.1169396359467585, 399.75323356202125, 0.1971294965066463, -0.2268665010379883, 0.1340861179051527, -0.1677854524999814, -0.1726054217612679, 0.4800119998635006, 0.2007061839796352, -0.1136115565886727, 402.08769670903513, 0.143475687430776, 0.0303295999574619, -0.0176950463783305, 0.0285362547356742, -0.0103216484111481, 0.8928361797422935, 0.0365708015613396, -0.129458521492106, 400.6988550882432, 0.1442507817897305, -1.2169819717260224, -0.1002423720688623, -1.530230488475358, -0.3239656934973854, 0.5155790591158256, -0.0514555145226503, -0.0616745427253346, 407.0503707431362, 0.0841116391808903, -1.119465214566699, -0.0497329079757096, -1.1631549949377538, 0.0220557948554052, 0.5110174271974665, 0.0922675831626604, 0.1307753920553322, 406.08342927766193, 0.2058889992769376, -1.1586448848022823, -0.1683137717402395, -0.9265231320477444, -0.0487232228015434, 0.169985280413284, 0.085920172711759, -0.0212274715305883, 404.82344822400904]|91853.8906250000000000|      3.33333333|[661, 44, 0, 11]                                                           | 
       8|[-0.6687661400811884, 0.7799583941980502, -2.0214295949493417, -0.0369049990196333, -0.1537736106347811, 0.1547598312688973, 0.1170074469230441, -0.1234281753274525, 1.1825443657994859, 0.2678763110799255, -0.1169396359467585, 399.75323356202125, 0.1971294965066463, -0.2268665010379883, 0.1340861179051527, -0.1677854524999814, -0.1726054217612679, 0.4800119998635006, 0.2007061839796352, -0.1136115565886727, 402.08769670903513, 0.143475687430776, 0.0303295999574619, -0.0176950463783305, 0.0285362547356742, -0.0103216484111481, 0.8928361797422935, 0.0365708015613396, -0.129458521492106, 400.6988550882432, 0.1442507817897305, -1.2169819717260224, -0.1002423720688623, -1.530230488475358, -0.3239656934973854, 0.5155790591158256, -0.0514555145226503, -0.0616745427253346, 407.0503707431362, 0.0841116391808903, -1.119465214566699, -0.0497329079757096, -1.1631549949377538, 0.0220557948554052, 0.5110174271974665, 0.0922675831626604, 0.1307753920553322, 406.08342927766193, 0.2058889992769376, -1.1586448848022823, -0.1683137717402395, -0.9265231320477444, -0.0487232228015434, 0.169985280413284, 0.085920172711759, -0.0212274715305883, 404.82344822400904]|91853.8906250000000000|      1.00000000|[781, 52, 0, 13]                                                           | 
       9|[-0.6553691104801509, 0.7821007297191075, -1.9274524938021669, -0.0257296794672118, -0.0611825260948908, 0.0684414352370407, 0.0742968371889857, -0.1013609302314843, 1.079339772737085, 0.3699251626295509, -0.0897709652775605, 399.7936192367065, 0.1238128106512576, -0.1570397863434883, 0.0761100769159922, -0.1923937013447242, -0.2240155380165512, 0.3819449919046116, 0.2804823443986224, -0.0808906964948407, 402.13377093553373, 0.0452876224383482, -0.0587438643169445, -0.0930569464098971, -0.0640807801764352, -0.0109117473165252, 0.9284331278593112, -0.0299282603211563, -0.1817020336159291, 400.7924870039913, 0.2399308323416219, -1.2565184143336636, -0.1995490448803705, -1.4811083076856488, -0.2627327764866013, 0.5112066239595696, -0.1228242311798121, -0.1422741115095715, 407.0600064821647, 0.0916796474472797, -1.1398229090435419, 0.002234303091967, -1.063495172056532, 0.1092398887479795, 0.4334809262070757, 0.1603442384313296, 0.0741864368317719, 406.18245518279423, 0.1133135535057203, -1.162300157338262, -0.0997251945293364, -0.9511933548218924, -0.0364282309283387, 0.0941716293283841, 0.0399172296430162, -0.0739198736847956, 404.90434102529383]|49959.0820312500000000|      3.33333333|[841, 56, 0, 14]                                                           | 
