k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      0.00100000|[0, 0, 0, 0]                                                               | k=7
       1|[0.0015202409122139, 0.0011137484107167, -0.0019830020610243, 0.0001773772382876, 0.0012115061981604, -0.0001848509418778, -0.0010056572500616, 0.0019066797103733, -0.0007480557542294, -0.0011386891128495, -0.0018031102372333, 8.93366377568e-05, 0.0008862662944011, 0.0007574032060802, 0.0003954994899686, -0.0015167749952525, -0.001867774524726, 3.52187162207e-05, 0.0018236683681607, 0.0011538427788764, -0.0011644685873762, -0.0002596171107143]| 14.9980354309082031|      0.01000000|[26, 7, 0, 1]                                                              | 
       2|[0.0115368079859763, 0.0079333230387419, -0.02122593508102, 0.0194152401381871, -0.0022094451123849, -0.018873019318562, 0.0187375990208238, -0.0062319340649992, -0.0021630079718307, -0.024271493894048, -0.0156671245349571, 0.0005192850512685, 0.0041386128286831, -0.0019196749199182, 0.005002335034078, -0.0182908799033612, -0.0012696419144049, -0.0088599754417373, -0.0080085089430213, -0.0171588945668191, 0.0094398980727419, 0.0035931125748903]| 14.9544830322265625|      0.10000000|[51, 14, 0, 2]                                                             | 
       3|[0.1722962122876197, -0.0148374394048005, -0.0149263676721603, 0.1663550244265934, -0.1076849155360833, 0.1786684112739749, -0.0385764169041067, 0.072905391221866, 0.1374922244576737, -0.1600346920313314, -0.0958934490336105, -0.0442312638479052, 0.1327034772257321, -0.0917451188433915, 0.0190300497633871, 0.1013712633866817, -0.184493038454093, -0.1777324063623382, -0.1104453122243285, 0.1111245315987617, 0.1435454612364992, -0.133000899804756]| 14.4873619079589844|      1.00000000|[76, 21, 0, 3]                                                             | 
       4|[1.7613946658093482, 0.2075634642969817, -0.8122111496049911, 1.6836916314059636, -1.0739730052882805, 0.079916151065845, 1.3351752234157175, 0.8545273242052644, -1.1561374218435958, 0.3597983958898112, -1.4109457199228927, -1.1303780953603564, 1.4187270940165035, -0.6247696683276445, -0.9996841397660319, 0.2431359041947871, 0.3042476441478357, -1.4209660870874359, -1.4591720616444945, -1.825813754228875, 0.6603124862303957, -1.423459817422554]| 12.1600275039672852|     10.00000000|[101, 28, 0, 4]                                                            | 
       5|[7.338470147224143, -4.444338257657364, 0.1066253844182938, -2.329550136477337, 0.7477812118595466, 3.086789758701343, -1.4140375184360892, 3.1029542384203523, -3.1163086445303634, 0.828451597946696, -1.2016847197664902, -1.270022271128255, 1.079523319087457, -0.8669521168339998, -0.9038128849642817, 0.6793156911153346, 0.4619718458270654, -1.2019378675067856, -0.9139397656545043, -2.337728365091607, 0.3880820100894198, -1.066589881433174]| 12.1556062698364258|    100.00000000|[126, 35, 0, 5]                                                            | 
       6|[7.338470147224143, -4.444338257657364, 0.1066253844182938, -2.329550136477337, 0.7477812118595466, 3.086789758701343, -1.4140375184360892, 3.1029542384203523, -3.1163086445303634, 0.828451597946696, -1.2016847197664902, -1.270022271128255, 1.079523319087457, -0.8669521168339998, -0.9038128849642817, 0.6793156911153346, 0.4619718458270654, -1.2019378675067856, -0.9139397656545043, -2.337728365091607, 0.3880820100894198, -1.066589881433174]| 12.1556062698364258|     10.00000000|[176, 49, 0, 7]                                                            | 
       7|[7.229515687795356, -5.3251340941060334, 2.1890052023809403, -2.4879135532682994, 4.734108860022388, 2.706161590118427, 2.9930173826869577, 4.467673867708072, -6.912769034621306, 1.2130560519872233, -0.4710419838083908, -0.5875995139795123, 1.243639478168916, -1.4876719668973237, -2.2215425964968745, -0.9418340872507542, -0.9652918908977881, -2.061148239477916, -6.44959860201925, -1.8520872730296105, 1.4236842220416293, 0.5038167939055711]| 12.1546316146850586|    100.00000000|[226, 63, 0, 9]                                                            | 
       8|[7.229515687795356, -5.3251340941060334, 2.1890052023809403, -2.4879135532682994, 4.734108860022388, 2.706161590118427, 2.9930173826869577, 4.467673867708072, -6.912769034621306, 1.2130560519872233, -0.4710419838083908, -0.5875995139795123, 1.243639478168916, -1.4876719668973237, -2.2215425964968745, -0.9418340872507542, -0.9652918908977881, -2.061148239477916, -6.44959860201925, -1.8520872730296105, 1.4236842220416293, 0.5038167939055711]| 12.1546316146850586|     10.00000000|[276, 77, 0, 11]                                                           | 
       9|[3.711090461583808, -8.331805761205032, 4.195348090259358, 0.2580581264192006, 7.5726439304417, 5.870466084976215, -1.6863234566990286, 5.659179061418399, -5.01932461571414, 2.1417804601369426, -3.2845767204416916, -3.964321849794942, 5.23985959001584, -0.3861435607541353, -4.369574784912402, 3.8741234589833766, -2.00895014742855, -2.9857474101627304, -5.162631205283105, 2.3106658321339637, -0.8020657474407926, 0.5290241942275316]| 12.1518363952636719|    100.00000000|[301, 84, 0, 12]                                                           | 
