k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | k=0
       1|[-0.0273295938968658, 10.594456553459167, 1.803663194179535]                    |  0.6132025122642517|      1.11111111|[5, 0, 0, 1]                                                               | 
       2|[-0.0273295938968658, 10.594456553459167, 1.803663194179535]                    |  0.6132025122642517|      1.00000000|[9, 0, 0, 2]                                                               | 
       3|[-0.0273295938968658, 10.594456553459167, 1.803663194179535]                    |  0.6132025122642517|      0.90000000|[13, 0, 0, 3]                                                              | 
       4|[0.7270230948925018, 11.034260928630829, 1.5856630504131317]                    |  0.5688586235046387|      1.00000000|[17, 0, 0, 4]                                                              | 
       5|[1.5314320623874664, 10.598963737487793, 1.1813827753067017]                    |  0.5005527138710022|      1.11111111|[21, 0, 0, 5]                                                              | 
       6|[1.2927059084177017, 11.590095341205597, 0.7395276129245758]                    |  0.0972309783101082|      1.23456790|[25, 0, 0, 6]                                                              | 
       7|[1.2927059084177017, 11.590095341205597, 0.7395276129245758]                    |  0.0972309783101082|      1.11111111|[29, 0, 0, 7]                                                              | 
       8|[1.2927059084177017, 11.590095341205597, 0.7395276129245758]                    |  0.0972309783101082|      1.00000000|[33, 0, 0, 8]                                                              | 
       9|[0.9656955748796463, 12.482113718986511, 1.051565170288086]                     |  0.0047183358110487|      1.11111111|[37, 0, 0, 9]                                                              | 
      10|[0.9656955748796463, 12.482113718986511, 1.051565170288086]                     |  0.0047183358110487|      1.00000000|[41, 0, 0, 10]                                                             | 
      11|[0.9656955748796463, 12.482113718986511, 1.051565170288086]                     |  0.0047183358110487|      0.90000000|[45, 0, 0, 11]                                                             | 
      12|[0.9656955748796463, 12.482113718986511, 1.051565170288086]                     |  0.0047183358110487|      0.81000000|[49, 0, 0, 12]                                                             | 
      13|[0.9656955748796463, 12.482113718986511, 1.051565170288086]                     |  0.0047183358110487|      0.72900000|[53, 0, 0, 13]                                                             | 
      14|[0.9656955748796463, 12.482113718986511, 1.051565170288086]                     |  0.0047183358110487|      0.65610000|[57, 0, 0, 14]                                                             | 
      15|[0.9656955748796463, 12.482113718986511, 1.051565170288086]                     |  0.0047183358110487|      0.59049000|[61, 0, 0, 15]                                                             | 
      16|[0.9656955748796463, 12.482113718986511, 1.051565170288086]                     |  0.0047183358110487|      0.53144100|[65, 0, 0, 16]                                                             | 
      17|[0.9656955748796463, 12.482113718986511, 1.051565170288086]                     |  0.0047183358110487|      0.47829690|[69, 0, 0, 17]                                                             | 
      18|[0.9656955748796463, 12.482113718986511, 1.051565170288086]                     |  0.0047183358110487|      0.43046721|[73, 0, 0, 18]                                                             | 
      19|[0.9656955748796463, 12.482113718986511, 1.051565170288086]                     |  0.0047183358110487|      0.38742049|[77, 0, 0, 19]                                                             | 
      20|[0.9656955748796463, 12.482113718986511, 1.051565170288086]                     |  0.0047183358110487|      0.34867844|[81, 0, 0, 20]                                                             | 
      21|[0.9656955748796463, 12.482113718986511, 1.051565170288086]                     |  0.0047183358110487|      0.31381060|[85, 0, 0, 21]                                                             | 
      22|[0.9656955748796463, 12.482113718986511, 1.051565170288086]                     |  0.0047183358110487|      0.28242954|[89, 0, 0, 22]                                                             | 
      23|[0.872467428445816, 12.743119210004807, 1.1058891415596008]                     |  0.0033150776289403|      0.31381060|[93, 0, 0, 23]                                                             | 
      24|[0.872467428445816, 12.743119210004807, 1.1058891415596008]                     |  0.0033150776289403|      0.28242954|[97, 0, 0, 24]                                                             | 
      25|[0.872467428445816, 12.743119210004807, 1.1058891415596008]                     |  0.0033150776289403|      0.25418658|[101, 0, 0, 25]                                                            | 
      26|[0.872467428445816, 12.743119210004807, 1.1058891415596008]                     |  0.0033150776289403|      0.22876792|[105, 0, 0, 26]                                                            | 
      27|[0.872467428445816, 12.743119210004807, 1.1058891415596008]                     |  0.0033150776289403|      0.20589113|[109, 0, 0, 27]                                                            | 
      28|[0.872467428445816, 12.743119210004807, 1.1058891415596008]                     |  0.0033150776289403|      0.18530202|[113, 0, 0, 28]                                                            | 
      29|[0.872467428445816, 12.743119210004807, 1.1058891415596008]                     |  0.0033150776289403|      0.16677182|[117, 0, 0, 29]                                                            | 
      30|[0.872467428445816, 12.743119210004807, 1.1058891415596008]                     |  0.0033150776289403|      0.15009464|[121, 0, 0, 30]                                                            | 
