k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | k=2
       1|[0.7893540859222412, -0.1022960469126701, -0.1948988437652588, -0.2563239932060242, 0.4538434743881226, -0.2103204876184464, -0.1087707132101059, -0.0029016248881817, 0.0268317293375731]|261510.8750000000000000|      5.00000000|[15, 2, 0, 1]                                                              | 
       2|[0.7893540859222412, -0.1022960469126701, -0.1948988437652588, -0.2563239932060242, 0.4538434743881226, -0.2103204876184464, -0.1087707132101059, -0.0029016248881817, 0.0268317293375731]|261510.8750000000000000|      1.00000000|[29, 4, 0, 2]                                                              | 
       3|[1.07571941614151, -0.2724176868796349, -0.3616300523281097, -0.2651931755244732, 0.7163597643375397, 0.2764248102903366, -0.3108842819929123, -0.6787631623446941, 0.2670422326773405]|30008.1503906250000000|      5.00000000|[43, 6, 0, 3]                                                              | 
       4|[1.07571941614151, -0.2724176868796349, -0.3616300523281097, -0.2651931755244732, 0.7163597643375397, 0.2764248102903366, -0.3108842819929123, -0.6787631623446941, 0.2670422326773405]|30008.1503906250000000|      1.00000000|[57, 8, 0, 4]                                                              | 
       5|[1.07571941614151, -0.2724176868796349, -0.3616300523281097, -0.2651931755244732, 0.7163597643375397, 0.2764248102903366, -0.3108842819929123, -0.6787631623446941, 0.2670422326773405]|30008.1503906250000000|      0.20000000|[71, 10, 0, 5]                                                             | 
       6|[1.0766957312007435, -0.292876897379756, -0.4006098210811615, -0.3164579756557941, 0.8984578847885132, 0.2343607135117054, -0.3326384257525206, -0.680108898319304, 0.2724085785448551]|10779.6748046875000000|      1.00000000|[85, 12, 0, 6]                                                             | 
       7|[1.0766957312007435, -0.292876897379756, -0.4006098210811615, -0.3164579756557941, 0.8984578847885132, 0.2343607135117054, -0.3326384257525206, -0.680108898319304, 0.2724085785448551]|10779.6748046875000000|      0.20000000|[99, 14, 0, 7]                                                             | 
       8|[1.0613561191712506, -0.2759922724217176, -0.3866914911195636, -0.3219397165812552, 0.8576506413519382, 0.1511945985257626, -0.1862544249743223, -0.774782762862742, 0.2892189119011164]|565.7414550781250000|      1.00000000|[113, 16, 0, 8]                                                            | 
       9|[1.0613561191712506, -0.2759922724217176, -0.3866914911195636, -0.3219397165812552, 0.8576506413519382, 0.1511945985257626, -0.1862544249743223, -0.774782762862742, 0.2892189119011164]|565.7414550781250000|      0.20000000|[127, 18, 0, 9]                                                            | 
