k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |749.0383999999999105|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[0.5110741138458252, -0.0354833602905273]                                       |  3.0942785739898682|      2.00000000|[4, 1, 0, 1]                                                               | 
       2|[0.5110741138458252, -0.0354833602905273]                                       |  3.0942785739898682|      1.00000000|[10, 3, 0, 3]                                                              | 
       3|[0.5110741138458252, -0.0354833602905273]                                       |  3.0942785739898682|      0.50000000|[16, 5, 0, 5]                                                              | 
       4|[0.011080938577652, -0.0380910588428378]                                        |  1.1230641603469849|      1.00000000|[22, 7, 0, 7]                                                              | 
       5|[0.8202639997005463, 0.5494655417278409]                                        |  0.0328980349004269|      2.00000000|[25, 8, 0, 8]                                                              | 
       6|[0.8202639997005463, 0.5494655417278409]                                        |  0.0328980349004269|      1.00000000|[31, 10, 0, 10]                                                            | 
       7|[0.8202639997005463, 0.5494655417278409]                                        |  0.0328980349004269|      0.50000000|[37, 12, 0, 12]                                                            | 
       8|[0.8202639997005463, 0.5494655417278409]                                        |  0.0328980349004269|      0.25000000|[43, 14, 0, 14]                                                            | 
       9|[0.8202639997005463, 0.5494655417278409]                                        |  0.0328980349004269|      0.12500000|[49, 16, 0, 16]                                                            | 
      10|[0.8202639997005463, 0.5494655417278409]                                        |  0.0328980349004269|      0.06250000|[55, 18, 0, 18]                                                            | 
      11|[0.8202639997005463, 0.5494655417278409]                                        |  0.0328980349004269|      0.03125000|[61, 20, 0, 20]                                                            | 
