k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |149.7192190771219771|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[1.3773527145385742, 4.073930382728577]                                         | 98.7679443359375000|      1.11111111|[4, 1, 0, 1]                                                               | 
       2|[0.2727822065353394, 4.194312669336796]                                         | 35.7991943359375000|      1.23456790|[7, 2, 0, 2]                                                               | 
       3|[1.0969877243041992, 3.2751591578125954]                                        |  1.0895973443984985|      1.37174211|[13, 4, 0, 4]                                                              | 
       4|[1.0969877243041992, 3.2751591578125954]                                        |  1.0895973443984985|      1.23456790|[19, 6, 0, 6]                                                              | 
       5|[1.0969877243041992, 3.2751591578125954]                                        |  1.0895973443984985|      1.11111111|[25, 8, 0, 8]                                                              | 
       6|[1.0969877243041992, 3.2751591578125954]                                        |  1.0895973443984985|      1.00000000|[31, 10, 0, 10]                                                            | 
       7|[1.0969877243041992, 3.2751591578125954]                                        |  1.0895973443984985|      0.90000000|[37, 12, 0, 12]                                                            | 
       8|[1.0969877243041992, 3.2751591578125954]                                        |  1.0895973443984985|      0.81000000|[43, 14, 0, 14]                                                            | 
       9|[1.0969877243041992, 3.2751591578125954]                                        |  1.0895973443984985|      0.72900000|[49, 16, 0, 16]                                                            | 
      10|[1.0969877243041992, 3.2751591578125954]                                        |  1.0895973443984985|      0.65610000|[55, 18, 0, 18]                                                            | 
      11|[0.9074386060237885, 3.5429051890969276]                                        |  0.0962454006075859|      0.72900000|[61, 20, 0, 20]                                                            | 
