k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 0.0]                                                                      |416.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[0.2294694185256958, -0.9301730990409851]                                       | 77.2038040161132812|      2.00000000|[4, 1, 0, 1]                                                               | 
       2|[0.5280246734619141, 1.0474174618721008]                                        | 22.0415019989013672|      4.00000000|[7, 2, 0, 2]                                                               | 
       3|[0.5280246734619141, 1.0474174618721008]                                        | 22.0415019989013672|      2.00000000|[13, 4, 0, 4]                                                              | 
       4|[0.5280246734619141, 1.0474174618721008]                                        | 22.0415019989013672|      1.00000000|[19, 6, 0, 6]                                                              | 
       5|[-1.448581576347351, 1.352421522140503]                                         | 17.7127532958984375|      2.00000000|[22, 7, 0, 7]                                                              | 
       6|[-1.448581576347351, 1.352421522140503]                                         | 17.7127532958984375|      1.00000000|[28, 9, 0, 9]                                                              | 
       7|[-1.448581576347351, 1.352421522140503]                                         | 17.7127532958984375|      0.50000000|[34, 11, 0, 11]                                                            | 
       8|[-0.9491385221481323, 1.3760144338011742]                                       |  8.4228801727294922|      1.00000000|[37, 12, 0, 12]                                                            | 
       9|[-0.9491385221481323, 1.3760144338011742]                                       |  8.4228801727294922|      0.50000000|[43, 14, 0, 14]                                                            | 
      10|[-1.0815706253051758, 1.5880562588572502]                                       |  1.4692934751510620|      1.00000000|[46, 15, 0, 15]                                                            | 
      11|[-1.0815706253051758, 1.5880562588572502]                                       |  1.4692934751510620|      0.50000000|[52, 17, 0, 17]                                                            | 
      12|[-1.0815706253051758, 1.5880562588572502]                                       |  1.4692934751510620|      0.25000000|[58, 19, 0, 19]                                                            | 
      13|[-1.0815706253051758, 1.5880562588572502]                                       |  1.4692934751510620|      0.12500000|[64, 21, 0, 21]                                                            | 
