k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      | 24.0625000000000000|      1.00000000|[0, 0, 0, 0]                                                               | k=0
       1|[0.9607943296432495, -0.2772622108459473]                                       | 12.2106227874755859|      2.00000000|[5, 0, 0, 1]                                                               | 
       2|[0.9607943296432495, -0.2772622108459473]                                       | 12.2106227874755859|      1.00000000|[9, 0, 0, 2]                                                               | 
       3|[1.8486332297325134, 0.1828922629356384]                                        | 12.0979251861572266|      2.00000000|[13, 0, 0, 3]                                                              | 
       4|[1.8486332297325134, 0.1828922629356384]                                        | 12.0979251861572266|      1.00000000|[17, 0, 0, 4]                                                              | 
       5|[1.8486332297325134, 0.1828922629356384]                                        | 12.0979251861572266|      0.50000000|[21, 0, 0, 5]                                                              | 
       6|[0.8582931756973267, 0.3215521723031998]                                        |  1.6489230394363403|      1.00000000|[25, 0, 0, 6]                                                              | 
       7|[0.8582931756973267, 0.3215521723031998]                                        |  1.6489230394363403|      0.50000000|[29, 0, 0, 7]                                                              | 
       8|[0.4483217597007751, 0.6077748984098434]                                        |  1.2372519969940186|      1.00000000|[33, 0, 0, 8]                                                              | 
       9|[0.4483217597007751, 0.6077748984098434]                                        |  1.2372519969940186|      0.50000000|[37, 0, 0, 9]                                                              | 
      10|[0.4483217597007751, 0.6077748984098434]                                        |  1.2372519969940186|      0.25000000|[41, 0, 0, 10]                                                             | 
      11|[0.4483217597007751, 0.6077748984098434]                                        |  1.2372519969940186|      0.12500000|[45, 0, 0, 11]                                                             | 
      12|[0.5256965160369873, 0.7059489637613297]                                        |  0.6875162720680237|      0.25000000|[49, 0, 0, 12]                                                             | 
      13|[0.5256965160369873, 0.7059489637613297]                                        |  0.6875162720680237|      0.12500000|[53, 0, 0, 13]                                                             | 
      14|[0.4209503307938576, 0.774163618683815]                                         |  0.3450997471809387|      0.25000000|[57, 0, 0, 14]                                                             | 
      15|[0.4209503307938576, 0.774163618683815]                                         |  0.3450997471809387|      0.12500000|[61, 0, 0, 15]                                                             | 
      16|[0.4209503307938576, 0.774163618683815]                                         |  0.3450997471809387|      0.06250000|[65, 0, 0, 16]                                                             | 
      17|[0.4601436629891396, 0.7254796139895916]                                        |  0.2798982560634613|      0.12500000|[69, 0, 0, 17]                                                             | 
      18|[0.4601436629891396, 0.7254796139895916]                                        |  0.2798982560634613|      0.06250000|[73, 0, 0, 18]                                                             | 
      19|[0.4601436629891396, 0.7254796139895916]                                        |  0.2798982560634613|      0.03125000|[77, 0, 0, 19]                                                             | 
      20|[0.4324217606335878, 0.7399038523435593]                                        |  0.2616097927093506|      0.06250000|[81, 0, 0, 20]                                                             | 
