k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | k=16
       1|[10.602943658828735, -0.673894077539444, 0.4002139151096344, -1.5171248777008057, 0.2274077951908112, 1.0032740364074706, -0.1559439466724396]|13743.1826171875000000|      3.33333333|[49, 16, 0, 1]                                                             | 
       2|[10.472748056054115, -1.857782632112503, -0.0257797658443451, -2.2877612574195862, 0.9603661715984344, 0.7933412173986434, -0.2067741022834778]|11077.0576171875000000|     11.11111111|[97, 32, 0, 2]                                                             | 
       3|[10.472748056054115, -1.857782632112503, -0.0257797658443451, -2.2877612574195862, 0.9603661715984344, 0.7933412173986434, -0.2067741022834778]|11077.0576171875000000|      3.33333333|[145, 48, 0, 3]                                                            | 
       4|[10.472748056054115, -1.857782632112503, -0.0257797658443451, -2.2877612574195862, 0.9603661715984344, 0.7933412173986434, -0.2067741022834778]|11077.0576171875000000|      1.00000000|[193, 64, 0, 4]                                                            | 
       5|[9.641151204705238, -2.2347021102905273, 0.3510667860507965, -2.240017922053337, 1.4294248640537262, -0.8788391968011857, -0.1300756873021126]|6812.6699218750000000|      3.33333333|[241, 80, 0, 5]                                                            | 
       6|[9.761090599000454, -1.019279956817627, 1.0703694999217988, -2.290166524628401, 0.7020717084407806, -3.80636018717289, -0.1182137147912979]|2968.8662109375000000|     11.11111111|[289, 96, 0, 6]                                                            | 
       7|[9.761090599000454, -1.019279956817627, 1.0703694999217988, -2.290166524628401, 0.7020717084407806, -3.80636018717289, -0.1182137147912979]|2968.8662109375000000|      3.33333333|[337, 112, 0, 7]                                                           | 
       8|[9.761090599000454, -1.019279956817627, 1.0703694999217988, -2.290166524628401, 0.7020717084407806, -3.80636018717289, -0.1182137147912979]|2968.8662109375000000|      1.00000000|[385, 128, 0, 8]                                                           | 
       9|[9.761090599000454, -1.019279956817627, 1.0703694999217988, -2.290166524628401, 0.7020717084407806, -3.80636018717289, -0.1182137147912979]|2968.8662109375000000|      0.30000000|[433, 144, 0, 9]                                                           | 
      10|[9.850286960601807, -1.020128503907472, 1.1684518337249756, -2.2614909032529593, 0.638777856528759, -3.797616245388985, -0.1224899075383544]|2697.3354492187500000|      1.00000000|[481, 160, 0, 10]                                                          | 
      11|[9.558988094329834, -0.9977522031404078, 1.0600545883178711, -2.1740041891282798, 0.5386066406965255, -4.165320100426674, -0.1225149234447852]|2363.1411132812500000|      3.33333333|[529, 176, 0, 11]                                                          | 
      12|[9.558988094329834, -0.9977522031404078, 1.0600545883178711, -2.1740041891282798, 0.5386066406965255, -4.165320100426674, -0.1225149234447852]|2363.1411132812500000|      1.00000000|[577, 192, 0, 12]                                                          | 
      13|[9.558988094329834, -0.9977522031404078, 1.0600545883178711, -2.1740041891282798, 0.5386066406965255, -4.165320100426674, -0.1225149234447852]|2363.1411132812500000|      0.30000000|[625, 208, 0, 13]                                                          | 
      14|[9.625864543020725, -0.9323651851154864, 1.0726893834769726, -2.152128690311909, 0.5871718719601631, -4.061690421938897, -0.1184884993050471]|2357.3410644531250000|      1.00000000|[673, 224, 0, 14]                                                          | 
      15|[9.625864543020725, -0.9323651851154864, 1.0726893834769726, -2.152128690311909, 0.5871718719601631, -4.061690421938897, -0.1184884993050471]|2357.3410644531250000|      0.30000000|[721, 240, 0, 15]                                                          | 
      16|[9.35973534733057, -1.0339307175017893, 1.0055402733385563, -2.092700244317055, 0.5724455228075385, -4.084606347769499, -0.1097154099185243]|2318.0876464843750000|      1.00000000|[769, 256, 0, 16]                                                          | 
      17|[9.438045300543308, -0.8974133119918406, 1.0090204746928066, -1.6765225542879105, 0.7840684315189719, -4.163742711931468, -0.0786065704811588]|2085.3579101562500000|      3.33333333|[817, 272, 0, 17]                                                          | 
      18|[9.438045300543308, -0.8974133119918406, 1.0090204746928066, -1.6765225542879105, 0.7840684315189719, -4.163742711931468, -0.0786065704811588]|2085.3579101562500000|      1.00000000|[865, 288, 0, 18]                                                          | 
      19|[9.438045300543308, -0.8974133119918406, 1.0090204746928066, -1.6765225542879105, 0.7840684315189719, -4.163742711931468, -0.0786065704811588]|2085.3579101562500000|      0.30000000|[913, 304, 0, 19]                                                          | 
