k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[-0.0862969160079956, -0.198771059513092, -0.3544525802135468]                  |844.0499877929687500|     10.00000000|[4, 1, 0, 1]                                                               | 
       2|[-0.0862969160079956, -0.198771059513092, -0.3544525802135468]                  |844.0499877929687500|      1.00000000|[10, 3, 0, 3]                                                              | 
       3|[0.8274061679840088, 0.1441677212715149, -0.1364168375730515]                   | 19.4725780487060547|     10.00000000|[13, 4, 0, 4]                                                              | 
       4|[0.8274061679840088, 0.1441677212715149, -0.1364168375730515]                   | 19.4725780487060547|      1.00000000|[19, 6, 0, 6]                                                              | 
       5|[0.8274061679840088, 0.1441677212715149, -0.1364168375730515]                   | 19.4725780487060547|      0.10000000|[25, 8, 0, 8]                                                              | 
       6|[0.9067708253860474, 0.090313944965601, -0.1081145126372576]                    |  7.8807215690612793|      1.00000000|[28, 9, 0, 9]                                                              | 
       7|[0.9067708253860474, 0.090313944965601, -0.1081145126372576]                    |  7.8807215690612793|      0.10000000|[34, 11, 0, 11]                                                            | 
       8|[0.9083100035786629, 0.0406763292849064, -0.1139229913242161]                   |  4.2650828361511230|      1.00000000|[37, 12, 0, 12]                                                            | 
       9|[0.9083100035786629, 0.0406763292849064, -0.1139229913242161]                   |  4.2650828361511230|      0.10000000|[43, 14, 0, 14]                                                            | 
      10|[0.9996803104877472, 0.0023715309798717, -0.1003506570123136]                   |  1.0943082571029663|      1.00000000|[46, 15, 0, 15]                                                            | 
      11|[0.9996803104877472, 0.0023715309798717, -0.1003506570123136]                   |  1.0943082571029663|      0.10000000|[52, 17, 0, 17]                                                            | 
      12|[1.0265317987650633, -0.0574623122811317, -0.0248595415614545]                  |  0.4911651313304901|      1.00000000|[58, 19, 0, 19]                                                            | 
      13|[1.0265317987650633, -0.0574623122811317, -0.0248595415614545]                  |  0.4911651313304901|      0.10000000|[64, 21, 0, 21]                                                            | 
      14|[1.0092688649892807, -0.0105426348745823, -0.0241280551999807]                  |  0.0149061717092991|      1.00000000|[67, 22, 0, 22]                                                            | 
      15|[1.0092688649892807, -0.0105426348745823, -0.0241280551999807]                  |  0.0149061717092991|      0.10000000|[73, 24, 0, 24]                                                            | 
      16|[1.0092688649892807, -0.0105426348745823, -0.0241280551999807]                  |  0.0149061717092991|      0.01000000|[79, 26, 0, 26]                                                            | 
      17|[1.0017288136295974, -0.0117771769873798, -0.0176764251664281]                  |  0.0007427340024151|      0.10000000|[82, 27, 0, 27]                                                            | 
      18|[1.0017288136295974, -0.0117771769873798, -0.0176764251664281]                  |  0.0007427340024151|      0.01000000|[88, 29, 0, 29]                                                            | 
      19|[1.0017288136295974, -0.0117771769873798, -0.0176764251664281]                  |  0.0007427340024151|      0.00100000|[94, 31, 0, 31]                                                            | 
