k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | k=4
       1|[0.8789917677640915, 0.9178726524114609, 0.9129003658890724, 0.8712172210216522, 0.8084167987108231, 0.7443034648895264, 0.6985015571117401, 0.6864891946315765, 0.7992173284292221, 0.7877591848373413, 0.8899183794856071, 1.0044051920995116, 1.107071653008461, 1.1723742187023163, 1.1787109673023224, 1.1145560815930367, 0.7993085384368896, 0.817294716835022, 0.6669622659683228, 0.6197233498096466, 0.792087122797966, 1.3271390199661255]|  1.3901771306991577|      1.01010101|[13, 4, 0, 1]                                                              | 
       2|[0.8621866088360548, 0.9608637318015099, 0.9729073233902454, 0.9318646155297756, 0.8497583754360676, 0.7474341227207333, 0.6499650329351425, 0.5816062539815903, 0.6436891257762909, 0.5972056835889816, 1.8172788545489311, 0.816034353338182, 0.9570319503545761, 1.0774544924497604, 1.1441061235964298, 1.1318406946957111, 0.8476601205766201, 0.8686790093779564, 0.6954383105039597, 0.6142051261849701, 0.8135442323982716, 1.3503929805010557]|  1.3223725557327271|      1.02030405|[25, 8, 0, 2]                                                              | 
       3|[0.7387214135378599, 0.8770688623189926, 0.8840392120182514, 0.800467025488615, 0.6542852558195591, 0.4865459038410336, 0.3423449546098709, 0.2617299109697342, 0.5516716539859772, 0.380655512213707, 1.7049621269106865, 0.8205289887264371, 1.0662775933742523, 1.2533286064863205, 1.3264456577599049, 1.2487227357923985, 0.8322431249544024, 0.6822640672326088, 0.3556385487318039, 1.089319829363376, 0.6014098711311817, 1.6841742526739836]|  1.2076560258865356|      1.03061015|[37, 12, 0, 3]                                                             | 
       4|[0.4232764970511198, 0.5722799748182297, 0.5955249555408955, 0.5444014482200146, 0.4517417587339878, 0.3553657515440136, 0.2892073877155781, 0.2767944280058146, 0.6074743419885635, 0.4359958209097385, 1.7134393267333508, 0.7423044117167592, 0.8806743770837784, 1.5344360917806625, 0.9840833134949207, 0.9257923997938633, 0.6123812897130847, 0.636599101126194, 0.500309482216835, 1.3389676255173981, 0.7253263257443905, 1.2800751756876707]|  1.0975410938262939|      1.04102036|[49, 16, 0, 4]                                                             | 
       5|[0.4295314555056393, 0.3117329627275467, 0.7344558276236057, 0.7283876501023769, 0.6383779086172581, 0.4975455387029797, 0.3490120805799961, 0.2356041800230742, 0.4699473232030869, 0.2271746732294559, 1.4699348919093609, 0.5000256421044469, 0.6626759916543961, 1.3428947031497955, 0.7999420203268528, 0.7179881073534489, 0.3555403156206012, 0.331410713493824, 0.3080666661262512, 1.0660937768407166, 0.4834851436316967, 0.7989325057715178]|  1.0349992513656616|      1.05153571|[61, 20, 0, 5]                                                             | 
       6|[0.107681751716882, 0.0007556229829788, 0.4400835670530796, 0.4671229086816311, 0.4317219592630863, 0.3637019081506878, 0.2947956062853336, 0.2509745676070452, 0.5268830321729183, 0.2836386114358902, 1.4785842122510076, 0.4202127950266004, 0.4733042865991592, 1.0529572367668152, 0.3327629901468754, 0.8205781988799572, 0.1312143905088305, 0.2848185636103153, 0.4556749910116196, 1.3208104115910828, 0.6099176071584225, 0.3866286110132933]|  0.9326440691947937|      1.06215729|[73, 24, 0, 6]                                                             | 
       7|[-0.2174189682118595, -0.3133628815412521, 0.1427378691732883, 0.7888264320790768, 0.2229785807430744, 0.2285063250456005, 0.2400314956903458, 0.2665002113208175, 0.584393847733736, 0.340672891587019, 1.4873208990320563, 0.3395937578752637, 0.2820197343826294, 0.7600911259651184, 0.6307767070829868, 0.4877629391849041, -0.0953774349763989, 0.2377557866275311, 0.6047743111848831, 1.5780999404378235, 0.7376271598041058, -0.0298399794846773]|  0.8810755014419556|      1.07288615|[85, 28, 0, 7]                                                             | 
       8|[-0.5458035166375339, -0.6306542903184891, -0.1576113067567348, 0.5222569666802883, 0.0121266879141331, 0.429248912492767, 0.184714213013649, 0.2821826795116067, 0.6424855776131153, 0.3982832729816437, 1.496145835146308, 0.2581603871658444, 0.0888030230998993, 0.4642667770385742, 0.2770103551447392, 0.1515859179198742, -0.3242580639198422, 0.1902176290750504, 0.5726285837590694, 1.8379883510060608, 0.8666267059743404, -0.450515316799283]|  0.8272708654403687|      1.08372338|[97, 32, 0, 8]                                                             | 
       9|[-0.503054081927985, -0.5915158241987228, -0.1463946281000972, 0.482796847820282, -0.0923610366880894, 0.835861129919067, -0.0377182811498642, -0.6148258587345481, 0.4062359817326069, 0.2080510854721069, 1.378563767299056, 0.2236776100471616, 0.1275222301483154, 0.5470095202326775, 0.3626774214208126, 0.2004635892808437, -0.3337203441187739, 0.1338682174682617, 0.5175002925097942, 1.8472085050307214, 0.9513607956469059, -0.4706068709492683]|  0.7807322740554810|      1.09467008|[109, 36, 0, 9]                                                            | 
      10|[-0.6212088386528194, -0.7442358136177063, -0.3162202863022685, 0.3114337921142578, 0.0819936655461788, 0.6881343259010464, -0.1704403460025787, -0.7158273896202445, 0.2977830953896046, 0.1111301407217979, 1.297279303893447, 0.1662522191181779, 0.1054417937994003, 0.573101282119751, 0.4485298134386539, 0.3538252674043179, -0.1107453582808375, 0.4228307604789734, 0.8656645826995373, 2.2506810775958, 1.4192545749247074, 0.0981671139597893]|  0.7446978092193604|      1.10572736|[121, 40, 0, 10]                                                           | 
      11|[-0.955499283503741, -1.071239560842514, -0.6257632104679942, 0.0367045998573303, -0.1353124417364597, 0.5473929776344448, -0.2274508997797966, -0.6996648786589503, 0.357653021812439, 0.0316669568419456, 1.3063743729144335, 0.08232615981251, -0.0936893075704575, 0.2682217061519623, 0.0839346088469028, 0.0073578022420406, -0.3466320661827922, 0.3738374523818493, 1.0208800099790096, 2.518524711485952, 1.5522028096020222, -0.3353851512074471]|  0.6878458857536316|      1.11689632|[133, 44, 0, 11]                                                           | 
      12|[-0.9841024870984256, -1.1240594014525414, -0.687497521750629, -0.4908354878425598, -0.1597690433263779, 0.5577335825655609, -0.1868196502327919, -0.6460992349311709, 0.3970052190124989, 0.025979976169765, 1.2291448954492807, -0.0804712763056159, -0.3373516052961349, -0.0305880010128021, -0.72657435759902, -0.2634306587278843, -0.5331818936392665, 0.2915698178112507, 1.0248561329208314, 2.5528704612515867, 1.5523670394031797, -0.3635249529033899]|  0.6657713651657104|      1.12817810|[145, 48, 0, 12]                                                           | 
      13|[-0.9908980499021709, -0.9357137158513069, -0.6593768382444978, -0.4474602527916431, -0.111919030547142, 0.5933953581843525, -0.1829790226183832, -0.6925158044323325, 0.2877921722829342, -0.1483778404071927, 1.0003286395221949, -1.0715391030535102, -0.5921451598405838, -0.2420653998851776, -0.8610470108687878, -0.303682167083025, -0.4886301374062896, 0.3802492208778858, 1.0932651734910905, 2.541780934203416, 1.4702292311994825, -0.328615328297019]|  0.5841488242149353|      1.13957384|[157, 52, 0, 13]                                                           | 
      14|[-1.1287958691827953, -1.0293038934469223, -0.7586333015933633, -0.594217736274004, -0.3302422314882278, 0.3020102737937123, -0.5265587619505823, -1.0497844954952598, -0.0352572537958622, -0.3902419107034802, 0.8748825136572123, -1.0665190615691245, -0.4701291099190712, -0.0456322580575943, -0.6573926769196987, -0.1731370575726032, -0.505849321372807, 0.1720430590212345, 1.503293243702501, 2.137172118294984, 1.2332971621362958, 0.0441837403923273]|  0.5221605300903320|      1.15108468|[169, 56, 0, 14]                                                           | 
