k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-0.0098029604941, -0.019409861778, -0.028820703853, -0.038035486717, -0.047054210372, -0.055876874816, -0.064503480051, -0.072934026076, -0.081168512891, -0.089206940496, -0.097049308891, -0.10469561808, -0.11214586805, -0.11940005882, -0.12645819037, -0.13332026272, -0.13998627586, -0.14645622978, -0.1527301245, -0.15880796, -0.1646897363, -0.17037545339, -0.17586511126, -0.18115870993, -0.18625624939, -0.19115772963, -0.19586315067, -0.2003725125, -0.20468581512, -0.20880305852, -0.21272424272, -0.21644936771, -0.21997843349, -0.22331144005, -0.22644838741, -0.22938927556, -0.2321341045, -0.23468287423, -0.23703558475, -0.23919223606, -0.24115282815, -0.24291736104, -0.24448583472, -0.24585824919, -0.24703460445, -0.2480149005, -0.24879913734, -0.24938731497, -0.24977943339, -0.2499754926, -0.2499754926, -0.24977943339, -0.24938731497, -0.24879913734, -0.2480149005, -0.24703460445, -0.24585824919, -0.24448583472, -0.24291736104, -0.24115282815, -0.23919223606, -0.23703558475, -0.23468287423, -0.2321341045, -0.22938927556, -0.22644838741, -0.22331144005, -0.21997843349, -0.21644936771, -0.21272424272, -0.20880305852, -0.20468581512, -0.2003725125, -0.19586315067, -0.19115772963, -0.18625624939, -0.18115870993, -0.17586511126, -0.17037545339, -0.1646897363, -0.15880796, -0.1527301245, -0.14645622978, -0.13998627586, -0.13332026272, -0.12645819037, -0.11940005882, -0.11214586805, -0.10469561808, -0.097049308891, -0.089206940496, -0.081168512891, -0.072934026076, -0.064503480051, -0.055876874816, -0.047054210372, -0.038035486717, -0.028820703853, -0.019409861778, -0.0098029604941]| 99.9875072002955676|      1.00000000|[0, 0, 0, 0]                                                               | k=0
       1|[-0.0131906021214415, -0.0244913244518429, -0.035595987107683, -0.0465045905525231, -0.0572171357196858, -0.0677336198132033, -0.078054046560366, -0.1346881074742487, -0.0981067205620463, -0.1078389687478864, -0.1173751595863716, -0.1267152874935666, -0.1358593580444067, -0.1448073712578919, -0.1535593233887321, -0.1621152163195722, -0.1704750481777672, -0.1786388226786073, -0.1866065398420925, -0.1943781977855778, -0.2019537928037727, -0.209333332337258, -0.2165168126507433, -0.2235042300389382, -0.2302955882171332, -0.2368908909006184, -0.2432901306588134, -0.2494933149322986, -0.2555004399957839, -0.2613115021139789, -0.2669265087574642, -0.2723454524656591, -0.2775683406891444, -0.2825951696926297, -0.2381567438500673, -0.2920606463643098, -0.2964992902972145, -0.3007418899212804, -0.304788415434185, -0.3086388817370897, -0.3122933037211555, -0.3157516516040602, -0.3190139477275454, -0.3220801846410307, -0.324950362344516, -0.3276244733874206, -0.3301025401214865, -0.3323845327443912, -0.3344704736078764, -0.3363603552613617, -0.3380541702542663, -0.3395519334877516, -0.3408536375112369, -0.3419592823247222, -0.3428688604776268, -0.3435823943216927, -0.3440998540545973, -0.3444212620280825, -0.3445466107915678, -0.3444758928944725, -0.3442091232479578, -0.3437462869308624, -0.3430874063049283, -0.3422324515678329, -0.3411814450713182, -0.3399343793648035, -0.3384912544482888, -0.3368520628811934, -0.3350168269952593, -0.3329855169981639, -0.3307581477910686, -0.3283347342851344, -0.3257152541086197, -0.3228997072715244, -0.319888101224429, -0.3166804508784948, -0.3132767413125607, -0.3096769576354654, -0.30588111475837, -0.3018892126612747, -0.2977012513541794, -0.2933172457482452, -0.2887371809223111, -0.2839610419952158, -0.2789888438481204, -0.2738206013921863, -0.2684562848350909, -0.2628959090579956, -0.2571394889820615, -0.2511870096871273, -0.245038456285032, -0.2386938436729366, -0.2321531718508413, -0.225416440818746, -0.218483680378973, -0.2113548309278777, -0.2040299222657823, -0.196508954394687, -0.1887919422137529, -0.1808788559227575]| 99.6904830932617188|     10.00000000|[17, 0, 0, 1]                                                              | 
       2|[-0.0131906021214415, -0.0244913244518429, -0.035595987107683, -0.0465045905525231, -0.0572171357196858, -0.0677336198132033, -0.078054046560366, -0.1346881074742487, -0.0981067205620463, -0.1078389687478864, -0.1173751595863716, -0.1267152874935666, -0.1358593580444067, -0.1448073712578919, -0.1535593233887321, -0.1621152163195722, -0.1704750481777672, -0.1786388226786073, -0.1866065398420925, -0.1943781977855778, -0.2019537928037727, -0.209333332337258, -0.2165168126507433, -0.2235042300389382, -0.2302955882171332, -0.2368908909006184, -0.2432901306588134, -0.2494933149322986, -0.2555004399957839, -0.2613115021139789, -0.2669265087574642, -0.2723454524656591, -0.2775683406891444, -0.2825951696926297, -0.2381567438500673, -0.2920606463643098, -0.2964992902972145, -0.3007418899212804, -0.304788415434185, -0.3086388817370897, -0.3122933037211555, -0.3157516516040602, -0.3190139477275454, -0.3220801846410307, -0.324950362344516, -0.3276244733874206, -0.3301025401214865, -0.3323845327443912, -0.3344704736078764, -0.3363603552613617, -0.3380541702542663, -0.3395519334877516, -0.3408536375112369, -0.3419592823247222, -0.3428688604776268, -0.3435823943216927, -0.3440998540545973, -0.3444212620280825, -0.3445466107915678, -0.3444758928944725, -0.3442091232479578, -0.3437462869308624, -0.3430874063049283, -0.3422324515678329, -0.3411814450713182, -0.3399343793648035, -0.3384912544482888, -0.3368520628811934, -0.3350168269952593, -0.3329855169981639, -0.3307581477910686, -0.3283347342851344, -0.3257152541086197, -0.3228997072715244, -0.319888101224429, -0.3166804508784948, -0.3132767413125607, -0.3096769576354654, -0.30588111475837, -0.3018892126612747, -0.2977012513541794, -0.2933172457482452, -0.2887371809223111, -0.2839610419952158, -0.2789888438481204, -0.2738206013921863, -0.2684562848350909, -0.2628959090579956, -0.2571394889820615, -0.2511870096871273, -0.245038456285032, -0.2386938436729366, -0.2321531718508413, -0.225416440818746, -0.218483680378973, -0.2113548309278777, -0.2040299222657823, -0.196508954394687, -0.1887919422137529, -0.1808788559227575]| 99.6904830932617188|      1.00000000|[129, 0, 0, 8]                                                             | 
       3|[-0.0131906021214415, -0.0244913244518429, -0.035595987107683, -0.0465045905525231, -0.0572171357196858, -0.0677336198132033, -0.078054046560366, -0.1346881074742487, -0.0981067205620463, -0.1078389687478864, -0.1173751595863716, -0.1267152874935666, -0.1358593580444067, -0.1448073712578919, -0.1535593233887321, -0.1621152163195722, -0.1704750481777672, -0.1786388226786073, -0.1866065398420925, -0.1943781977855778, -0.2019537928037727, -0.209333332337258, -0.2165168126507433, -0.2235042300389382, -0.2302955882171332, -0.2368908909006184, -0.2432901306588134, -0.2494933149322986, -0.2555004399957839, -0.2613115021139789, -0.2669265087574642, -0.2723454524656591, -0.2775683406891444, -0.2825951696926297, -0.2381567438500673, -0.2920606463643098, -0.2964992902972145, -0.3007418899212804, -0.304788415434185, -0.3086388817370897, -0.3122933037211555, -0.3157516516040602, -0.3190139477275454, -0.3220801846410307, -0.324950362344516, -0.3276244733874206, -0.3301025401214865, -0.3323845327443912, -0.3344704736078764, -0.3363603552613617, -0.3380541702542663, -0.3395519334877516, -0.3408536375112369, -0.3419592823247222, -0.3428688604776268, -0.3435823943216927, -0.3440998540545973, -0.3444212620280825, -0.3445466107915678, -0.3444758928944725, -0.3442091232479578, -0.3437462869308624, -0.3430874063049283, -0.3422324515678329, -0.3411814450713182, -0.3399343793648035, -0.3384912544482888, -0.3368520628811934, -0.3350168269952593, -0.3329855169981639, -0.3307581477910686, -0.3283347342851344, -0.3257152541086197, -0.3228997072715244, -0.319888101224429, -0.3166804508784948, -0.3132767413125607, -0.3096769576354654, -0.30588111475837, -0.3018892126612747, -0.2977012513541794, -0.2933172457482452, -0.2887371809223111, -0.2839610419952158, -0.2789888438481204, -0.2738206013921863, -0.2684562848350909, -0.2628959090579956, -0.2571394889820615, -0.2511870096871273, -0.245038456285032, -0.2386938436729366, -0.2321531718508413, -0.225416440818746, -0.218483680378973, -0.2113548309278777, -0.2040299222657823, -0.196508954394687, -0.1887919422137529, -0.1808788559227575]| 99.6904830932617188|      0.10000000|[241, 0, 0, 15]                                                            | 
       4|[-0.0217728765509416, -0.0337121499600798, -0.0345779653862901, -0.0381151064152265, -0.0594854058434358, -0.066416949950486, -0.0748371801565479, -0.1354896595031096, -0.1011104218968654, -0.1086803596714833, -0.114705064982699, -0.1273927870644504, -0.1413944367450385, -0.1527781551173833, -0.1513878116268879, -0.151850860630285, -0.1636158439115468, -0.1828447652981992, -0.1826329724494155, -0.1911227499471223, -0.1953469480842734, -0.2048165975956298, -0.2150226554062919, -0.2182108868227574, -0.2388549278969108, -0.2295338574653631, -0.2467448426455191, -0.2518640934035301, -0.2579073924327973, -0.2686026449427414, -0.2637799739718358, -0.2710912765595895, -0.278312667602408, -0.2856468387966544, -0.2430835101189763, -0.3002112825827981, -0.291036840787564, -0.3010934242336385, -0.2996269423722956, -0.3079113823093502, -0.3190142051880616, -0.3171646241791138, -0.3264319706842446, -0.3256609523023638, -0.3254203480826798, -0.3297207945883726, -0.3338702179371176, -0.3255161111786499, -0.3297054906430329, -0.3320190374549687, -0.3345303492430807, -0.348600450349846, -0.3492647180877163, -0.3383010968445597, -0.3460098834634279, -0.3512600448664851, -0.3405429748173031, -0.3347097254492485, -0.3441402277204731, -0.3520939024729091, -0.3399873560608392, -0.3411163204557929, -0.3508074595008817, -0.3474859383687718, -0.3467809098268235, -0.3370820365748108, -0.3407456019980402, -0.3376043344416798, -0.342207389779931, -0.3256143693692903, -0.3267042417191375, -0.3296015580174286, -0.3305994603328526, -0.3243447868430919, -0.3188290746506444, -0.3177604936774983, -0.3167059627675685, -0.3115098814873727, -0.3069456650063447, -0.2992693242606158, -0.2961765889880424, -0.2918407163446556, -0.291639896156397, -0.2847248978115465, -0.2683267845484726, -0.2763879883453464, -0.2689116807648391, -0.2584608587567418, -0.2548123925663778, -0.2529316199445741, -0.2504698387362384, -0.2401583216459955, -0.2291473987889549, -0.2200333222973238, -0.2262519812065656, -0.1998698317182353, -0.1959604815433168, -0.1978733190326803, -0.1851209375440121, -0.1807132245684367]| 99.6897659301757812|      1.00000000|[273, 0, 0, 17]                                                            | 
       5|[-0.0217728765509416, -0.0337121499600798, -0.0345779653862901, -0.0381151064152265, -0.0594854058434358, -0.066416949950486, -0.0748371801565479, -0.1354896595031096, -0.1011104218968654, -0.1086803596714833, -0.114705064982699, -0.1273927870644504, -0.1413944367450385, -0.1527781551173833, -0.1513878116268879, -0.151850860630285, -0.1636158439115468, -0.1828447652981992, -0.1826329724494155, -0.1911227499471223, -0.1953469480842734, -0.2048165975956298, -0.2150226554062919, -0.2182108868227574, -0.2388549278969108, -0.2295338574653631, -0.2467448426455191, -0.2518640934035301, -0.2579073924327973, -0.2686026449427414, -0.2637799739718358, -0.2710912765595895, -0.278312667602408, -0.2856468387966544, -0.2430835101189763, -0.3002112825827981, -0.291036840787564, -0.3010934242336385, -0.2996269423722956, -0.3079113823093502, -0.3190142051880616, -0.3171646241791138, -0.3264319706842446, -0.3256609523023638, -0.3254203480826798, -0.3297207945883726, -0.3338702179371176, -0.3255161111786499, -0.3297054906430329, -0.3320190374549687, -0.3345303492430807, -0.348600450349846, -0.3492647180877163, -0.3383010968445597, -0.3460098834634279, -0.3512600448664851, -0.3405429748173031, -0.3347097254492485, -0.3441402277204731, -0.3520939024729091, -0.3399873560608392, -0.3411163204557929, -0.3508074595008817, -0.3474859383687718, -0.3467809098268235, -0.3370820365748108, -0.3407456019980402, -0.3376043344416798, -0.342207389779931, -0.3256143693692903, -0.3267042417191375, -0.3296015580174286, -0.3305994603328526, -0.3243447868430919, -0.3188290746506444, -0.3177604936774983, -0.3167059627675685, -0.3115098814873727, -0.3069456650063447, -0.2992693242606158, -0.2961765889880424, -0.2918407163446556, -0.291639896156397, -0.2847248978115465, -0.2683267845484726, -0.2763879883453464, -0.2689116807648391, -0.2584608587567418, -0.2548123925663778, -0.2529316199445741, -0.2504698387362384, -0.2401583216459955, -0.2291473987889549, -0.2200333222973238, -0.2262519812065656, -0.1998698317182353, -0.1959604815433168, -0.1978733190326803, -0.1851209375440121, -0.1807132245684367]| 99.6897659301757812|      0.10000000|[385, 0, 0, 24]                                                            | 
       6|[-0.0221116407136758, -0.0342202962623887, -0.0352554937117584, -0.0389620168220618, -0.0605016984480536, -0.0676026245200555, -0.0761922368074845, -0.1370140981189979, -0.1028042427105362, -0.1105435625665211, -0.1167376501919345, -0.1240054539377117, -0.1437657858841776, -0.1553188864543047, -0.1505396681489637, -0.1547303561299406, -0.1666647211433235, -0.1860630247277583, -0.186020614076757, -0.1946797737722462, -0.199073353874349, -0.2087123855834879, -0.219087825824763, -0.222445438740519, -0.2432588617796241, -0.2341071737786895, -0.2514875409237972, -0.25677617364676, -0.2629888551066402, -0.2738534895815361, -0.2692002005755822, -0.2766808851282877, -0.2840716586017192, -0.2915752117609174, -0.2491812645825297, -0.3064784199426258, -0.2974733596466823, -0.307699325989031, -0.3064022256269786, -0.3148560470633237, -0.3261282528383094, -0.3244480533286521, -0.3338847822643959, -0.3332831458474669, -0.3332119240583959, -0.3376817520633791, -0.3420005587740598, -0.3338158335148825, -0.338174594478556, -0.3406575237211049, -0.3433382170085073, -0.3575777005458857, -0.358411350714369, -0.3476171119018254, -0.3554952800199841, -0.3609148238536544, -0.3503671353037628, -0.3447032683663213, -0.3543031530681589, -0.3624262093198854, -0.3504890453384286, -0.3517873912326727, -0.3616479127083745, -0.3584957730755551, -0.3579601269642199, -0.3484306361428202, -0.3522635839966626, -0.3492916979395927, -0.354064135708457, -0.3376404967971067, -0.3388997506462443, -0.341966450306471, -0.3431337350525081, -0.3370484430620379, -0.3317021123688808, -0.3308029138263477, -0.3299177662783536, -0.3248910664974483, -0.3204962315157108, -0.3129892722692723, -0.3100659184959894, -0.3058994282832156, -0.3058679914568926, -0.2991223746113326, -0.2828936428475491, -0.2911242300063586, -0.2838173039251418, -0.2735358634163349, -0.270056779656584, -0.2683453903967158, -0.2660529906876706, -0.2559108550967182, -0.245069313738968, -0.2361246187466274, -0.24251266288045, -0.2162998948914101, -0.2125599262157822, -0.2146421452044361, -0.2020591452150583, -0.1978208137387735]| 99.6610488891601562|      1.00000000|[417, 0, 0, 26]                                                            | 
       7|[-0.0221116407136758, -0.0342202962623887, -0.0352554937117584, -0.0389620168220618, -0.0605016984480536, -0.0676026245200555, -0.0761922368074845, -0.1370140981189979, -0.1028042427105362, -0.1105435625665211, -0.1167376501919345, -0.1240054539377117, -0.1437657858841776, -0.1553188864543047, -0.1505396681489637, -0.1547303561299406, -0.1666647211433235, -0.1860630247277583, -0.186020614076757, -0.1946797737722462, -0.199073353874349, -0.2087123855834879, -0.219087825824763, -0.222445438740519, -0.2432588617796241, -0.2341071737786895, -0.2514875409237972, -0.25677617364676, -0.2629888551066402, -0.2738534895815361, -0.2692002005755822, -0.2766808851282877, -0.2840716586017192, -0.2915752117609174, -0.2491812645825297, -0.3064784199426258, -0.2974733596466823, -0.307699325989031, -0.3064022256269786, -0.3148560470633237, -0.3261282528383094, -0.3244480533286521, -0.3338847822643959, -0.3332831458474669, -0.3332119240583959, -0.3376817520633791, -0.3420005587740598, -0.3338158335148825, -0.338174594478556, -0.3406575237211049, -0.3433382170085073, -0.3575777005458857, -0.358411350714369, -0.3476171119018254, -0.3554952800199841, -0.3609148238536544, -0.3503671353037628, -0.3447032683663213, -0.3543031530681589, -0.3624262093198854, -0.3504890453384286, -0.3517873912326727, -0.3616479127083745, -0.3584957730755551, -0.3579601269642199, -0.3484306361428202, -0.3522635839966626, -0.3492916979395927, -0.354064135708457, -0.3376404967971067, -0.3388997506462443, -0.341966450306471, -0.3431337350525081, -0.3370484430620379, -0.3317021123688808, -0.3308029138263477, -0.3299177662783536, -0.3248910664974483, -0.3204962315157108, -0.3129892722692723, -0.3100659184959894, -0.3058994282832156, -0.3058679914568926, -0.2991223746113326, -0.2828936428475491, -0.2911242300063586, -0.2838173039251418, -0.2735358634163349, -0.270056779656584, -0.2683453903967158, -0.2660529906876706, -0.2559108550967182, -0.245069313738968, -0.2361246187466274, -0.24251266288045, -0.2162998948914101, -0.2125599262157822, -0.2146421452044361, -0.2020591452150583, -0.1978208137387735]| 99.6610488891601562|      0.10000000|[529, 0, 0, 33]                                                            | 
       8|[-0.0224504048764099, -0.0347284425646976, -0.0359330220372268, -0.0398089272288972, -0.0615179910526713, -0.068788299089625, -0.0775472934584211, -0.1385385367348863, -0.104498063524207, -0.1124067654615589, -0.1187702354011701, -0.1262074208790684, -0.1461371350233167, -0.1578596177912262, -0.153249781450837, -0.1576098516295962, -0.1697135983751002, -0.1892812841573174, -0.1894082557040985, -0.1982367975973701, -0.2027997596644247, -0.2126081735713459, -0.2231529962432341, -0.2266799906582805, -0.2476627956623374, -0.2386804900920159, -0.2562302392020753, -0.2616882538899898, -0.2680703177804831, -0.2791043342203308, -0.2746204271793287, -0.2822704936969859, -0.2898306496010304, -0.2975035847251803, -0.2552790190460831, -0.3127455573024536, -0.3039098785058005, -0.3143052277444236, -0.3131775088816616, -0.3218007118172971, -0.3332423004885572, -0.3317314824781903, -0.3413375938445472, -0.34090533939257, -0.3410035000341121, -0.3456427095383857, -0.350130899611002, -0.3421155558511152, -0.3466436983140792, -0.3501137903701723, -0.3521460847739339, -0.3665549507419253, -0.3675579833410217, -0.3569331269590912, -0.3649806765765403, -0.3705696028408236, -0.3601912957902226, -0.354696811283394, -0.3644660784158447, -0.3727585161668617, -0.3609907346160179, -0.3624584620095525, -0.3724883659158673, -0.3695056077823384, -0.3691393441016162, -0.3597792357108295, -0.363781565995285, -0.3609790614375056, -0.3659208816369829, -0.3496666242249231, -0.3510952595733512, -0.3543313425955135, -0.3556680097721636, -0.3497520992809838, -0.3445751500871173, -0.3438453339751972, -0.3431295697891387, -0.3382722515075238, -0.3075031444549612, -0.3267092202779288, -0.3239552480039364, -0.3199581402217756, -0.3200960867573883, -0.3135198514111187, -0.2974605011466257, -0.3058604716673708, -0.2987229270854444, -0.288610868075928, -0.2853011667467901, -0.2837591608488576, -0.2816361426391029, -0.2716633885474409, -0.2609912286889812, -0.2522159151959311, -0.2587733445543344, -0.232729958064585, -0.2291593708882475, -0.2314109713761919, -0.2189973528861046, -0.2149284029091102]| 99.6363067626953125|      1.00000000|[577, 0, 0, 36]                                                            | 
       9|[-0.0258380465037514, -0.0398099052385405, -0.0427083052919098, -0.0482780310644203, -0.0716809164003571, -0.0806450440868284, -0.0910978599677871, -0.1537829228937699, -0.1214362711952532, -0.1310387937134453, -0.1390960860965417, -0.148227090292635, -0.1698506250177234, -0.1832669302291182, -0.180350914469569, -0.1864048052291684, -0.1525671264872733, -0.2214638770559247, -0.223284671046191, -0.2338070353829479, -0.2400638161681974, -0.2515660525186039, -0.2638046976339774, -0.2690255107672188, -0.2917021344894706, -0.2844136513626343, -0.3036572191908887, -0.3108090563222885, -0.318884942656267, -0.3316127778143096, -0.3288226932167928, -0.338166578452645, -0.3474205568001748, -0.35678731436781, -0.3162565636816174, -0.3754169281067634, -0.368275064303015, -0.380364243435704, -0.3809303395658467, -0.3912473574943868, -0.4043827760597128, -0.4045657730422506, -0.4158657068520927, -0.4171272748436007, -0.4189192579286281, -0.4252522824258064, -0.4314343023924885, -0.4251127736255064, -0.4313347385319556, -0.436498653031534, -0.4402247624282003, -0.456327450839677, -0.4590243058822586, -0.4500932719438133, -0.4598346365541671, -0.4671173927125163, -0.4584329006548199, -0.4546322385914766, -0.4660953281674126, -0.4760815809113342, -0.4660076218039756, -0.4691691641904149, -0.4808928979907956, -0.4796039548501713, -0.4809315136129344, -0.473265227665633, -0.4789613803935737, -0.477852690828699, -0.4844883409222421, -0.469927898503087, -0.4730503488444198, -0.477980261760648, -0.4810107513807833, -0.4767886558825082, -0.4733055216815463, -0.4742695354636921, -0.4752476011716995, -0.4720840978829892, -0.4430088058233313, -0.4639086966392035, -0.4628485393581158, -0.4605452614700208, -0.4623770378996994, -0.4574946175463345, -0.4431290822747461, -0.4532228826895571, -0.4477791531005353, -0.4393609090839236, -0.4377450376488516, -0.4378968616449849, -0.4374676584281348, -0.4291887193293775, -0.4202103744638225, -0.413128875963677, -0.4213801501173075, -0.3989534840655615, -0.3951538064370298, -0.3990992219178789, -0.3883794333218574, -0.3860042983377677]| 99.4015502929687500|     10.00000000|[689, 0, 0, 43]                                                            | 
