k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|328350.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | k=2
       1|[1.0086208591237664, 1.0086715891957283, 1.0084456112235785, 1.0079820258542895, 1.0073175448924303, 1.0064865471795201, 1.0055211363360286, 0.9967650203034282, 1.0033044663723558, 1.0021065641194582, 1.0008810794097371, 0.9996496138046496, 0.9984318430069834, 0.9972455743700266, 0.996106805279851, 0.9950297810137272, 0.9940270534716547, 0.9931095391511917, 0.9922865745611489, 0.9915659790858626, 0.990954109467566, 0.9904559189453721, 0.990075015462935, 0.9898137208074331, 0.9896731236949563, 0.9896531477570534, 0.9897525981068611, 0.9899692265316844, 0.9902997892349958, 0.9907401017844677, 0.9912851005792618, 0.9919288968667388, 0.992664841003716, 0.9934855732135475, 0.9936048616655171, 0.9953487850725651, 0.996373537927866, 0.9974477419164032, 0.9985613772878423, 0.9997040656453464, 1.0008651292300783, 1.0020336480811238, 1.0031985184177756, 1.004348510876298, 1.0054723280481994, 1.0065586627461016, 1.007596257608384, 1.0085739605128765, 1.0094807827845216, 1.0103059615939856, 1.0110390121117234, 1.011669791303575, 1.0121885500848293, 1.0125859957188368, 1.0128533467650414, 1.0129823964089155, 1.012965565547347, 1.0127959614619613, 1.0124674374237657, 1.0119746504351497, 1.0113131189718843, 1.010479279793799, 1.0094705503433943, 1.0082853818312287, 1.006923318374902, 1.0053850589320064, 1.0036725103855133, 1.001788848079741, 0.9997385736787692, 0.9975275730248541, 0.9951631748117507, 0.992654207162559, 0.9900110578164458, 0.9872457310557365, 0.984371904283762, 0.9814049880951643, 0.9783621858805418, 0.975262550637126, 0.9721270333975554, 0.968978563323617, 0.9658420830965042, 0.962744627147913, 0.9597153514623642, 0.9567856229841709, 0.9539890624582767, 0.9513616040349007, 0.9489415511488914, 0.9467696398496628, 0.9448890835046768, 0.9433456622064114, 0.9421877413988113, 1.9714004397392273, 0.9412352479994297, 0.9415509663522243, 0.9424728713929653, 0.9440632201731205, 0.9463872388005257, 0.9495131447911263, 0.9535122327506542, 0.958458922803402]|328183.6875000000000000|      1.11111111|[15, 2, 0, 1]                                                              | 
       2|[0.8950198227539659, 1.074269860982895, 1.1165599208325148, 0.961120649240911, 0.992688562721014, 0.9519148552790284, 1.0094518987461925, 0.814341145567596, 1.032738016685471, 0.9950980618596077, 1.3003632759791799, 0.8505391177604906, 1.0578898491803557, 1.2921386007219553, 0.7800113279372454, 1.0555117912590504, 1.2649419656954706, 0.8052838146686554, 1.1597687867470086, 1.0140314484015107, 0.7255537295714021, 0.8128673667088151, 1.1837311023846269, 0.8338797893375158, 1.0805277237668633, 1.196982003748417, 1.3278319910168648, 0.7642715154215693, 0.9756913110613823, 0.5586120896041393, 0.8883440271019936, 1.1080392291769385, 0.5444461973384023, 0.9910354232415557, 0.8063034792430699, 0.8515262193977833, 0.8470514453947544, 1.027647459646687, 1.1140597934136167, 1.1427561667806003, 0.7448712265468203, 1.0641263397410512, 0.9003230175003409, 0.5950466934591532, 1.0684860604815185, 0.3085871995426714, 0.8375570955686271, 0.9855273477733135, 1.1941430056467652, 1.3705381359905005, 0.9132110932841897, 1.1626889472827315, 1.1849579028785229, 0.8298302870243788, 1.0705989487469196, 1.372081397101283, 0.6863498743623495, 0.9447835525497794, 1.0707942890003324, 1.1039619697257876, 0.9726394759491086, 0.9872377002611756, 0.9027583058923483, 0.9135156208649278, 0.7532826964743435, 1.349589484743774, 1.0067216220777482, 1.1172354752197862, 0.9333359446609393, 1.0504445990081877, 1.0892096483148634, 1.3005073992535472, 1.0847929706797004, 1.0740314424037933, 0.9760423256084323, 1.2888434510678053, 0.927660571411252, 0.8132986854761839, 1.337594760581851, 1.2437150571495295, 1.172061249613762, 1.360423419624567, 1.3516765981912613, 0.8058034367859364, 1.0967973656952381, 0.2544990852475166, 0.9836153164505959, 0.6873901039361954, 1.4186266213655472, 0.9679036512970924, 1.0267384722828865, 2.027484565973282, 0.9384441648144275, 1.2910054586827755, 0.870865922421217, 1.3326264955103397, 1.0086260847747326, 0.6947905793786049, 1.1482173763215542, 0.7544755712151527]|327072.9687500000000000|      1.23456790|[29, 4, 0, 2]                                                              | 
       3|[0.8420627163723111, 1.01432628557086, 1.0500756856054068, 0.8885148977860808, 0.9143551401793957, 0.8682236829772592, 0.9207502854987979, 0.7209550989791751, 0.934973502298817, 0.8932422325015068, 1.1946856564027257, 0.7412928414414637, 0.9453127013985068, 1.1764542181044817, 0.6693975646048784, 0.9342324323952198, 1.1411517686210573, 0.6791601628065109, 1.0314799365587533, 0.8837375128641725, 0.5934075498953462, 0.6790153468027711, 1.048314088024199, 0.6970338579267263, 0.9423849293962121, 1.0576711371541023, 1.1874793097376823, 0.6230013845488429, 0.833626888692379, 0.4158759079873562, 0.7450586035847664, 0.9643276175484061, 0.4004325242713094, 0.84684535022825, 0.6558677782304585, 0.7073688693344593, 0.7031085230410099, 0.8840551765169948, 0.9709579522022977, 1.0002884295827243, 0.6031854128814302, 0.9233746798709035, 0.7606623312458396, 0.4566386435180902, 0.9314972567372024, 0.1731893480755389, 0.703927073162049, 0.8538472913205624, 1.0646003121510148, 1.2433254923671484, 0.7885264465585351, 1.040735430084169, 1.065943744033575, 0.7139686997979879, 0.9581079669296741, 1.2631837110966444, 0.5812726076692343, 0.8437580158933997, 0.9740556748583913, 1.0117491139099002, 0.8851944701746106, 0.9048055345192552, 0.8255864810198545, 0.8418537015095353, 0.6873818715102971, 1.2897020606324077, 0.9531005087774247, 1.0701336273923516, 0.8930057917023078, 1.0171374154742807, 1.0631749243475497, 1.281992151401937, 1.0740410424768925, 1.0712827681563795, 0.9815321587957442, 1.302801568992436, 0.9503104444593191, 0.8448566179722548, 1.3782689925283194, 1.29370485432446, 1.231555949896574, 1.4296014420688152, 1.430704414844513, 0.8948345743119717, 1.1959712766110897, 0.3639400824904442, 1.1034314036369324, 0.8176718205213547, 1.5594458729028702, 1.1193124130368233, 1.1887676045298576, 2.2001424580812454, 1.1217154387850314, 1.4848496578633785, 1.0752160213887691, 1.547387633472681, 1.2336740009486675, 0.9299701526761055, 1.393341165035963, 1.0093222633004189]|326692.2500000000000000|      1.37174211|[43, 6, 0, 3]                                                              | 
       4|[0.7832214841619134, 0.9477223120629787, 0.9762043114751577, 0.8078418364748359, 0.8769655004143715, 0.7752334857359529, 0.8221929324790835, 0.6171928225085139, 0.8263462649192661, 0.7800690904259682, 1.0772660782677121, 0.619908086664509, 0.8202269750181586, 1.0479160118848085, 0.5376407820731401, 0.799477580934763, 1.0036070919595659, 0.539022758603096, 0.888936769682914, 0.7389664733782411, 0.4465784514322877, 0.5302908653393388, 0.8978507304564118, 0.5449828114360571, 0.7888929257169366, 0.9028812870383263, 1.0315318778157234, 0.4660345641896129, 0.6757775321602821, 0.2572801373898983, 0.5858525708317757, 0.8046480407938361, 0.2404173286631703, 0.6866341596469283, 0.4956024517305195, 0.5471940226852894, 0.5431719310581684, 0.7245081902947277, 0.8119559014448896, 0.8419909355288837, 0.4457567310309969, 0.7669839384034276, 0.6054837992414832, 0.3028519246727228, 0.7792874681763351, 0.0227472842670977, 0.5554492655210197, 0.7075361125171185, 0.9206639910116792, 1.101978113874793, 0.6499879518523812, 0.9052315121516585, 0.9337057881057262, 0.5852336045354605, 0.833117987960577, 1.1421862822026014, 0.4645200874656439, 0.7315074121579528, 0.8665683241561055, 0.9092903835698962, 0.7880333485081792, 0.8132142359390855, 0.709268232807517, 0.7622293466702104, 0.6141587276943028, 1.2231604782864451, 0.8935214902739972, 1.0177982384338975, 0.8481945093953982, 0.980129431700334, 1.0342474528588355, 1.2614196529611945, 1.0620944555848837, 1.0682286855299026, 0.987631973810494, 1.3183105885982513, 0.9754769708961248, 0.8799209874123335, 1.4234625864773989, 1.3492490779608488, 1.2976611740887165, 1.506465908139944, 1.5185131058096886, 0.9937580563127995, 1.306164514273405, 0.4855411946773529, 1.2365603893995285, 0.9624292999505997, 1.7159117013216019, 1.2875443771481514, 1.368799977004528, 2.3919845670461655, 1.3253501926083118, 1.7002321146428585, 1.302271705120802, 1.7860111333429813, 1.483727227896452, 1.1912807896733284, 1.6657009236514568, 1.292485274374485]|325891.8750000000000000|      1.52415790|[57, 8, 0, 4]                                                              | 
       5|[0.7702348548918962, 0.9327896311879158, 0.6824193950742483, 0.5387977352365851, 0.7988504394888878, 0.354925730265677, 0.7279487727209926, 0.6622811732813716, 1.219927238067612, 1.3182656541466713, 1.2729975244146772, 0.7138047885964625, 1.026191227370873, 1.271031590178609, 0.5801185201853514, 0.6180880405008793, 0.9111596397124231, 0.3850177675485611, 0.951291945297271, 1.1750018680468202, 0.5926545346155763, 0.6310693556442857, 0.637349464930594, 0.3895606305450201, 0.9070019805803895, 0.3423853740096092, 1.1723219081759453, 0.3000079719349742, 1.284316934645176, 0.3745524697005749, -0.1961004659533501, 0.5004704585298896, 0.1968328515067697, 0.2153030699118972, 0.3039953936822712, 0.7285797782242298, 0.3688081093132496, 0.1169748546089977, 0.8616233306238428, 0.7087984559184406, 0.5004626488662325, 1.3790897252038121, 0.6171778226271272, 0.3723895419389009, 1.3748601186089218, 0.2045361907221377, 0.695759046357125, 0.4534488432109356, 1.0150255048647523, 1.1353331040591002, 0.992230043746531, 1.30055848415941, 0.9850746281445026, 1.1875524874776602, 1.721373524516821, 1.1709443982690573, 0.5282803606241941, 0.9420547103509307, 0.8477448346093297, 1.1026853127405047, 0.8336195694282651, 1.5511761838570237, 0.3859447445720434, 0.7861240478232503, 0.5671770391054451, 1.4772564200684428, 0.8412907521706074, 0.8703270787373185, 1.0475713458145037, 1.30880282423459, 1.2452373751439154, 1.2115824250504375, 0.7216093298047781, 0.5655964252073318, 0.8457296164706349, 1.0036450922489166, 0.3617019560188055, 0.7631767820566893, 1.628479527309537, 1.217590956017375, 1.4859717823565006, 1.2660729102790356, 1.2628223225474358, 1.1589181162416935, 1.6344155184924603, 0.056349515914917, 1.00706747174263, 1.0104228891432285, 1.8978002816438675, 1.0085537806153297, 1.7283369824290276, 2.318546898663044, 1.8009296630043536, 1.549239408224821, 1.309853601269424, 1.8136985376477242, 1.8361239843070507, 1.5197528973221779, 2.134605746716261, 1.5360051319003105]|323932.7500000000000000|      1.69350878|[71, 10, 0, 5]                                                             | 
       6|[0.6975913587957621, 0.8505625054240227, 0.5912201758474112, 0.7126802792772651, 0.6913971826434135, 0.240123019553721, 0.6062730280682445, 0.5341796008870006, 1.085819544037804, 1.1785457208752632, 1.128035094414372, 0.563947073824238, 0.8717644142452627, 1.1123424489051104, 0.4174558352679014, 0.4517240263521671, 0.7413514158688486, 0.2120086401700974, 0.7753127333708107, 0.9962721997871995, 0.4113840544596314, 0.4474589014425874, 0.4515922451391816, 0.2018432971090078, 0.7175056869164109, 0.1512868031859398, 0.9797942265868187, 0.1062217829748988, 1.0894411876797676, 0.178755234926939, -0.3926511183381081, 0.3033351888880134, -0.0007167747244239, 0.0175114786252379, 0.1061369706876576, 0.5308330692350864, 0.1713555343449116, -0.0799967257771641, 0.665324522764422, 0.5133694586402271, 0.3061062520719133, 1.1860147388651967, 0.4255993897095323, 0.1825294066220522, 1.186946805100888, 0.0188052565790713, 0.5124531122855842, 0.2728177569806576, 0.8373263413086534, 0.9608301799744368, 0.8211948582902551, 1.1332697039470077, 0.8218178935348988, 1.0286202784627676, 1.5670649074018002, 1.2156494539231062, 0.3841414581984282, 0.803473717533052, 0.7150444062426686, 0.9761930508539081, 0.7136675687506795, 1.438100510276854, 0.2800849061459303, 0.6878223763778806, 0.4767781016416848, 1.3951063184067607, 0.7677364076953381, 0.8057154873386025, 0.9922487769508734, 1.2631139603909105, 1.2095244475640357, 1.18618428055197, 0.706860457547009, 0.5618259529583156, 0.8532602516934276, 1.0227920301258564, 0.392771739512682, 0.8064661268144846, 1.6842740830034018, 1.286164065822959, 1.5675831697881222, 1.3609673120081425, 1.371228113770485, 1.2810458727180958, 1.7704565487802029, 0.2064743340015411, 1.171424239873886, 1.1891358084976673, 2.09096796810627, 1.2162475511431694, 1.9505991712212563, 2.555388994514942, 2.052330580772832, 1.8151436559855938, 1.590169238857925, 2.1082954481244087, 2.144831668585539, 1.8423586264252663, 2.470852356404066, 1.8855890855193138]|322263.7812500000000000|      1.88167642|[85, 12, 0, 6]                                                             | 
       7|[0.7152432110160589, 0.8682630304247141, 0.6083960402756929, 0.7288409555330873, 0.7061297930777073, 0.2530872998759151, 0.6171964192762971, 0.5428524762392044, 1.0920905556995422, 1.1823172823060304, 1.1292589841759764, 0.5626201709383167, 0.8679245612584054, 1.118328225798905, 0.4088475396856666, 0.4409226290881634, 0.7285197949968278, 0.1973318681120872, 0.7589947101660073, 0.9785324083641171, 0.3924544444307685, 0.4275809107348323, 0.431013940833509, 0.1808166354894638, 0.6962839243933558, 0.1301220171153545, 0.9589349664747715, 0.0859108632430434, 1.0699135828763247, 0.1602361313998699, -0.409948168322444, 0.2874604193493724, -0.0149839576333761, 0.0050208326429129, 0.0955741279758513, 0.5223304163664579, 0.1650255145505071, -0.0840625499840826, 0.6635927649913356, 0.5140192638791632, 0.3091621889616363, 1.1914780223742127, 0.4334475826472044, 0.1927162492647767, 1.1994021735154092, 0.0334352483041584, 0.5291402596049011, 0.2914213705807924, 0.8576829759404063, 0.9827542379498482, 0.8444793084636331, 1.157686942256987, 0.8471207208931446, 1.0545430090278387, 1.5933246091008186, 1.2419473137706518, 0.4101642724126577, 0.7779815243557096, 0.7395282117649913, 0.9993927339091897, 0.7352298712357879, 1.4576671747490764, 0.2972949333488941, 0.7023144196718931, 0.4881929815746844, 1.4030896686017513, 0.7719414483290166, 0.8058059278919245, 0.9879018428036943, 1.25402355263941, 1.1954044275917113, 1.166771880351007, 0.6819198289886117, 0.5311518269591033, 0.8166817417368293, 0.9801765531301498, 0.3440290801227093, 0.751552602276206, 1.6231968570500612, 1.2189856078475714, 1.4944257773458958, 1.2820178382098675, 1.2867427840828896, 1.1913552172482014, 1.6759704984724522, 0.1076874062418938, 1.0689208880066872, 1.083595883101225, 1.983172282576561, 1.1070836409926414, 3.778844214975834, 2.446607328951359, 1.9455425192136317, 1.7117232419550419, 1.4916277108713984, 2.0162877216935158, 2.0611629746854305, 1.7689912244677544, 2.4099124148488045, 1.83937369287014]|321571.5937500000000000|      2.09075158|[99, 14, 0, 7]                                                             | 
       8|[1.2809205558151007, 1.3788321856409311, 0.9770719278603792, 0.6716122971847653, 0.6650541126728058, 0.1610549865290523, 0.8846452916041017, 1.0017179399728775, 1.0031888198573142, 0.3755717531312257, 0.4112259088433348, 0.1644434412592091, 1.3965927264653146, 1.172853414900601, 0.5669041117653251, 0.5129976756870747, 0.783183594699949, 0.717695377767086, 0.6648846161551774, 1.0566076831892133, 0.9287517061457038, 0.3298970488831401, 0.0524702360853553, 0.4444577842950821, -0.1999383689835668, 0.3038422428071499, 1.5090206898748875, -0.3154796594753861, 1.4399635661393404, 0.0011027567088604, -0.1816745083779097, 0.5597023097798228, 0.4553850535303354, 0.3406702633947134, -0.6685484177432954, 0.7280748914927244, -0.0483338562771678, -0.3121320193167776, 1.0014116856036708, -0.0678421128832269, -0.0561802790616639, 0.8660934949293733, 0.95130286924541, 0.8165280306711793, 0.7102662227116525, -0.5869362126104534, 0.7062053787522018, 0.3775938171893358, 1.2233538953587413, 0.550292618572712, 0.2230087975040078, 1.3080992186442018, 0.5877570100128651, 1.5841421987861395, 0.9732192829251289, 1.7331891264766455, 0.2512506451457739, 0.8557641925290227, 0.0535357920452952, 0.9036373430863023, 0.6346639906987548, 1.7062282292172313, 0.7994107194244862, 1.6128083299845457, 0.543618640396744, 0.7657830379903316, 0.9365230600815266, 0.9760454211427714, 0.269505655975081, 0.9424864954780787, 1.3677469217218459, 0.8162361001595855, 1.2073967019096017, 0.5513182426802814, 0.9920947095379233, 1.0386946275830269, 0.7586731426417828, 0.7389291254803538, 1.1945312190800905, 1.2013614270836115, 1.3669672794640064, 1.4284038059413433, 1.0528625175356865, 1.5667492933571339, 1.3949779905378819, 0.2538776621222496, 0.735582210123539, 0.7544365040957928, 1.9475548192858696, 0.952430285513401, 4.312767960131168, 1.2293557897210121, 2.1358333725947887, 1.0970766879618168, 1.2955554304644465, 2.075349099934101, 2.972652819007635, 2.40942095965147, 2.225472830235958, 1.6602937579154968]|320821.9062500000000000|      2.32305731|[113, 16, 0, 8]                                                            | 
       9|[1.3027129676192999, 1.4006846863776445, 0.998276699334383, 0.6915637506172061, 0.6832425221800804, 0.1770602716132998, 0.8981309607625008, 1.0124251935631037, 1.0109308098908514, 0.3802280018571764, 0.4127368839108385, 0.162805289553944, 1.3918521669693291, 1.1651027873158455, 0.556276585906744, 0.4996626162901521, 0.7673420864157379, 0.6995759066194296, 0.6447389074601233, 1.034706705249846, 0.9053818164393306, 0.3053563190624118, 0.0270649204030633, 0.4184989407658577, -0.2261380767449737, 0.2777128759771585, 1.483268516138196, -0.3405548697337508, 1.415855411440134, -0.0217603351920843, -0.20302889123559, 0.5401038276031613, 0.4377712476998568, 0.3252497129142284, -0.6815889650024474, 0.7175777889788151, -0.0561486957594752, -0.3171515555586666, 0.9992737128632143, -0.0670398841903079, -0.0524075173889287, 0.8728382894769311, 0.9609919963404536, 0.8291043806821108, 0.7256432208232582, -0.5688744927756488, 0.7268067966215312, 0.4005612432956696, 1.2484855437651277, 0.5773593559861183, 0.2517550336197019, 1.3382439585402608, 0.6189950685948133, 1.616145571693778, 1.0056386701762676, 1.7656556200236082, 0.2833775784820318, 0.8871491337195039, 0.0837627137079835, 0.9322789283469319, 0.6612841179594398, 1.730384605936706, 0.820657666772604, 1.6306997425854206, 0.5577110857702792, 0.7756390264257789, 0.9417144686449319, 0.9761570761547773, 0.2641390707576647, 0.9312637697439641, 1.3503147982992232, 0.7922701733186841, 1.1088247606530786, 0.5134489494375885, 0.9469360550865531, 0.9860829263925552, 0.6984970197081566, 0.671134646050632, 1.1191272307187319, 1.1184250582009554, 1.2766495011746883, 1.3309353180229664, 0.9485596343874931, 1.6258476041257381, 1.2783285416662693, 0.1319184824824333, 0.6090348586440086, 0.624140303581953, 1.8144737258553505, 0.8176600262522697, 6.569860674440861, 1.0950574353337288, 2.0039962579030544, 0.9693971611559391, 1.173899213783443, 1.9617593064904213, 2.8693581260740757, 2.3188439160585403, 2.150238335132599, 1.6032377146184444]|318908.6875000000000000|      2.58117479|[127, 18, 0, 9]                                                            | 
