k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[3.377352714538574, -0.8260696172714234]                                        | 86.9848480224609375|      1.01010101|[4, 1, 0, 1]                                                               | 
       2|[2.3731977939605713, -0.7166311904788017]                                       | 20.8088684082031250|      1.02030405|[7, 2, 0, 2]                                                               | 
       3|[1.5861032009124756, -1.365863399207592]                                        |  5.9469866752624512|      1.03061015|[10, 3, 0, 3]                                                              | 
       4|[0.5901382565498352, -1.6308372482657432]                                       |  4.4972290992736816|      1.04102036|[13, 4, 0, 4]                                                              | 
       5|[1.1811350584030151, -0.7738389834761619]                                       |  2.5334336757659912|      1.05153571|[16, 5, 0, 5]                                                              | 
       6|[1.1811350584030151, -0.7738389834761619]                                       |  2.5334336757659912|      1.04102036|[22, 7, 0, 7]                                                              | 
       7|[1.1811350584030151, -0.7738389834761619]                                       |  2.5334336757659912|      1.03061015|[28, 9, 0, 9]                                                              | 
       8|[0.1515719890594482, -0.7273940607905387]                                       |  0.7758808732032776|      1.04102036|[31, 10, 0, 10]                                                            | 
       9|[0.1515719890594482, -0.7273940607905387]                                       |  0.7758808732032776|      1.03061015|[37, 12, 0, 12]                                                            | 
      10|[0.1515719890594482, -0.7273940607905387]                                       |  0.7758808732032776|      1.02030405|[43, 14, 0, 14]                                                            | 
      11|[0.1515719890594482, -0.7273940607905387]                                       |  0.7758808732032776|      1.01010101|[49, 16, 0, 16]                                                            | 
      12|[0.1515719890594482, -0.7273940607905387]                                       |  0.7758808732032776|      1.00000000|[55, 18, 0, 18]                                                            | 
      13|[0.1515719890594482, -0.7273940607905387]                                       |  0.7758808732032776|      0.99000000|[61, 20, 0, 20]                                                            | 
