k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2, 0.21, 0.22, 0.23, 0.24, 0.25, 0.26, 0.27, 0.28, 0.29, 0.3, 0.31, 0.32, 0.33, 0.34, 0.35, 0.36, 0.37, 0.38, 0.39, 0.4, 0.41, 0.42, 0.43, 0.44, 0.45, 0.46, 0.47, 0.48, 0.49, 0.5, 0.51, 0.52, 0.53, 0.54, 0.55, 0.56, 0.57, 0.58, 0.59, 0.6, 0.61, 0.62, 0.63, 0.64, 0.65, 0.66, 0.67, 0.68, 0.69, 0.7, 0.71, 0.72, 0.73, 0.74, 0.75, 0.76, 0.77, 0.78, 0.79, 0.8, 0.81, 0.82, 0.83, 0.84, 0.85, 0.86, 0.87, 0.88, 0.89, 0.9, 0.91, 0.92, 0.93, 0.94, 0.95, 0.96, 0.97, 0.98, 0.99, 1.0]|-56.4814000545650217|      1.00000000|[0, 0, 0, 0]                                                               | k=0
       1|[0.0095020515052602, 0.0192530772578903, 0.0290041030105203, 0.0387551288213581, 0.0485061545157805, 0.0582571803266183, 0.0680082060210407, 0.0709227844327688, 0.0875102576427162, 0.0972612834535539, 0.107012309031561, 0.1167633348423988, 0.1265143606532365, 0.1362653864640743, 0.1460164120420814, 0.1557674378529191, 0.1655184636637569, 0.1752694894745946, 0.1850205152854323, 0.1947715410962701, 0.2045225669071078, 0.2142735927179456, 0.224024618063122, 0.2337756438739598, 0.2435266696847975, 0.2532776954956353, 0.263028721306473, 0.2727797471173108, 0.2825307729281485, 0.2922817987389862, 0.3020328240841627, 0.3117838498950005, 0.3215348757058382, 0.331285901516676, 0.3482789917849004, 0.3507879531383514, 0.3605389789491892, 0.3702900047600269, 0.3800410305708647, 0.3897920563817024, 0.3995430821925401, 0.4092941080033779, 0.4190451338142157, 0.4287961596250534, 0.4385471854358912, 0.4482982112467289, 0.458049236126244, 0.4678002628684044, 0.4775512877479196, 0.4873023144900799, 0.4970533393695951, 0.5068043661117554, 0.5165553909912706, 0.5263064177334309, 0.5360574426129461, 0.5458084693551064, 0.5555594942346215, 0.5653105209767818, 0.575061545856297, 0.5848125725984573, 0.5945635974779725, 0.6043146223574877, 0.6140656481683254, 0.6238166758418083, 0.6335676997900009, 0.6433187256008387, 0.6530697514116764, 0.6628207790851594, 0.6725718030333518, 0.6823228288441896, 0.6920738546550274, 0.7018248823285103, 0.7115759062767029, 0.7213269320875406, 0.7310779578983784, 0.7408289855718613, 0.7505800095200539, 0.7603310353308916, 0.7700820611417294, 0.7798330869525671, 0.7895841127634049, 0.7993351385742425, 0.8090861643850803, 0.818837190195918, 1.8393697500228883, 0.8383392418175936, 0.8480902676284313, 0.8578412934392691, 0.8675923192501068, 0.8773433450609446, 0.8870943708717823, 0.8968453966826201, 0.9065964224934578, 0.9163474483042955, 0.9260984722524881, 0.9358494980633258, 0.9456005257368088, 0.9553515515476465, 0.9651025754958391, 0.9748536013066769]|-86.1465225219726562|      1.11111111|[17, 0, 0, 1]                                                              | 
       2|[-0.0655615794332698, 0.0343382351961918, -0.1559604942146689, -0.0191231978032738, -0.2589324574684724, 0.0761963474238291, 0.2491560794226825, -0.0374231190234423, -0.0700082037039101, -0.1496530436910689, 0.0853150169271976, 0.0265683123189956, 0.2089651304949075, 0.225094426991418, 0.4192914893850684, 0.2410321578755975, 0.0825739661976695, 0.0817632277682424, 0.1689957227185369, -0.2084982862696051, 0.236635124348104, 0.3375264762714505, 0.2390741780586541, 0.3394292800314724, 0.3584095039404929, -0.1558104392699897, 0.0643721772171557, 0.3651678331382573, 0.3935634302534163, -0.0373079258017242, 0.2938444972410798, -0.1289225819706917, 0.1564631051570177, 0.4059560896456242, 0.6089101060293615, 0.2195243543386459, 0.5186657354980707, 0.4913232783973217, 0.4227914338558912, 0.741205008327961, 0.4425977709144354, 0.0638966058194637, 0.7458644940704107, 0.2190071219205856, 0.6446840975433588, 0.7810845626890659, 0.7435140593722462, 0.5725637930631637, 0.611212393976748, 0.9949565045535564, 0.4041035615280271, 0.7240476649999619, 0.578848663456738, 0.8785640569031239, 0.7244749965146184, 0.1160452118515969, 0.2612556001916527, 0.6201934348046779, 0.5547876499220729, 1.0356983155012132, 0.5083031073585152, 0.5060993701964617, 0.5641586232185364, 0.5656131500005722, 0.3600159376859665, 0.4497962871938944, 0.6991588269174099, 0.7523700001835824, 0.7127339789271354, 0.4525530029088258, 0.5377019225060939, 0.5750494089722633, 0.5753070372343063, 0.5545837727934122, 1.1941131241619587, 0.8062139025330544, 0.780883653536439, 0.8542599535733462, 0.3391214953362942, 1.0884519305080176, 1.3173243528604508, 0.8794019908457994, 0.9566753859817981, 0.7874176187068224, 1.527673101425171, 0.5191864991933107, 1.1799131397902967, 0.5888731285184622, 0.5393037343025208, 0.9988857243210078, 0.8066176025569439, 0.6768599116057158, 0.9557433466613293, 1.1921833796054124, 0.9772160861641168, 1.331631283313036, 1.0111452054977417, 0.6351684532314539, 1.0947399509698152, 1.1073663048446178]|-143.5877075195312500|      1.23456790|[33, 0, 0, 2]                                                              | 
       3|[-0.0658736162097193, 0.0338701800024137, -0.1565845677675679, -0.0199032898317091, -0.2598685678560287, 0.0751042186189443, 0.2479079323168844, -0.038827284546569, -0.0715683877607808, -0.1513692460488528, 0.0834427961520851, 0.0245400731265545, 0.2067808728851378, 0.2227541511971504, 0.4171023441944272, 0.238379845013842, 0.0797656351514161, 0.0787988780718297, 0.1658753546047956, -0.211774672800675, 0.2332027196325362, 0.3339380531385541, 0.2353297365084291, 0.3355288200639188, 0.3543530255556107, -0.1600229360722005, 0.0600036619976163, 0.3606432995013893, 0.388882878664881, -0.0421444958075881, 0.2888519088178873, -0.1340711892768741, 0.1511584794335067, 0.4004954459704459, 0.6031667603179812, 0.2137516733631492, 0.5127370361052453, 0.485238561052829, 0.4165506976284087, 0.7348082536831498, 0.4360449978522956, 0.0571878152713179, 1.9770105912536382, 0.2119862940721214, 0.6375072512775659, 0.7737516975402832, 0.7360251762717962, 0.5649188915453851, 0.6034114740416407, 0.9869995657354593, 0.3959906047582626, 0.7157786902785301, 0.5704236698523164, 0.8699830444157124, 0.7157379660755396, 0.1071521634608508, 0.2522065329179167, 0.610988348647952, 0.5454265467450022, 1.02618119250983, 0.4986299673467874, 0.4962702103704214, 0.5541734463721514, 0.5554719533398748, 0.3497187230736017, 0.4393430546298623, 0.688549575470388, 0.7416047307848931, 0.7018126915767788, 0.4414756957441568, 0.5264685983210802, 0.5636600649729371, 0.5637616752833128, 0.5428823938220739, 1.182255725376308, 0.7942004857957363, 0.7687142188474536, 0.8419345000013709, 0.3266400228813291, 1.0758144401013852, 1.3045308435708285, 0.8664524645358324, 0.9435698398575186, 0.7741560546308756, 1.5142555203288794, 0.5056128982827067, 1.1661835209280254, 0.574987490773201, 0.5252620786055923, 0.9846880497410894, 0.7922639100253582, 0.6623502001911402, 0.9410776163637639, 1.1773616313561797, 0.9622383199632167, 1.3164974972978234, 0.9958554024621844, 0.6197226322442293, 1.0791381110996008, 1.0916084460914135]|-171.4526062011718750|      1.37174211|[49, 0, 0, 3]                                                              | 
       4|[-0.066180741423741, 0.0334094921813812, -0.1571988181956112, -0.0206711028376594, -0.2561304839793593, 0.0740292803989723, 0.2466794314607978, -0.0402093479223549, -0.0731040137726814, -0.1530584345804527, 0.0816000448679551, 0.0225437594391406, 0.2046309964451939, 0.2204507122375071, 0.4146453424822539, 0.2357692807819694, 0.0770015083998442, 0.0758811888005584, 0.1628041025809944, -0.2149994873441756, 0.2298243425693363, 0.3304061135556549, 0.2316442339401692, 0.3316897549759596, 0.3503603981807828, -0.1641691259667277, 0.0557039091177285, 0.3561899841018021, 0.3842760007455945, -0.0469049367122352, 0.2839379053935409, -0.1391387552209198, 0.1459373509697616, 0.3951207545213402, 0.5976385068148374, 0.2080698568746447, 0.5069016575627029, 1.8539947360940277, 0.4104081935808063, 0.7285121866501868, 0.4295953687652945, 0.0505846231989562, 1.9702538371272384, 0.205075976960361, 0.6304433721117675, 0.7665342553891241, 0.7286541711352765, 0.5573943238891661, 0.5957333438657224, 0.9791678730398417, 0.3880053500086069, 0.7076398725435138, 0.562131290063262, 0.8615371007099748, 0.707138460315764, 0.0983990947157145, 0.2432999021187424, 0.6019281548634171, 0.5362127909064293, 1.0168138736858965, 0.4891090855374932, 0.4865957665070891, 0.5450375071913004, 0.5454903844371438, 0.3395835911855102, 0.4290543606877327, 0.6781073185428977, 0.7310089108720422, 0.6910633086785674, 0.4305727517232298, 0.5154120913147926, 0.5524499940499663, 0.552398042306304, 0.5313651987910271, 1.170584968291223, 0.7823761647939682, 0.7567363357916475, 0.8298030548915267, 0.3143550147861243, 1.0633758690208197, 1.2919387095049024, 0.8537067684158682, 0.9306705816835165, 0.7611032334715128, 1.501049136184156, 0.4922529520839453, 1.1526700126752258, 0.5613204186037183, 0.5114414443820715, 0.9707138516008854, 0.7781361516937614, 0.6480688779428602, 0.9266427320614458, 1.1627731831371784, 0.9474963096901774, 1.301601924970746, 0.9808062671497464, 0.6045199348777532, 1.063781850747764, 1.0760986236855388]|-197.3432464599609375|      1.52415790|[65, 0, 0, 4]                                                              | 
       5|[-0.4303713794890791, 0.3185453871951904, -0.352564187515527, 0.3022645081719383, -0.1617662283126265, -0.63313268258702, 0.0819456639513373, -0.4958719560690224, -0.3529432612378151, 0.2147061575902626, 0.0078039141511545, 0.0456935962475836, 0.0511714176926762, 0.3225050697661936, -0.0577176824677735, 0.1450548112299293, 0.3602226936072112, 0.2141577657964081, 0.0576055404357612, 0.0232571608386934, 0.3087190024461597, -0.0693866470549256, 0.4336255698185414, -0.1483180425036699, 0.4389398144558072, -0.7578353814408183, -0.0655813431553542, 0.1807102739997208, -0.1863532979413867, -0.1453957038931549, 0.4677851688489318, -0.2614079684205353, 0.2984614944271743, 0.8170749392919243, 0.6712473522871732, 0.5368803102895617, 0.1261206924729049, 1.5867361217923461, 0.6355958230420947, 1.1392802187241613, 0.2428789910301566, -0.1120368153043091, 2.0658455684967336, 0.56267457973212, 0.6507025773636996, 0.6389587833918631, 0.8540037076734006, 0.7957619410194456, 0.5337880917452276, 0.9995483383536339, 0.3287604155391455, 0.4028642768785358, 0.6398047699779272, 0.7506336588039995, 0.7589458303526044, -0.1220902582257986, 0.5932871705666184, 0.4974171919003129, 0.2509217748045921, 1.6511746043339373, 0.9050301775708794, 0.5942620950564742, 0.1972905091196299, 0.7151134613528848, 0.1984163528308273, -0.0082627126574516, 0.4940078231319786, 0.5892312613502145, 1.3346345066651701, 0.2577664589509367, 0.6727345278859138, 0.851748697720468, 0.9096935852617025, 0.6316757926344871, 1.163807088509202, 1.2605738288164139, 0.8191891698911786, 0.2393321448192001, 0.9022529115527869, 1.2788428004831076, 1.3189415730908514, 0.9178592997416853, 1.0342628806084395, 0.6877105144411325, 1.4944196859374643, 0.3248354854434728, 1.3256511705741287, 0.381724292524159, -0.321487689986825, 0.3755356051027775, 0.5204071578010917, 0.7432499631121755, 0.4577709299698473, 1.7288770587742328, 1.290016814880073, 1.105339759066701, 1.16637240935117, 0.9431003048270941, 0.7166581086441874, 0.9423318980261683]|-336.1568298339843750|      1.69350878|[81, 0, 0, 5]                                                              | 
       6|[-0.4305460785492323, 0.3182833386049606, -0.3529135856358334, 0.3059140067407861, -0.1622903254930861, -0.6337441293266601, 0.0812468677107245, -0.496658101810608, -0.3538167565385811, 0.2137453127303161, 0.0067557197902352, 0.0445580523274839, 0.049948524213396, 0.321194826727733, -0.0591152749489993, 0.1435698691895232, 2.052946802303195, 0.212498124637641, 0.0558585498342291, 0.0214228205615655, 0.3067973127262666, -0.0713956863339991, 0.4315291810967028, -0.1505017809011042, 0.4366687266156077, -0.7601938189566135, -0.0680271301139146, 0.1781771373655647, -0.1889737840183079, -0.1481035394128412, 0.4649899838864803, -0.2642905030585825, 0.295491610346362, 0.8140177055355162, 0.6681027693208307, 0.533648377880454, 0.1228014101553708, 1.583329490032047, 0.6321018418390304, 1.1356988876126706, 0.2392103104759007, -0.1157928453013301, 2.0620021890569475, 0.5587438503839075, 0.6466844988055527, 0.6348533551581204, 0.8498109302297234, 0.7914818139001727, 0.5294206149503589, 0.9950935123488307, 0.3242182398587465, 0.3982347515225411, 0.6350878949463368, 0.7458294345624745, 0.7540542564354837, -0.1186753521300852, 0.5882208972983062, 0.4922635694220662, 0.2456808026507497, 1.6458462829701603, 0.8996145065315068, 0.5887590743415058, 0.1917001391947269, 0.7094357417523861, 0.1926512835547328, -0.0141151316091418, 0.4880680549703539, 0.5832041435129941, 1.328520039152354, 0.2515646417625248, 0.6664453619532287, 0.8453721821121871, 0.9032297204434871, 0.6251245776750147, 1.1571685238741338, 1.2538479149714112, 0.8123759063705802, 0.2324315320886672, 0.8952649491466582, 1.2717674888670445, 1.31177891086787, 0.910609289240092, 1.0269255194999278, 0.6802858041226864, 1.4869076259434224, 0.3172360762394965, 1.3179644116945566, 0.3739501844346523, -0.3293491486832499, 0.3675867976620794, 0.5123710006847978, 0.7351264572516084, 0.4495600735023618, 1.7205788535624742, 1.2816312599927187, 1.0968668545037508, 1.1578121551126241, 0.934452701844275, 0.70792315505445, 0.9335095956921577]|-362.8423767089843750|      1.88167642|[97, 0, 0, 6]                                                              | 
       7|[-0.5427331586345099, 0.1074860585317947, 0.1155265894206241, 1.1599664907762781, -0.2737202403252013, -1.2958512989548034, 0.0325364358071238, -0.4982927187974565, -0.5838387548248284, -0.2785330247483216, 0.0508500811550766, -0.2277830500341952, -0.3445490789646283, 0.3713942422624678, -0.6820190988015383, 0.1636595104029402, 1.9224831127375364, -0.0643316843127832, 0.0762734331050888, -0.3711540229385719, 0.4650371541874483, 0.4127588658872992, -0.0049795638583601, -0.2111810638941825, 0.3046689657494426, -1.1057769598066807, -0.1175059627462178, 0.1929001905675978, 0.0315224979631603, 0.2754540997091681, 0.280314797013998, -0.6120633099414408, 0.9228100522141904, 0.2169479652401061, 1.6707814020570368, 0.548668493181467, 0.4314269890356809, 1.4276632728241383, 0.7020506417471916, 0.6943357019685208, 0.6106707482505589, 0.0298296614363789, 1.8214022736717013, 0.3401386896707117, 0.6517662082798779, 0.428244016636163, 0.8575045236200094, 0.2340221614763141, 0.0047052509710193, 0.6254428206011653, 0.1373524332791567, 1.0558125045895577, 0.8532390768826008, 0.9429064704664052, 0.1244857988320291, 0.1758792390488089, 0.5677325457148253, 0.8834488232806325, 0.2039167034998536, 1.8236290420405568, 0.3521460230834782, 1.4048292137496174, -0.2629716907441616, 0.4845865027606487, 0.3387297062203288, 0.3044360809400678, 0.6710810471139849, 0.0913156204111875, 0.8431919608823955, -0.3665433327667416, 0.8433986180834472, 1.0707943409495055, 1.295189953893423, 0.5341144914366305, 1.2333058579824865, 1.4490182280912995, 0.6438871505483985, -0.0462309408746659, 0.898941782033071, 1.2980976097285748, 1.4063959498330951, 0.7408873431198298, 1.0410437718220056, 0.3501810358464718, 1.5285447373986245, 0.1723442926444113, 0.7714505562372507, 0.1207517991960049, -0.2050996680185199, 0.8365164758637548, 0.677722093500197, 0.165404520072043, 0.961135474331677, 1.7720113252848386, 2.309178261831403, 0.6886175061017275, 2.0452493795007465, 0.6628761780634522, 0.9694815685600042, 0.6829307451844215]|-483.2918701171875000|      2.09075158|[113, 0, 0, 7]                                                             | 
       8|[-0.2334496934874914, 0.7847379339323379, 0.7886827912600711, 1.5744993310282007, 0.0549380424316041, -1.4843716708687134, 0.087940808320418, -0.1256867095525376, -0.9632712244312279, -0.4639476966462098, 0.3955688652489334, -0.1600077782012522, -0.4192702514166012, -0.1028230831865221, -0.866136237187311, -0.2721761491009965, 2.060214158222079, 0.2515238485718146, 0.5898483313480392, -0.7102783150738106, 1.4514167179958894, 0.9311025529447943, 0.2398223597742617, 0.3350624248944223, -0.1005008788779378, -1.23490499868989, -0.0347871508169919, 0.7970010735746473, -0.6865285183675587, 0.7457323329988867, 0.1232160566747189, -0.7662324372865259, 0.4929544671159238, -0.100545086050406, 1.9737348241265864, 0.8060747875273228, 0.425312889860943, 1.4496377768181263, 1.2522742306906731, 0.7436356610618531, 0.8626882760692387, -0.1997021035477519, 1.2502890448737887, 0.0593150118924677, 0.1351315055973827, 0.851468406189233, 0.9341986917704344, 1.0443206043168902, 0.2378921068832278, -0.0017087878659368, -0.1027575319260359, 1.6023468044400215, 0.5193125481903553, 1.3842994584329427, -0.563914827350527, 0.0128242065571249, 0.4247787475399672, 1.9215482314303518, 0.8936996209993958, 1.890211610030383, 0.8819472129829228, 1.6095900483243168, 0.2105059708654881, 0.2184483067691326, 0.2419129801914096, 0.1766307287290693, 0.3566405881009996, 0.261543863285333, 0.9570424948446452, -0.8577455679886044, 0.4462047093920409, 1.101941973697394, 1.2617459218204021, 0.495941713694483, 0.6192509992979467, 1.8860967636480928, 0.944136727117002, -0.3864487696252763, 0.7508704780694098, 1.3222254917025567, 0.8007949967309833, 0.0547348849289119, 0.9193782866187394, 0.7909027265012264, 1.27336256057024, 0.7428930058516562, 1.687671221215278, -0.3348806490004063, -0.3208299462124705, 0.793650540150702, 0.4408290803804994, -0.4898703479394316, 0.5709663604572416, 2.568064079210162, 2.4679022420197727, 0.8555132234841585, 2.6184323199838397, 0.6895694886520505, 0.8801994507759809, 1.0237474218010902]|-676.0330810546875000|      2.32305731|[129, 0, 0, 8]                                                             | 
       9|[-0.1661475558741949, -0.309685598553624, -0.3585224423138424, 1.3754967521736399, 0.6121635678107851, -2.18606323876651, 0.5447386167291552, -0.3021937355096452, -1.3131915270606989, 0.0309176910319365, -0.1608801904227585, -0.5838637385703623, -0.6746698957914486, 0.0917234822269529, -1.3684295258950443, 0.1890478406241164, 1.8376468979567289, 0.5408886633301153, 0.8839228369155898, -0.93157768023666, 1.479472302054055, 1.5985903530661016, -0.331767706181854, 0.687963913436979, -0.4365293951705098, -2.2929966391623022, -0.5901829328108579, 1.208307812428102, -1.2411918784864246, 0.8507717581931502, -0.1934721530973911, -0.4859660331346094, -0.3316710845846682, -0.8598361984733491, 2.403429893916473, 0.4195630742609501, 0.4168377957586199, 0.8343992294929921, 1.4835644519049676, 1.3769711918197571, 1.0048840819764882, 0.400037865228951, 1.296456802235916, -0.0199577425979078, 0.384315622318536, -0.1372977872006595, 1.8193730258196592, 0.0422505350038409, 0.3517664827033877, 1.0278669176623225, -0.1834136431664228, 1.8039145585894585, 0.2088594909012318, 1.2945264442451299, -0.8940557756461203, -0.5684705088473856, 0.2573828428797423, 2.2849339385703207, 0.8043009761348366, 1.0324973742477597, 0.7813943560607731, 1.8170747555606068, 0.8655475462973118, 0.6875476495921612, -0.5336465047672391, 0.0217804544046521, 0.5629154700599611, -0.6359323330037295, 0.9976961147598922, -0.8041775736026466, 0.3994058058969676, 1.3653644926659763, 1.063846341818571, 0.8616906257905066, 0.2287822528742254, 1.2038552046194673, 1.4277332308515907, 0.0291484009660781, 1.0749748169537634, 1.9067632958292962, 0.7559346821531654, 0.0804362363927066, 1.1299966186471284, 0.6323509888350963, 1.66222353130579, 0.912239263895899, 1.6953731299191714, -0.4515677829086781, -0.0144205574318766, 0.9588237578049302, 0.6601688981428743, -0.8914558672532439, 0.9984599028900266, 2.7094778721779584, 2.5291656840592625, 0.9214461529999971, 2.651689096614718, 0.5018144403770566, 1.3626498764008284, 1.029338345862925]|-852.7147216796875000|      2.58117479|[145, 0, 0, 9]                                                             | 
