k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | k=2
       1|[0.3433463573455811, -0.6295744776725769, -0.3762842118740082, 0.8257895708084106, 0.1074241995811462, 0.2591302692890167, -0.1100246757268906, -0.4865922927856445, -0.2411714494228363, -0.5297498106956482, -0.004735745023936, 0.1997362673282623, -0.1215345188975334, -0.0173497628420591, 0.0953299105167389, -0.9122291803359985, 0.1470347195863724, 0.4819678664207458, -0.4846040308475494, 0.4375154376029968, -0.5921724438667297, -0.2622723281383514]| 13.4939088821411133|      1.01010101|[15, 2, 0, 1]                                                              | 
       2|[0.854975163936615, -1.0056512355804443, -0.1262921541929245, 0.85837397351861, 0.1581676118075848, 0.8096804320812225, -0.6317428797483444, -1.0640573501586914, 0.1545221507549286, -0.7216186225414276, 0.2386103202588856, 0.4787129163742065, -0.1445303503423929, -0.0313859255984426, 0.9060271680355072, -1.7273447513580322, 0.4522574692964554, 0.4687081584706903, -0.8281359672546387, 1.3216506242752075, -0.409649595618248, -0.1074753850698471]| 12.9915313720703125|      1.02030405|[29, 4, 0, 2]                                                              | 
       3|[0.7472323179244995, -1.1422132551670074, -0.2826031893491745, 1.8020276762545109, -0.0065476186573505, 0.6556753814220428, -0.7668667137622833, -1.1741897240281105, 0.1907621249556541, -0.7733167633414268, 0.2151523944921792, 0.4795704787247814, -0.1253133192658424, -0.0012356145307422, 0.9389606267213821, -1.6995709482580423, 0.4682525116950274, 0.4689304747589631, -0.8435686845332384, 1.3988262340426445, -0.4310496114194393, -0.1018660673871636]| 12.3738164901733398|      1.03061015|[43, 6, 0, 3]                                                              | 
       4|[1.7687098979949951, -1.22108556330204, -0.3485599532723427, 1.7491606622934341, -0.0470309741795063, 0.6263094414025545, -0.7866717632859945, -1.1860611159354448, 0.1852957620285451, -0.7736891070962884, 0.2188494266010821, 0.4866170720779337, -0.1153639685362577, -0.0136788412928581, 0.9541331455111504, -1.6823971439152956, 0.4868758600205183, 0.4876845826365752, -0.8269763626158237, 1.4096066849306226, -0.4315227080951445, -0.1213103169575334]| 12.1526536941528320|      1.04102036|[57, 8, 0, 4]                                                              | 
       5|[1.8235409073531628, -1.177921086549759, -0.51984653621912, 1.886395052075386, 0.0644693039357662, 0.7535053361207247, -0.8510785680264235, -1.308057764545083, 0.161792469676584, -0.7123786705196835, 0.2698007472790778, 0.3351342366659082, -0.098789332434535, -0.1617061570286751, 1.0049512647092342, -1.6357545983046293, 0.6389744412153959, 0.5377752867498202, -1.0229094214737415, 1.349160154350102, -0.6426899094949476, -0.1554993772879243]| 12.1446771621704102|      1.05153571|[71, 10, 0, 5]                                                             | 
       6|[1.8235409073531628, -1.177921086549759, -0.51984653621912, 1.886395052075386, 0.0644693039357662, 0.7535053361207247, -0.8510785680264235, -1.308057764545083, 0.161792469676584, -0.7123786705196835, 0.2698007472790778, 0.3351342366659082, -0.098789332434535, -0.1617061570286751, 1.0049512647092342, -1.6357545983046293, 0.6389744412153959, 0.5377752867498202, -1.0229094214737415, 1.349160154350102, -0.6426899094949476, -0.1554993772879243]| 12.1446771621704102|      1.04102036|[99, 14, 0, 7]                                                             | 
       7|[1.8235409073531628, -1.177921086549759, -0.51984653621912, 1.886395052075386, 0.0644693039357662, 0.7535053361207247, -0.8510785680264235, -1.308057764545083, 0.161792469676584, -0.7123786705196835, 0.2698007472790778, 0.3351342366659082, -0.098789332434535, -0.1617061570286751, 1.0049512647092342, -1.6357545983046293, 0.6389744412153959, 0.5377752867498202, -1.0229094214737415, 1.349160154350102, -0.6426899094949476, -0.1554993772879243]| 12.1446771621704102|      1.03061015|[127, 18, 0, 9]                                                            | 
       8|[1.7817044965922832, -1.2332187555730343, -0.5800461135804653, 1.9453982710838318, 0.0197160132229328, 0.7262413129210472, -0.8575147232040763, -1.2932833889499307, 0.1950409053824842, -0.6664264472783543, 0.3168503143824637, 0.378966050746385, -0.0731856413185596, -0.1664116336032748, 0.9589767269790173, -1.7312603201717138, 0.4901983719319105, 0.3385864135780139, -1.2607345916330814, 2.2616191701963544, -0.8736797083984129, -0.3093312615528703]| 12.1444749832153320|      1.04102036|[155, 22, 0, 11]                                                           | 
       9|[1.7817044965922832, -1.2332187555730343, -0.5800461135804653, 1.9453982710838318, 0.0197160132229328, 0.7262413129210472, -0.8575147232040763, -1.2932833889499307, 0.1950409053824842, -0.6664264472783543, 0.3168503143824637, 0.378966050746385, -0.0731856413185596, -0.1664116336032748, 0.9589767269790173, -1.7312603201717138, 0.4901983719319105, 0.3385864135780139, -1.2607345916330814, 2.2616191701963544, -0.8736797083984129, -0.3093312615528703]| 12.1444749832153320|      1.03061015|[183, 26, 0, 13]                                                           | 
