k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404944837|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.195816180345798, 38.5175504612019, 41.80072948234171, 39.173472202875175]   |810.4383544921875000|      1.11111111|[12, 4, 0, 2]                                                              |  | trying linear partial model with 7 points | iterate success | actual_k=2
       2|[23.29530524280509, 37.983792410305334, 42.12169374382829, 39.36250193216554]   |721.3671264648437500|      1.23456790|[22, 8, 0, 4]                                                              |  | trying linear partial model with 7 points | iterate success | actual_k=2
       3|[22.29812292435161, 37.38820935576525, 42.47876351010869, 39.58060129868372]    |631.3181152343750000|      1.37174211|[33, 12, 0, 6]                                                             |  | trying linear partial model with 7 points | iterate success | actual_k=2
       4|[21.14536214062527, 36.76098895879632, 42.81689627626548, 39.79292135129027]    |541.3350830078125000|      1.52415790|[44, 16, 0, 8]                                                             |  | trying linear partial model with 7 points | iterate success | actual_k=2
       5|[19.862763242424272, 36.04785699873001, 43.16341169406855, 40.0151087758494]    |452.7648620605468750|      1.69350878|[55, 20, 0, 10]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       6|[18.423663731923412, 35.31304617614061, 43.580556980809156, 40.30321891871877]  |367.1248168945312500|      1.88167642|[65, 24, 0, 12]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       7|[16.825346347732665, 34.466047154848575, 44.04209608710451, 40.53914689958628]  |286.1752319335937500|      2.09075158|[75, 28, 0, 14]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       8|[14.97610447506555, 33.63025915880225, 44.46159867473767, 40.816676493802]      |211.5314178466796875|      2.32305731|[85, 32, 0, 16]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       9|[12.897807841190154, 32.782779210371245, 44.986298106988436, 41.10606657963701] |145.2074279785156250|      2.58117479|[96, 36, 0, 18]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
      10|[12.897807841190154, 32.782779210371245, 44.986298106988436, 41.10606657963701] |145.2074279785156250|      2.32305731|[106, 40, 0, 20]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      11|[10.76817313418953, 31.970964452238878, 45.37457142385871, 41.33289674072166]   | 93.8229827880859375|      2.58117479|[116, 44, 0, 22]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      12|[10.76817313418953, 31.970964452238878, 45.37457142385871, 41.33289674072166]   | 93.8229827880859375|      2.32305731|[126, 48, 0, 24]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      13|[10.76817313418953, 31.970964452238878, 45.37457142385871, 41.33289674072166]   | 93.8229827880859375|      2.09075158|[136, 52, 0, 26]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      14|[10.76817313418953, 31.970964452238878, 45.37457142385871, 41.33289674072166]   | 93.8229827880859375|      1.88167642|[146, 56, 0, 28]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      15|[10.76817313418953, 31.970964452238878, 45.37457142385871, 41.33289674072166]   | 93.8229827880859375|      1.69350878|[158, 60, 0, 30]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      16|[9.178415623607146, 31.46155033600503, 45.61430929934518, 41.48673450454532]    | 64.5680084228515625|      1.88167642|[168, 64, 0, 32]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      17|[9.178415623607146, 31.46155033600503, 45.61430929934518, 41.48673450454532]    | 64.5680084228515625|      1.69350878|[178, 68, 0, 34]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
