k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      0.10000000|[34, 12, 0, 3]                                                             |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 23 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      0.01000000|[65, 24, 0, 6]                                                             |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 22 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      0.00100000|[103, 40, 0, 10]                                                           |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 21 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 29 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      0.00010000|[134, 52, 0, 13]                                                           |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 22 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      0.00001000|[173, 68, 0, 17]                                                           |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 22 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[94.89999973871319, 0.0090099847055449, 90.0999998234208, 112.99999992174384, 20.000000369867326, 73.7999998835932, 140.0000001807541, 20.000000130597552]|18902.9179687500000000|      0.00010000|[194, 76, 0, 19]                                                           |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
       7|[94.89999973871319, 0.0090099847055449, 90.0999998234208, 112.99999992174384, 20.000000369867326, 73.7999998835932, 140.0000001807541, 20.000000130597552]|18902.9179687500000000|      0.00001000|[234, 92, 0, 23]                                                           |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 23 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[94.89999974181872, 0.009019982577241, 90.09999979274859, 112.99999985047587, 20.00000030661372, 73.79999983832377, 140.00000035357078, 20.000000105777087]|18901.2187500000000000|      0.00010000|[264, 104, 0, 26]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 21 points | iterate success | actual_k=4
       9|[94.89999974181872, 0.009019982577241, 90.09999979274859, 112.99999985047587, 20.00000030661372, 73.79999983832377, 140.00000035357078, 20.000000105777087]|18901.2187500000000000|      0.00001000|[302, 120, 0, 30]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 21 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[94.89999974181872, 0.009019982577241, 90.09999979274859, 112.99999985047587, 20.00000030661372, 73.79999983832377, 140.00000035357078, 20.000000105777087]|18901.2187500000000000|      0.00000100|[334, 132, 0, 33]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 23 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      11|[94.89999972594829, 0.0090209813557828, 90.09999977163008, 112.99999981813873, 20.000000310139114, 73.79999982187532, 140.00000036975806, 20.00000011814094]|18901.0781250000000000|      0.00001000|[355, 140, 0, 35]                                                          |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
      12|[94.9000000199921, 0.0090309261219217, 90.09999980554623, 112.99999921710855, 20.000000142495992, 73.79999921804135, 140.00000086649425, 20.000000233512313]|18899.9511718750000000|      0.00010000|[376, 148, 0, 37]                                                          |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
      13|[94.9000000199921, 0.0090309261219217, 90.09999980554623, 112.99999921710855, 20.000000142495992, 73.79999921804135, 140.00000086649425, 20.000000233512313]|18899.9511718750000000|      0.00001000|[408, 160, 0, 40]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 22 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
