k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-0.0098029604941, -0.019409861778, -0.028820703853, -0.038035486717, -0.047054210372, -0.055876874816, -0.064503480051, -0.072934026076, -0.081168512891, -0.089206940496, -0.097049308891, -0.10469561808, -0.11214586805, -0.11940005882, -0.12645819037, -0.13332026272, -0.13998627586, -0.14645622978, -0.1527301245, -0.15880796, -0.1646897363, -0.17037545339, -0.17586511126, -0.18115870993, -0.18625624939, -0.19115772963, -0.19586315067, -0.2003725125, -0.20468581512, -0.20880305852, -0.21272424272, -0.21644936771, -0.21997843349, -0.22331144005, -0.22644838741, -0.22938927556, -0.2321341045, -0.23468287423, -0.23703558475, -0.23919223606, -0.24115282815, -0.24291736104, -0.24448583472, -0.24585824919, -0.24703460445, -0.2480149005, -0.24879913734, -0.24938731497, -0.24977943339, -0.2499754926, -0.2499754926, -0.24977943339, -0.24938731497, -0.24879913734, -0.2480149005, -0.24703460445, -0.24585824919, -0.24448583472, -0.24291736104, -0.24115282815, -0.23919223606, -0.23703558475, -0.23468287423, -0.2321341045, -0.22938927556, -0.22644838741, -0.22331144005, -0.21997843349, -0.21644936771, -0.21272424272, -0.20880305852, -0.20468581512, -0.2003725125, -0.19586315067, -0.19115772963, -0.18625624939, -0.18115870993, -0.17586511126, -0.17037545339, -0.1646897363, -0.15880796, -0.1527301245, -0.14645622978, -0.13998627586, -0.13332026272, -0.12645819037, -0.11940005882, -0.11214586805, -0.10469561808, -0.097049308891, -0.089206940496, -0.081168512891, -0.072934026076, -0.064503480051, -0.055876874816, -0.047054210372, -0.038035486717, -0.028820703853, -0.019409861778, -0.0098029604941]| 99.9875072002955676|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0098029604941, -0.019409861778, -0.028820703853, -0.038035486717, -0.047054210372, -0.055876874816, -0.064503480051, -0.072934026076, -0.081168512891, -0.089206940496, -0.097049308891, -0.10469561808, -0.11214586805, -0.11940005882, -0.12645819037, -0.13332026272, -0.13998627586, -0.14645622978, -0.1527301245, -0.15880796, -0.1646897363, -0.17037545339, -0.17586511126, -0.18115870993, -0.18625624939, -0.19115772963, -0.19586315067, -0.2003725125, -0.20468581512, -0.20880305852, -0.21272424272, -0.21644936771, -0.21997843349, -0.22331144005, -0.22644838741, -0.22938927556, -0.2321341045, -0.23468287423, -0.23703558475, -0.23919223606, -0.24115282815, -0.24291736104, -0.24448583472, -0.24585824919, -0.24703460445, -0.2480149005, -0.24879913734, -0.24938731497, -0.24977943339, -0.2499754926, -0.2499754926, -0.24977943339, -0.24938731497, -0.24879913734, -0.2480149005, -0.24703460445, -0.24585824919, -0.24448583472, -0.24291736104, -0.24115282815, -0.23919223606, -0.23703558475, -0.23468287423, -0.2321341045, -0.22938927556, -0.22644838741, -0.22331144005, -0.21997843349, -0.21644936771, -0.21272424272, -0.20880305852, -0.20468581512, -0.2003725125, -0.19586315067, -0.19115772963, -0.18625624939, -0.18115870993, -0.17586511126, -0.17037545339, -0.1646897363, -0.15880796, -0.1527301245, -0.14645622978, -0.13998627586, -0.13332026272, -0.12645819037, -0.11940005882, -0.11214586805, -0.10469561808, -0.097049308891, -0.089206940496, -0.081168512891, -0.072934026076, -0.064503480051, -0.055876874816, -0.047054210372, -0.038035486717, -0.028820703853, -0.019409861778, -0.0098029604941]| 99.9875072002955676|      0.20000000|[236, 14, 0, 2]                                                            |  | trying linear partial model with 122 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
       2|[-0.0098029604941, -0.019409861778, -0.028820703853, -0.038035486717, -0.047054210372, -0.055876874816, -0.064503480051, -0.072934026076, -0.081168512891, -0.089206940496, -0.097049308891, -0.10469561808, -0.11214586805, -0.11940005882, -0.12645819037, -0.13332026272, -0.13998627586, -0.14645622978, -0.1527301245, -0.15880796, -0.1646897363, -0.17037545339, -0.17586511126, -0.18115870993, -0.18625624939, -0.19115772963, -0.19586315067, -0.2003725125, -0.20468581512, -0.20880305852, -0.21272424272, -0.21644936771, -0.21997843349, -0.22331144005, -0.22644838741, -0.22938927556, -0.2321341045, -0.23468287423, -0.23703558475, -0.23919223606, -0.24115282815, -0.24291736104, -0.24448583472, -0.24585824919, -0.24703460445, -0.2480149005, -0.24879913734, -0.24938731497, -0.24977943339, -0.2499754926, -0.2499754926, -0.24977943339, -0.24938731497, -0.24879913734, -0.2480149005, -0.24703460445, -0.24585824919, -0.24448583472, -0.24291736104, -0.24115282815, -0.23919223606, -0.23703558475, -0.23468287423, -0.2321341045, -0.22938927556, -0.22644838741, -0.22331144005, -0.21997843349, -0.21644936771, -0.21272424272, -0.20880305852, -0.20468581512, -0.2003725125, -0.19586315067, -0.19115772963, -0.18625624939, -0.18115870993, -0.17586511126, -0.17037545339, -0.1646897363, -0.15880796, -0.1527301245, -0.14645622978, -0.13998627586, -0.13332026272, -0.12645819037, -0.11940005882, -0.11214586805, -0.10469561808, -0.097049308891, -0.089206940496, -0.081168512891, -0.072934026076, -0.064503480051, -0.055876874816, -0.047054210372, -0.038035486717, -0.028820703853, -0.019409861778, -0.0098029604941]| 99.9875072002955676|      0.04000000|[472, 28, 0, 4]                                                            |  | trying linear partial model with 122 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
       3|[-0.0346292826409294, -0.0180970214997145, -0.0320569083661524, -0.0377542547588072, -0.0453882901340403, -0.0558606899341517, -0.0641845543753016, -0.0715182412012967, -0.082565554058026, -0.0881122158514606, -0.0956717471974988, -0.1006687520900781, -0.1125572590185813, -0.1220205675985929, -0.1285666072836875, -0.134929912431021, -0.1393549023429927, -0.1490143373337225, -0.1541584438973088, -0.1568929631044689, -0.1637383553657155, -0.1714101339751353, -0.1743748100668893, -0.1783569146026661, -0.1844398976302555, -0.1910222498547581, -0.1972724523767484, -0.1984652392799919, -0.2020008082829847, -0.2079153011667489, -0.2098007775967527, -0.2187166387316503, -0.2247601325560577, -0.2263676192905179, -0.2286151367056534, -0.2294319697967724, -0.2316124076272126, -0.2380793094673243, -0.2338748905101117, -0.237386150692773, -0.240309914937257, -0.239398728737212, -0.245536596146705, -0.2455585197474536, -0.2423338969596838, -0.2533262584738645, -0.2486711867472864, -0.2465546027953711, -0.248666438987819, -0.2500946712958396, -0.2520298048826711, -0.249992858464403, -0.2514201386639421, -0.2438811847370556, -0.246993646661897, -0.2490548242534484, -0.244307052271456, -0.2428698105147958, -0.2396356237717482, -0.2435943531075266, -0.2383348472385041, -0.2339682507197732, -0.2355138337124017, -0.2323393115143293, -0.2288718782524456, -0.2284602471780467, -0.2238603591840583, -0.2194602863399672, -0.2134840219341002, -0.2148097097737945, -0.2096275805089135, -0.2021107315663696, -0.2009244396489319, -0.1958003925470248, -0.1913278228071946, -0.1854302732313748, -0.18107822776116, -0.1784443400235284, -0.1750403550339036, -0.1669911904945352, -0.1589650949589875, -0.1531824407570972, -0.1444950275439384, -0.1412372396342052, -0.1374060025051699, -0.1295406290975548, -0.1215555582547139, -0.1081333518450741, -0.1036066229545556, -0.1023985339540986, -0.0897417127436189, -0.0807762511058978, -0.0746587467786528, -0.0707344063254219, -0.0587949404960232, -0.0443432418314125, -0.0372757831128783, -0.027954092897836, -0.0199155156005699, -0.031425005177119]| 99.9026947021484375|      0.20000000|[708, 42, 0, 6]                                                            |  | trying linear partial model with 122 points | iterate success | actual_k=7
       4|[-0.0346292826409294, -0.0180970214997145, -0.0320569083661524, -0.0377542547588072, -0.0453882901340403, -0.0558606899341517, -0.0641845543753016, -0.0715182412012967, -0.082565554058026, -0.0881122158514606, -0.0956717471974988, -0.1006687520900781, -0.1125572590185813, -0.1220205675985929, -0.1285666072836875, -0.134929912431021, -0.1393549023429927, -0.1490143373337225, -0.1541584438973088, -0.1568929631044689, -0.1637383553657155, -0.1714101339751353, -0.1743748100668893, -0.1783569146026661, -0.1844398976302555, -0.1910222498547581, -0.1972724523767484, -0.1984652392799919, -0.2020008082829847, -0.2079153011667489, -0.2098007775967527, -0.2187166387316503, -0.2247601325560577, -0.2263676192905179, -0.2286151367056534, -0.2294319697967724, -0.2316124076272126, -0.2380793094673243, -0.2338748905101117, -0.237386150692773, -0.240309914937257, -0.239398728737212, -0.245536596146705, -0.2455585197474536, -0.2423338969596838, -0.2533262584738645, -0.2486711867472864, -0.2465546027953711, -0.248666438987819, -0.2500946712958396, -0.2520298048826711, -0.249992858464403, -0.2514201386639421, -0.2438811847370556, -0.246993646661897, -0.2490548242534484, -0.244307052271456, -0.2428698105147958, -0.2396356237717482, -0.2435943531075266, -0.2383348472385041, -0.2339682507197732, -0.2355138337124017, -0.2323393115143293, -0.2288718782524456, -0.2284602471780467, -0.2238603591840583, -0.2194602863399672, -0.2134840219341002, -0.2148097097737945, -0.2096275805089135, -0.2021107315663696, -0.2009244396489319, -0.1958003925470248, -0.1913278228071946, -0.1854302732313748, -0.18107822776116, -0.1784443400235284, -0.1750403550339036, -0.1669911904945352, -0.1589650949589875, -0.1531824407570972, -0.1444950275439384, -0.1412372396342052, -0.1374060025051699, -0.1295406290975548, -0.1215555582547139, -0.1081333518450741, -0.1036066229545556, -0.1023985339540986, -0.0897417127436189, -0.0807762511058978, -0.0746587467786528, -0.0707344063254219, -0.0587949404960232, -0.0443432418314125, -0.0372757831128783, -0.027954092897836, -0.0199155156005699, -0.031425005177119]| 99.9026947021484375|      0.04000000|[945, 56, 0, 8]                                                            |  | trying linear partial model with 122 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
       5|[-0.0569184755425423, -0.0235056279950224, -0.030327947582786, -0.0413680260385373, -0.0477018776135255, -0.058361266002502, -0.0650034609223073, -0.0709917655390362, -0.084806047598787, -0.0888322302126573, -0.0993714153766711, -0.0987007578166951, -0.114101772141666, -0.1232870355691422, -0.1285609930242656, -0.1334025785746469, -0.134649417999385, -0.1462130030093291, -0.1547719740174892, -0.1614542885136907, -0.160708218822594, -0.1755240400987607, -0.1732618750533747, -0.1775160498139846, -0.1839060236981696, -0.191518348899057, -0.1994622574084666, -0.1976417376150255, -0.2039404815878789, -0.2089167796829571, -0.2051320528165826, -0.2231561326506335, -0.2247076310376526, -0.2295619488486003, -0.2259233538832035, -0.2311776172321343, -0.2319182969428558, -0.2332923050393186, -0.2315515695732609, -0.2380581316083266, -0.2413853783929987, -0.2376772494304742, -0.2461091436240517, -0.2475849265364745, -0.2406725004187588, -0.2575438827304999, -0.2499022219285371, -0.2482887963042594, -0.2475685714212491, -0.2449620954945637, -0.2531906668880771, -0.2526014128225862, -0.2490642062619684, -0.2430961962320349, -0.2502966608088313, -0.2480384232215868, -0.2453927315647087, -0.2402243246355179, -0.237251719752857, -0.2426793091146321, -0.2400217135810875, -0.2313722986162684, -0.2338605928715446, -0.2326817637078004, -0.2308306243428262, -0.2303741008775207, -0.2251889604167771, -0.2188673578815202, -0.2169949579803349, -0.2165972787370941, -0.2050673561376075, -0.2032340711712451, -0.1940486355587144, -0.194520539886797, -0.1952661920343609, -0.18059984638406, -0.1813761686677659, -0.1828639399625957, -0.176636463132601, -0.1653821906314934, -0.1538381793834901, -0.1537761798452214, -0.1481241938163254, -0.1417425117428075, -0.1320930329052334, -0.1306711501212489, -0.1172374628569815, -0.1079290564382217, -0.104435405863591, -0.1038575700558129, -0.0907982349514075, -0.0794232908674819, -0.0775562296625985, -0.0697845791568655, -0.0572324007630053, -0.0445862933026704, -0.0378798200892911, -0.0284154031671061, -0.0248090702049152, -0.0521719491061537]| 99.8323440551757812|      0.20000000|[1182, 70, 0, 10]                                                          |  | trying linear partial model with 122 points | iterate success | actual_k=7
       6|[-0.0569184755425423, -0.0235056279950224, -0.030327947582786, -0.0413680260385373, -0.0477018776135255, -0.058361266002502, -0.0650034609223073, -0.0709917655390362, -0.084806047598787, -0.0888322302126573, -0.0993714153766711, -0.0987007578166951, -0.114101772141666, -0.1232870355691422, -0.1285609930242656, -0.1334025785746469, -0.134649417999385, -0.1462130030093291, -0.1547719740174892, -0.1614542885136907, -0.160708218822594, -0.1755240400987607, -0.1732618750533747, -0.1775160498139846, -0.1839060236981696, -0.191518348899057, -0.1994622574084666, -0.1976417376150255, -0.2039404815878789, -0.2089167796829571, -0.2051320528165826, -0.2231561326506335, -0.2247076310376526, -0.2295619488486003, -0.2259233538832035, -0.2311776172321343, -0.2319182969428558, -0.2332923050393186, -0.2315515695732609, -0.2380581316083266, -0.2413853783929987, -0.2376772494304742, -0.2461091436240517, -0.2475849265364745, -0.2406725004187588, -0.2575438827304999, -0.2499022219285371, -0.2482887963042594, -0.2475685714212491, -0.2449620954945637, -0.2531906668880771, -0.2526014128225862, -0.2490642062619684, -0.2430961962320349, -0.2502966608088313, -0.2480384232215868, -0.2453927315647087, -0.2402243246355179, -0.237251719752857, -0.2426793091146321, -0.2400217135810875, -0.2313722986162684, -0.2338605928715446, -0.2326817637078004, -0.2308306243428262, -0.2303741008775207, -0.2251889604167771, -0.2188673578815202, -0.2169949579803349, -0.2165972787370941, -0.2050673561376075, -0.2032340711712451, -0.1940486355587144, -0.194520539886797, -0.1952661920343609, -0.18059984638406, -0.1813761686677659, -0.1828639399625957, -0.176636463132601, -0.1653821906314934, -0.1538381793834901, -0.1537761798452214, -0.1481241938163254, -0.1417425117428075, -0.1320930329052334, -0.1306711501212489, -0.1172374628569815, -0.1079290564382217, -0.104435405863591, -0.1038575700558129, -0.0907982349514075, -0.0794232908674819, -0.0775562296625985, -0.0697845791568655, -0.0572324007630053, -0.0445862933026704, -0.0378798200892911, -0.0284154031671061, -0.0248090702049152, -0.0521719491061537]| 99.8323440551757812|      0.04000000|[1418, 84, 0, 12]                                                          |  | trying linear partial model with 122 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
       7|[-0.0755362407738229, -0.0300279916599907, -0.0321922834175168, -0.0396282869873077, -0.0423559826798145, -0.0590884015319396, -0.0629728189714125, -0.0721079429441321, -0.0840112991891178, -0.0853333231691638, -0.0957204959801958, -0.0994232903559657, -0.1170193688446511, -0.1223112853725111, -0.1253785689009659, -0.1350711545229163, -0.1323459243075519, -0.1522184258625459, -0.1547194952991743, -0.157235375958517, -0.1630603110781518, -0.1728789173781312, -0.1749614577357958, -0.1777374092315532, -0.1847610571783549, -0.1956709280565264, -0.2002956139379217, -0.1981628246226883, -0.2026264883170121, -0.2025454968496312, -0.2072773540228816, -0.2211147688196219, -0.2334885252952458, -0.2306266874791444, -0.224015892525791, -0.2337997264189343, -0.2344767148780191, -0.2338971793770702, -0.2360124399226791, -0.2365577049597571, -0.2431567647160428, -0.2386070444141707, -0.2461551658928792, -0.2452383082169124, -0.2471536883234398, -0.2570216793201708, -0.2506442137067701, -0.2466893887824203, -0.2452573323275267, -0.2447646241380871, -0.2531548651234775, -0.2540475301733598, -0.2505459440882875, -0.2489166096298825, -0.253117866835335, -0.2511683948224561, -0.2444503007976994, -0.2394525866798357, -0.2374765910955617, -0.2438162817325857, -0.2423558634922092, -0.2333672135984781, -0.2361835970140726, -0.2350871772963438, -0.2301949481570318, -0.2264876519186965, -0.2238742304827341, -0.2186564950088898, -0.2150885607996534, -0.2151353621287084, -0.2064541162065456, -0.1970359955109467, -0.1983583127264524, -0.2003839667188869, -0.1900861998069169, -0.1784681214886385, -0.1826109515376412, -0.1856348953678372, -0.1729964850175947, -0.1677410407393084, -0.152659444251569, -0.1492583366962578, -0.1489009231362272, -0.1386679059778827, -0.1297559305569749, -0.129341871432876, -0.1179920454860418, -0.1060539111762766, -0.1074851328324842, -0.1041183383077822, -0.088501444069031, -0.0820985839615857, -0.0802611935031398, -0.0752966513313291, -0.0586543023137262, -0.0481976808533527, -0.0392417901909561, -0.0289067588120006, -0.0282404204913018, -0.0724522357319044]| 99.7696838378906250|      0.20000000|[1654, 98, 0, 14]                                                          |  | trying linear partial model with 122 points | iterate success | actual_k=7
       8|[-0.0755362407738229, -0.0300279916599907, -0.0321922834175168, -0.0396282869873077, -0.0423559826798145, -0.0590884015319396, -0.0629728189714125, -0.0721079429441321, -0.0840112991891178, -0.0853333231691638, -0.0957204959801958, -0.0994232903559657, -0.1170193688446511, -0.1223112853725111, -0.1253785689009659, -0.1350711545229163, -0.1323459243075519, -0.1522184258625459, -0.1547194952991743, -0.157235375958517, -0.1630603110781518, -0.1728789173781312, -0.1749614577357958, -0.1777374092315532, -0.1847610571783549, -0.1956709280565264, -0.2002956139379217, -0.1981628246226883, -0.2026264883170121, -0.2025454968496312, -0.2072773540228816, -0.2211147688196219, -0.2334885252952458, -0.2306266874791444, -0.224015892525791, -0.2337997264189343, -0.2344767148780191, -0.2338971793770702, -0.2360124399226791, -0.2365577049597571, -0.2431567647160428, -0.2386070444141707, -0.2461551658928792, -0.2452383082169124, -0.2471536883234398, -0.2570216793201708, -0.2506442137067701, -0.2466893887824203, -0.2452573323275267, -0.2447646241380871, -0.2531548651234775, -0.2540475301733598, -0.2505459440882875, -0.2489166096298825, -0.253117866835335, -0.2511683948224561, -0.2444503007976994, -0.2394525866798357, -0.2374765910955617, -0.2438162817325857, -0.2423558634922092, -0.2333672135984781, -0.2361835970140726, -0.2350871772963438, -0.2301949481570318, -0.2264876519186965, -0.2238742304827341, -0.2186564950088898, -0.2150885607996534, -0.2151353621287084, -0.2064541162065456, -0.1970359955109467, -0.1983583127264524, -0.2003839667188869, -0.1900861998069169, -0.1784681214886385, -0.1826109515376412, -0.1856348953678372, -0.1729964850175947, -0.1677410407393084, -0.152659444251569, -0.1492583366962578, -0.1489009231362272, -0.1386679059778827, -0.1297559305569749, -0.129341871432876, -0.1179920454860418, -0.1060539111762766, -0.1074851328324842, -0.1041183383077822, -0.088501444069031, -0.0820985839615857, -0.0802611935031398, -0.0752966513313291, -0.0586543023137262, -0.0481976808533527, -0.0392417901909561, -0.0289067588120006, -0.0282404204913018, -0.0724522357319044]| 99.7696838378906250|      0.04000000|[1890, 112, 0, 16]                                                         |  | trying linear partial model with 122 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
       9|[-0.0896850302893391, -0.0339087449179496, -0.0375246875611485, -0.0409251964423265, -0.0459273553540568, -0.0581470115698701, -0.0629524856596076, -0.073051946183407, -0.0807800638171629, -0.0932269591272965, -0.0939787079247589, -0.101055203683243, -0.1141737758768347, -0.126463267322775, -0.1264888566233253, -0.1372313001263666, -0.1351193650245033, -0.1468390599504401, -0.1550186892650625, -0.1578878511130595, -0.1635104397894433, -0.171098609756621, -0.174345499033188, -0.1831354081199907, -0.1880021106894398, -0.1896704890448944, -0.1999723180379805, -0.1924870186707183, -0.1998484686531987, -0.2011053193179063, -0.2069971398393269, -0.217734122361137, -0.2349415690453714, -0.2314822628614909, -0.2230101573361412, -0.2345630311617234, -0.2316780899784181, -0.23927011058522, -0.239104896612066, -0.2395015665912878, -0.2358090513530005, -0.2412010378585815, -0.2495526996686672, -0.2393925173126996, -0.2516440925467497, -0.2565505317940819, -0.2464040859792907, -0.2443833953568053, -0.2472715799647529, -0.2500621345521323, -0.2528173707210636, -0.2527548907909708, -0.2491730693024636, -0.2497808728810901, -0.2520887343538885, -0.2541457269001195, -0.2432716144971173, -0.2394331365022848, -0.2384333569290774, -0.2515114401435627, -0.2469236607892539, -0.2327596097807026, -0.2369728661099745, -0.2372394503645259, -0.2312379609543173, -0.2271653106689075, -0.2259378112904831, -0.2185894252555083, -0.2170477417211811, -0.2191723410486574, -0.2077744369633784, -0.1996223796150426, -0.1993368128613703, -0.1993746904530992, -0.1854475854342856, -0.1804254702928653, -0.1822020842702935, -0.1852629397349441, -0.1750130619107691, -0.1715698341540894, -0.1546570019390497, -0.1510984828110068, -0.1520575236530781, -0.1438008808688997, -0.1302834573726813, -0.1339386255005216, -0.1206369457878186, -0.1093093172906694, -0.110114389905547, -0.1038395146688144, -0.0902660136673099, -0.0854416307680572, -0.0775085064244818, -0.0745836417502003, -0.057720362370158, -0.0493492671401641, -0.0375244225454458, -0.0325749596613428, -0.0320650628079155, -0.0945945426004052]| 99.7195968627929688|      0.20000000|[2125, 126, 0, 18]                                                         |  | trying linear partial model with 122 points | iterate success | actual_k=7
      10|[-0.0896850302893391, -0.0339087449179496, -0.0375246875611485, -0.0409251964423265, -0.0459273553540568, -0.0581470115698701, -0.0629524856596076, -0.073051946183407, -0.0807800638171629, -0.0932269591272965, -0.0939787079247589, -0.101055203683243, -0.1141737758768347, -0.126463267322775, -0.1264888566233253, -0.1372313001263666, -0.1351193650245033, -0.1468390599504401, -0.1550186892650625, -0.1578878511130595, -0.1635104397894433, -0.171098609756621, -0.174345499033188, -0.1831354081199907, -0.1880021106894398, -0.1896704890448944, -0.1999723180379805, -0.1924870186707183, -0.1998484686531987, -0.2011053193179063, -0.2069971398393269, -0.217734122361137, -0.2349415690453714, -0.2314822628614909, -0.2230101573361412, -0.2345630311617234, -0.2316780899784181, -0.23927011058522, -0.239104896612066, -0.2395015665912878, -0.2358090513530005, -0.2412010378585815, -0.2495526996686672, -0.2393925173126996, -0.2516440925467497, -0.2565505317940819, -0.2464040859792907, -0.2443833953568053, -0.2472715799647529, -0.2500621345521323, -0.2528173707210636, -0.2527548907909708, -0.2491730693024636, -0.2497808728810901, -0.2520887343538885, -0.2541457269001195, -0.2432716144971173, -0.2394331365022848, -0.2384333569290774, -0.2515114401435627, -0.2469236607892539, -0.2327596097807026, -0.2369728661099745, -0.2372394503645259, -0.2312379609543173, -0.2271653106689075, -0.2259378112904831, -0.2185894252555083, -0.2170477417211811, -0.2191723410486574, -0.2077744369633784, -0.1996223796150426, -0.1993368128613703, -0.1993746904530992, -0.1854475854342856, -0.1804254702928653, -0.1822020842702935, -0.1852629397349441, -0.1750130619107691, -0.1715698341540894, -0.1546570019390497, -0.1510984828110068, -0.1520575236530781, -0.1438008808688997, -0.1302834573726813, -0.1339386255005216, -0.1206369457878186, -0.1093093172906694, -0.110114389905547, -0.1038395146688144, -0.0902660136673099, -0.0854416307680572, -0.0775085064244818, -0.0745836417502003, -0.057720362370158, -0.0493492671401641, -0.0375244225454458, -0.0325749596613428, -0.0320650628079155, -0.0945945426004052]| 99.7195968627929688|      0.04000000|[2360, 140, 0, 20]                                                         |  | trying linear partial model with 122 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
