k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      0.50000000|[116, 8, 0, 4]                                                             |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 87 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[0.1926794424964161, -0.0885934075991072, 0.0294401276571428, 0.3843733883812012, -0.0993055747865909, -0.0494211579453784, 0.0593181745522664, 0.0342940847198732, -0.0170510429183545, -0.0040500451769357, -0.10309377026357, 0.0398227686165818, 0.036324648834769, -0.1018458847730667, -0.0301064539243519, 0.0045396641716613, 0.043337866894746, -0.0673274279943374, 0.0010422760728211, 0.0279419393648747, -0.0614222520949115, -0.0575444544011178]| 14.1156024932861328|      1.00000000|[174, 12, 0, 6]                                                            |  | trying quadratic partial model with 31 points | iterate success | actual_k=2
       3|[0.1926794424964161, -0.0885934075991072, 0.0294401276571428, 0.3843733883812012, -0.0993055747865909, -0.0494211579453784, 0.0593181745522664, 0.0342940847198732, -0.0170510429183545, -0.0040500451769357, -0.10309377026357, 0.0398227686165818, 0.036324648834769, -0.1018458847730667, -0.0301064539243519, 0.0045396641716613, 0.043337866894746, -0.0673274279943374, 0.0010422760728211, 0.0279419393648747, -0.0614222520949115, -0.0575444544011178]| 14.1156024932861328|      0.50000000|[288, 20, 0, 10]                                                           |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 87 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[0.4953808140594644, -0.0629094391281165, 0.0972272287189913, 0.7755819038259518, -0.0979118653207353, -0.0472039133921775, 0.0586631162597264, 0.0360480276033695, -0.0173731053311351, -0.0041839736512562, -0.1009341025568537, 0.0380175880913911, 0.0367254735588345, -0.1037928294150135, -0.0306738854117793, 0.0072408372423662, 0.0410174864890349, -0.0645576228421417, -0.0004751121179022, 0.0243891896572758, -0.0633762473581544, -0.0541913777942995]| 13.2696895599365234|      1.00000000|[402, 28, 0, 14]                                                           |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 87 points | iterate success | actual_k=2
       5|[0.4953808140594644, -0.0629094391281165, 0.0972272287189913, 0.7755819038259518, -0.0979118653207353, -0.0472039133921775, 0.0586631162597264, 0.0360480276033695, -0.0173731053311351, -0.0041839736512562, -0.1009341025568537, 0.0380175880913911, 0.0367254735588345, -0.1037928294150135, -0.0306738854117793, 0.0072408372423662, 0.0410174864890349, -0.0645576228421417, -0.0004751121179022, 0.0243891896572758, -0.0633762473581544, -0.0541913777942995]| 13.2696895599365234|      0.50000000|[489, 34, 0, 17]                                                           |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 60 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[0.4953808140594644, -0.0629094391281165, 0.0972272287189913, 0.7755819038259518, -0.0979118653207353, -0.0472039133921775, 0.0586631162597264, 0.0360480276033695, -0.0173731053311351, -0.0041839736512562, -0.1009341025568537, 0.0380175880913911, 0.0367254735588345, -0.1037928294150135, -0.0306738854117793, 0.0072408372423662, 0.0410174864890349, -0.0645576228421417, -0.0004751121179022, 0.0243891896572758, -0.0633762473581544, -0.0541913777942995]| 13.2696895599365234|      0.25000000|[577, 40, 0, 20]                                                           |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 60 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[0.6101451711440948, -0.1095351217660601, 0.1344163822679461, 0.9351732140849981, -0.0680535637848096, -0.0590397871400001, 0.1133745143195015, 0.0539025001983994, -0.028277872094544, 0.0090175646651263, -0.0812985923646884, 0.0544799404335769, 0.024133794255273, -0.1882356365991897, -0.0798253414894271, -0.0373139106086197, 0.0247507691223549, -0.0418925611441146, -0.0380576174496945, 0.0176826525036192, -0.0736716312186455, -0.0854552347147886]| 13.0010948181152344|      0.50000000|[635, 44, 0, 22]                                                           |  | trying quadratic partial model with 31 points | iterate success | actual_k=2
       8|[0.903552684137185, -0.091299626218823, 0.203596569857082, 1.332386653048835, -0.074537653108037, -0.060778094030895, 0.121860116784495, 0.0454235220065148, -0.0255882743516808, -0.0070607235681322, -0.0953208536764045, 0.0449710992319074, 0.0169842047367564, -0.1922812484322937, -0.0773571214138391, -0.0429566494234136, 0.0194167374823283, -0.0429823150747327, -0.0401272311844259, 0.0277601174857024, -0.077484277174724, -0.0896863363056677]| 12.4844703674316406|      1.00000000|[749, 52, 0, 26]                                                           |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 87 points | iterate success | actual_k=2
       9|[0.903552684137185, -0.091299626218823, 0.203596569857082, 1.332386653048835, -0.074537653108037, -0.060778094030895, 0.121860116784495, 0.0454235220065148, -0.0255882743516808, -0.0070607235681322, -0.0953208536764045, 0.0449710992319074, 0.0169842047367564, -0.1922812484322937, -0.0773571214138391, -0.0429566494234136, 0.0194167374823283, -0.0429823150747327, -0.0401272311844259, 0.0277601174857024, -0.077484277174724, -0.0896863363056677]| 12.4844703674316406|      0.50000000|[836, 58, 0, 29]                                                           |  | trying quadratic partial model with 31 points | trying quadratic partial model with 59 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[0.903552684137185, -0.091299626218823, 0.203596569857082, 1.332386653048835, -0.074537653108037, -0.060778094030895, 0.121860116784495, 0.0454235220065148, -0.0255882743516808, -0.0070607235681322, -0.0953208536764045, 0.0449710992319074, 0.0169842047367564, -0.1922812484322937, -0.0773571214138391, -0.0429566494234136, 0.0194167374823283, -0.0429823150747327, -0.0401272311844259, 0.0277601174857024, -0.077484277174724, -0.0896863363056677]| 12.4844703674316406|      0.25000000|[950, 66, 0, 33]                                                           |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 87 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
