k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2, 0.21, 0.22, 0.23, 0.24, 0.25, 0.26, 0.27, 0.28, 0.29, 0.3, 0.31, 0.32, 0.33, 0.34, 0.35, 0.36, 0.37, 0.38, 0.39, 0.4, 0.41, 0.42, 0.43, 0.44, 0.45, 0.46, 0.47, 0.48, 0.49, 0.5, 0.51, 0.52, 0.53, 0.54, 0.55, 0.56, 0.57, 0.58, 0.59, 0.6, 0.61, 0.62, 0.63, 0.64, 0.65, 0.66, 0.67, 0.68, 0.69, 0.7, 0.71, 0.72, 0.73, 0.74, 0.75, 0.76, 0.77, 0.78, 0.79, 0.8, 0.81, 0.82, 0.83, 0.84, 0.85, 0.86, 0.87, 0.88, 0.89, 0.9, 0.91, 0.92, 0.93, 0.94, 0.95, 0.96, 0.97, 0.98, 0.99, 1.0]|-56.4814000545650217|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0502931236081371, -0.0916990481036559, 0.1595668792315076, 0.1177771803890996, -0.0015621821230521, 0.1824472763626848, 0.0524332214929496, -0.0052532122766498, -0.0155475388451927, 0.0968212165862606, 0.2605424952815469, 0.0191672422052361, 0.2542766482772113, -0.0065736676037112, 0.1799169858086946, -0.0433017850855633, 0.0504359669893438, 0.1547668931235447, 0.2890781294916136, 0.2144051055526771, 0.239330605701288, 0.2339548908233645, 0.0679630419139991, 0.3204451484302298, 0.3159871951895661, 0.3006662300548369, 0.2980063990792589, 0.23124473319932, 0.3748031506279839, 0.3437893324637045, 0.37394274370648, 0.2695972045879066, 0.4458430639466541, 0.3639819994697347, 0.3827950147960107, 0.4283760707868283, 0.4170332016100338, 0.4049439590610488, 0.3886147798795112, 0.3598623996556357, 0.3509468003127436, 0.4629909808509895, 0.5221808109555569, 0.2819048493490699, 0.4951755839839238, 0.4317007999043299, 0.4535196174422764, 0.6301670163933693, 0.4115924615322488, 0.5828529413051509, 0.4653277593269448, 0.4825758344637065, 0.5750163456196439, 0.5465075179995934, 0.5254500079561794, 0.5223792167456983, 0.6028041578062991, 0.6270795311171266, 0.5879618149091174, 0.6336631581012117, 0.7194239532666338, 0.6993829748603326, 0.59966161885802, 0.6580316433717314, 0.6707002874276885, 0.7804369655613685, 0.756848891839225, 0.6097916078254042, 0.7041874086204812, 0.560248964117027, 0.8328685960545041, 0.7873863502537924, 0.7717815925851328, 0.7287170672405484, 0.6240887164427029, 0.8043053344383908, 0.7477424756955245, 0.6562290425063839, 0.875923973344802, 0.8978179210085356, 0.9039150802639233, 0.7329598481703385, 0.9470035474296725, 0.8822118522171352, 0.8326768258260104, 1.0496728998596512, 0.9801089353893914, 0.9202479197634037, 0.8048784975532248, 1.0332844192779167, 1.0641945138117856, 0.8142311227808561, 0.9879864851820207, 1.189441244728983, 1.2076639628014767, 1.1444710026273488, 1.2068640246121525, 1.2524740530324958, 1.1717359808937655, 1.0863324830318812]|-115.2257232666015625|      2.00000000|[185, 52, 0, 2]                                                            |  | trying linear partial model with 103 points | iterate success | actual_k=26
       2|[-0.146810835264302, -0.3875640471233321, 0.1853877537545182, 0.4557230467020089, 0.2307920262967952, 0.3613762845307583, 0.0961805626173374, 0.0776071964299497, 0.0892896449316106, 0.2715756768752623, 0.4363168104969745, -0.1970463882233054, 0.2746516174023112, 0.1048636813103868, 0.0443992646474173, 0.1070661125880427, 0.2451338461710921, -0.0686390589306434, 0.4660110872041632, 0.0459140777775334, 0.3498864430080229, 0.0423563154144468, 0.2591587955964449, 0.2490530543889851, 0.0991398477655602, 0.1129185966507801, 0.4413502565124595, 0.4313779018411411, 0.4446396105272197, 0.3699008127319479, 0.5666418533921388, 0.3159196496394722, 0.4064261667452279, 0.3790090344787816, 0.5146840485080495, 0.5632892336823219, 0.8703510918682562, 0.1433651867316328, 0.4745999684741612, 0.0315069351921542, 0.3980102357929557, 0.5348070262171688, 0.671861659581473, 0.0562854764307124, 0.2794435202595312, 0.2721511426101019, 0.3201967609265965, 0.8613424324565462, 0.4009570598843831, 0.5345800363699837, 0.7839809725004302, 0.7849878132239783, 0.7522114946315542, 0.416679611645266, 0.5590436834740792, 0.4303418373217348, 0.526220866458389, 0.7353130656836149, 0.6896769693520346, 0.3679423840653518, 0.8540785428387142, 0.9424455682062002, 0.6208120090114198, 0.8129023189975428, 0.6490646807990478, 0.732943970563766, 0.9270239261565177, 0.7312346003758559, 0.6994703129689686, 0.4379577432470578, 0.9514717459780588, 0.9788326463491351, 0.8807979452872194, 1.1865702818318904, 0.9323607592314261, 0.7356366859129914, 0.804241854522008, 0.8231594191523077, 0.9047466956909381, 1.0161241804422971, 0.7664180488201151, 0.8330982639481385, 1.2215113494073493, 1.0243087233682056, 0.9841469922023427, 1.2170763280295973, 0.5915591449655799, 1.1764846356145149, 0.7945643171247762, 1.6005666708983113, 1.2630645030709937, 0.9566071685970693, 1.170310042171515, 1.3422183673351307, 1.634393517639284, 1.5306076962803121, 1.3364900082966331, 1.7178099808283527, 1.2757883260816283, 1.362491557402418]|-281.7668762207031250|      4.00000000|[370, 104, 0, 4]                                                           |  | trying linear partial model with 103 points | iterate success | actual_k=26
       3|[0.4149463630761097, -0.7829990616896823, 0.4630495854528986, 0.3031751784663811, 0.4817824373020949, 0.2709099418634699, 0.3560754801740615, -0.5014599784562651, 0.6422217851946507, 0.2953049159083664, 1.5736516416072153, -0.7665293993073063, 0.5292316752778528, -0.2375980888471258, 0.2249678016649435, -0.1201206213511463, 0.5248503148941666, 0.1444650137970614, 0.5772647825295592, -0.4595211242187199, -0.4012978258463827, 0.2238177375855627, -0.5548240890424105, 0.3604942492081255, 0.0045816311246264, 0.5553833027899546, 0.2627693812176203, -0.4506379774374337, -0.3009367428967168, 0.7042729182794579, 0.7385830889534708, 0.6080355585770487, 1.2365421024345307, 0.0217594533310936, 0.8888921359878574, 0.6175624754768368, 0.9702038888135752, 0.3322884036082298, 0.4035206055348414, -0.1559811840740271, 0.5327282121196705, 0.7705108756349691, 0.6665854538043959, 0.1814929167827677, -0.1895964473956149, 0.2740868115032674, 0.7622497173805717, 1.5055186552953144, 0.8147967804923623, 1.0353647744079706, 0.8908363640524394, 0.8250944017710259, 1.0396765752649095, 0.7296354280296438, 0.8338533564081504, 1.1394174531651546, 0.5574829740293996, 0.74509916240361, 1.3122477139436626, 0.3663643023682685, 0.692860488390416, 1.567047088069692, 0.3529798267853135, 0.9238962951647788, 1.5547833882082949, 0.8474668732582854, 0.7249507394978261, 1.1291428515171171, 0.5171721497383661, 1.0741877836256948, 1.0047038131829733, 1.1093133500962429, 0.4994414611467315, 1.6626520355649057, 1.1470886426559124, 0.7851988608560296, 1.1438353549642293, 0.7053487539628429, 1.9377672253946603, 1.1773201144581615, 0.6562932083797898, 0.7923675967286486, 1.7269331000117623, 1.252804973150303, 1.0971511103190845, 1.521568722868678, 0.5099490274486701, 0.9154101890624851, 0.4792574172244581, 1.8802465764026595, 1.1861815278591412, 1.2433210954907077, 1.216817256945903, 1.5231156467468014, 1.5691324589327298, 1.5431295108400493, 2.258558424746163, 2.319461946828803, 1.0511860929102261, 1.1359872934169912]|-694.0650634765625000|      8.00000000|[552, 156, 0, 6]                                                           |  | trying linear partial model with 103 points | iterate success | actual_k=26
       4|[0.4149463630761097, -0.7829990616896823, 0.4630495854528986, 0.3031751784663811, 0.4817824373020949, 0.2709099418634699, 0.3560754801740615, -0.5014599784562651, 0.6422217851946507, 0.2953049159083664, 1.5736516416072153, -0.7665293993073063, 0.5292316752778528, -0.2375980888471258, 0.2249678016649435, -0.1201206213511463, 0.5248503148941666, 0.1444650137970614, 0.5772647825295592, -0.4595211242187199, -0.4012978258463827, 0.2238177375855627, -0.5548240890424105, 0.3604942492081255, 0.0045816311246264, 0.5553833027899546, 0.2627693812176203, -0.4506379774374337, -0.3009367428967168, 0.7042729182794579, 0.7385830889534708, 0.6080355585770487, 1.2365421024345307, 0.0217594533310936, 0.8888921359878574, 0.6175624754768368, 0.9702038888135752, 0.3322884036082298, 0.4035206055348414, -0.1559811840740271, 0.5327282121196705, 0.7705108756349691, 0.6665854538043959, 0.1814929167827677, -0.1895964473956149, 0.2740868115032674, 0.7622497173805717, 1.5055186552953144, 0.8147967804923623, 1.0353647744079706, 0.8908363640524394, 0.8250944017710259, 1.0396765752649095, 0.7296354280296438, 0.8338533564081504, 1.1394174531651546, 0.5574829740293996, 0.74509916240361, 1.3122477139436626, 0.3663643023682685, 0.692860488390416, 1.567047088069692, 0.3529798267853135, 0.9238962951647788, 1.5547833882082949, 0.8474668732582854, 0.7249507394978261, 1.1291428515171171, 0.5171721497383661, 1.0741877836256948, 1.0047038131829733, 1.1093133500962429, 0.4994414611467315, 1.6626520355649057, 1.1470886426559124, 0.7851988608560296, 1.1438353549642293, 0.7053487539628429, 1.9377672253946603, 1.1773201144581615, 0.6562932083797898, 0.7923675967286486, 1.7269331000117623, 1.252804973150303, 1.0971511103190845, 1.521568722868678, 0.5099490274486701, 0.9154101890624851, 0.4792574172244581, 1.8802465764026595, 1.1861815278591412, 1.2433210954907077, 1.216817256945903, 1.5231156467468014, 1.5691324589327298, 1.5431295108400493, 2.258558424746163, 2.319461946828803, 1.0511860929102261, 1.1359872934169912]|-694.0650634765625000|      4.00000000|[735, 208, 0, 8]                                                           |  | trying linear partial model with 103 points | exploitation failed, decreasing delta | actual_k=26
       5|[0.4149463630761097, -0.7829990616896823, 0.4630495854528986, 0.3031751784663811, 0.4817824373020949, 0.2709099418634699, 0.3560754801740615, -0.5014599784562651, 0.6422217851946507, 0.2953049159083664, 1.5736516416072153, -0.7665293993073063, 0.5292316752778528, -0.2375980888471258, 0.2249678016649435, -0.1201206213511463, 0.5248503148941666, 0.1444650137970614, 0.5772647825295592, -0.4595211242187199, -0.4012978258463827, 0.2238177375855627, -0.5548240890424105, 0.3604942492081255, 0.0045816311246264, 0.5553833027899546, 0.2627693812176203, -0.4506379774374337, -0.3009367428967168, 0.7042729182794579, 0.7385830889534708, 0.6080355585770487, 1.2365421024345307, 0.0217594533310936, 0.8888921359878574, 0.6175624754768368, 0.9702038888135752, 0.3322884036082298, 0.4035206055348414, -0.1559811840740271, 0.5327282121196705, 0.7705108756349691, 0.6665854538043959, 0.1814929167827677, -0.1895964473956149, 0.2740868115032674, 0.7622497173805717, 1.5055186552953144, 0.8147967804923623, 1.0353647744079706, 0.8908363640524394, 0.8250944017710259, 1.0396765752649095, 0.7296354280296438, 0.8338533564081504, 1.1394174531651546, 0.5574829740293996, 0.74509916240361, 1.3122477139436626, 0.3663643023682685, 0.692860488390416, 1.567047088069692, 0.3529798267853135, 0.9238962951647788, 1.5547833882082949, 0.8474668732582854, 0.7249507394978261, 1.1291428515171171, 0.5171721497383661, 1.0741877836256948, 1.0047038131829733, 1.1093133500962429, 0.4994414611467315, 1.6626520355649057, 1.1470886426559124, 0.7851988608560296, 1.1438353549642293, 0.7053487539628429, 1.9377672253946603, 1.1773201144581615, 0.6562932083797898, 0.7923675967286486, 1.7269331000117623, 1.252804973150303, 1.0971511103190845, 1.521568722868678, 0.5099490274486701, 0.9154101890624851, 0.4792574172244581, 1.8802465764026595, 1.1861815278591412, 1.2433210954907077, 1.216817256945903, 1.5231156467468014, 1.5691324589327298, 1.5431295108400493, 2.258558424746163, 2.319461946828803, 1.0511860929102261, 1.1359872934169912]|-694.0650634765625000|      2.00000000|[920, 260, 0, 10]                                                          |  | trying linear partial model with 103 points | exploitation failed, decreasing delta | actual_k=26
       6|[0.6148578498366196, -1.1149238028140511, 0.598590377770257, 0.5301089852383413, 0.6136487834264694, 0.2865605750020452, 0.4878939986601672, -0.753473586127331, 0.8180875173573315, 0.6071782462900776, 1.9054713349677164, -1.153377960977386, 0.5605659779778829, -0.6875299155944792, 0.1215779405826715, -0.2190145038184885, 0.6892434247860665, 0.262445627739728, 0.6233685506098494, -0.6894824864157815, -0.6310272751323779, 0.0568879968067602, -0.905083409667513, 0.4699032456724686, 0.0241721389592327, 0.685141672057763, 0.2451444060128387, -0.7116599103249226, -0.6474502532200845, 0.8608076295156861, 0.7948837619959378, 0.8054888419735539, 1.3615252807611884, -0.044526532833955, 1.383934554755376, 0.7280493369054688, 0.9078165316622328, 0.3350050038028912, 0.5355896182064962, -0.4933981600705616, 0.4979605578491914, 0.8299901822617068, 0.4894531721150281, 0.4304418463014631, -0.2581212177495533, 0.3421190895358978, 0.6961880855287965, 1.6699955408656637, 1.0908391399192332, 1.0553229963547865, 0.8478516038120594, 0.7707906794990608, 0.9982041864760995, 0.6003248182007499, 0.8410515687315581, 1.1434696155047945, 0.7003822662507726, 0.7945770170139809, 1.422265655067891, 0.3214800981607818, 0.7374828895771249, 1.9242271589528215, 0.3909895030974778, 0.905143548024681, 2.158986358493793, 1.0053251189594437, 0.5057674872411753, 1.162654838563952, 0.6999268715712974, 0.9439834079923304, 1.1506857735407312, 1.3407588375265937, 0.8220796955552019, 2.035659608205789, 1.4838329791289828, 0.7755333626465117, 1.3781622747531976, 0.7468811451383245, 2.0314602710532057, 1.3729287282850524, 0.7434097010185721, 1.128266075969707, 1.6796692910792712, 1.1845276148958894, 1.3747778960372585, 1.7507070468053265, 0.411827834432186, 1.0946866951309255, 0.7836736643045085, 2.0787876165738073, 1.2652459610440874, 1.5059521881802933, 1.3152451979738233, 1.6938205314481798, 1.6710868337273277, 1.7321175143156258, 2.198857576294896, 2.1480660963205835, 1.1621374410841812, 1.2099940312715087]|-1066.7033691406250000|      4.00000000|[1106, 312, 0, 12]                                                         |  | trying linear partial model with 103 points | iterate success | actual_k=26
       7|[0.708596643234785, -1.106462402584248, 1.0912479634626349, 0.4878074606649574, 0.7999328381155013, 0.0197938856210827, 0.2850914048839208, -1.7263778417608717, 1.1188940523491318, 0.7275721947944268, 1.7422658560735964, -0.8336851228154931, 0.5110987140989285, -1.1092498309298229, 0.3216156016168014, -1.008081914062793, 1.7215794141594243, 0.379115853438753, 0.7670503896737739, -1.5559727290240688, -1.0534510880432297, -0.2223506307512151, -0.8508564854614212, 0.5001446646490916, 0.3053727936084204, 1.2148936650752713, 0.2950843535313878, -1.0467875720678097, -0.7678141210188333, 1.6578157451926692, 1.3831789830761916, 1.2312728256658045, 1.8058275712914855, 0.0958658840664033, 1.3719530363372543, 0.8802556681638223, 0.7858377636339253, 0.2853911784049307, 0.7909684185556061, -0.5352973482192, 0.7991215086659412, 1.0797749845759042, 0.8279958619132157, -0.174040323945498, -0.9114165542276843, 0.5469973473879195, 0.64770144402898, 2.102234755811387, 1.4868309648566185, 1.9353215309883127, 0.6614366265259426, 0.5177809940412286, 1.7463410456846675, 0.8244767415909611, 1.3635004574673821, 0.8452069953654873, 0.6235652298464041, 1.6373984961723496, 2.1754934174486604, 0.5115853659361884, 1.0970964980371882, 2.619722265759304, 0.3379746363889513, 1.252161402810862, 1.9435872086401367, 1.450653287807573, 0.0988217170611024, 1.876666580793575, 1.0925457946233244, 1.0990833560107345, 1.360324931969001, 1.1916383404936637, 1.2141096541528593, 1.3543920161653213, 1.1398549599918786, 0.8060373295261358, 1.8274518583362103, 0.6379293496530007, 1.68135627499339, 1.2866771891011752, 1.0675399306316593, 1.0081170331786682, 2.022366174627281, 1.319072355830938, 2.1100251875968192, 2.0044193570097013, 0.5706912740382051, 1.691612044530483, 0.5721365588724509, 1.9164559958288163, 1.549001556528669, 1.9625835706998649, 1.3458572029557112, 1.435284781171967, 1.9192088621398555, 1.9641529709996077, 2.1453605464210104, 2.145739576869061, 1.4889351641215272, 1.223733237486074]|-1323.1602783203125000|      8.00000000|[1290, 364, 0, 14]                                                         |  | trying linear partial model with 103 points | iterate success | actual_k=26
       8|[0.708596643234785, -1.106462402584248, 1.0912479634626349, 0.4878074606649574, 0.7999328381155013, 0.0197938856210827, 0.2850914048839208, -1.7263778417608717, 1.1188940523491318, 0.7275721947944268, 1.7422658560735964, -0.8336851228154931, 0.5110987140989285, -1.1092498309298229, 0.3216156016168014, -1.008081914062793, 1.7215794141594243, 0.379115853438753, 0.7670503896737739, -1.5559727290240688, -1.0534510880432297, -0.2223506307512151, -0.8508564854614212, 0.5001446646490916, 0.3053727936084204, 1.2148936650752713, 0.2950843535313878, -1.0467875720678097, -0.7678141210188333, 1.6578157451926692, 1.3831789830761916, 1.2312728256658045, 1.8058275712914855, 0.0958658840664033, 1.3719530363372543, 0.8802556681638223, 0.7858377636339253, 0.2853911784049307, 0.7909684185556061, -0.5352973482192, 0.7991215086659412, 1.0797749845759042, 0.8279958619132157, -0.174040323945498, -0.9114165542276843, 0.5469973473879195, 0.64770144402898, 2.102234755811387, 1.4868309648566185, 1.9353215309883127, 0.6614366265259426, 0.5177809940412286, 1.7463410456846675, 0.8244767415909611, 1.3635004574673821, 0.8452069953654873, 0.6235652298464041, 1.6373984961723496, 2.1754934174486604, 0.5115853659361884, 1.0970964980371882, 2.619722265759304, 0.3379746363889513, 1.252161402810862, 1.9435872086401367, 1.450653287807573, 0.0988217170611024, 1.876666580793575, 1.0925457946233244, 1.0990833560107345, 1.360324931969001, 1.1916383404936637, 1.2141096541528593, 1.3543920161653213, 1.1398549599918786, 0.8060373295261358, 1.8274518583362103, 0.6379293496530007, 1.68135627499339, 1.2866771891011752, 1.0675399306316593, 1.0081170331786682, 2.022366174627281, 1.319072355830938, 2.1100251875968192, 2.0044193570097013, 0.5706912740382051, 1.691612044530483, 0.5721365588724509, 1.9164559958288163, 1.549001556528669, 1.9625835706998649, 1.3458572029557112, 1.435284781171967, 1.9192088621398555, 1.9641529709996077, 2.1453605464210104, 2.145739576869061, 1.4889351641215272, 1.223733237486074]|-1323.1602783203125000|      4.00000000|[1476, 416, 0, 16]                                                         |  | trying linear partial model with 103 points | exploitation failed, decreasing delta | actual_k=26
       9|[0.708596643234785, -1.106462402584248, 1.0912479634626349, 0.4878074606649574, 0.7999328381155013, 0.0197938856210827, 0.2850914048839208, -1.7263778417608717, 1.1188940523491318, 0.7275721947944268, 1.7422658560735964, -0.8336851228154931, 0.5110987140989285, -1.1092498309298229, 0.3216156016168014, -1.008081914062793, 1.7215794141594243, 0.379115853438753, 0.7670503896737739, -1.5559727290240688, -1.0534510880432297, -0.2223506307512151, -0.8508564854614212, 0.5001446646490916, 0.3053727936084204, 1.2148936650752713, 0.2950843535313878, -1.0467875720678097, -0.7678141210188333, 1.6578157451926692, 1.3831789830761916, 1.2312728256658045, 1.8058275712914855, 0.0958658840664033, 1.3719530363372543, 0.8802556681638223, 0.7858377636339253, 0.2853911784049307, 0.7909684185556061, -0.5352973482192, 0.7991215086659412, 1.0797749845759042, 0.8279958619132157, -0.174040323945498, -0.9114165542276843, 0.5469973473879195, 0.64770144402898, 2.102234755811387, 1.4868309648566185, 1.9353215309883127, 0.6614366265259426, 0.5177809940412286, 1.7463410456846675, 0.8244767415909611, 1.3635004574673821, 0.8452069953654873, 0.6235652298464041, 1.6373984961723496, 2.1754934174486604, 0.5115853659361884, 1.0970964980371882, 2.619722265759304, 0.3379746363889513, 1.252161402810862, 1.9435872086401367, 1.450653287807573, 0.0988217170611024, 1.876666580793575, 1.0925457946233244, 1.0990833560107345, 1.360324931969001, 1.1916383404936637, 1.2141096541528593, 1.3543920161653213, 1.1398549599918786, 0.8060373295261358, 1.8274518583362103, 0.6379293496530007, 1.68135627499339, 1.2866771891011752, 1.0675399306316593, 1.0081170331786682, 2.022366174627281, 1.319072355830938, 2.1100251875968192, 2.0044193570097013, 0.5706912740382051, 1.691612044530483, 0.5721365588724509, 1.9164559958288163, 1.549001556528669, 1.9625835706998649, 1.3458572029557112, 1.435284781171967, 1.9192088621398555, 1.9641529709996077, 2.1453605464210104, 2.145739576869061, 1.4889351641215272, 1.223733237486074]|-1323.1602783203125000|      2.00000000|[1658, 468, 0, 18]                                                         |  | trying linear partial model with 103 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=26
      10|[0.955336246173744, -1.0515481336602412, 0.7887369522665064, 0.5825482981857776, 1.0380327098721378, 0.2652905816266041, 0.4556187246940001, -1.582907791790259, 1.2920251818413424, 0.8679324022790185, 2.000282280695602, -0.9780763637263049, 0.7384894720481835, -1.0479858949222545, 0.5589876070883047, -1.1368593870027213, 1.811258604412651, 0.7961480844211082, 0.8927207895708626, -1.3521043567208015, -1.021829786845116, -0.4181429258650223, -1.0596628740491911, 0.7637975908039346, 0.4659713669984636, 1.2686104839207388, 0.608444503294459, -1.411181912905228, -0.9224964557617171, 1.7938566994260305, 1.148996375748784, 1.1673184875979283, 2.0112618941747247, 0.1179707426288657, 1.2901854563725261, 1.038021662458308, 0.9123878114837813, 0.6354716400457858, 1.0710980920821034, -0.8995940166171758, 0.558066470474718, 1.0525527802948196, 0.9874312048288408, -0.3826132481309146, -1.0757345628330182, 0.65424794482591, 0.8811473985401441, 1.8644157348437334, 1.3904511720144122, 1.9602718922612663, 0.8609831337925674, 0.8236598355009317, 1.6625731590349417, 1.0037123222315434, 1.3594002979535844, 1.1543393156092985, 0.5862089756300225, 1.8087557422158635, 1.8292231082199601, 0.9187806813468299, 1.055372649915785, 2.32045114426291, 0.6029269613032451, 1.2152738548365396, 1.9817161243826666, 1.315871866917956, -0.1041723075094167, 2.1627164825351772, 1.1024701440926301, 1.0833539681873297, 1.3704689002524966, 1.0529756745925223, 1.1970635407735606, 1.37494183233297, 1.0527674172172992, 0.8487967728006923, 1.9424695649237116, 0.6798211896397891, 1.7512259387015414, 1.3609695488779363, 0.9625610473714074, 0.6778183782770406, 2.1540582580329506, 1.0915776006152746, 2.368253384301284, 1.898730050344247, 0.8609204374684829, 1.8123419083347514, 0.9684325662391572, 1.8483272133185051, 1.4398212486371267, 2.2746357893534874, 1.2327546026458636, 1.2313289331188413, 2.0763809008647476, 2.2589948458944704, 2.414762493205831, 1.8666736014088883, 1.382742416049327, 1.0517911915077196]|-1578.4503173828125000|      4.00000000|[1840, 520, 0, 20]                                                         |  | trying linear partial model with 103 points | iterate success | actual_k=26
