k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[2.585762901606531, 1.2809351420969164, -8.14582549078534]                      | 16.2220954895019531|      2.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[2.585762901606531, 1.2809351420969164, -8.14582549078534]                      | 16.2220954895019531|      1.00000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[2.585762901606531, 1.2809351420969164, -8.14582549078534]                      | 16.2220954895019531|      0.50000000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[2.5381750056414174, 0.8039808755412559, -8.003522926606175]                    |  9.5452260971069336|      1.00000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[2.5381750056414174, 0.8039808755412559, -8.003522926606175]                    |  9.5452260971069336|      0.50000000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[2.5381750056414174, 0.8039808755412559, -8.003522926606175]                    |  9.5452260971069336|      0.25000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[2.3024955732486423, 0.807507111016966, -8.086846217530077]                     |  8.4312295913696289|      0.50000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[2.3024955732486423, 0.807507111016966, -8.086846217530077]                     |  8.4312295913696289|      0.25000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[2.187158616536171, 0.5857058360058489, -8.088103524075175]                     |  6.6456384658813477|      0.50000000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[1.7255800366326155, 0.3998491148142311, -8.13711876417576]                     |  4.2903375625610352|      1.00000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[1.7255800366326155, 0.3998491148142311, -8.13711876417576]                     |  4.2903375625610352|      0.50000000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[1.7255800366326155, 0.3998491148142311, -8.13711876417576]                     |  4.2903375625610352|      0.25000000|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[1.7255800366326155, 0.3998491148142311, -8.13711876417576]                     |  4.2903375625610352|      0.12500000|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.6316370727401805, 0.3264447852755435, -8.17468901756964]                     |  3.8491747379302979|      0.25000000|[85, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[1.4000839828726646, 0.3743151750590577, -8.093500395492526]                    |  3.2242593765258789|      0.50000000|[91, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[1.4000839828726646, 0.3743151750590577, -8.093500395492526]                    |  3.2242593765258789|      0.25000000|[97, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[1.266537674042338, 0.1743153163713084, -8.025196369822913]                     |  2.6453661918640137|      0.50000000|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[1.266537674042338, 0.1743153163713084, -8.025196369822913]                     |  2.6453661918640137|      0.25000000|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[1.036821219085976, 0.0796591989404615, -8.052955508051603]                     |  2.0817587375640869|      0.50000000|[113, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      22|[1.036821219085976, 0.0796591989404615, -8.052955508051603]                     |  2.0817587375640869|      0.25000000|[118, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      23|[1.036821219085976, 0.0796591989404615, -8.052955508051603]                     |  2.0817587375640869|      0.12500000|[124, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[0.9150844151685392, 0.0519135407488752, -8.047011685755875]                    |  1.8397215604782104|      0.25000000|[129, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      25|[0.9150844151685392, 0.0519135407488752, -8.047011685755875]                    |  1.8397215604782104|      0.12500000|[134, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      26|[0.7997230046636391, 0.0654822752949717, -8.000831230916868]                    |  1.6437544822692871|      0.25000000|[140, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      27|[0.7997230046636391, 0.0654822752949717, -8.000831230916868]                    |  1.6437544822692871|      0.12500000|[146, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[0.6782354759964586, 0.0654356171732567, -8.030255340102375]                    |  1.4642130136489868|      0.25000000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      29|[0.6782354759964586, 0.0654356171732567, -8.030255340102375]                    |  1.4642130136489868|      0.12500000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      30|[0.5549190256547407, 0.0594581213692057, -8.049808411959022]                    |  1.3112651109695435|      0.25000000|[164, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[0.5549190256547407, 0.0594581213692057, -8.049808411959022]                    |  1.3112651109695435|      0.12500000|[170, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
