k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.20000000|[425, 130, 0, 5]                                                           |  | trying linear partial model with 103 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 182 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 263 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 344 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=26
       2|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.04000000|[852, 260, 0, 10]                                                          |  | trying linear partial model with 103 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 184 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 266 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 348 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=26
       3|[0.5997621475397843, 0.0215681240923946, 1.8899700440134926, 0.6508819761802409, 0.0203274860155932, 2.0008103804320014, 1.300107361975087, 0.0205146871426183, 2.116870747161566, -0.0249802773006236, 0.0194466221234167, 2.1620134872457886, 1.2306676579329454, 0.0232541078395947, 2.222099551131746, 0.2199627445907081, 0.0206205591736535, 2.280418167469532, 1.3303264754600306, 0.0193506689503254, 2.390498851706714, 4.502718071798487, 0.0446397502042419, 2.4839669280948122, 0.6576470397124834, 0.0181105550929995, 2.556125592107158, 4.386564162517279, 0.0398514911162134, 2.703089968705196, 0.2307219973086459, 0.0169551637301443, 2.9404858971048182, 0.2336170088995471, 0.0236546171568004, 2.9639203964720386, 0.7085892690849918, 0.0169784672707525, 3.127205235500951, 0.2017051422032137, 0.0221917244277241, 3.2266734269302537, -0.0629843070105922, 0.0236086954652731, 3.25897472153971, 1.376729209717683, 0.0159082207436122, 3.378953127078726, 0.2368599418645443, 0.0187835880279234, 3.6732855291419866, 0.0597933181512077, 0.0170965918433338, 3.7203140870745894, 0.0200583052724671, 0.0182414272902387, 3.830962473507256, 0.4179023628925766, 0.0228554785464581, 3.95942988480667, 0.2664492607522161, 0.0185606278085271, 4.053768569378282, 0.8183733875947579, 0.0218304873919998, 4.179395378697047, 0.9631031328983328, 0.0199102376870846, 4.430553446540072, 0.7469405455453356, 0.0183286806105222, 4.559054503555838, 0.2127999630449384, 0.0239208425353507, 4.603526848863094, 0.5063815636135138, 0.0187650085001657, 4.699131542310887, 0.0453116817763864, 0.022509775676895, 4.8036062586744075, 0.3717210192941959, 0.0187415591650136, 4.971527342306807, 0.1554963454327118, 0.0192522912618647, 5.395092498498715, 0.2875056926125726, 0.0176568838954706, 5.4202278093402265, 0.0988005707790624, 0.021472755139882, 2.588676385720506, 0.0014417835240047, 0.0188873271160544, 3.8609369126120385, 0.1556910172129903, 0.0195453608494529, 5.1997410857530335]|341106.5937500000000000|      0.20000000|[1036, 312, 0, 12]                                                         |  | trying linear partial model with 103 points | iterate success | actual_k=26
       4|[0.5997621475397843, 0.0215681240923946, 1.8899700440134926, 0.6508819761802409, 0.0203274860155932, 2.0008103804320014, 1.300107361975087, 0.0205146871426183, 2.116870747161566, -0.0249802773006236, 0.0194466221234167, 2.1620134872457886, 1.2306676579329454, 0.0232541078395947, 2.222099551131746, 0.2199627445907081, 0.0206205591736535, 2.280418167469532, 1.3303264754600306, 0.0193506689503254, 2.390498851706714, 4.502718071798487, 0.0446397502042419, 2.4839669280948122, 0.6576470397124834, 0.0181105550929995, 2.556125592107158, 4.386564162517279, 0.0398514911162134, 2.703089968705196, 0.2307219973086459, 0.0169551637301443, 2.9404858971048182, 0.2336170088995471, 0.0236546171568004, 2.9639203964720386, 0.7085892690849918, 0.0169784672707525, 3.127205235500951, 0.2017051422032137, 0.0221917244277241, 3.2266734269302537, -0.0629843070105922, 0.0236086954652731, 3.25897472153971, 1.376729209717683, 0.0159082207436122, 3.378953127078726, 0.2368599418645443, 0.0187835880279234, 3.6732855291419866, 0.0597933181512077, 0.0170965918433338, 3.7203140870745894, 0.0200583052724671, 0.0182414272902387, 3.830962473507256, 0.4179023628925766, 0.0228554785464581, 3.95942988480667, 0.2664492607522161, 0.0185606278085271, 4.053768569378282, 0.8183733875947579, 0.0218304873919998, 4.179395378697047, 0.9631031328983328, 0.0199102376870846, 4.430553446540072, 0.7469405455453356, 0.0183286806105222, 4.559054503555838, 0.2127999630449384, 0.0239208425353507, 4.603526848863094, 0.5063815636135138, 0.0187650085001657, 4.699131542310887, 0.0453116817763864, 0.022509775676895, 4.8036062586744075, 0.3717210192941959, 0.0187415591650136, 4.971527342306807, 0.1554963454327118, 0.0192522912618647, 5.395092498498715, 0.2875056926125726, 0.0176568838954706, 5.4202278093402265, 0.0988005707790624, 0.021472755139882, 2.588676385720506, 0.0014417835240047, 0.0188873271160544, 3.8609369126120385, 0.1556910172129903, 0.0195453608494529, 5.1997410857530335]|341106.5937500000000000|      0.04000000|[1456, 442, 0, 17]                                                         |  | trying linear partial model with 103 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 181 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 263 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 343 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=26
       5|[0.6077355306605147, 0.0226208867560149, 1.8898076084798183, 0.6502275991999268, 0.0208912155551061, 1.9978470976323544, 1.3009424114463477, 0.0323945473761564, 2.115610681992637, -0.0242990716096955, 0.0169675504456976, 2.164190717069405, 1.2300897026163666, 0.0271433126912793, 2.2214504328273934, 0.2182218712275866, 0.0195717960943048, 2.2792103792407725, 1.326649718328082, 0.0250953644555679, 2.385471571172138, 4.503941660176612, 0.0600828877818374, 2.4833208613707227, 0.6580871226878664, 0.0221274983192363, 2.5595726561754293, 4.385939204747808, 0.055483878704894, 2.7078115052260845, 0.2287012508272952, 0.0199769696249549, 2.9368254202633732, 0.2348904753417343, 0.028019608466941, 2.961888535808984, 0.7102581183650983, 0.0229797084073182, 3.1287049045837128, 0.2039746640000936, 0.0224567955499007, 3.2276323526549353, -0.0607076368715507, 0.026178614096376, 3.262724079406546, 1.3765594725035937, 0.0331919948803871, 3.3822348330253567, 0.2396774875833391, 0.0208913286106411, 3.673512943505505, 0.055297299396085, 0.0154044053763306, 3.7220521400613964, 0.022414882601973, 0.0203131374941818, 3.8290762164612198, 0.4144595971261358, 0.0280168251833335, 3.958702602621455, 0.2651341222876809, 0.0189562962849207, 4.055786934308529, 0.8144628101351422, 0.0252957585211838, 4.177578493970484, 0.9603835438698674, 0.0263446806306081, 4.428755727664127, 0.7467227568614556, 0.0236674492991102, 4.559570966455104, 0.2124175573170199, 0.0239834813055725, 4.601544425800322, 0.5049612407063963, 0.0207461546541434, 4.701287513588045, 0.0454240969843965, 0.0187669635565416, 4.803405506746081, 0.3744185201285796, 0.0200999155501505, 4.969929874750276, 0.1550044999479377, 0.0216646589015523, 5.391195736219692, 0.2876414306518226, 0.0210573855311894, 5.420733065690113, 0.101055520425481, 0.0219148904365546, 2.5870438394489037, 0.0034274103387358, 0.0200245499236888, 3.8620776944377986, 0.158842263954799, 0.0187538437334585, 5.200831399329147]|286589.8437500000000000|      0.20000000|[1639, 494, 0, 19]                                                         |  | trying linear partial model with 103 points | iterate success | actual_k=26
       6|[0.6077355306605147, 0.0226208867560149, 1.8898076084798183, 0.6502275991999268, 0.0208912155551061, 1.9978470976323544, 1.3009424114463477, 0.0323945473761564, 2.115610681992637, -0.0242990716096955, 0.0169675504456976, 2.164190717069405, 1.2300897026163666, 0.0271433126912793, 2.2214504328273934, 0.2182218712275866, 0.0195717960943048, 2.2792103792407725, 1.326649718328082, 0.0250953644555679, 2.385471571172138, 4.503941660176612, 0.0600828877818374, 2.4833208613707227, 0.6580871226878664, 0.0221274983192363, 2.5595726561754293, 4.385939204747808, 0.055483878704894, 2.7078115052260845, 0.2287012508272952, 0.0199769696249549, 2.9368254202633732, 0.2348904753417343, 0.028019608466941, 2.961888535808984, 0.7102581183650983, 0.0229797084073182, 3.1287049045837128, 0.2039746640000936, 0.0224567955499007, 3.2276323526549353, -0.0607076368715507, 0.026178614096376, 3.262724079406546, 1.3765594725035937, 0.0331919948803871, 3.3822348330253567, 0.2396774875833391, 0.0208913286106411, 3.673512943505505, 0.055297299396085, 0.0154044053763306, 3.7220521400613964, 0.022414882601973, 0.0203131374941818, 3.8290762164612198, 0.4144595971261358, 0.0280168251833335, 3.958702602621455, 0.2651341222876809, 0.0189562962849207, 4.055786934308529, 0.8144628101351422, 0.0252957585211838, 4.177578493970484, 0.9603835438698674, 0.0263446806306081, 4.428755727664127, 0.7467227568614556, 0.0236674492991102, 4.559570966455104, 0.2124175573170199, 0.0239834813055725, 4.601544425800322, 0.5049612407063963, 0.0207461546541434, 4.701287513588045, 0.0454240969843965, 0.0187669635565416, 4.803405506746081, 0.3744185201285796, 0.0200999155501505, 4.969929874750276, 0.1550044999479377, 0.0216646589015523, 5.391195736219692, 0.2876414306518226, 0.0210573855311894, 5.420733065690113, 0.101055520425481, 0.0219148904365546, 2.5870438394489037, 0.0034274103387358, 0.0200245499236888, 3.8620776944377986, 0.158842263954799, 0.0187538437334585, 5.200831399329147]|286589.8437500000000000|      0.04000000|[2073, 624, 0, 24]                                                         |  | trying linear partial model with 103 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 186 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 271 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 354 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=26
       7|[0.6064290821759443, 0.0232939412270812, 1.887887004381805, 0.6482589389345744, 0.0216217905389731, 1.9983903588909337, 1.2978496867832359, 0.0400278831572356, 2.113534108820592, -0.026791648694766, 0.0136038420197594, 2.1655457911735083, 1.2317266946418046, 0.0312786191973143, 2.2212006434292584, 0.2193104605069687, 0.0207155443741887, 2.2777710257356723, 1.3269293619477651, 0.0353181578135013, 2.3802584819262553, 4.50267259549297, 0.0780653796905915, 2.48615559592324, 0.6587507538212388, 0.0250135377667001, 2.5625424127755387, 4.384499152131717, 0.0757270136093916, 2.7153384090058155, 0.2259807495339567, 0.0224905402033626, 2.9366482006943944, 0.2364309228107369, 0.0258079842008759, 2.9670509018026126, 0.7089279841040382, 0.0271289062335007, 3.1293228559371156, 0.2093058860192153, 0.0262107385582828, 3.228433723860729, -0.0615816037312283, 0.0216218749597812, 3.265775831313635, 1.3725978502002945, 0.0381330804500192, 3.3815784954275654, 0.2384909387214335, 0.0204111639553312, 3.673673448154394, 0.0598037132886219, 0.016345578239454, 3.723974731281644, 0.0253459591357293, 0.0202887488989646, 3.833169335515237, 0.4146456709783435, 0.0306987981473719, 3.960417450477628, 0.2661787422257956, 0.0166343144544214, 4.056029895417758, 0.8133937145581843, 0.0274149079173283, 4.1792909664215525, 0.9559716237730169, 0.0284881567809669, 4.434042299952114, 0.7409565762172082, 0.0244527274527555, 4.564497234319174, 0.2090926627554073, 0.0207105891853636, 4.602707025601187, 0.5021220047460689, 0.0162372685000193, 4.699535289441636, 0.0436806992997321, 0.0161893889959095, 4.806496286912304, 0.37383353381919, 0.0217744341549128, 4.9707818698576824, 0.1558633129724727, 0.0248891866133007, 5.392342463353477, 0.2884372703265288, 0.0205885153722839, 5.420522683194719, 0.0974197957557948, 0.0208155320288082, 2.5903508021762702, 0.0032193166571756, 0.0176435829955848, 3.8602291001507365, 0.1586771084719941, 0.0185960407431327, 5.195522321001147]|258893.3125000000000000|      0.20000000|[2254, 676, 0, 26]                                                         |  | trying linear partial model with 103 points | iterate success | actual_k=26
       8|[0.6064290821759443, 0.0232939412270812, 1.887887004381805, 0.6482589389345744, 0.0216217905389731, 1.9983903588909337, 1.2978496867832359, 0.0400278831572356, 2.113534108820592, -0.026791648694766, 0.0136038420197594, 2.1655457911735083, 1.2317266946418046, 0.0312786191973143, 2.2212006434292584, 0.2193104605069687, 0.0207155443741887, 2.2777710257356723, 1.3269293619477651, 0.0353181578135013, 2.3802584819262553, 4.50267259549297, 0.0780653796905915, 2.48615559592324, 0.6587507538212388, 0.0250135377667001, 2.5625424127755387, 4.384499152131717, 0.0757270136093916, 2.7153384090058155, 0.2259807495339567, 0.0224905402033626, 2.9366482006943944, 0.2364309228107369, 0.0258079842008759, 2.9670509018026126, 0.7089279841040382, 0.0271289062335007, 3.1293228559371156, 0.2093058860192153, 0.0262107385582828, 3.228433723860729, -0.0615816037312283, 0.0216218749597812, 3.265775831313635, 1.3725978502002945, 0.0381330804500192, 3.3815784954275654, 0.2384909387214335, 0.0204111639553312, 3.673673448154394, 0.0598037132886219, 0.016345578239454, 3.723974731281644, 0.0253459591357293, 0.0202887488989646, 3.833169335515237, 0.4146456709783435, 0.0306987981473719, 3.960417450477628, 0.2661787422257956, 0.0166343144544214, 4.056029895417758, 0.8133937145581843, 0.0274149079173283, 4.1792909664215525, 0.9559716237730169, 0.0284881567809669, 4.434042299952114, 0.7409565762172082, 0.0244527274527555, 4.564497234319174, 0.2090926627554073, 0.0207105891853636, 4.602707025601187, 0.5021220047460689, 0.0162372685000193, 4.699535289441636, 0.0436806992997321, 0.0161893889959095, 4.806496286912304, 0.37383353381919, 0.0217744341549128, 4.9707818698576824, 0.1558633129724727, 0.0248891866133007, 5.392342463353477, 0.2884372703265288, 0.0205885153722839, 5.420522683194719, 0.0974197957557948, 0.0208155320288082, 2.5903508021762702, 0.0032193166571756, 0.0176435829955848, 3.8602291001507365, 0.1586771084719941, 0.0185960407431327, 5.195522321001147]|258893.3125000000000000|      0.04000000|[2680, 806, 0, 31]                                                         |  | trying linear partial model with 103 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 185 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 267 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 348 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=26
       9|[0.601436183561727, 0.0277857153711776, 1.8878776435170377, 0.6459673527457533, 0.0224529149730296, 2.004251657913926, 1.2975202973493485, 0.0413556901995737, 2.110114997225901, -0.0316870885379345, 0.0198223393946778, 2.166969141804536, 1.225971375153093, 0.0309465692280297, 2.2231371846151675, 0.2153087342749104, 0.022376368660089, 2.2799857066688975, 1.3269667012204813, 0.0474066859247618, 2.374445323901077, 4.499638280981568, 0.0908307857826818, 2.4852487272110992, 0.6584850063170691, 0.0274632421850763, 2.563633347373271, 4.3794461152008815, 0.0859396098499717, 2.7294791426763982, 0.2246942060407888, 0.0234223734086338, 2.9345857616449273, 0.2404181254320068, 0.0300597202405207, 2.970085124882837, 0.7127728199477601, 0.0310622425519244, 3.130199659947579, 0.2101782794895783, 0.0247193246818553, 3.2313418305825166, -0.0577493660897773, 0.0205071934232509, 3.2720748568327562, 1.3693086787046282, 0.0450536217963422, 3.3826724053472885, 0.2353354446494401, 0.0232034156194583, 3.6715285612529995, 0.0570981146754672, 0.0126721140200258, 3.724795787208227, 0.0268175382220827, 0.0222271167307619, 3.832520089015587, 0.4154584247917066, 0.0309064103934457, 3.961019113824912, 0.2710341717360616, 0.0187177842743846, 4.051072836448085, 0.8151562831453927, 0.0314939639149952, 4.177932663028862, 0.957498630253293, 0.0345926266381305, 4.429983466695339, 0.7409798318944693, 0.0286376580830529, 4.561191111291787, 0.2069923125756156, 0.0216359263700114, 4.60560306538921, 0.5040561067026628, 0.0228329214673666, 4.696897713565159, 0.0391524199985255, 0.0160710507336533, 4.80354812569449, 0.3725547127810409, 0.0229725020289641, 4.9726296794590175, 0.1584265568299524, 0.0231247327480119, 5.398771170564044, 0.28576235260167, 0.0195829485171336, 5.414999915523543, 0.0924290971296286, 0.0215869187405844, 2.588810858615634, -0.0001943926432665, 0.0175896876144554, 3.8610071956094894, 0.1633842119216296, 0.0204470297254533, 5.198524804033935]|241663.1093750000000000|      0.20000000|[2865, 858, 0, 33]                                                         |  | trying linear partial model with 103 points | iterate success | actual_k=26
      10|[0.601436183561727, 0.0277857153711776, 1.8878776435170377, 0.6459673527457533, 0.0224529149730296, 2.004251657913926, 1.2975202973493485, 0.0413556901995737, 2.110114997225901, -0.0316870885379345, 0.0198223393946778, 2.166969141804536, 1.225971375153093, 0.0309465692280297, 2.2231371846151675, 0.2153087342749104, 0.022376368660089, 2.2799857066688975, 1.3269667012204813, 0.0474066859247618, 2.374445323901077, 4.499638280981568, 0.0908307857826818, 2.4852487272110992, 0.6584850063170691, 0.0274632421850763, 2.563633347373271, 4.3794461152008815, 0.0859396098499717, 2.7294791426763982, 0.2246942060407888, 0.0234223734086338, 2.9345857616449273, 0.2404181254320068, 0.0300597202405207, 2.970085124882837, 0.7127728199477601, 0.0310622425519244, 3.130199659947579, 0.2101782794895783, 0.0247193246818553, 3.2313418305825166, -0.0577493660897773, 0.0205071934232509, 3.2720748568327562, 1.3693086787046282, 0.0450536217963422, 3.3826724053472885, 0.2353354446494401, 0.0232034156194583, 3.6715285612529995, 0.0570981146754672, 0.0126721140200258, 3.724795787208227, 0.0268175382220827, 0.0222271167307619, 3.832520089015587, 0.4154584247917066, 0.0309064103934457, 3.961019113824912, 0.2710341717360616, 0.0187177842743846, 4.051072836448085, 0.8151562831453927, 0.0314939639149952, 4.177932663028862, 0.957498630253293, 0.0345926266381305, 4.429983466695339, 0.7409798318944693, 0.0286376580830529, 4.561191111291787, 0.2069923125756156, 0.0216359263700114, 4.60560306538921, 0.5040561067026628, 0.0228329214673666, 4.696897713565159, 0.0391524199985255, 0.0160710507336533, 4.80354812569449, 0.3725547127810409, 0.0229725020289641, 4.9726296794590175, 0.1584265568299524, 0.0231247327480119, 5.398771170564044, 0.28576235260167, 0.0195829485171336, 5.414999915523543, 0.0924290971296286, 0.0215869187405844, 2.588810858615634, -0.0001943926432665, 0.0175896876144554, 3.8610071956094894, 0.1633842119216296, 0.0204470297254533, 5.198524804033935]|241663.1093750000000000|      0.04000000|[3293, 988, 0, 38]                                                         |  | trying linear partial model with 103 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 183 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 266 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 350 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=26
