k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.50000000|[12, 4, 0, 2]                                                              |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.25000000|[22, 8, 0, 4]                                                              |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       3|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.12500000|[33, 12, 0, 6]                                                             |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       4|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.06250000|[44, 16, 0, 8]                                                             |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       5|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.03125000|[55, 20, 0, 10]                                                            |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[0.2214826112471445, 0.3819156518565687, 0.420452750482243, 0.3982602582279675] |  0.0042241890914738|      0.06250000|[65, 24, 0, 12]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       7|[0.2214826112471445, 0.3819156518565687, 0.420452750482243, 0.3982602582279675] |  0.0042241890914738|      0.03125000|[75, 28, 0, 14]                                                            |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       8|[0.2214826112471445, 0.3819156518565687, 0.420452750482243, 0.3982602582279675] |  0.0042241890914738|      0.01562500|[85, 32, 0, 16]                                                            |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       9|[0.2342842324589972, 0.3894421035702069, 0.4213179677645483, 0.3934787267782208]|  0.0039859139360487|      0.03125000|[96, 36, 0, 18]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
      10|[0.2342842324589972, 0.3894421035702069, 0.4213179677645483, 0.3934787267782208]|  0.0039859139360487|      0.01562500|[106, 40, 0, 20]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      11|[0.2207184734462704, 0.3958515186722151, 0.4220315529208858, 0.3891751234410826]|  0.0037212409079075|      0.03125000|[116, 44, 0, 22]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      12|[0.2207184734462704, 0.3958515186722151, 0.4220315529208858, 0.3891751234410826]|  0.0037212409079075|      0.01562500|[126, 48, 0, 24]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      13|[0.2207184734462704, 0.3958515186722151, 0.4220315529208858, 0.3891751234410826]|  0.0037212409079075|      0.00781250|[136, 52, 0, 26]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      14|[0.2269787320419351, 0.3991106749425854, 0.4214881463374779, 0.385869532986138] |  0.0035092027392238|      0.01562500|[146, 56, 0, 28]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      15|[0.2269787320419351, 0.3991106749425854, 0.4214881463374779, 0.385869532986138] |  0.0035092027392238|      0.00781250|[158, 60, 0, 30]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      16|[0.2263359385299687, 0.4040968134577331, 0.4206050721568865, 0.3799550951049604]|  0.0032952970359474|      0.01562500|[168, 64, 0, 32]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      17|[0.2263359385299687, 0.4040968134577331, 0.4206050721568865, 0.3799550951049604]|  0.0032952970359474|      0.00781250|[178, 68, 0, 34]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      18|[0.2208716758071697, 0.4082278591647064, 0.4216394635925425, 0.3763437954952676]|  0.0031646720599383|      0.01562500|[189, 72, 0, 36]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      19|[0.2301067023159117, 0.4127406844858492, 0.4171666789648075, 0.3654587821430671]|  0.0030211112461984|      0.03125000|[199, 76, 0, 38]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      20|[0.2301067023159117, 0.4127406844858492, 0.4171666789648075, 0.3654587821430671]|  0.0030211112461984|      0.01562500|[211, 80, 0, 40]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      21|[0.2151129151156971, 0.4134561032090468, 0.4141852671996897, 0.3623081742125245]|  0.0028472060803324|      0.03125000|[222, 84, 0, 42]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      22|[0.2151129151156971, 0.4134561032090468, 0.4141852671996897, 0.3623081742125245]|  0.0028472060803324|      0.01562500|[233, 88, 0, 44]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      23|[0.2229461124279351, 0.4195311907830253, 0.4186712559399634, 0.3510943050828183]|  0.0024551809765399|      0.03125000|[245, 92, 0, 46]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      24|[0.2229461124279351, 0.4195311907830253, 0.4186712559399634, 0.3510943050828183]|  0.0024551809765399|      0.01562500|[256, 96, 0, 48]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      25|[0.2182125549455965, 0.4213874336304286, 0.4265761702462494, 0.3386122879836819]|  0.0021814489737153|      0.03125000|[266, 100, 0, 50]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      26|[0.2182125549455965, 0.4213874336304286, 0.4265761702462494, 0.3386122879836819]|  0.0021814489737153|      0.01562500|[276, 104, 0, 52]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      27|[0.2129663666595109, 0.4278838602017063, 0.4291698664217634, 0.3256628742741713]|  0.0019202885450795|      0.03125000|[286, 108, 0, 54]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      28|[0.2129663666595109, 0.4278838602017063, 0.4291698664217634, 0.3256628742741713]|  0.0019202885450795|      0.01562500|[297, 112, 0, 56]                                                          |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      29|[0.2129663666595109, 0.4278838602017063, 0.4291698664217634, 0.3256628742741713]|  0.0019202885450795|      0.00781250|[309, 116, 0, 58]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      30|[0.2185575865707789, 0.4308031963594375, 0.4275378095190617, 0.3213515771586448]|  0.0017543691210449|      0.01562500|[320, 120, 0, 60]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      31|[0.2185575865707789, 0.4308031963594375, 0.4275378095190617, 0.3213515771586448]|  0.0017543691210449|      0.00781250|[332, 124, 0, 62]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      32|[0.2141234081295125, 0.4342355938742936, 0.4269236775987668, 0.3159465140613727]|  0.0016124260146171|      0.01562500|[342, 128, 0, 64]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      33|[0.2141234081295125, 0.4342355938742936, 0.4269236775987668, 0.3159465140613727]|  0.0016124260146171|      0.00781250|[352, 132, 0, 66]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      34|[0.2185455091673467, 0.4374995044448918, 0.4252881515933735, 0.3106406568135752]|  0.0015330222668126|      0.01562500|[364, 136, 0, 68]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      35|[0.2185455091673467, 0.4374995044448918, 0.4252881515933735, 0.3106406568135752]|  0.0015330222668126|      0.00781250|[375, 140, 0, 70]                                                          |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      36|[0.2185455091673467, 0.4374995044448918, 0.4252881515933735, 0.3106406568135752]|  0.0015330222668126|      0.00390625|[386, 144, 0, 72]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      37|[0.2151890265672227, 0.4387651643621078, 0.4268258861084837, 0.3108028022808472]|  0.0014743825886399|      0.00781250|[396, 148, 0, 74]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      38|[0.2097813053389769, 0.4420682651253847, 0.4296426039949228, 0.3072045620076814]|  0.0014430095907301|      0.01562500|[407, 152, 0, 76]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
