k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.90000000|[59, 4, 0, 2]                                                              |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       2|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.81000000|[118, 8, 0, 4]                                                             |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       3|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.72900000|[176, 12, 0, 6]                                                            |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       4|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.65610000|[234, 16, 0, 8]                                                            |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       5|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.59049000|[292, 20, 0, 10]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       6|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.53144100|[350, 24, 0, 12]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       7|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.47829690|[408, 28, 0, 14]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       8|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.43046721|[467, 32, 0, 16]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       9|[0.842405743225443, 0.9633451146599252, 0.9231113874690904, 0.948840519675923, 0.8794773306200144, 0.950608936581319, 0.8540347100422041, 0.9536142558939761, 0.8873385987885498, 0.9085549195050796, 1.0315228404971797, 0.7260481725250596, 0.9929519354877371, 0.9480777306646105, 0.9764610375555425, 0.9820792233184017, 0.9599898697729894, 0.9829693412915689, 1.0286600240515087, 0.9598027256811628, 0.93142303389161, 0.9794853791076693]|  1.4039804935455322|      0.47829690|[526, 36, 0, 18]                                                           |  | trying linear partial model with 31 points | iterate success | actual_k=2
      10|[0.842405743225443, 0.9633451146599252, 0.9231113874690904, 0.948840519675923, 0.8794773306200144, 0.950608936581319, 0.8540347100422041, 0.9536142558939761, 0.8873385987885498, 0.9085549195050796, 1.0315228404971797, 0.7260481725250596, 0.9929519354877371, 0.9480777306646105, 0.9764610375555425, 0.9820792233184017, 0.9599898697729894, 0.9829693412915689, 1.0286600240515087, 0.9598027256811628, 0.93142303389161, 0.9794853791076693]|  1.4039804935455322|      0.43046721|[585, 40, 0, 20]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      11|[0.7486375662329063, 0.9110181285334503, 0.859721176443679, 0.8838635222920275, 0.7583901761124591, 0.8265651959057861, 0.7285401901363414, 0.8901822007453427, 0.8200591270476213, 0.8008065237609217, 1.0969167385743201, 0.4270040547025718, 0.9883055615518982, 0.9349850422519027, 0.9741969158336076, 1.0110839689135889, 0.977846493962735, 0.9220525315387151, 1.0170051655886898, 0.9508227256032914, 0.9510196610182906, 0.9936288138606824]|  1.2815669775009155|      0.47829690|[643, 44, 0, 22]                                                           |  | trying linear partial model with 31 points | iterate success | actual_k=2
      12|[0.7486375662329063, 0.9110181285334503, 0.859721176443679, 0.8838635222920275, 0.7583901761124591, 0.8265651959057861, 0.7285401901363414, 0.8901822007453427, 0.8200591270476213, 0.8008065237609217, 1.0969167385743201, 0.4270040547025718, 0.9883055615518982, 0.9349850422519027, 0.9741969158336076, 1.0110839689135889, 0.977846493962735, 0.9220525315387151, 1.0170051655886898, 0.9508227256032914, 0.9510196610182906, 0.9936288138606824]|  1.2815669775009155|      0.43046721|[701, 48, 0, 24]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      13|[0.7486375662329063, 0.9110181285334503, 0.859721176443679, 0.8838635222920275, 0.7583901761124591, 0.8265651959057861, 0.7285401901363414, 0.8901822007453427, 0.8200591270476213, 0.8008065237609217, 1.0969167385743201, 0.4270040547025718, 0.9883055615518982, 0.9349850422519027, 0.9741969158336076, 1.0110839689135889, 0.977846493962735, 0.9220525315387151, 1.0170051655886898, 0.9508227256032914, 0.9510196610182906, 0.9936288138606824]|  1.2815669775009155|      0.38742049|[759, 52, 0, 26]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      14|[0.6883732948165031, 0.8335076175533183, 0.7957355815927875, 0.8625086044267741, 0.6391334307496832, 0.7278357637520689, 0.675425590618965, 0.8357986446371952, 0.7089094736921303, 0.6577392963039629, 1.0597040788055576, 0.1744058257966553, 0.9679791402188733, 0.8778057900994586, 0.9630531847474438, 0.9711482232065555, 0.9795191811586171, 0.9206515351220469, 1.029507864696356, 0.9046308317462365, 0.9719551440666557, 0.9907105981902126]|  1.1818314790725708|      0.43046721|[817, 56, 0, 28]                                                           |  | trying linear partial model with 31 points | iterate success | actual_k=2
      15|[0.6883732948165031, 0.8335076175533183, 0.7957355815927875, 0.8625086044267741, 0.6391334307496832, 0.7278357637520689, 0.675425590618965, 0.8357986446371952, 0.7089094736921303, 0.6577392963039629, 1.0597040788055576, 0.1744058257966553, 0.9679791402188733, 0.8778057900994586, 0.9630531847474438, 0.9711482232065555, 0.9795191811586171, 0.9206515351220469, 1.029507864696356, 0.9046308317462365, 0.9719551440666557, 0.9907105981902126]|  1.1818314790725708|      0.38742049|[876, 60, 0, 30]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      16|[0.6883732948165031, 0.8335076175533183, 0.7957355815927875, 0.8625086044267741, 0.6391334307496832, 0.7278357637520689, 0.675425590618965, 0.8357986446371952, 0.7089094736921303, 0.6577392963039629, 1.0597040788055576, 0.1744058257966553, 0.9679791402188733, 0.8778057900994586, 0.9630531847474438, 0.9711482232065555, 0.9795191811586171, 0.9206515351220469, 1.029507864696356, 0.9046308317462365, 0.9719551440666557, 0.9907105981902126]|  1.1818314790725708|      0.34867844|[934, 64, 0, 32]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      17|[0.6262153515886951, 0.7168759557861588, 0.670286695123358, 0.7852276642974402, 0.6120137831054486, 0.681185520024119, 0.6030766327106812, 0.7932715594788222, 0.6317258020704661, 0.5788618454435295, 1.0954124194424686, -0.0453068966652525, 0.9086119284167326, 0.8212281240452384, 0.9737129479054465, 0.9287293167402156, 0.956711251201307, 0.9258541351123215, 1.029341376631779, 0.9238138443502957, 0.9729363802638926, 1.0248164798058603]|  1.0973750352859497|      0.38742049|[993, 68, 0, 34]                                                           |  | trying linear partial model with 31 points | iterate success | actual_k=2
      18|[0.6262153515886951, 0.7168759557861588, 0.670286695123358, 0.7852276642974402, 0.6120137831054486, 0.681185520024119, 0.6030766327106812, 0.7932715594788222, 0.6317258020704661, 0.5788618454435295, 1.0954124194424686, -0.0453068966652525, 0.9086119284167326, 0.8212281240452384, 0.9737129479054465, 0.9287293167402156, 0.956711251201307, 0.9258541351123215, 1.029341376631779, 0.9238138443502957, 0.9729363802638926, 1.0248164798058603]|  1.0973750352859497|      0.34867844|[1051, 72, 0, 36]                                                          |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      19|[0.5523846095440701, 0.6402015360474176, 0.585530499928496, 0.7044443886623859, 0.506775020298927, 0.5755207116686292, 0.5370959845003924, 0.6830479632983655, 0.5587521914181464, 0.5120264189167574, 1.1127515710269582, -0.255937415502108, 0.888930835081226, 0.7855652475572277, 0.9715977578473364, 0.9279941668718971, 0.9496478748703471, 0.8980736774531635, 1.0076167842106059, 0.9063189529225697, 0.964460273231629, 1.0255377068498406]|  1.0129402875900269|      0.38742049|[1109, 76, 0, 38]                                                          |  | trying linear partial model with 31 points | iterate success | actual_k=2
