k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.10000000|[28, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.01000000|[54, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[-0.0005478981583117, -0.0002054740828892, 0.0026355052334982, -0.0017871863436188, 0.0089704807308044, -0.0009024653660103, 0.0009509668518604, 0.00251686656133, -0.000997367348225]|871414.1250000000000000|      0.10000000|[80, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | iterate success | actual_k=2
       4|[-0.0005478981583117, -0.0002054740828892, 0.0026355052334982, -0.0017871863436188, 0.0089704807308044, -0.0009024653660103, 0.0009509668518604, 0.00251686656133, -0.000997367348225]|871414.1250000000000000|      0.01000000|[107, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[-0.0003212368115227, 0.0010180498625985, 0.0041614515972639, -0.0032842324018759, 0.0185080831936652, -0.0010435424393649, 0.0023981030947774, 0.0016593783841496, -0.0012556343095176]|838560.1250000000000000|      0.10000000|[135, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       6|[-0.0003212368115227, 0.0010180498625985, 0.0041614515972639, -0.0032842324018759, 0.0185080831936652, -0.0010435424393649, 0.0023981030947774, 0.0016593783841496, -0.0012556343095176]|838560.1250000000000000|      0.01000000|[162, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[-0.0013136534224077, 0.0012489211643597, 0.0035453908351192, -0.0047492646154745, 0.0271062704492572, 0.0017772101089504, -0.0010630924178502, 7.85564792778e-05, -0.0015232462866734]|809713.1875000000000000|      0.10000000|[188, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       8|[-0.0013136534224077, 0.0012489211643597, 0.0035453908351192, -0.0047492646154745, 0.0271062704492572, 0.0017772101089504, -0.0010630924178502, 7.85564792778e-05, -0.0015232462866734]|809713.1875000000000000|      0.01000000|[215, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[-0.001308233178012, 0.0012274470845725, 0.0035295433876544, -0.0045553543129117, 0.0371006838931365, 0.0018629621294564, -0.001021830254826, -0.0001744509066656, -0.0015402268097118]|777183.5625000000000000|      0.10000000|[242, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      10|[-0.001308233178012, 0.0012274470845725, 0.0035295433876544, -0.0045553543129117, 0.0371006838931365, 0.0018629621294564, -0.001021830254826, -0.0001744509066656, -0.0015402268097118]|777183.5625000000000000|      0.01000000|[269, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[-0.0011221895111357, 0.0014850701830259, 0.0028219666539417, -0.0045026896787814, 0.0470635269299198, 0.001768399255772, -0.0006795165075809, -0.0001779499680515, -0.001434372014191]|745760.8125000000000000|      0.10000000|[296, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      12|[-0.0011221895111357, 0.0014850701830259, 0.0028219666539417, -0.0045026896787814, 0.0470635269299198, 0.001768399255772, -0.0006795165075809, -0.0001779499680515, -0.001434372014191]|745760.8125000000000000|      0.01000000|[323, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      13|[-0.0012018366137497, 0.0014450539312537, 0.0028807114104003, -0.0044288105759812, 0.057055083450774, 0.0018548443188132, -0.0008000847065736, -0.0005334400389257, -0.0014940514155713]|715193.5000000000000000|      0.10000000|[349, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      14|[-0.0012018366137497, 0.0014450539312537, 0.0028807114104003, -0.0044288105759812, 0.057055083450774, 0.0018548443188132, -0.0008000847065736, -0.0005334400389257, -0.0014940514155713]|715193.5000000000000000|      0.01000000|[376, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      15|[-0.0004501112631005, 0.0009259735698541, 0.0034757633590325, -0.0052846251610277, 0.0668547785696775, 0.0025807955266291, -0.0013650777796653, -0.0014714338310908, -0.002058746061977]|686135.3750000000000000|      0.10000000|[403, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      16|[-0.0004501112631005, 0.0009259735698541, 0.0034757633590325, -0.0052846251610277, 0.0668547785696775, 0.0025807955266291, -0.0013650777796653, -0.0014714338310908, -0.002058746061977]|686135.3750000000000000|      0.01000000|[429, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      17|[-0.0005293078981075, 0.0004888912358086, 0.0034292219242274, -0.0049748750900356, 0.0768236958449787, 0.0025463425603661, -0.0014189085844165, -0.0020232957122627, -0.0021876947902505]|657475.3125000000000000|      0.10000000|[457, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      18|[-0.0005293078981075, 0.0004888912358086, 0.0034292219242274, -0.0049748750900356, 0.0768236958449787, 0.0025463425603661, -0.0014189085844165, -0.0020232957122627, -0.0021876947902505]|657475.3125000000000000|      0.01000000|[484, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      19|[0.0004400038875442, 0.0010813342281235, 0.0018688273047233, -0.0032986936331312, 0.0862210904287417, 0.0040019722867997, -0.0004520384440361, -0.002225862288899, -0.0036227126884876]|631298.8750000000000000|      0.10000000|[511, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      20|[0.0004400038875442, 0.0010813342281235, 0.0018688273047233, -0.0032986936331312, 0.0862210904287417, 0.0040019722867997, -0.0004520384440361, -0.002225862288899, -0.0036227126884876]|631298.8750000000000000|      0.01000000|[537, 80, 0, 40]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      21|[-0.0031803741620379, 0.0041734963328777, 0.0022577139499586, -0.0027293082698271, 0.0945211526222317, 0.0049724986108515, 0.0018736040203576, -0.0013390837309812, -0.0045326692461247]|608928.3750000000000000|      0.10000000|[564, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      22|[-0.0031803741620379, 0.0041734963328777, 0.0022577139499586, -0.0027293082698271, 0.0945211526222317, 0.0049724986108515, 0.0018736040203576, -0.0013390837309812, -0.0045326692461247]|608928.3750000000000000|      0.01000000|[590, 88, 0, 44]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      23|[-0.0025424495183362, 0.0042363678125779, -0.0009183266400456, -0.0022756383756468, 0.103548545312851, 0.0044103085033493, 0.0026330099894496, 0.0006113736891122, -0.0027705140195204]|585314.8750000000000000|      0.10000000|[616, 92, 0, 46]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      24|[-0.0025424495183362, 0.0042363678125779, -0.0009183266400456, -0.0022756383756468, 0.103548545312851, 0.0044103085033493, 0.0026330099894496, 0.0006113736891122, -0.0027705140195204]|585314.8750000000000000|      0.01000000|[642, 96, 0, 48]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      25|[-0.0023429627518401, 0.0044001789854609, -0.0019234497258184, -0.0016668217713052, 0.1133911731770422, 0.0049441969915483, 0.0019087169673505, -0.0001477806099851, -0.0022327733460804]|560212.6250000000000000|      0.10000000|[669, 100, 0, 50]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      26|[-0.0023429627518401, 0.0044001789854609, -0.0019234497258184, -0.0016668217713052, 0.1133911731770422, 0.0049441969915483, 0.0019087169673505, -0.0001477806099851, -0.0022327733460804]|560212.6250000000000000|      0.01000000|[695, 104, 0, 52]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      27|[-0.0051044582727632, 0.0044813563147101, -0.0025108336134552, -0.0047030787154132, 0.1218467001086014, 0.0072168777604722, -0.0003162308192359, -0.0009386869679255, -0.0014799535939405]|539408.8125000000000000|      0.10000000|[721, 108, 0, 54]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      28|[-0.0051044582727632, 0.0044813563147101, -0.0025108336134552, -0.0047030787154132, 0.1218467001086014, 0.0072168777604722, -0.0003162308192359, -0.0009386869679255, -0.0014799535939405]|539408.8125000000000000|      0.01000000|[747, 112, 0, 56]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      29|[-0.0044555444732848, 0.0040560694164533, -0.0027242165531891, -0.004431827051258, 0.1313797697582876, 0.0096011088967389, -0.0005768771570096, -0.0016750980378915, -0.0029307186874226]|516646.6250000000000000|      0.10000000|[774, 116, 0, 58]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      30|[-0.0074284516046868, 0.0080731525331708, -0.0050335414325094, 0.0020141530251183, 0.2308859952728908, 0.0087370993668858, -6.29555251326e-05, -0.0067217688053248, -0.0025150313423842]|318890.2500000000000000|      1.00000000|[801, 120, 0, 60]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      31|[-0.0074284516046868, 0.0080731525331708, -0.0050335414325094, 0.0020141530251183, 0.2308859952728908, 0.0087370993668858, -6.29555251326e-05, -0.0067217688053248, -0.0025150313423842]|318890.2500000000000000|      0.10000000|[827, 124, 0, 62]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      32|[-0.0074284516046868, 0.0080731525331708, -0.0050335414325094, 0.0020141530251183, 0.2308859952728908, 0.0087370993668858, -6.29555251326e-05, -0.0067217688053248, -0.0025150313423842]|318890.2500000000000000|      0.01000000|[853, 128, 0, 64]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      33|[-0.007869469048979, 0.0074179126947995, -0.0053889698581499, 0.0020831970498986, 0.2408233601915302, 0.0085827478135902, 9.55083035141e-05, -0.0072946323090737, -0.0021733610074057]|302866.9687500000000000|      0.10000000|[879, 132, 0, 66]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      34|[-0.007869469048979, 0.0074179126947995, -0.0053889698581499, 0.0020831970498986, 0.2408233601915302, 0.0085827478135902, 9.55083035141e-05, -0.0072946323090737, -0.0021733610074057]|302866.9687500000000000|      0.01000000|[905, 136, 0, 68]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      35|[-0.0092663062879768, 0.0065411179069104, -0.0088413792777445, -0.0001641508196427, 0.2481890222780085, 0.0117305198259353, -0.0014498761583859, -0.0096941195630952, 0.0006556272480068]|291418.1875000000000000|      0.10000000|[931, 140, 0, 70]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      36|[-0.0092663062879768, 0.0065411179069104, -0.0088413792777445, -0.0001641508196427, 0.2481890222780085, 0.0117305198259353, -0.0014498761583859, -0.0096941195630952, 0.0006556272480068]|291418.1875000000000000|      0.01000000|[958, 144, 0, 72]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
