k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.554448037949173, -1.0132943423015919, 0.6081551689875485, 0.1428982192504011, -0.1686250974195233, 0.2065920144863121, 0.5514613212168805]|53761.4453125000000000|     10.00000000|[14, 2, 0, 2]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       2|[10.554448037949173, -1.0132943423015919, 0.6081551689875485, 0.1428982192504011, -0.1686250974195233, 0.2065920144863121, 0.5514613212168805]|53761.4453125000000000|      1.00000000|[27, 4, 0, 4]                                                              |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[10.554448037949173, -1.0132943423015919, 0.6081551689875485, 0.1428982192504011, -0.1686250974195233, 0.2065920144863121, 0.5514613212168805]|53761.4453125000000000|      0.10000000|[41, 6, 0, 6]                                                              |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[10.589549738651689, -1.0019928135535205, 0.6354029262174568, 0.2025677566039773, -0.23108970020089, 0.2153544427147074, 0.5325233872058538]|52965.6875000000000000|      1.00000000|[54, 8, 0, 8]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       5|[10.589549738651689, -1.0019928135535205, 0.6354029262174568, 0.2025677566039773, -0.23108970020089, 0.2153544427147074, 0.5325233872058538]|52965.6875000000000000|      0.10000000|[67, 10, 0, 10]                                                            |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[10.606247043953065, -1.0056496684039498, 0.6274615956856032, 0.2881001439084917, -0.2270359889712629, 0.2322624265422415, 0.4875049364572491]|51602.7070312500000000|      1.00000000|[80, 12, 0, 12]                                                            |  | trying linear partial model with 8 points | iterate success | actual_k=1
       7|[10.606247043953065, -1.0056496684039498, 0.6274615956856032, 0.2881001439084917, -0.2270359889712629, 0.2322624265422415, 0.4875049364572491]|51602.7070312500000000|      0.10000000|[93, 14, 0, 14]                                                            |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[10.591106207712444, -0.9965055262549745, 0.6082501387493251, 0.359240357747202, -0.246716974873717, 0.2368514655298266, 0.4254668098354695]|49990.5000000000000000|      1.00000000|[107, 16, 0, 16]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
       9|[10.591106207712444, -0.9965055262549745, 0.6082501387493251, 0.359240357747202, -0.246716974873717, 0.2368514655298266, 0.4254668098354695]|49990.5000000000000000|      0.10000000|[121, 18, 0, 18]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[10.604130879384801, -1.0208141201619811, 0.6099989833425791, 0.4433785585763876, -0.257164462422572, 0.1939717441986386, 0.4109984168222834]|48524.3359375000000000|      1.00000000|[134, 20, 0, 20]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
