k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.6946363049347228, 2.047764202659824]                                         | 99.4427566528320312|      2.00000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[1.840089969771025, 0.0530604072591909]                                         |  2.0289313793182373|      4.00000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[1.840089969771025, 0.0530604072591909]                                         |  2.0289313793182373|      2.00000000|[20, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.840089969771025, 0.0530604072591909]                                         |  2.0289313793182373|      1.00000000|[27, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.840089969771025, 0.0530604072591909]                                         |  2.0289313793182373|      0.50000000|[33, 12, 0, 12]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[1.3476802061992883, 0.1398511022628973]                                        |  0.3650867342948914|      1.00000000|[41, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
       7|[1.3476802061992883, 0.1398511022628973]                                        |  0.3650867342948914|      0.50000000|[49, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.3476802061992883, 0.1398511022628973]                                        |  0.3650867342948914|      0.25000000|[55, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[1.3476802061992883, 0.1398511022628973]                                        |  0.3650867342948914|      0.12500000|[62, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.3476802061992883, 0.1398511022628973]                                        |  0.3650867342948914|      0.06250000|[68, 25, 0, 25]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[1.4100839611048797, 0.1363839169948594]                                        |  0.2406568974256516|      0.12500000|[73, 27, 0, 27]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      12|[1.4100839611048797, 0.1363839169948594]                                        |  0.2406568974256516|      0.06250000|[80, 30, 0, 30]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      13|[1.4100839611048797, 0.1363839169948594]                                        |  0.2406568974256516|      0.03125000|[86, 32, 0, 32]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[1.4407621546203042, 0.1423346264172864]                                        |  0.2056752145290375|      0.06250000|[91, 34, 0, 34]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      15|[1.4407621546203042, 0.1423346264172864]                                        |  0.2056752145290375|      0.03125000|[97, 36, 0, 36]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.4712582991241316, 0.1355120411007314]                                        |  0.1898984611034393|      0.06250000|[102, 38, 0, 38]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      17|[1.4712582991241316, 0.1355120411007314]                                        |  0.1898984611034393|      0.03125000|[109, 41, 0, 41]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      18|[1.4712582991241316, 0.1355120411007314]                                        |  0.1898984611034393|      0.01562500|[117, 44, 0, 44]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      19|[1.4712582991241316, 0.1355120411007314]                                        |  0.1898984611034393|      0.00781250|[123, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[1.4788700043807408, 0.1337521833404251]                                        |  0.1889662295579910|      0.01562500|[129, 48, 0, 48]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      21|[1.4788700043807408, 0.1337521833404251]                                        |  0.1889662295579910|      0.00781250|[135, 50, 0, 50]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[1.4788700043807408, 0.1337521833404251]                                        |  0.1889662295579910|      0.00390625|[141, 52, 0, 52]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      23|[1.4812933095222764, 0.1306884631747594]                                        |  0.1887493729591370|      0.00781250|[147, 54, 0, 54]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      24|[1.4812933095222764, 0.1306884631747594]                                        |  0.1887493729591370|      0.00390625|[153, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[1.4802171047471582, 0.1269333902933745]                                        |  0.1884778887033463|      0.00781250|[158, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      26|[1.4802171047471582, 0.1269333902933745]                                        |  0.1884778887033463|      0.00390625|[165, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      27|[1.4782349704208129, 0.1235673937730519]                                        |  0.1883185654878616|      0.00781250|[170, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
