k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7514694982056085|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5302179733351008, 0.7952687000298018, 5.253291112116963, 5.197971077703213, 6.362115555216128, 7.875064189914358]|189.0649566650390625|      5.00000000|[14, 2, 0, 2]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       2|[-0.645402420554909, 3.3245244903783635, 4.197432693379573, 7.498528159738193, 4.663322941452588, 5.059485101385555]| 60.4767112731933594|     25.00000000|[28, 4, 0, 4]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       3|[-0.645402420554909, 3.3245244903783635, 4.197432693379573, 7.498528159738193, 4.663322941452588, 5.059485101385555]| 60.4767112731933594|      5.00000000|[42, 6, 0, 6]                                                              |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-2.734121558918919, 3.982669595740239, 2.3489944853984213, 7.611638424934433, 1.011241887215303, 6.913368488706308]| 24.3303356170654297|     25.00000000|[55, 8, 0, 8]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       5|[-2.734121558918919, 3.982669595740239, 2.3489944853984213, 7.611638424934433, 1.011241887215303, 6.913368488706308]| 24.3303356170654297|      5.00000000|[68, 10, 0, 10]                                                            |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-2.734121558918919, 3.982669595740239, 2.3489944853984213, 7.611638424934433, 1.011241887215303, 6.913368488706308]| 24.3303356170654297|      1.00000000|[81, 12, 0, 12]                                                            |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       7|[-2.0837413708067016, 4.267426728311025, 2.8970936918521897, 7.570347170720817, 1.4306099660510243, 7.047277760323444]|  7.7990102767944336|      5.00000000|[94, 14, 0, 14]                                                            |  | trying linear partial model with 8 points | iterate success | actual_k=1
       8|[-2.0837413708067016, 4.267426728311025, 2.8970936918521897, 7.570347170720817, 1.4306099660510243, 7.047277760323444]|  7.7990102767944336|      1.00000000|[108, 16, 0, 16]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       9|[-2.0837413708067016, 4.267426728311025, 2.8970936918521897, 7.570347170720817, 1.4306099660510243, 7.047277760323444]|  7.7990102767944336|      0.20000000|[121, 18, 0, 18]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      10|[-1.9329092497580305, 4.313675530666842, 2.983035618328663, 7.615433416925159, 1.4965785894417272, 7.083884808077411]|  6.2275142669677734|      1.00000000|[134, 20, 0, 20]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      11|[-1.9329092497580305, 4.313675530666842, 2.983035618328663, 7.615433416925159, 1.4965785894417272, 7.083884808077411]|  6.2275142669677734|      0.20000000|[148, 22, 0, 22]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      12|[-1.7945591445444342, 4.281138627779624, 3.02055941784658, 7.5850659155735105, 1.5971582629689451, 6.998128718250217]|  5.1302165985107422|      1.00000000|[162, 24, 0, 24]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      13|[-1.7945591445444342, 4.281138627779624, 3.02055941784658, 7.5850659155735105, 1.5971582629689451, 6.998128718250217]|  5.1302165985107422|      0.20000000|[176, 26, 0, 26]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      14|[-1.670595709952214, 4.256982547735565, 2.9583706388037507, 7.529416260801609, 1.7274772453118645, 7.008237388144994]|  4.5186223983764648|      1.00000000|[190, 28, 0, 28]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      15|[-1.670595709952214, 4.256982547735565, 2.9583706388037507, 7.529416260801609, 1.7274772453118645, 7.008237388144994]|  4.5186223983764648|      0.20000000|[203, 30, 0, 30]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      16|[-1.579074243042538, 4.294501304338942, 2.857316964739395, 7.487069531393138, 1.8504963325165849, 7.0637115050596035]|  4.1506352424621582|      1.00000000|[217, 32, 0, 32]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      17|[-1.579074243042538, 4.294501304338942, 2.857316964739395, 7.487069531393138, 1.8504963325165849, 7.0637115050596035]|  4.1506352424621582|      0.20000000|[230, 34, 0, 34]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      18|[-1.4647098507017697, 4.33509636733959, 2.871314350011101, 7.360042046241624, 1.9301785351267788, 7.012803112496831]|  3.7024857997894287|      1.00000000|[243, 36, 0, 36]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      19|[-1.4647098507017697, 4.33509636733959, 2.871314350011101, 7.360042046241624, 1.9301785351267788, 7.012803112496831]|  3.7024857997894287|      0.20000000|[256, 38, 0, 38]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      20|[-1.4647098507017697, 4.33509636733959, 2.871314350011101, 7.360042046241624, 1.9301785351267788, 7.012803112496831]|  3.7024857997894287|      0.04000000|[269, 40, 0, 40]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      21|[-1.4465985972932587, 4.343073598493439, 2.8635912658893163, 7.3459529349493735, 1.9160556928123156, 6.985403431427629]|  3.6339991092681885|      0.20000000|[282, 42, 0, 42]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
