k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1751161532738156, 10.107726266977174, 1.9786364924044801]                    |  0.9598846435546875|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[0.1751161532738156, 10.107726266977174, 1.9786364924044801]                    |  0.9598846435546875|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       3|[0.1751161532738156, 10.107726266977174, 1.9786364924044801]                    |  0.9598846435546875|      0.50000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[0.4386507864601338, 10.348336401621964, 1.6284133346642058]                    |  0.3772294819355011|      1.00000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[0.4386507864601338, 10.348336401621964, 1.6284133346642058]                    |  0.3772294819355011|      0.50000000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.4386507864601338, 10.348336401621964, 1.6284133346642058]                    |  0.3772294819355011|      0.25000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       7|[0.3642007028507893, 10.415062646188497, 1.3992740902371352]                    |  0.1370917111635208|      0.50000000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[0.3642007028507893, 10.415062646188497, 1.3992740902371352]                    |  0.1370917111635208|      0.25000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[0.5658018753924703, 10.371677333911519, 1.2579422753176046]                    |  0.0491573140025139|      0.50000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[0.5658018753924703, 10.371677333911519, 1.2579422753176046]                    |  0.0491573140025139|      0.25000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[0.5658018753924703, 10.371677333911519, 1.2579422753176046]                    |  0.0491573140025139|      0.12500000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[0.5658018753924703, 10.371677333911519, 1.2579422753176046]                    |  0.0491573140025139|      0.06250000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[0.6257331095003389, 10.372877861352253, 1.240248889203808]                     |  0.0363255850970745|      0.12500000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[0.739199524749683, 10.367554791942538, 1.1880757395718105]                     |  0.0198925901204348|      0.25000000|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[0.739199524749683, 10.367554791942538, 1.1880757395718105]                     |  0.0198925901204348|      0.12500000|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
