k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.01, 0.02]                                                               |14794.7901547973069682|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, 0.01, 0.02]                                                               |14794.7901547973069682|      0.10000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.1, 0.01, 0.02]                                                               |14794.7901547973069682|      0.01000000|[23, 9, 0, 9]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.0942323716680169, 0.0070965500671852, 0.0123642654635101]                    |1528.9254150390625000|      0.10000000|[28, 11, 0, 11]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[0.0942323716680169, 0.0070965500671852, 0.0123642654635101]                    |1528.9254150390625000|      0.01000000|[38, 15, 0, 15]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.0942323716680169, 0.0070965500671852, 0.0123642654635101]                    |1528.9254150390625000|      0.00100000|[50, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.0938022708016271, 0.0062707219102255, 0.0119995448856656]                    |964.6766967773437500|      0.01000000|[55, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[0.0938022708016271, 0.0062707219102255, 0.0119995448856656]                    |964.6766967773437500|      0.00100000|[66, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.0941200982885, 0.0057833220848442, 0.0128128265704503]                       |797.2891845703125000|      0.01000000|[71, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[0.0941200982885, 0.0057833220848442, 0.0128128265704503]                       |797.2891845703125000|      0.00100000|[82, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.0949815589710338, 0.005342486170482, 0.0130649162153326]                     |698.0322265625000000|      0.01000000|[88, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[0.0949815589710338, 0.005342486170482, 0.0130649162153326]                     |698.0322265625000000|      0.00100000|[100, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.0949815589710338, 0.005342486170482, 0.0130649162153326]                     |698.0322265625000000|      0.00010000|[111, 43, 0, 43]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[0.094970661664462, 0.0052844692079822, 0.0131456335045077]                     |685.7352294921875000|      0.00100000|[117, 45, 0, 45]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[0.094970661664462, 0.0052844692079822, 0.0131456335045077]                     |685.7352294921875000|      0.00010000|[127, 49, 0, 49]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.0949564878776994, 0.0051863053166003, 0.0131583988559556]                    |681.2141113281250000|      0.00100000|[133, 51, 0, 51]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[0.0949564878776994, 0.0051863053166003, 0.0131583988559556]                    |681.2141113281250000|      0.00010000|[143, 55, 0, 55]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[0.0949636105041303, 0.0051570691092805, 0.0132537640087855]                    |668.0783081054687500|      0.00100000|[149, 57, 0, 57]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[0.0949776185038365, 0.0047552177783102, 0.0141693617827789]                    |597.4445190429687500|      0.01000000|[154, 59, 0, 59]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[0.0949776185038365, 0.0047552177783102, 0.0141693617827789]                    |597.4445190429687500|      0.00100000|[166, 63, 0, 63]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[0.0949776185038365, 0.0047552177783102, 0.0141693617827789]                    |597.4445190429687500|      0.00010000|[176, 67, 0, 67]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[0.0949093202044222, 0.0046905515071348, 0.0142033267009944]                    |588.6589965820312500|      0.00100000|[181, 69, 0, 69]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      22|[0.0949093202044222, 0.0046905515071348, 0.0142033267009944]                    |588.6589965820312500|      0.00010000|[191, 73, 0, 73]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[0.0948494756777782, 0.0046134057033143, 0.0141817128724662]                    |581.0534057617187500|      0.00100000|[196, 75, 0, 75]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[0.0948494756777782, 0.0046134057033143, 0.0141817128724662]                    |581.0534057617187500|      0.00010000|[207, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[0.0948798831678533, 0.0045276400438705, 0.0142231813690328]                    |576.6211547851562500|      0.00100000|[218, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | iterate success | actual_k=1
