k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.50000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       2|[1.2891124893052803, 0.5920613176864639]                                        |  3.2171678543090820|      1.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[1.2891124893052803, 0.5920613176864639]                                        |  3.2171678543090820|      0.50000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[1.2891124893052803, 0.5920613176864639]                                        |  3.2171678543090820|      0.25000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       5|[1.403321908611747, 0.36967379883327]                                           |  2.2806849479675293|      0.50000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[1.403321908611747, 0.36967379883327]                                           |  2.2806849479675293|      0.25000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[1.5056944149915432, 0.1415951502544989]                                        |  1.5524762868881226|      0.50000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[1.5056944149915432, 0.1415951502544989]                                        |  1.5524762868881226|      0.25000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[1.6057590667390549, -0.0875054072975272]                                       |  0.9892624020576477|      0.50000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[1.6057590667390549, -0.0875054072975272]                                       |  0.9892624020576477|      0.25000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[1.6057590667390549, -0.0875054072975272]                                       |  0.9892624020576477|      0.12500000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[1.6563131946001182, -0.2018263596912475]                                       |  0.7600132822990417|      0.25000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[1.6563131946001182, -0.2018263596912475]                                       |  0.7600132822990417|      0.12500000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[1.7088826088564208, -0.3152347221904443]                                       |  0.5620746016502380|      0.25000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[1.7088826088564208, -0.3152347221904443]                                       |  0.5620746016502380|      0.12500000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      16|[1.764026804493462, -0.4274136760434007]                                        |  0.3937108218669891|      0.25000000|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      17|[1.764026804493462, -0.4274136760434007]                                        |  0.3937108218669891|      0.12500000|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      18|[1.764026804493462, -0.4274136760434007]                                        |  0.3937108218669891|      0.06250000|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      19|[1.7923560143956325, -0.483124589393648]                                        |  0.3203398883342743|      0.12500000|[153, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      20|[1.7923560143956325, -0.483124589393648]                                        |  0.3203398883342743|      0.06250000|[161, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      21|[1.8211028587447975, -0.5386211563141782]                                       |  0.2541594505310059|      0.12500000|[169, 0, 0, 42]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
