k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.767024898648716, -0.9980683169216027, 0.8206669610465777, 0.1550610846419782, -0.1802774252509697, 0.1543032425508757, 0.5359749070176589]|53551.6171875000000000|     10.00000000|[106, 16, 0, 2]                                                            |  | trying quadratic partial model with 57 points | iterate success | actual_k=8
       2|[7.569703323589319, 1.3053906283781531, 7.424009174198202, 4.6133920513151665, 4.007278044350205, 2.53343197684093, 2.3217904197171935]|43089.8437500000000000|    100.00000000|[210, 32, 0, 4]                                                            |  | trying quadratic partial model with 57 points | iterate success | actual_k=8
       3|[7.569703323589319, 1.3053906283781531, 7.424009174198202, 4.6133920513151665, 4.007278044350205, 2.53343197684093, 2.3217904197171935]|43089.8437500000000000|     10.00000000|[314, 48, 0, 6]                                                            |  | trying quadratic partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       4|[7.569703323589319, 1.3053906283781531, 7.424009174198202, 4.6133920513151665, 4.007278044350205, 2.53343197684093, 2.3217904197171935]|43089.8437500000000000|      1.00000000|[421, 64, 0, 8]                                                            |  | trying quadratic partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       5|[7.683518278081754, 1.2144965912792773, 7.412349507696238, 4.84792213360559, 3.993249717050333, 2.5818510208989953, 1.3620493478455487]|34635.7500000000000000|     10.00000000|[525, 80, 0, 10]                                                           |  | trying quadratic partial model with 57 points | iterate success | actual_k=8
       6|[7.683518278081754, 1.2144965912792773, 7.412349507696238, 4.84792213360559, 3.993249717050333, 2.5818510208989953, 1.3620493478455487]|34635.7500000000000000|      1.00000000|[631, 96, 0, 12]                                                           |  | trying quadratic partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       7|[7.683518278081754, 1.2144965912792773, 7.412349507696238, 4.84792213360559, 3.993249717050333, 2.5818510208989953, 1.3620493478455487]|34635.7500000000000000|      0.10000000|[735, 112, 0, 14]                                                          |  | trying quadratic partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       8|[7.684074896761532, 1.213076573700894, 7.414391999473385, 4.874484345135864, 3.9923108197044144, 2.583621199721921, 1.265696165176825]|33194.8593750000000000|      1.00000000|[840, 128, 0, 16]                                                          |  | trying quadratic partial model with 57 points | iterate success | actual_k=8
       9|[7.656005729962131, 1.2656356232904677, 7.364240539295106, 5.214599883270763, 4.065961252073688, 2.637844203810361, 0.3330164776194799]|5953.9150390625000000|     10.00000000|[945, 144, 0, 18]                                                          |  | trying quadratic partial model with 57 points | iterate success | actual_k=8
      10|[7.656005729962131, 1.2656356232904677, 7.364240539295106, 5.214599883270763, 4.065961252073688, 2.637844203810361, 0.3330164776194799]|5953.9150390625000000|      1.00000000|[1050, 160, 0, 20]                                                         |  | trying quadratic partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
      11|[7.656005729962131, 1.2656356232904677, 7.364240539295106, 5.214599883270763, 4.065961252073688, 2.637844203810361, 0.3330164776194799]|5953.9150390625000000|      0.10000000|[1156, 176, 0, 22]                                                         |  | trying quadratic partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
      12|[7.656005729962131, 1.2656356232904677, 7.364240539295106, 5.214599883270763, 4.065961252073688, 2.637844203810361, 0.3330164776194799]|5953.9150390625000000|      0.01000000|[1260, 192, 0, 24]                                                         |  | trying quadratic partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
      13|[7.656005729962131, 1.2656356232904677, 7.364240539295106, 5.214599883270763, 4.065961252073688, 2.637844203810361, 0.3330164776194799]|5953.9150390625000000|      0.00100000|[1364, 208, 0, 26]                                                         |  | trying quadratic partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
      14|[7.656009347405577, 1.2656292466834713, 7.364221816072003, 5.214444121884303, 4.065949638615537, 2.6380266333944946, 0.3339870025593004]|5950.3955078125000000|      0.01000000|[1470, 224, 0, 28]                                                         |  | trying quadratic partial model with 57 points | iterate success | actual_k=8
      15|[7.656009347405577, 1.2656292466834713, 7.364221816072003, 5.214444121884303, 4.065949638615537, 2.6380266333944946, 0.3339870025593004]|5950.3955078125000000|      0.00100000|[1577, 240, 0, 30]                                                         |  | trying quadratic partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
      16|[7.656013415697368, 1.2656223913222526, 7.364192951613911, 5.214303211082306, 4.065938113767686, 2.6382466618781915, 0.3349517315814658]|5947.6845703125000000|      0.01000000|[1681, 256, 0, 32]                                                         |  | trying quadratic partial model with 57 points | iterate success | actual_k=8
      17|[7.652535347060712, 1.2652657880075673, 7.3601188513792675, 5.207030058881454, 4.065619378927844, 2.642447938105022, 0.3342261124363788]|5942.7348632812500000|      0.10000000|[1785, 272, 0, 34]                                                         |  | trying quadratic partial model with 57 points | iterate success | actual_k=8
      18|[7.652535347060712, 1.2652657880075673, 7.3601188513792675, 5.207030058881454, 4.065619378927844, 2.642447938105022, 0.3342261124363788]|5942.7348632812500000|      0.01000000|[1890, 288, 0, 36]                                                         |  | trying quadratic partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
      19|[7.652535347060712, 1.2652657880075673, 7.3601188513792675, 5.207030058881454, 4.065619378927844, 2.642447938105022, 0.3342261124363788]|5942.7348632812500000|      0.00100000|[1994, 304, 0, 38]                                                         |  | trying quadratic partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
      20|[7.652569371115951, 1.2652575203498035, 7.360118632341467, 5.206839641605805, 4.065589537071161, 2.6427558099825004, 0.3351571546445008]|5940.6386718750000000|      0.01000000|[2099, 320, 0, 40]                                                         |  | trying quadratic partial model with 57 points | iterate success | actual_k=8
      21|[7.652569371115951, 1.2652575203498035, 7.360118632341467, 5.206839641605805, 4.065589537071161, 2.6427558099825004, 0.3351571546445008]|5940.6386718750000000|      0.00100000|[2204, 336, 0, 42]                                                         |  | trying quadratic partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
      22|[7.652486898429776, 1.2652470096874473, 7.360062597045479, 5.206629070407017, 4.065527184012409, 2.6431626222596285, 0.3360381900950352]|5939.2407226562500000|      0.01000000|[2310, 352, 0, 44]                                                         |  | trying quadratic partial model with 57 points | iterate success | actual_k=8
      23|[7.652486898429776, 1.2652470096874473, 7.360062597045479, 5.206629070407017, 4.065527184012409, 2.6431626222596285, 0.3360381900950352]|5939.2407226562500000|      0.00100000|[2415, 368, 0, 46]                                                         |  | trying quadratic partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
      24|[7.652494503012401, 1.2651728480115463, 7.359921643756512, 5.206308793427502, 4.06556723135408, 2.64376484931283, 0.3367507319041176]|5938.3427734375000000|      0.01000000|[2519, 384, 0, 48]                                                         |  | trying quadratic partial model with 57 points | iterate success | actual_k=8
      25|[7.657996691281358, 1.2617581833246234, 7.361949521129614, 5.201427319155115, 4.066697656569486, 2.648691325244847, 0.3346113662644603]|5935.0727539062500000|      0.10000000|[2624, 400, 0, 50]                                                         |  | trying quadratic partial model with 57 points | iterate success | actual_k=8
      26|[7.657996691281358, 1.2617581833246234, 7.361949521129614, 5.201427319155115, 4.066697656569486, 2.648691325244847, 0.3346113662644603]|5935.0727539062500000|      0.01000000|[2729, 416, 0, 52]                                                         |  | trying quadratic partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
      27|[7.661726295573454, 1.2601325842576787, 7.36657303831196, 5.199884537458688, 4.066947331324982, 2.6564012400929617, 0.3350417945987246]|5928.5639648437500000|      0.10000000|[2835, 432, 0, 54]                                                         |  | trying quadratic partial model with 57 points | iterate success | actual_k=8
      28|[7.661726295573454, 1.2601325842576787, 7.36657303831196, 5.199884537458688, 4.066947331324982, 2.6564012400929617, 0.3350417945987246]|5928.5639648437500000|      0.01000000|[2939, 448, 0, 56]                                                         |  | trying quadratic partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
      29|[7.661726295573454, 1.2601325842576787, 7.36657303831196, 5.199884537458688, 4.066947331324982, 2.6564012400929617, 0.3350417945987246]|5928.5639648437500000|      0.00100000|[3045, 464, 0, 58]                                                         |  | trying quadratic partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
      30|[7.661734445992076, 1.2601106987769568, 7.366503112781892, 5.199596651591599, 4.0669601785961635, 2.6569088836104675, 0.3358503858124675]|5927.4614257812500000|      0.01000000|[3149, 480, 0, 60]                                                         |  | trying quadratic partial model with 57 points | iterate success | actual_k=8
      31|[7.661734445992076, 1.2601106987769568, 7.366503112781892, 5.199596651591599, 4.0669601785961635, 2.6569088836104675, 0.3358503858124675]|5927.4614257812500000|      0.00100000|[3254, 496, 0, 62]                                                         |  | trying quadratic partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
      32|[7.661744874666132, 1.2601368911690392, 7.366422074533316, 5.199233057387715, 4.066971553642656, 2.6576739285270055, 0.3363748037207434]|5926.6840820312500000|      0.01000000|[3360, 512, 0, 64]                                                         |  | trying quadratic partial model with 57 points | iterate success | actual_k=8
      33|[7.661744874666132, 1.2601368911690392, 7.366422074533316, 5.199233057387715, 4.066971553642656, 2.6576739285270055, 0.3363748037207434]|5926.6840820312500000|      0.00100000|[3465, 528, 0, 66]                                                         |  | trying quadratic partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
      34|[7.661748323178969, 1.260106267591804, 7.366329925209929, 5.19890629467143, 4.06702810699961, 2.658609158256806, 0.3362977842164835]|5925.9189453125000000|      0.01000000|[3570, 544, 0, 68]                                                         |  | trying quadratic partial model with 57 points | iterate success | actual_k=8
      35|[7.659640846837749, 1.266604961493911, 7.371409560130104, 5.198593013209313, 4.069914040186858, 2.662975047427929, 0.3361104710419615]|5922.9775390625000000|      0.10000000|[3676, 560, 0, 70]                                                         |  | trying quadratic partial model with 57 points | iterate success | actual_k=8
