k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.90000000|[156, 64, 0, 4]                                                            |  | trying quadratic partial model with 49 points | trying quadratic partial model with 83 points | trying quadratic partial model with 121 points | exploitation failed, decreasing delta | actual_k=16
       2|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.81000000|[312, 128, 0, 8]                                                           |  | trying quadratic partial model with 49 points | trying quadratic partial model with 82 points | trying quadratic partial model with 120 points | exploitation failed, decreasing delta | actual_k=16
       3|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.72900000|[473, 192, 0, 12]                                                          |  | trying quadratic partial model with 49 points | trying quadratic partial model with 87 points | trying quadratic partial model with 125 points | exploitation failed, decreasing delta | actual_k=16
       4|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.65610000|[627, 256, 0, 16]                                                          |  | trying quadratic partial model with 49 points | trying quadratic partial model with 84 points | trying quadratic partial model with 119 points | exploitation failed, decreasing delta | actual_k=16
       5|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.59049000|[780, 320, 0, 20]                                                          |  | trying quadratic partial model with 49 points | trying quadratic partial model with 83 points | trying quadratic partial model with 119 points | exploitation failed, decreasing delta | actual_k=16
       6|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.53144100|[940, 384, 0, 24]                                                          |  | trying quadratic partial model with 49 points | trying quadratic partial model with 85 points | trying quadratic partial model with 123 points | exploitation failed, decreasing delta | actual_k=16
       7|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.47829690|[1100, 448, 0, 28]                                                         |  | trying quadratic partial model with 49 points | trying quadratic partial model with 88 points | trying quadratic partial model with 126 points | exploitation failed, decreasing delta | actual_k=16
       8|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.43046721|[1255, 512, 0, 32]                                                         |  | trying quadratic partial model with 49 points | trying quadratic partial model with 88 points | trying quadratic partial model with 123 points | exploitation failed, decreasing delta | actual_k=16
       9|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.38742049|[1409, 576, 0, 36]                                                         |  | trying quadratic partial model with 49 points | trying quadratic partial model with 85 points | trying quadratic partial model with 122 points | exploitation failed, decreasing delta | actual_k=16
      10|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.34867844|[1563, 640, 0, 40]                                                         |  | trying quadratic partial model with 49 points | trying quadratic partial model with 87 points | trying quadratic partial model with 122 points | exploitation failed, decreasing delta | actual_k=16
      11|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.31381060|[1714, 704, 0, 44]                                                         |  | trying quadratic partial model with 49 points | trying quadratic partial model with 83 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=16
      12|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.28242954|[1873, 768, 0, 48]                                                         |  | trying quadratic partial model with 49 points | trying quadratic partial model with 85 points | trying quadratic partial model with 123 points | exploitation failed, decreasing delta | actual_k=16
      13|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.25418658|[2026, 832, 0, 52]                                                         |  | trying quadratic partial model with 49 points | trying quadratic partial model with 84 points | trying quadratic partial model with 119 points | exploitation failed, decreasing delta | actual_k=16
      14|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.22876792|[2184, 896, 0, 56]                                                         |  | trying quadratic partial model with 49 points | trying quadratic partial model with 84 points | trying quadratic partial model with 121 points | exploitation failed, decreasing delta | actual_k=16
      15|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.20589113|[2344, 960, 0, 60]                                                         |  | trying quadratic partial model with 49 points | trying quadratic partial model with 86 points | trying quadratic partial model with 122 points | exploitation failed, decreasing delta | actual_k=16
      16|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.18530202|[2501, 1024, 0, 64]                                                        |  | trying quadratic partial model with 49 points | trying quadratic partial model with 84 points | trying quadratic partial model with 120 points | exploitation failed, decreasing delta | actual_k=16
      17|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.16677182|[2658, 1088, 0, 68]                                                        |  | trying quadratic partial model with 49 points | trying quadratic partial model with 85 points | trying quadratic partial model with 120 points | exploitation failed, decreasing delta | actual_k=16
      18|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.15009464|[2817, 1152, 0, 72]                                                        |  | trying quadratic partial model with 49 points | trying quadratic partial model with 85 points | trying quadratic partial model with 123 points | exploitation failed, decreasing delta | actual_k=16
      19|[0.9665293972425958, 0.9669075627138553, 0.9661194181238402, 0.9666141941633649, 0.9661911911582425, 0.9663591475602534, 0.9666076003743211, 0.9658213141092586, 0.9659253820300012, 0.9663924070695034, 1.0121862726395872, 0.8961651030933233, 0.9966591203555292, 0.9963010620596344, 0.9963088223339902, 0.9966795232488996, 0.9923660873569957, 0.9893127707024267, 0.9940908748791702, 0.9985310099118642, 0.9973510882925564, 0.9976115365566259]|  1.4805747270584106|      0.16677182|[2901, 1184, 0, 74]                                                        |  | trying quadratic partial model with 49 points | iterate success | actual_k=16
      20|[0.9665293972425958, 0.9669075627138553, 0.9661194181238402, 0.9666141941633649, 0.9661911911582425, 0.9663591475602534, 0.9666076003743211, 0.9658213141092586, 0.9659253820300012, 0.9663924070695034, 1.0121862726395872, 0.8961651030933233, 0.9966591203555292, 0.9963010620596344, 0.9963088223339902, 0.9966795232488996, 0.9923660873569957, 0.9893127707024267, 0.9940908748791702, 0.9985310099118642, 0.9973510882925564, 0.9976115365566259]|  1.4805747270584106|      0.15009464|[3056, 1248, 0, 78]                                                        |  | trying quadratic partial model with 49 points | trying quadratic partial model with 85 points | trying quadratic partial model with 121 points | exploitation failed, decreasing delta | actual_k=16
      21|[0.9328054721480672, 0.9338144085742935, 0.93241067786178, 0.9328721686628516, 0.9325655666737508, 0.9325128657597765, 0.9330307220693078, 0.932202032077944, 0.9319026689306922, 0.932820342059675, 1.0235847026041596, 0.792256259793823, 0.9932074155911959, 0.992728162164645, 0.9928117304755942, 0.993015156634482, 0.9847608124077271, 0.9785887967615338, 0.9879671838414656, 0.9967237487118255, 0.9949098316955681, 0.9952213719203133]|  1.4338742494583130|      0.16677182|[3136, 1280, 0, 80]                                                        |  | trying quadratic partial model with 49 points | iterate success | actual_k=16
      22|[0.9328054721480672, 0.9338144085742935, 0.93241067786178, 0.9328721686628516, 0.9325655666737508, 0.9325128657597765, 0.9330307220693078, 0.932202032077944, 0.9319026689306922, 0.932820342059675, 1.0235847026041596, 0.792256259793823, 0.9932074155911959, 0.992728162164645, 0.9928117304755942, 0.993015156634482, 0.9847608124077271, 0.9785887967615338, 0.9879671838414656, 0.9967237487118255, 0.9949098316955681, 0.9952213719203133]|  1.4338742494583130|      0.15009464|[3295, 1344, 0, 84]                                                        |  | trying quadratic partial model with 49 points | trying quadratic partial model with 85 points | trying quadratic partial model with 124 points | exploitation failed, decreasing delta | actual_k=16
