k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2, 0.21, 0.22, 0.23, 0.24, 0.25, 0.26, 0.27, 0.28, 0.29, 0.3, 0.31, 0.32, 0.33, 0.34, 0.35, 0.36, 0.37, 0.38, 0.39, 0.4, 0.41, 0.42, 0.43, 0.44, 0.45, 0.46, 0.47, 0.48, 0.49, 0.5, 0.51, 0.52, 0.53, 0.54, 0.55, 0.56, 0.57, 0.58, 0.59, 0.6, 0.61, 0.62, 0.63, 0.64, 0.65, 0.66, 0.67, 0.68, 0.69, 0.7, 0.71, 0.72, 0.73, 0.74, 0.75, 0.76, 0.77, 0.78, 0.79, 0.8, 0.81, 0.82, 0.83, 0.84, 0.85, 0.86, 0.87, 0.88, 0.89, 0.9, 0.91, 0.92, 0.93, 0.94, 0.95, 0.96, 0.97, 0.98, 0.99, 1.0]|-56.4814000545650217|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.038828561420693, -0.0969820252674024, 0.1451380419638985, -0.0341293205563137, -0.0671987130279712, 0.0371085257049033, 0.1056453091040805, -0.0492787077659134, 0.1593075919551574, 0.1015072033088833, 0.1866665478090272, 0.0961071242587744, 0.0881360187203914, 0.0416553771696134, 0.1647759401915307, 0.0920459804215415, 0.0720312315426807, 0.2057591744279105, 0.1682285704466986, 0.1832523009933942, 0.294751865743613, 0.205376402432166, 0.0328567384972521, 0.4892410400908782, 0.4133325411319105, 0.2985380926947581, 0.3873176217926397, 0.4546718736572434, 0.3115842061457946, 0.2239414292213637, 0.4857461225301295, 0.3675531626338404, 0.379159631681565, 0.2683625109279891, 0.2713858973485143, 0.3852566588583672, 0.3179886706996051, 0.4176659224930347, 0.3698216617418828, 0.4653135477217497, 0.3844773902803966, 0.4563749872698717, 0.5044744846101289, 0.3495193330261957, 0.4449605022835569, 0.4354655145970928, 0.498603946059476, 0.5276831295424401, 0.4690992286395406, 0.602610274520117, 0.4114185213002117, 0.4579515353669166, 0.4721253347619111, 0.5243584444893381, 0.6549539974329257, 0.5373290774934971, 0.7332909717310166, 0.7264020626739303, 0.5985381802281177, 0.7738929072683707, 0.7564277268511499, 0.7229066563528872, 0.5584785280070911, 0.6470628002069956, 0.6277860053148955, 0.6811552668529683, 0.6703318292201527, 0.7696427417252931, 0.7776655589811091, 0.5826628363165848, 0.7828570132332797, 0.6146566576660597, 0.757277875143403, 0.8251528049519575, 0.7007049562189102, 0.8008107794564945, 0.7557879497252303, 0.8433320144808553, 0.9840209019278426, 0.8397763168656667, 0.8220441297072671, 0.8320080963864511, 0.9337118066043915, 0.8762399021203681, 0.7501593536817349, 0.7060328819026118, 0.946681221603483, 0.9945587398575784, 0.8142950067169296, 1.11606675683324, 1.0847391079956172, 1.0522238698437603, 1.0938449610620875, 1.181100180457735, 1.0530473782294736, 1.0925927887211742, 1.1009690129812655, 1.208363549860826, 1.0151995795107023, 1.1641340066189911]|-105.7365798950195312|     10.00000000|[117, 8, 0, 2]                                                             |  | trying linear partial model with 61 points | iterate success | actual_k=4
       2|[-1.27763432618248, -0.0036547065629407, -0.6181784004668143, -0.1008886516219988, -0.8154368856314587, -0.2856231681216583, 0.6804942284400957, 0.5117656466908357, 1.3891245052399024, 2.162288533571316, 0.6930809960934974, -0.4103520061648177, 0.3669618677193324, -0.4303802441775395, 0.0762683072011005, 1.632547740264486, 0.463721962097878, 0.2523329228382643, 2.878259915679064, -0.5542036683796643, -0.5826788737110322, 0.4611972170133848, -0.3573648944442627, 0.7692362918945119, 1.3106353635359933, -0.1522097526060329, 1.4927809789966682, 0.639602845040983, 0.2327840464646077, 2.448361191653474, -0.0368566445554797, 1.869268057343271, -0.6299796072785696, -0.5758455197553436, 0.7030295751354843, 0.7841763516001345, -0.2595177814832631, -1.2977582922119266, 0.7072813784344489, 2.274049131881406, 0.8997994642823843, -0.4389430599659166, 0.5280548841935757, 0.1853750854246491, 0.4868769740319879, -1.04463643782019, -0.5399539891563787, 0.9738893449356893, -0.5916160183274191, -0.2021414105840081, -1.349166678245373, -0.4274915144263396, 2.1254545341655917, 0.697450440437204, 1.3818564121554489, 1.2012516034481644, 0.8503823382978482, 1.5255286721387895, -0.5145882599265891, 1.200132956626412, 1.2695938428523663, 1.1709108079583013, 1.5211099887193953, 1.0102300951850252, 1.948361940897581, 2.413681341796461, -0.6238623326321281, 1.2456025008052798, 0.8423596144331588, -0.0945935059344074, 0.9477790313346777, 0.7725017137183281, 1.9477320620961494, 1.0372763411627908, 1.5026288535194243, 2.2940800241869495, 0.8188697787482457, 1.120182911477535, 0.3167802606741887, -0.0701740812225377, -0.7029786762182428, 0.5821185223963956, -0.6448486433999998, 3.1788395824688274, 0.3790377957095879, 1.1866241821881123, 1.8426992191389728, 3.2337032568678614, 0.7929239219702846, 1.3543634300440377, 0.1476553065312481, 0.2311868375326489, 1.5610034435215496, 0.7963014323373957, -0.1103828522051007, 1.0222336995059893, 3.741390518835162, 2.7066570485074033, 1.184201239920983, 0.4815730947539758]|-856.9992065429687500|    100.00000000|[235, 16, 0, 4]                                                            |  | trying linear partial model with 61 points | iterate success | actual_k=4
       3|[-1.27763432618248, -0.0036547065629407, -0.6181784004668143, -0.1008886516219988, -0.8154368856314587, -0.2856231681216583, 0.6804942284400957, 0.5117656466908357, 1.3891245052399024, 2.162288533571316, 0.6930809960934974, -0.4103520061648177, 0.3669618677193324, -0.4303802441775395, 0.0762683072011005, 1.632547740264486, 0.463721962097878, 0.2523329228382643, 2.878259915679064, -0.5542036683796643, -0.5826788737110322, 0.4611972170133848, -0.3573648944442627, 0.7692362918945119, 1.3106353635359933, -0.1522097526060329, 1.4927809789966682, 0.639602845040983, 0.2327840464646077, 2.448361191653474, -0.0368566445554797, 1.869268057343271, -0.6299796072785696, -0.5758455197553436, 0.7030295751354843, 0.7841763516001345, -0.2595177814832631, -1.2977582922119266, 0.7072813784344489, 2.274049131881406, 0.8997994642823843, -0.4389430599659166, 0.5280548841935757, 0.1853750854246491, 0.4868769740319879, -1.04463643782019, -0.5399539891563787, 0.9738893449356893, -0.5916160183274191, -0.2021414105840081, -1.349166678245373, -0.4274915144263396, 2.1254545341655917, 0.697450440437204, 1.3818564121554489, 1.2012516034481644, 0.8503823382978482, 1.5255286721387895, -0.5145882599265891, 1.200132956626412, 1.2695938428523663, 1.1709108079583013, 1.5211099887193953, 1.0102300951850252, 1.948361940897581, 2.413681341796461, -0.6238623326321281, 1.2456025008052798, 0.8423596144331588, -0.0945935059344074, 0.9477790313346777, 0.7725017137183281, 1.9477320620961494, 1.0372763411627908, 1.5026288535194243, 2.2940800241869495, 0.8188697787482457, 1.120182911477535, 0.3167802606741887, -0.0701740812225377, -0.7029786762182428, 0.5821185223963956, -0.6448486433999998, 3.1788395824688274, 0.3790377957095879, 1.1866241821881123, 1.8426992191389728, 3.2337032568678614, 0.7929239219702846, 1.3543634300440377, 0.1476553065312481, 0.2311868375326489, 1.5610034435215496, 0.7963014323373957, -0.1103828522051007, 1.0222336995059893, 3.741390518835162, 2.7066570485074033, 1.184201239920983, 0.4815730947539758]|-856.9992065429687500|     10.00000000|[859, 60, 0, 15]                                                           |  | trying linear partial model with 61 points | trying quadratic partial model with 118 points | trying quadratic partial model with 175 points | trying quadratic partial model with 231 points | trying quadratic partial model with 288 points | trying quadratic partial model with 344 points | trying quadratic partial model with 401 points | trying quadratic partial model with 457 points | trying quadratic partial model with 513 points | trying quadratic partial model with 569 points | exploitation failed, decreasing delta | actual_k=4
       4|[-1.0675603906089797, -1.1122117222596184, -1.3790448342417183, 2.0092954273722703, -1.8281864801169634, 0.4899755069897275, 0.9329243797268293, 1.0155432912555904, 2.8368130743426767, 4.178397895836701, 0.9494472009863618, -0.6805586438419426, -0.5276364326225607, -2.722916927229084, -1.0636563541870332, 4.155644784342882, 1.3384331931472473, -0.4329653131266433, 2.90172419700825, -1.0027851008087902, 0.279240976173646, 1.1242609001242188, -0.9056461545868049, 1.2507260263733668, 2.469794386910014, 1.3811139220773798, 1.1333066578918998, 1.3211326627903714, 2.0066493525679636, 2.734447923490954, 0.856041870016213, 1.5673175953849214, -1.5304438004221652, -0.867024673431082, 0.3395761688163353, 0.7579165575547167, 0.2688974557260588, -2.7486262949274844, 1.4232603802495734, 3.7470394168958814, 0.7360913913099064, -2.0111164482502386, 2.068146502912829, 2.6825510767539478, 0.8588346738672344, -2.02792506094915, -1.1482379982882163, 1.4156480341263042, -0.3988664677860166, 0.0942764540623365, -1.9304523851365945, 0.0536296043786023, 0.9149987800105686, 0.0146596700749705, 0.7455064241207754, 1.5941243463841777, 2.296200402724608, 2.074694613559321, -0.9202163073428044, 0.5368446104166651, 3.151483577349228, 1.321082842424833, 2.0531912439316238, 0.2985279847296657, 1.7031458947523535, 0.6186764114913086, -0.6493080719508288, 2.3334308465589015, 0.3084015137578817, -1.2537814272308783, 0.3851370033551402, 2.1517219034482844, 2.3225161816115563, 0.7557725991603036, 2.4566704116467952, 2.6081242308708728, 1.8314113812691128, 0.7532229085549145, 1.7252301514982387, -0.9379139678944204, -2.197110201343885, 1.3742545130314192, -0.2810436265213289, 2.1598816055475467, 2.472590777147869, 2.2009319632195323, 2.1703183812962483, 4.307163350792318, 1.4472066160396522, 1.295834233874623, 0.1475085063763241, -1.5340004866137773, 1.6139618271202847, 0.6219188708264358, 0.1070025155752442, 1.070571060693418, 4.333082090337386, 1.7256303126455794, 0.2205819058022235, -0.3866360275127561]|-1179.0250244140625000|    100.00000000|[975, 68, 0, 17]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       5|[-1.0675603906089797, -1.1122117222596184, -1.3790448342417183, 2.0092954273722703, -1.8281864801169634, 0.4899755069897275, 0.9329243797268293, 1.0155432912555904, 2.8368130743426767, 4.178397895836701, 0.9494472009863618, -0.6805586438419426, -0.5276364326225607, -2.722916927229084, -1.0636563541870332, 4.155644784342882, 1.3384331931472473, -0.4329653131266433, 2.90172419700825, -1.0027851008087902, 0.279240976173646, 1.1242609001242188, -0.9056461545868049, 1.2507260263733668, 2.469794386910014, 1.3811139220773798, 1.1333066578918998, 1.3211326627903714, 2.0066493525679636, 2.734447923490954, 0.856041870016213, 1.5673175953849214, -1.5304438004221652, -0.867024673431082, 0.3395761688163353, 0.7579165575547167, 0.2688974557260588, -2.7486262949274844, 1.4232603802495734, 3.7470394168958814, 0.7360913913099064, -2.0111164482502386, 2.068146502912829, 2.6825510767539478, 0.8588346738672344, -2.02792506094915, -1.1482379982882163, 1.4156480341263042, -0.3988664677860166, 0.0942764540623365, -1.9304523851365945, 0.0536296043786023, 0.9149987800105686, 0.0146596700749705, 0.7455064241207754, 1.5941243463841777, 2.296200402724608, 2.074694613559321, -0.9202163073428044, 0.5368446104166651, 3.151483577349228, 1.321082842424833, 2.0531912439316238, 0.2985279847296657, 1.7031458947523535, 0.6186764114913086, -0.6493080719508288, 2.3334308465589015, 0.3084015137578817, -1.2537814272308783, 0.3851370033551402, 2.1517219034482844, 2.3225161816115563, 0.7557725991603036, 2.4566704116467952, 2.6081242308708728, 1.8314113812691128, 0.7532229085549145, 1.7252301514982387, -0.9379139678944204, -2.197110201343885, 1.3742545130314192, -0.2810436265213289, 2.1598816055475467, 2.472590777147869, 2.2009319632195323, 2.1703183812962483, 4.307163350792318, 1.4472066160396522, 1.295834233874623, 0.1475085063763241, -1.5340004866137773, 1.6139618271202847, 0.6219188708264358, 0.1070025155752442, 1.070571060693418, 4.333082090337386, 1.7256303126455794, 0.2205819058022235, -0.3866360275127561]|-1179.0250244140625000|     10.00000000|[1598, 112, 0, 28]                                                         |  | trying linear partial model with 61 points | trying quadratic partial model with 117 points | trying quadratic partial model with 173 points | trying quadratic partial model with 229 points | trying quadratic partial model with 286 points | trying quadratic partial model with 342 points | trying quadratic partial model with 398 points | trying quadratic partial model with 454 points | trying quadratic partial model with 510 points | trying quadratic partial model with 567 points | exploitation failed, decreasing delta | actual_k=4
       6|[-1.8149551053975415, -1.8376856912133075, -0.9476037459481232, -0.3804456653967079, -2.2903568996744634, 1.53490594644517, 0.6229842248510775, 0.7985870209712521, 4.758715731482093, 5.1072757935067505, 2.0333772061983764, -1.6640150105998472, -0.7414656782679916, -2.9447182647655534, -2.1008164131668132, 4.801685426697108, 0.8483087750738769, -1.4717835755472106, 2.180927911121477, -1.3991927821019763, -1.4154427164651562, 1.6538853922163914, -0.5421228114572016, 0.5379445443728934, 1.2711853075350519, 1.5990663220781438, 1.4225885524992874, 2.041148426673475, 1.997093551394035, 2.1698686612963356, 1.5004584554564808, 1.8896735947315977, -2.2768979328730783, -3.2049114532215714, 2.0447662609688932, 1.3217148096483267, 0.1663779484642641, -1.282267683792985, 1.8969402700806464, 3.559897122526771, 1.5505642489939953, -1.653388548515517, 2.6877865152002007, 1.1042339856345906, 0.6263740867118084, -3.04269362427436, -2.1895191782245034, 1.914501165361032, 0.1536182198643645, 0.8128320152460237, -0.817125702170431, -0.7067869199167914, 2.237560147002722, -0.645165557871781, 0.8457392909011812, 1.9840313703739387, 3.0008311038788933, 1.4713317011144849, -0.5567009012486372, 0.7409066668016484, 4.126730522356098, 1.7462015850313275, 0.7330905156055783, 0.9397218262935225, 0.4564103728321705, 2.260728516794488, -0.7895890216663521, 1.9374408035950546, 1.032131483138899, -2.0571730539405713, 0.2053488740797532, 2.5002576113277453, 1.0619595318346984, 0.0241226424014359, 1.3180505741860493, 1.6891186647149192, 0.9528382805420168, 1.045491485177512, 2.483040769427565, -1.7448886584021834, -1.2194535653956091, 0.4237553733481173, -1.4210954715233797, 0.5325967971019836, 1.424425903790855, 3.543020812020168, 2.7011218730130966, 6.377597109712017, 0.8690363550171882, 3.482741257150025, 0.1348937653833349, -0.5197931971120282, 1.5165113729710873, 2.4569008600226123, -1.2405585700527257, -0.2727579840252121, 4.519466810442688, 4.231672720477929, 1.3226576842642976, -1.5974952746637108]|-1216.4598388671875000|    100.00000000|[2222, 156, 0, 39]                                                         |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 118 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 174 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 231 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 287 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 343 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 399 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 455 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 512 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 569 points | iterate success | actual_k=4
       7|[-1.8149551053975415, -1.8376856912133075, -0.9476037459481232, -0.3804456653967079, -2.2903568996744634, 1.53490594644517, 0.6229842248510775, 0.7985870209712521, 4.758715731482093, 5.1072757935067505, 2.0333772061983764, -1.6640150105998472, -0.7414656782679916, -2.9447182647655534, -2.1008164131668132, 4.801685426697108, 0.8483087750738769, -1.4717835755472106, 2.180927911121477, -1.3991927821019763, -1.4154427164651562, 1.6538853922163914, -0.5421228114572016, 0.5379445443728934, 1.2711853075350519, 1.5990663220781438, 1.4225885524992874, 2.041148426673475, 1.997093551394035, 2.1698686612963356, 1.5004584554564808, 1.8896735947315977, -2.2768979328730783, -3.2049114532215714, 2.0447662609688932, 1.3217148096483267, 0.1663779484642641, -1.282267683792985, 1.8969402700806464, 3.559897122526771, 1.5505642489939953, -1.653388548515517, 2.6877865152002007, 1.1042339856345906, 0.6263740867118084, -3.04269362427436, -2.1895191782245034, 1.914501165361032, 0.1536182198643645, 0.8128320152460237, -0.817125702170431, -0.7067869199167914, 2.237560147002722, -0.645165557871781, 0.8457392909011812, 1.9840313703739387, 3.0008311038788933, 1.4713317011144849, -0.5567009012486372, 0.7409066668016484, 4.126730522356098, 1.7462015850313275, 0.7330905156055783, 0.9397218262935225, 0.4564103728321705, 2.260728516794488, -0.7895890216663521, 1.9374408035950546, 1.032131483138899, -2.0571730539405713, 0.2053488740797532, 2.5002576113277453, 1.0619595318346984, 0.0241226424014359, 1.3180505741860493, 1.6891186647149192, 0.9528382805420168, 1.045491485177512, 2.483040769427565, -1.7448886584021834, -1.2194535653956091, 0.4237553733481173, -1.4210954715233797, 0.5325967971019836, 1.424425903790855, 3.543020812020168, 2.7011218730130966, 6.377597109712017, 0.8690363550171882, 3.482741257150025, 0.1348937653833349, -0.5197931971120282, 1.5165113729710873, 2.4569008600226123, -1.2405585700527257, -0.2727579840252121, 4.519466810442688, 4.231672720477929, 1.3226576842642976, -1.5974952746637108]|-1216.4598388671875000|     10.00000000|[2845, 200, 0, 50]                                                         |  | trying linear partial model with 61 points | trying quadratic partial model with 117 points | trying quadratic partial model with 174 points | trying quadratic partial model with 230 points | trying quadratic partial model with 286 points | trying quadratic partial model with 343 points | trying quadratic partial model with 399 points | trying quadratic partial model with 455 points | trying quadratic partial model with 512 points | trying quadratic partial model with 568 points | exploitation failed, decreasing delta | actual_k=4
       8|[-1.8149551053975415, -1.8376856912133075, -0.9476037459481232, -0.3804456653967079, -2.2903568996744634, 1.53490594644517, 0.6229842248510775, 0.7985870209712521, 4.758715731482093, 5.1072757935067505, 2.0333772061983764, -1.6640150105998472, -0.7414656782679916, -2.9447182647655534, -2.1008164131668132, 4.801685426697108, 0.8483087750738769, -1.4717835755472106, 2.180927911121477, -1.3991927821019763, -1.4154427164651562, 1.6538853922163914, -0.5421228114572016, 0.5379445443728934, 1.2711853075350519, 1.5990663220781438, 1.4225885524992874, 2.041148426673475, 1.997093551394035, 2.1698686612963356, 1.5004584554564808, 1.8896735947315977, -2.2768979328730783, -3.2049114532215714, 2.0447662609688932, 1.3217148096483267, 0.1663779484642641, -1.282267683792985, 1.8969402700806464, 3.559897122526771, 1.5505642489939953, -1.653388548515517, 2.6877865152002007, 1.1042339856345906, 0.6263740867118084, -3.04269362427436, -2.1895191782245034, 1.914501165361032, 0.1536182198643645, 0.8128320152460237, -0.817125702170431, -0.7067869199167914, 2.237560147002722, -0.645165557871781, 0.8457392909011812, 1.9840313703739387, 3.0008311038788933, 1.4713317011144849, -0.5567009012486372, 0.7409066668016484, 4.126730522356098, 1.7462015850313275, 0.7330905156055783, 0.9397218262935225, 0.4564103728321705, 2.260728516794488, -0.7895890216663521, 1.9374408035950546, 1.032131483138899, -2.0571730539405713, 0.2053488740797532, 2.5002576113277453, 1.0619595318346984, 0.0241226424014359, 1.3180505741860493, 1.6891186647149192, 0.9528382805420168, 1.045491485177512, 2.483040769427565, -1.7448886584021834, -1.2194535653956091, 0.4237553733481173, -1.4210954715233797, 0.5325967971019836, 1.424425903790855, 3.543020812020168, 2.7011218730130966, 6.377597109712017, 0.8690363550171882, 3.482741257150025, 0.1348937653833349, -0.5197931971120282, 1.5165113729710873, 2.4569008600226123, -1.2405585700527257, -0.2727579840252121, 4.519466810442688, 4.231672720477929, 1.3226576842642976, -1.5974952746637108]|-1216.4598388671875000|      1.00000000|[3466, 244, 0, 61]                                                         |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 117 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 173 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 229 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 286 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 342 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 398 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 454 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 510 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 566 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[-1.8749767283604863, -1.7924056276109934, -0.9199333827537933, -0.5185067941954553, -2.3293305121988928, 1.474311783751469, 0.7008187155671108, 1.0020770404673627, 4.785690718117566, 5.2676637554655255, 2.2146743731731666, -1.820078681039205, -0.7813427652082788, -2.9691526272659408, -2.2402375363017883, 4.789753311232726, 0.983499376954188, -1.4794091126814237, 2.144014724342321, -1.3376353199650834, -1.3049467746766819, 1.5774586183824635, -0.5992129123814534, 0.7636464252222235, 1.232722986001767, 1.6759080312680943, 1.2318423927510862, 2.0358371374018405, 2.117650838967906, 2.2709141783074647, 1.4886886362257834, 1.9492546820047676, -2.068587675457727, -3.342698673993775, 2.147455598467767, 1.2517464342997247, 0.2659935922382115, -1.312725753303183, 1.8127731992005554, 3.6930561892802003, 1.3217967931728853, -1.5951883054043603, 2.5740961717486655, 1.1975847795003665, 0.6054068140506643, -3.0282415070677016, -2.1208970052060483, 1.9653888419268235, 0.2662052483113526, 0.8739774707660648, -0.8267046215344639, -0.8704183003730521, 2.2012051986321803, -0.6889709996644209, 0.826083916234171, 2.026095614917565, 2.9567514690057712, 1.4582690590211058, -0.536242649817291, 0.9549971779434699, 4.198892273626269, 1.711480443625301, 0.792135078727596, 1.0235543307083759, 0.6576444515755845, 2.3218325437277523, -0.8859261561171546, 2.009705735297433, 0.9199877578468818, -2.1735553178992255, 0.2450150279975953, 2.383011681088738, 0.945377493232488, 0.0317090145182624, 1.3198895131201238, 1.8198678084440163, 0.9465754940982385, 1.0793758849252417, 2.452146479787843, -1.759823613379091, -1.067541640428185, 0.4543508831513299, -1.493726661446481, 0.667353267640677, 1.5015532305225527, 3.640734027435358, 2.6736656661939784, 6.271121339715858, 0.8500104996996959, 3.5647200694742183, 0.3064832004497173, -0.4447866367122384, 1.6451140487904905, 2.3997345827630774, -1.1937043057965246, -0.3476035636207929, 4.3095539823504945, 4.302844487404514, 1.2449868497926082, -1.6469813070594095]|-1347.5373535156250000|     10.00000000|[3583, 252, 0, 63]                                                         |  | trying linear partial model with 61 points | iterate success | actual_k=4
      10|[-1.8749767283604863, -1.7924056276109934, -0.9199333827537933, -0.5185067941954553, -2.3293305121988928, 1.474311783751469, 0.7008187155671108, 1.0020770404673627, 4.785690718117566, 5.2676637554655255, 2.2146743731731666, -1.820078681039205, -0.7813427652082788, -2.9691526272659408, -2.2402375363017883, 4.789753311232726, 0.983499376954188, -1.4794091126814237, 2.144014724342321, -1.3376353199650834, -1.3049467746766819, 1.5774586183824635, -0.5992129123814534, 0.7636464252222235, 1.232722986001767, 1.6759080312680943, 1.2318423927510862, 2.0358371374018405, 2.117650838967906, 2.2709141783074647, 1.4886886362257834, 1.9492546820047676, -2.068587675457727, -3.342698673993775, 2.147455598467767, 1.2517464342997247, 0.2659935922382115, -1.312725753303183, 1.8127731992005554, 3.6930561892802003, 1.3217967931728853, -1.5951883054043603, 2.5740961717486655, 1.1975847795003665, 0.6054068140506643, -3.0282415070677016, -2.1208970052060483, 1.9653888419268235, 0.2662052483113526, 0.8739774707660648, -0.8267046215344639, -0.8704183003730521, 2.2012051986321803, -0.6889709996644209, 0.826083916234171, 2.026095614917565, 2.9567514690057712, 1.4582690590211058, -0.536242649817291, 0.9549971779434699, 4.198892273626269, 1.711480443625301, 0.792135078727596, 1.0235543307083759, 0.6576444515755845, 2.3218325437277523, -0.8859261561171546, 2.009705735297433, 0.9199877578468818, -2.1735553178992255, 0.2450150279975953, 2.383011681088738, 0.945377493232488, 0.0317090145182624, 1.3198895131201238, 1.8198678084440163, 0.9465754940982385, 1.0793758849252417, 2.452146479787843, -1.759823613379091, -1.067541640428185, 0.4543508831513299, -1.493726661446481, 0.667353267640677, 1.5015532305225527, 3.640734027435358, 2.6736656661939784, 6.271121339715858, 0.8500104996996959, 3.5647200694742183, 0.3064832004497173, -0.4447866367122384, 1.6451140487904905, 2.3997345827630774, -1.1937043057965246, -0.3476035636207929, 4.3095539823504945, 4.302844487404514, 1.2449868497926082, -1.6469813070594095]|-1347.5373535156250000|      1.00000000|[4208, 296, 0, 74]                                                         |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 117 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 173 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 229 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 286 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 343 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 399 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 455 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 512 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 569 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
