k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.10000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       2|[0.9000548465533607, 0.096688459191294]                                         |  1.9841889142990112|      1.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[0.9000548465533607, 0.096688459191294]                                         |  1.9841889142990112|      0.10000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[0.8001183406424806, 0.0931254848264359]                                        |  1.2408568859100342|      1.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[0.8001183406424806, 0.0931254848264359]                                        |  1.2408568859100342|      0.10000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[0.7002082055699952, 0.0888869815767339]                                        |  0.7290921807289124|      1.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[0.7002082055699952, 0.0888869815767339]                                        |  0.7290921807289124|      0.10000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[0.6003032135547756, 0.0845289349456262]                                        |  0.3948894143104553|      1.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[0.6003032135547756, 0.0845289349456262]                                        |  0.3948894143104553|      0.10000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[0.6003032135547756, 0.0845289349456262]                                        |  0.3948894143104553|      0.01000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[0.5903153817691668, 0.0840357653780499]                                        |  0.3693702220916748|      0.10000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[0.5903153817691668, 0.0840357653780499]                                        |  0.3693702220916748|      0.01000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[0.580327890213656, 0.0835357529496025]                                         |  0.3451096117496490|      0.10000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[0.580327890213656, 0.0835357529496025]                                         |  0.3451096117496490|      0.01000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      15|[0.5703406690288699, 0.0830303689310993]                                        |  0.3220655024051666|      0.10000000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      16|[0.5703406690288699, 0.0830303689310993]                                        |  0.3220655024051666|      0.01000000|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      17|[0.5603538088050232, 0.0825179014986245]                                        |  0.3001964688301086|      0.10000000|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      18|[0.5603538088050232, 0.0825179014986245]                                        |  0.3001964688301086|      0.01000000|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      19|[0.5503672659402159, 0.0819992864107533]                                        |  0.2794617712497711|      0.10000000|[153, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      20|[0.5503672659402159, 0.0819992864107533]                                        |  0.2794617712497711|      0.01000000|[161, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      21|[0.5403811037521505, 0.0814733921688622]                                        |  0.2598214745521545|      0.10000000|[169, 0, 0, 42]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      22|[0.5403811037521505, 0.0814733921688622]                                        |  0.2598214745521545|      0.01000000|[177, 0, 0, 44]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      23|[0.530395261278657, 0.080941461633386]                                          |  0.2412362843751907|      0.10000000|[185, 0, 0, 46]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      24|[0.530395261278657, 0.080941461633386]                                          |  0.2412362843751907|      0.01000000|[193, 0, 0, 48]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      25|[0.5204098506940975, 0.0804014843581532]                                        |  0.2236676812171936|      0.10000000|[201, 0, 0, 50]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
