k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.10000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       2|[0.9001560981946477, 0.0944147271970671]                                        |  1.9843504428863525|      1.00000000|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       3|[0.9001560981946477, 0.0944147271970671]                                        |  1.9843504428863525|      0.10000000|[25, 0, 0, 6]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[0.8003504307932867, 0.0881834548896721]                                        |  1.2410984039306641|      1.00000000|[33, 0, 0, 8]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       5|[0.8003504307932867, 0.0881834548896721]                                        |  1.2410984039306641|      0.10000000|[41, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[0.7003734442819476, 0.086038188446659]                                         |  0.7292650341987610|      1.00000000|[49, 0, 0, 12]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       7|[0.7003734442819476, 0.086038188446659]                                         |  0.7292650341987610|      0.10000000|[57, 0, 0, 14]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[0.600522122269157, 0.0805871800722373]                                         |  0.3949657082557678|      1.00000000|[65, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       9|[0.600522122269157, 0.0805871800722373]                                         |  0.3949657082557678|      0.10000000|[73, 0, 0, 18]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[0.600522122269157, 0.0805871800722373]                                         |  0.3949657082557678|      0.01000000|[81, 0, 0, 20]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[0.5905349235985962, 0.0800813513317064]                                        |  0.3694372177124023|      0.10000000|[89, 0, 0, 22]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      12|[0.5905349235985962, 0.0800813513317064]                                        |  0.3694372177124023|      0.01000000|[97, 0, 0, 24]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[0.5805444670141992, 0.0796445707972517]                                        |  0.3451679646968842|      0.10000000|[105, 0, 0, 26]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      14|[0.5805444670141992, 0.0796445707972517]                                        |  0.3451679646968842|      0.01000000|[113, 0, 0, 28]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      15|[0.5705569909541413, 0.0791442489510678]                                        |  0.3221155703067780|      0.10000000|[121, 0, 0, 30]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      16|[0.5705569909541413, 0.0791442489510678]                                        |  0.3221155703067780|      0.01000000|[129, 0, 0, 32]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      17|[0.5605677159728325, 0.0786812312971935]                                        |  0.3002388179302216|      0.10000000|[137, 0, 0, 34]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      18|[0.5605677159728325, 0.0786812312971935]                                        |  0.3002388179302216|      0.01000000|[145, 0, 0, 36]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      19|[0.5505803882078524, 0.0781779578974827]                                        |  0.2794968485832214|      0.10000000|[153, 0, 0, 38]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      20|[0.5505803882078524, 0.0781779578974827]                                        |  0.2794968485832214|      0.01000000|[161, 0, 0, 40]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      21|[0.5405908694894064, 0.0777202289669835]                                        |  0.2598499953746796|      0.10000000|[169, 0, 0, 42]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      22|[0.5405908694894064, 0.0777202289669835]                                        |  0.2598499953746796|      0.01000000|[177, 0, 0, 44]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      23|[0.5306047244686602, 0.0771940088375443]                                        |  0.2412585467100143|      0.10000000|[185, 0, 0, 46]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
