k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3745460440724845, 0.0805014905256098, -0.0046744768418433, 0.3414217719043455, 0.2806374926820427, 0.2369282320626381, 0.1412396821792244, -0.1602703582654666, -0.3428440853709424, 0.0293231933301588, 0.1002231869784366, -0.0840799884918297, 0.0931275987240298, -0.2873611031390292, 0.1488417562867712, 0.0735541899016584, -0.0583301272550185, 0.1481653520123203, -0.145756711977893, 0.3521121417460836, -0.1677835838101617, 0.3210179035019631]| 13.9616146087646484|      2.00000000|[30, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       2|[0.3745460440724845, 0.0805014905256098, -0.0046744768418433, 0.3414217719043455, 0.2806374926820427, 0.2369282320626381, 0.1412396821792244, -0.1602703582654666, -0.3428440853709424, 0.0293231933301588, 0.1002231869784366, -0.0840799884918297, 0.0931275987240298, -0.2873611031390292, 0.1488417562867712, 0.0735541899016584, -0.0583301272550185, 0.1481653520123203, -0.145756711977893, 0.3521121417460836, -0.1677835838101617, 0.3210179035019631]| 13.9616146087646484|      1.00000000|[59, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       3|[0.6617602922440282, 0.0783147525923062, 0.0111330910969366, 0.8557342202025937, 0.0169172071422075, 0.5058412335038006, 0.3524543368101228, 0.0759528663908628, -0.7015434185531271, -0.1319858030585736, -0.0293834433605427, -0.0106167207398903, 0.136079296575376, -0.1000874141782436, 0.1645390940849192, 0.0358159904211791, 0.2087048870196345, -0.0703986272139567, -0.3291722032440563, 0.498443601697846, -0.1915745264601109, 0.1785576218184732]| 13.0493869781494141|      2.00000000|[88, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       4|[0.6617602922440282, 0.0783147525923062, 0.0111330910969366, 0.8557342202025937, 0.0169172071422075, 0.5058412335038006, 0.3524543368101228, 0.0759528663908628, -0.7015434185531271, -0.1319858030585736, -0.0293834433605427, -0.0106167207398903, 0.136079296575376, -0.1000874141782436, 0.1645390940849192, 0.0358159904211791, 0.2087048870196345, -0.0703986272139567, -0.3291722032440563, 0.498443601697846, -0.1915745264601109, 0.1785576218184732]| 13.0493869781494141|      1.00000000|[117, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       5|[1.2217449336915054, 0.1673339016438352, 0.0613488071833705, 1.3626002047719434, -0.1376009600922471, 0.7553018726375252, 0.511051000074449, 0.1056648173363655, -0.7991261621024587, -0.1869440956532509, 0.1369885646515305, 0.1623676805510026, 0.2957897160504194, -0.0722696708948527, 0.4245440939069969, 0.233958300123775, 0.0847742068040868, 0.0359892306538203, -0.2243781505929093, 0.7439328696110745, -0.1264742737231634, 0.2168145346651169]| 12.3365507125854492|      2.00000000|[146, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       6|[1.2217449336915054, 0.1673339016438352, 0.0613488071833705, 1.3626002047719434, -0.1376009600922471, 0.7553018726375252, 0.511051000074449, 0.1056648173363655, -0.7991261621024587, -0.1869440956532509, 0.1369885646515305, 0.1623676805510026, 0.2957897160504194, -0.0722696708948527, 0.4245440939069969, 0.233958300123775, 0.0847742068040868, 0.0359892306538203, -0.2243781505929093, 0.7439328696110745, -0.1264742737231634, 0.2168145346651169]| 12.3365507125854492|      1.00000000|[175, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       7|[1.2217449336915054, 0.1673339016438352, 0.0613488071833705, 1.3626002047719434, -0.1376009600922471, 0.7553018726375252, 0.511051000074449, 0.1056648173363655, -0.7991261621024587, -0.1869440956532509, 0.1369885646515305, 0.1623676805510026, 0.2957897160504194, -0.0722696708948527, 0.4245440939069969, 0.233958300123775, 0.0847742068040868, 0.0359892306538203, -0.2243781505929093, 0.7439328696110745, -0.1264742737231634, 0.2168145346651169]| 12.3365507125854492|      0.50000000|[204, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.2217449336915054, 0.1673339016438352, 0.0613488071833705, 1.3626002047719434, -0.1376009600922471, 0.7553018726375252, 0.511051000074449, 0.1056648173363655, -0.7991261621024587, -0.1869440956532509, 0.1369885646515305, 0.1623676805510026, 0.2957897160504194, -0.0722696708948527, 0.4245440939069969, 0.233958300123775, 0.0847742068040868, 0.0359892306538203, -0.2243781505929093, 0.7439328696110745, -0.1264742737231634, 0.2168145346651169]| 12.3365507125854492|      0.25000000|[234, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       9|[1.293703509654206, 0.2439377098836339, 0.0928569388085157, 1.5096481158328654, -0.1672456519665347, 0.7664980509986147, 0.5281866951041937, 0.0960551037245346, -0.7568280177884283, -0.1832063876644258, 0.1188618662963094, 0.0935662567780191, 0.263736525337094, -0.0278617854587416, 0.370515228483542, 0.2768447350193127, 0.0938749658313396, 0.0400548489342127, -0.2307957159296642, 0.6796258433906138, -0.1528326771186248, 0.1281918353531268]| 12.2494382858276367|      0.50000000|[263, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      10|[1.293703509654206, 0.2439377098836339, 0.0928569388085157, 1.5096481158328654, -0.1672456519665347, 0.7664980509986147, 0.5281866951041937, 0.0960551037245346, -0.7568280177884283, -0.1832063876644258, 0.1188618662963094, 0.0935662567780191, 0.263736525337094, -0.0278617854587416, 0.370515228483542, 0.2768447350193127, 0.0938749658313396, 0.0400548489342127, -0.2307957159296642, 0.6796258433906138, -0.1528326771186248, 0.1281918353531268]| 12.2494382858276367|      0.25000000|[292, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      11|[1.3296626522387929, 0.1978536082937071, 0.1344138627655626, 1.6487991468853986, -0.2274876350698295, 0.7425708407433611, 0.5899990639548996, 0.1529401599046686, -0.7568441713265508, -0.1604373502867284, 0.1197167297214008, 0.0732091300128172, 0.233164582630276, -0.0310459130343307, 0.3166154670536456, 0.238426149072408, 0.1060565306153445, 0.1386428970671556, -0.3186201102413492, 0.692731354365292, -0.1018750963553529, 0.1169736694964031]| 12.1984224319458008|      0.50000000|[321, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
