k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0]                                                            | 13.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[0.6455779075622559, 0.1369287222623825, -0.5188189744949341, 0.5434210300445557]|  9.5715332031250000|      3.33333333|[7, 2, 0, 2]                                                               | 
       2|[0.6455779075622559, 0.1369287222623825, -0.5188189744949341, 0.5434210300445557]|  9.5715332031250000|      1.00000000|[13, 4, 0, 4]                                                              | 
       3|[0.6455779075622559, 0.1369287222623825, -0.5188189744949341, 0.5434210300445557]|  9.5715332031250000|      0.30000000|[19, 6, 0, 6]                                                              | 
       4|[0.5648735463619232, -0.1272306889295578, -0.4975742995738983, 0.428289458155632]|  9.2297601699829102|      1.00000000|[25, 8, 0, 8]                                                              | 
       5|[0.5648735463619232, -0.1272306889295578, -0.4975742995738983, 0.428289458155632]|  9.2297601699829102|      0.30000000|[31, 10, 0, 10]                                                            | 
       6|[0.681066207587719, -0.2208037972450256, -0.2641475200653076, 0.3131578862667084]|  8.6984519958496094|      1.00000000|[37, 12, 0, 12]                                                            | 
       7|[0.638850498944521, -0.4155013114213943, -0.1812547221779823, -0.6632843315601349]|  8.3849267959594727|      3.33333333|[43, 14, 0, 14]                                                            | 
       8|[0.638850498944521, -0.4155013114213943, -0.1812547221779823, -0.6632843315601349]|  8.3849267959594727|      1.00000000|[49, 16, 0, 16]                                                            | 
       9|[0.638850498944521, -0.4155013114213943, -0.1812547221779823, -0.6632843315601349]|  8.3849267959594727|      0.30000000|[55, 18, 0, 18]                                                            | 
      10|[1.1263344176113605, -0.4010388879105449, -0.0816903188824654, -0.3282660841941833]|  7.2855062484741211|      1.00000000|[61, 20, 0, 20]                                                            | 
      11|[1.1263344176113605, -0.4010388879105449, -0.0816903188824654, -0.3282660841941833]|  7.2855062484741211|      0.30000000|[67, 22, 0, 22]                                                            | 
      12|[1.1263344176113605, -0.4010388879105449, -0.0816903188824654, -0.3282660841941833]|  7.2855062484741211|      0.09000000|[73, 24, 0, 24]                                                            | 
      13|[1.2131161130964756, -0.3772757751867175, -0.0798514345660806, -0.3273327967617661]|  7.2095732688903809|      0.30000000|[79, 26, 0, 26]                                                            | 
      14|[1.4141962714493275, -0.3646527109667659, -0.1420664535835385, -0.5407261571381241]|  6.6711850166320801|      1.00000000|[85, 28, 0, 28]                                                            | 
      15|[1.4141962714493275, -0.3646527109667659, -0.1420664535835385, -0.5407261571381241]|  6.6711850166320801|      0.30000000|[91, 30, 0, 30]                                                            | 
      16|[1.413590393960476, -0.3520296467468143, -0.2055545346811414, -0.833658846328035]|  6.4483933448791504|      1.00000000|[97, 32, 0, 32]                                                            | 
      17|[1.413590393960476, -0.3520296467468143, -0.2055545346811414, -0.833658846328035]|  6.4483933448791504|      0.30000000|[103, 34, 0, 34]                                                           | 
      18|[1.413590393960476, -0.3520296467468143, -0.2055545346811414, -0.833658846328035]|  6.4483933448791504|      0.09000000|[109, 36, 0, 36]                                                           | 
      19|[1.379234191030264, -0.2774481503292918, -0.2183794686570764, -0.8681953942868859]|  6.3842248916625977|      0.30000000|[115, 38, 0, 38]                                                           | 
      20|[1.481894101947546, -0.1554374946281314, 0.0022041043266654, -0.7420318520162255]|  5.8736691474914551|      1.00000000|[121, 40, 0, 40]                                                           | 
