k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.30000000|[16, 1, 0, 1]                                                              | 
       2|[0.8675436675548553, 2.0484827905893326, 1.1037460938096046, 0.9359433501958847, 1.1757678836584091, 1.1560252904891968]|  0.6694219112396240|      1.00000000|[31, 2, 0, 2]                                                              | 
       3|[0.9997086822986603, 1.6503470987081528, 0.7125462964177132, 0.3485544770956039, 0.7181985229253769, 0.8145757615566254]|  0.6468719244003296|      3.33333333|[46, 3, 0, 3]                                                              | 
       4|[-0.1364704072475433, 0.3042529672384262, -0.0310063287615776, -1.6094083935022354, -0.8070326000452042, -0.3235893547534943]|  0.4113765060901642|     11.11111111|[61, 4, 0, 4]                                                              | 
       5|[-0.1364704072475433, 0.3042529672384262, -0.0310063287615776, -1.6094083935022354, -0.8070326000452042, -0.3235893547534943]|  0.4113765060901642|      3.33333333|[76, 5, 0, 5]                                                              | 
       6|[-0.1364704072475433, 0.3042529672384262, -0.0310063287615776, -1.6094083935022354, -0.8070326000452042, -0.3235893547534943]|  0.4113765060901642|      1.00000000|[91, 6, 0, 6]                                                              | 
       7|[-0.1364704072475433, 0.3042529672384262, -0.0310063287615776, -1.6094083935022354, -0.8070326000452042, -0.3235893547534943]|  0.4113765060901642|      0.30000000|[106, 7, 0, 7]                                                             | 
       8|[0.0571552515029907, 0.3652448244392872, 0.0528865233063698, -1.801545038819313, -0.7529172487556934, -0.3672487586736679]|  0.2780704498291016|      1.00000000|[121, 8, 0, 8]                                                             | 
       9|[0.0571552515029907, 0.3652448244392872, 0.0528865233063698, -1.801545038819313, -0.7529172487556934, -0.3672487586736679]|  0.2780704498291016|      0.30000000|[136, 9, 0, 9]                                                             | 
      10|[0.0571552515029907, 0.3652448244392872, 0.0528865233063698, -1.801545038819313, -0.7529172487556934, -0.3672487586736679]|  0.2780704498291016|      0.09000000|[151, 10, 0, 10]                                                           | 
      11|[0.0794290732592344, 0.3741261819377542, 0.071189733222127, -1.7194421663880348, -0.7568588592112064, -0.3464263435453176]|  0.2654440701007843|      0.30000000|[166, 11, 0, 11]                                                           | 
      12|[0.0794290732592344, 0.3741261819377542, 0.071189733222127, -1.7194421663880348, -0.7568588592112064, -0.3464263435453176]|  0.2654440701007843|      0.09000000|[181, 12, 0, 12]                                                           | 
      13|[0.0794290732592344, 0.3741261819377542, 0.071189733222127, -1.7194421663880348, -0.7568588592112064, -0.3464263435453176]|  0.2654440701007843|      0.02700000|[196, 13, 0, 13]                                                           | 
      14|[0.0968553815037012, 0.3922216584905982, 0.0787400896660984, -1.7207495737820864, -0.7532173439394683, -0.3515155231580138]|  0.2590756714344025|      0.09000000|[211, 14, 0, 14]                                                           | 
      15|[0.0968553815037012, 0.3922216584905982, 0.0787400896660984, -1.7207495737820864, -0.7532173439394683, -0.3515155231580138]|  0.2590756714344025|      0.02700000|[226, 15, 0, 15]                                                           | 
      16|[0.0968553815037012, 0.3922216584905982, 0.0787400896660984, -1.7207495737820864, -0.7532173439394683, -0.3515155231580138]|  0.2590756714344025|      0.00810000|[241, 16, 0, 16]                                                           | 
      17|[0.0969039058581984, 0.394217336550355, 0.0743834623135626, -1.7235733426641673, -0.7473317726980895, -0.3513391818269156]|  0.2587482631206512|      0.02700000|[256, 17, 0, 17]                                                           | 
      18|[0.0845625043184555, 0.4142967816442251, 0.0745522568759043, -1.7220493063796312, -0.7511540332343429, -0.3388273929595016]|  0.2575148940086365|      0.09000000|[271, 18, 0, 18]                                                           | 
      19|[0.0434244998068607, 0.4812282677739859, 0.0538698195305187, -1.716969185275957, -0.7638949023094028, -0.3026066747843288]|  0.2569282352924347|      0.30000000|[286, 19, 0, 19]                                                           | 
      20|[0.0434244998068607, 0.4812282677739859, 0.0538698195305187, -1.716969185275957, -0.7638949023094028, -0.3026066747843288]|  0.2569282352924347|      0.09000000|[301, 20, 0, 20]                                                           | 
      21|[0.0434244998068607, 0.4812282677739859, 0.0538698195305187, -1.716969185275957, -0.7638949023094028, -0.3026066747843288]|  0.2569282352924347|      0.02700000|[316, 21, 0, 21]                                                           | 
      22|[0.0449237646571419, 0.4747451413422823, 0.0393477289762814, -1.738531970186159, -0.7609741231426597, -0.3020188703085296]|  0.2544021308422089|      0.09000000|[331, 22, 0, 22]                                                           | 
      23|[0.0449237646571419, 0.4747451413422823, 0.0393477289762814, -1.738531970186159, -0.7609741231426597, -0.3020188703085296]|  0.2544021308422089|      0.02700000|[346, 23, 0, 23]                                                           | 
