k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      1.00000000|[0, 0, 0, 0]                                                               | k=0
       1|[0.5341488122940063, 1.9485516063869, 0.8024872094392776, 1.0414174757897854, 1.500398337841034, 1.6994358897209167]|  0.6838613152503967|      3.33333333|[5, 0, 0, 1]                                                               | 
       2|[0.5341488122940063, 1.9485516063869, 0.8024872094392776, 1.0414174757897854, 1.500398337841034, 1.6994358897209167]|  0.6838613152503967|      1.00000000|[17, 0, 0, 4]                                                              | 
       3|[0.322065606713295, 1.59609479829669, 0.5646248906850815, 0.6295577250421047, 2.26622998714447, 1.8339347690343857]|  0.4943629503250122|      3.33333333|[21, 0, 0, 5]                                                              | 
       4|[3.489606633782387, 1.6283930391073227, -0.0204077512025833, 0.2221088968217373, 1.6112792491912842, 2.2074509114027023]|  0.4352893829345703|     11.11111111|[25, 0, 0, 6]                                                              | 
       5|[3.489606633782387, 1.6283930391073227, -0.0204077512025833, 0.2221088968217373, 1.6112792491912842, 2.2074509114027023]|  0.4352893829345703|      3.33333333|[37, 0, 0, 9]                                                              | 
       6|[3.489606633782387, 1.6283930391073227, -0.0204077512025833, 0.2221088968217373, 1.6112792491912842, 2.2074509114027023]|  0.4352893829345703|      1.00000000|[49, 0, 0, 12]                                                             | 
       7|[3.2788892835378647, 2.52611480653286, -0.3457385450601578, 0.1883712634444237, 1.4833302795886993, 2.369761034846306]|  0.3915460705757141|      3.33333333|[57, 0, 0, 14]                                                             | 
       8|[3.2788892835378647, 2.52611480653286, -0.3457385450601578, 0.1883712634444237, 1.4833302795886993, 2.369761034846306]|  0.3915460705757141|      1.00000000|[69, 0, 0, 17]                                                             | 
       9|[3.0681719332933426, 3.3795387595891953, -0.6710693389177322, -0.0921820476651192, 1.3742021918296814, 2.194243013858795]|  0.2928454577922821|      3.33333333|[81, 0, 0, 20]                                                             | 
      10|[3.0681719332933426, 3.3795387595891953, -0.6710693389177322, -0.0921820476651192, 1.3742021918296814, 2.194243013858795]|  0.2928454577922821|      1.00000000|[93, 0, 0, 23]                                                             | 
      11|[3.0681719332933426, 3.3795387595891953, -0.6710693389177322, -0.0921820476651192, 1.3742021918296814, 2.194243013858795]|  0.2928454577922821|      0.30000000|[105, 0, 0, 26]                                                            | 
      12|[3.0638837818987668, 3.3014790266752243, -0.5601779296994209, -0.0798040134832263, 1.4330857060849667, 2.172542730346322]|  0.2909708619117737|      1.00000000|[109, 0, 0, 27]                                                            | 
      13|[4.014146090019494, 3.3852222561836243, -0.7356877252459526, -0.2020386634394526, 1.404594749212265, 1.9641393814235926]|  0.2429711222648621|      3.33333333|[113, 0, 0, 28]                                                            | 
      14|[4.014146090019494, 3.3852222561836243, -0.7356877252459526, -0.2020386634394526, 1.404594749212265, 1.9641393814235926]|  0.2429711222648621|      1.00000000|[125, 0, 0, 31]                                                            | 
      15|[4.014146090019494, 3.3852222561836243, -0.7356877252459526, -0.2020386634394526, 1.404594749212265, 1.9641393814235926]|  0.2429711222648621|      0.30000000|[137, 0, 0, 34]                                                            | 
      16|[4.2992247943766415, 3.326827272772789, -0.6740205325186253, -0.2387090614065528, 1.3960474617779255, 1.9541616346687078]|  0.2374730706214905|      1.00000000|[141, 0, 0, 35]                                                            | 
      17|[4.2992247943766415, 3.326827272772789, -0.6740205325186253, -0.2387090614065528, 1.3960474617779255, 1.9541616346687078]|  0.2374730706214905|      0.30000000|[153, 0, 0, 38]                                                            | 
      18|[4.2992247943766415, 3.326827272772789, -0.6740205325186253, -0.2387090614065528, 1.3960474617779255, 1.9541616346687078]|  0.2374730706214905|      0.09000000|[165, 0, 0, 41]                                                            | 
      19|[4.362365171778947, 3.273102317005396, -0.8028912432491779, -0.1670845588669181, 1.3641952350735664, 2.0068364422768354]|  0.2264276742935181|      0.30000000|[169, 0, 0, 42]                                                            | 
      20|[4.647443876136094, 3.2147073335945606, -0.8382876850664616, -0.2037549568340182, 1.355647947639227, 1.9553632494062185]|  0.2180652469396591|      1.00000000|[177, 0, 0, 44]                                                            | 
      21|[4.647443876136094, 3.2147073335945606, -0.8382876850664616, -0.2037549568340182, 1.355647947639227, 1.9553632494062185]|  0.2180652469396591|      0.30000000|[189, 0, 0, 47]                                                            | 
      22|[4.546772376168519, 3.20116784889251, -0.7798737697303295, -0.2494856594130397, 1.431623499840498, 1.9854658525437117]|  0.2175980806350708|      1.00000000|[201, 0, 0, 50]                                                            | 
      23|[4.546772376168519, 3.20116784889251, -0.7798737697303295, -0.2494856594130397, 1.431623499840498, 1.9854658525437117]|  0.2175980806350708|      0.30000000|[213, 0, 0, 53]                                                            | 
      24|[4.546772376168519, 3.20116784889251, -0.7798737697303295, -0.2494856594130397, 1.431623499840498, 1.9854658525437117]|  0.2175980806350708|      0.09000000|[225, 0, 0, 56]                                                            | 
      25|[4.557688762899488, 3.175606851466, -0.8080506660044193, -0.2827434604987502, 1.3843059912323952, 1.928999027237296]|  0.2175606489181519|      0.30000000|[229, 0, 0, 57]                                                            | 
      26|[4.557688762899488, 3.175606851466, -0.8080506660044193, -0.2827434604987502, 1.3843059912323952, 1.928999027237296]|  0.2175606489181519|      0.09000000|[241, 0, 0, 60]                                                            | 
