k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]|7635.8399999999992360|      1.00000000|[0, 0, 0, 0]                                                               | k=8
       1|[-0.8060135990381241, -0.8492929637432098, -0.870851144194603, -1.0250587463378906, -0.8521344512701035, -1.0339749306440353, -0.8238543272018433, -1.031817503273487, -0.8415224105119705, -0.8049146234989166, -0.9884407306089997, -0.9523053951561451, -0.8688418865203857, -0.8187126815319061, -1.0805206671357155, -1.0710061863064766, -1.3345687091350555, -0.8093188852071762, -1.1376884579658508, -0.8553960174322128, -1.0582058876752853, -1.0680273994803429, -1.065660685300827, -1.2356770485639572, -1.1520036607980728, -0.9277788698673248, -0.8513014614582062, -1.1294070482254028, -0.8508348166942596, -1.1356910914182663, -1.0205789543688297, -1.0474325865507126, -0.9496046304702759, -0.8343065679073334, -0.8058546334505081, -0.9538989514112473, -0.918101854622364, -0.952452328056097, -0.9665377959609032, -1.023850966244936, -0.8371507078409195, -0.7913829833269119, -0.9494454078376293, -0.7598470449447632, -0.7433013916015625, -0.7895120084285736, -1.0364229083061218, -0.8918414860963821, -0.9014378562569618, -0.8271119445562363]|6645.8095703125000000|      3.33333333|[57, 8, 0, 1]                                                              | 
       2|[-0.5379173308610916, -0.7844077870249748, -0.749127522110939, -1.44334277510643, -0.5149383991956711, -1.0554547440260649, -0.6111239939928055, -1.157531000673771, -0.5289909392595291, -1.1239801943302155, -0.8890761369839311, -0.7748741246759892, -0.9538125097751617, -0.8541672267019749, -0.8700703009963036, -1.0909462850540876, -1.2150734066963196, -0.8958633467555046, -1.3192415535449982, -0.933194637298584, -0.6817428320646286, -1.0018306523561478, -1.2288449257612228, -1.429334670305252, -0.7732344716787338, -0.4590899348258972, -0.3502624928951263, -0.9116694778203964, -0.8611924387514591, -1.2261117026209831, -0.8061095513403416, -1.270734503865242, -0.897470660507679, -0.9752606898546219, -1.1010132282972336, -1.0086776316165924, -1.1250564977526665, -1.1637304984033108, -0.7021433636546135, -0.7246459312736988, -0.3634877949953079, -0.4514846056699753, -0.7382976524531841, -0.9212616384029388, -0.6688437536358833, -0.7711391635239124, -0.9076978713274002, -0.6735943853855133, -1.280630238354206, -0.6789697557687759]|6160.5170898437500000|     11.11111111|[113, 16, 0, 2]                                                            | 
       3|[-0.5379173308610916, -0.7844077870249748, -0.749127522110939, -1.44334277510643, -0.5149383991956711, -1.0554547440260649, -0.6111239939928055, -1.157531000673771, -0.5289909392595291, -1.1239801943302155, -0.8890761369839311, -0.7748741246759892, -0.9538125097751617, -0.8541672267019749, -0.8700703009963036, -1.0909462850540876, -1.2150734066963196, -0.8958633467555046, -1.3192415535449982, -0.933194637298584, -0.6817428320646286, -1.0018306523561478, -1.2288449257612228, -1.429334670305252, -0.7732344716787338, -0.4590899348258972, -0.3502624928951263, -0.9116694778203964, -0.8611924387514591, -1.2261117026209831, -0.8061095513403416, -1.270734503865242, -0.897470660507679, -0.9752606898546219, -1.1010132282972336, -1.0086776316165924, -1.1250564977526665, -1.1637304984033108, -0.7021433636546135, -0.7246459312736988, -0.3634877949953079, -0.4514846056699753, -0.7382976524531841, -0.9212616384029388, -0.6688437536358833, -0.7711391635239124, -0.9076978713274002, -0.6735943853855133, -1.280630238354206, -0.6789697557687759]|6160.5170898437500000|      3.33333333|[225, 32, 0, 4]                                                            | 
       4|[-0.3969485908746719, -0.635547362267971, -0.6677736267447472, -1.7635872066020966, -0.3787844479084015, -0.7917704414576292, -0.3089994043111801, -0.5575136914849281, -0.1876758486032486, -0.8170137703418732, -1.5549247497692704, -0.930172998458147, -0.8222109824419022, -1.0184901095926762, -1.1420888230204582, -1.059024939313531, -1.1093795225024223, -0.743693046271801, -1.085712030529976, -0.8663597628474236, -0.5324543714523315, -1.036488551646471, -1.2877696864306927, -0.8498683869838715, -0.4650519341230392, -0.280809685587883, -0.3260972313582897, -1.0828547030687332, -0.974319826811552, -1.0519286319613457, -0.8851162977516651, -1.4421123713254929, -0.863691832870245, -1.0413325354456902, -0.8494138568639755, -1.3176069259643555, -1.1282114703208208, -1.1561756837181747, -0.5633426532149315, -0.9992190189659595, -0.3526718458160758, -0.4977661967277527, -0.7431325055658817, -0.6547450125217438, -0.7093181796371937, -0.6978084705770016, -0.9110440728254616, -0.5522387102246284, -1.0573766753077507, -0.2381473332643509]|6066.4526367187500000|     11.11111111|[281, 40, 0, 5]                                                            | 
       5|[-0.3969485908746719, -0.635547362267971, -0.6677736267447472, -1.7635872066020966, -0.3787844479084015, -0.7917704414576292, -0.3089994043111801, -0.5575136914849281, -0.1876758486032486, -0.8170137703418732, -1.5549247497692704, -0.930172998458147, -0.8222109824419022, -1.0184901095926762, -1.1420888230204582, -1.059024939313531, -1.1093795225024223, -0.743693046271801, -1.085712030529976, -0.8663597628474236, -0.5324543714523315, -1.036488551646471, -1.2877696864306927, -0.8498683869838715, -0.4650519341230392, -0.280809685587883, -0.3260972313582897, -1.0828547030687332, -0.974319826811552, -1.0519286319613457, -0.8851162977516651, -1.4421123713254929, -0.863691832870245, -1.0413325354456902, -0.8494138568639755, -1.3176069259643555, -1.1282114703208208, -1.1561756837181747, -0.5633426532149315, -0.9992190189659595, -0.3526718458160758, -0.4977661967277527, -0.7431325055658817, -0.6547450125217438, -0.7093181796371937, -0.6978084705770016, -0.9110440728254616, -0.5522387102246284, -1.0573766753077507, -0.2381473332643509]|6066.4526367187500000|      3.33333333|[393, 56, 0, 7]                                                            | 
       6|[-0.4803329929709435, -0.9086035415530205, -0.8668927177786827, -1.908331885933876, -0.5225447714328766, -0.6607982646673918, -0.0086954087018967, -0.3254395350813866, -0.238268107175827, -0.788269393146038, -1.1985910767689347, -0.3565578646957874, -0.5507300347089767, -0.9513497315347195, -0.9547496363520622, -0.9395756591111422, -1.3254258707165718, -0.8185046315193176, -0.7014278918504715, -1.005281575024128, -0.6274547353386879, -0.9888848625123501, -1.31302385404706, -1.1026422083377838, -0.6193895190954208, -0.1929072514176369, -0.238319393247366, -1.0675448728725314, -0.9163826741278172, -0.6982426568865776, -0.8545459415763617, -1.4730799235403538, -0.6034209989011288, -0.8807906582951546, -0.6764385551214218, -1.200345903635025, -1.0627304334193468, -1.0505702900700271, -0.2974166199564934, -1.0113675827160478, 0.1721921125426888, -0.9280404448509216, -0.6232041157782078, -0.5516887605190277, -0.7278870418667793, -0.3971056900918484, -0.2860266682691872, -0.4773996919393539, -0.9166704639792442, -0.6694383472204208]|5021.3925781250000000|     11.11111111|[449, 64, 0, 8]                                                            | 
       7|[-0.4803329929709435, -0.9086035415530205, -0.8668927177786827, -1.908331885933876, -0.5225447714328766, -0.6607982646673918, -0.0086954087018967, -0.3254395350813866, -0.238268107175827, -0.788269393146038, -1.1985910767689347, -0.3565578646957874, -0.5507300347089767, -0.9513497315347195, -0.9547496363520622, -0.9395756591111422, -1.3254258707165718, -0.8185046315193176, -0.7014278918504715, -1.005281575024128, -0.6274547353386879, -0.9888848625123501, -1.31302385404706, -1.1026422083377838, -0.6193895190954208, -0.1929072514176369, -0.238319393247366, -1.0675448728725314, -0.9163826741278172, -0.6982426568865776, -0.8545459415763617, -1.4730799235403538, -0.6034209989011288, -0.8807906582951546, -0.6764385551214218, -1.200345903635025, -1.0627304334193468, -1.0505702900700271, -0.2974166199564934, -1.0113675827160478, 0.1721921125426888, -0.9280404448509216, -0.6232041157782078, -0.5516887605190277, -0.7278870418667793, -0.3971056900918484, -0.2860266682691872, -0.4773996919393539, -0.9166704639792442, -0.6694383472204208]|5021.3925781250000000|      3.33333333|[561, 80, 0, 10]                                                           | 
       8|[-0.2646773084998131, -0.5600888058543205, -0.7682137563824654, -1.3068719655275345, -0.7741205394268036, -0.419184310361743, -0.2057762295007706, -0.2625560611486435, -0.0276138484477997, -0.7838687724433839, -1.393382334150374, 0.1563783101737499, -0.7411669939756393, -0.9731565304100513, -1.107668124139309, -0.5561978090554476, -1.566583476960659, -0.8154242215678096, -0.7019331846386194, -1.1892173066735268, -0.77145566791296, -1.0847168378531933, -1.62770451977849, -0.6501282751560211, -0.8973032087087631, -0.2663121819496155, 0.0705715157091618, -1.184205244295299, -0.9004421271383762, -0.4225862249732018, -0.9641954731196165, -1.5874123610556126, -0.7012153677642345, -0.6838667169213295, -0.7772193849086761, -0.8505892753601074, -1.2069624233990908, -0.8540869462303817, -0.1301248446106911, -1.0382808083668351, 0.2358903819695115, -1.1154271811246872, -0.4782168604433537, 0.0257570445537567, -0.8809147849678993, -0.2695347629487514, -0.1578912404365838, -0.5247394368052483, -0.6669864133000374, -0.8084838837385178]|4392.8803710937500000|     11.11111111|[617, 88, 0, 11]                                                           | 
       9|[-0.2646773084998131, -0.5600888058543205, -0.7682137563824654, -1.3068719655275345, -0.7741205394268036, -0.419184310361743, -0.2057762295007706, -0.2625560611486435, -0.0276138484477997, -0.7838687724433839, -1.393382334150374, 0.1563783101737499, -0.7411669939756393, -0.9731565304100513, -1.107668124139309, -0.5561978090554476, -1.566583476960659, -0.8154242215678096, -0.7019331846386194, -1.1892173066735268, -0.77145566791296, -1.0847168378531933, -1.62770451977849, -0.6501282751560211, -0.8973032087087631, -0.2663121819496155, 0.0705715157091618, -1.184205244295299, -0.9004421271383762, -0.4225862249732018, -0.9641954731196165, -1.5874123610556126, -0.7012153677642345, -0.6838667169213295, -0.7772193849086761, -0.8505892753601074, -1.2069624233990908, -0.8540869462303817, -0.1301248446106911, -1.0382808083668351, 0.2358903819695115, -1.1154271811246872, -0.4782168604433537, 0.0257570445537567, -0.8809147849678993, -0.2695347629487514, -0.1578912404365838, -0.5247394368052483, -0.6669864133000374, -0.8084838837385178]|4392.8803710937500000|      3.33333333|[729, 104, 0, 13]                                                          | 
