k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.30000000|[7, 2, 0, 2]                                                               | 
       2|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.09000000|[13, 4, 0, 4]                                                              | 
       3|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.02700000|[19, 6, 0, 6]                                                              | 
       4|[0.1117211472243071, 0.0073646223079413, 0.0138421184197068]                    |9794.2890625000000000|      0.09000000|[22, 7, 0, 7]                                                              | 
       5|[0.1117211472243071, 0.0073646223079413, 0.0138421184197068]                    |9794.2890625000000000|      0.02700000|[28, 9, 0, 9]                                                              | 
       6|[0.1117211472243071, 0.0073646223079413, 0.0138421184197068]                    |9794.2890625000000000|      0.00810000|[34, 11, 0, 11]                                                            | 
       7|[0.1117211472243071, 0.0073646223079413, 0.0138421184197068]                    |9794.2890625000000000|      0.00243000|[40, 13, 0, 13]                                                            | 
       8|[0.111442028102465, 0.0059106598980725, 0.0119152075890452]                     |2992.2712402343750000|      0.00810000|[43, 14, 0, 14]                                                            | 
       9|[0.111442028102465, 0.0059106598980725, 0.0119152075890452]                     |2992.2712402343750000|      0.00243000|[49, 16, 0, 16]                                                            | 
      10|[0.1117824971966911, 0.0052829349203967, 0.012898196564056]                     |2612.5769042968750000|      0.00810000|[52, 17, 0, 17]                                                            | 
      11|[0.1117824971966911, 0.0052829349203967, 0.012898196564056]                     |2612.5769042968750000|      0.00243000|[58, 19, 0, 19]                                                            | 
      12|[0.1113612906134222, 0.0046162569685839, 0.0138225074438378]                    |2604.8786621093750000|      0.00810000|[61, 20, 0, 20]                                                            | 
      13|[0.1113612906134222, 0.0046162569685839, 0.0138225074438378]                    |2604.8786621093750000|      0.00243000|[67, 22, 0, 22]                                                            | 
      14|[0.1113612906134222, 0.0046162569685839, 0.0138225074438378]                    |2604.8786621093750000|      0.00072900|[73, 24, 0, 24]                                                            | 
      15|[0.1113612906134222, 0.0046162569685839, 0.0138225074438378]                    |2604.8786621093750000|      0.00021870|[79, 26, 0, 26]                                                            | 
      16|[0.1112243209878216, 0.0047867496084655, 0.0138213777031706]                    |2576.6140136718750000|      0.00072900|[82, 27, 0, 27]                                                            | 
      17|[0.1118904105765978, 0.00499632154766, 0.0136119850726755]                      |2575.8945312500000000|      0.00243000|[88, 29, 0, 29]                                                            | 
      18|[0.1118904105765978, 0.00499632154766, 0.0136119850726755]                      |2575.8945312500000000|      0.00072900|[94, 31, 0, 31]                                                            | 
