k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, -1.0]                                                                     |485165194.4106902480125427|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[-0.9329285621643066, -0.6399384438991547]                                      |  0.2973887324333191|      3.33333333|[7, 2, 0, 2]                                                               | 
       2|[-0.9329285621643066, -0.6399384438991547]                                      |  0.2973887324333191|      1.00000000|[13, 4, 0, 4]                                                              | 
       3|[-0.9329285621643066, -0.6399384438991547]                                      |  0.2973887324333191|      0.30000000|[19, 6, 0, 6]                                                              | 
       4|[-0.9329285621643066, -0.6399384438991547]                                      |  0.2973887324333191|      0.09000000|[25, 8, 0, 8]                                                              | 
       5|[-0.8447098582983017, -0.6577558573335409]                                      |  0.2122081518173218|      0.30000000|[28, 9, 0, 9]                                                              | 
       6|[-0.8447098582983017, -0.6577558573335409]                                      |  0.2122081518173218|      0.09000000|[34, 11, 0, 11]                                                            | 
       7|[-0.8035219982266426, -0.6396296285092831]                                      |  0.2030483931303024|      0.30000000|[37, 12, 0, 12]                                                            | 
       8|[-0.8035219982266426, -0.6396296285092831]                                      |  0.2030483931303024|      0.09000000|[43, 14, 0, 14]                                                            | 
       9|[-0.9210016801953316, -0.7760060392320156]                                      |  0.2015610784292221|      0.30000000|[46, 15, 0, 15]                                                            | 
      10|[-0.9210016801953316, -0.7760060392320156]                                      |  0.2015610784292221|      0.09000000|[52, 17, 0, 17]                                                            | 
      11|[-0.8910574913024902, -0.7424151860177517]                                      |  0.2013138383626938|      0.30000000|[58, 19, 0, 19]                                                            | 
      12|[-0.8910574913024902, -0.7424151860177517]                                      |  0.2013138383626938|      0.09000000|[64, 21, 0, 21]                                                            | 
