k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | k=0
       1|[1.6539790332317352, 1.1091008186340332, -7.4479405879974365]                   |  9.2063636779785156|      3.33333333|[5, 0, 0, 1]                                                               | 
       2|[-0.3930657207965851, -1.093017578125, -8.887173652648926]                      |  1.1645611524581909|     11.11111111|[13, 0, 0, 3]                                                              | 
       3|[-0.3930657207965851, -1.093017578125, -8.887173652648926]                      |  1.1645611524581909|      3.33333333|[21, 0, 0, 5]                                                              | 
       4|[-0.3930657207965851, -1.093017578125, -8.887173652648926]                      |  1.1645611524581909|      1.00000000|[29, 0, 0, 7]                                                              | 
       5|[-0.1193380653858185, -0.6154285967350006, -8.05231922864914]                   |  1.0696206092834473|      3.33333333|[33, 0, 0, 8]                                                              | 
       6|[-0.1193380653858185, -0.6154285967350006, -8.05231922864914]                   |  1.0696206092834473|      1.00000000|[41, 0, 0, 10]                                                             | 
       7|[-0.0684054307639599, -0.8187223225831985, -9.030111312866211]                  |  1.0264672040939331|      3.33333333|[45, 0, 0, 11]                                                             | 
       8|[-0.0684054307639599, -0.8187223225831985, -9.030111312866211]                  |  1.0264672040939331|      1.00000000|[53, 0, 0, 13]                                                             | 
       9|[0.0260991714894772, -0.8838769346475601, -10.02350127696991]                   |  1.0111271142959595|      3.33333333|[61, 0, 0, 15]                                                             | 
      10|[0.0260991714894772, -0.8838769346475601, -10.02350127696991]                   |  1.0111271142959595|      1.00000000|[69, 0, 0, 17]                                                             | 
      11|[0.0260991714894772, -0.8838769346475601, -10.02350127696991]                   |  1.0111271142959595|      0.30000000|[77, 0, 0, 19]                                                             | 
      12|[-0.0708579532802105, -1.063378468155861, -9.803550109267235]                   |  1.0094524621963501|      1.00000000|[85, 0, 0, 21]                                                             | 
      13|[0.0439010597765446, -1.0608069896697998, -10.796940073370934]                  |  1.0060472488403320|      3.33333333|[93, 0, 0, 23]                                                             | 
      14|[0.0439010597765446, -1.0608069896697998, -10.796940073370934]                  |  1.0060472488403320|      1.00000000|[101, 0, 0, 25]                                                            | 
      15|[0.0439010597765446, -1.0608069896697998, -10.796940073370934]                  |  1.0060472488403320|      0.30000000|[109, 0, 0, 27]                                                            | 
      16|[0.0439010597765446, -1.0608069896697998, -10.796940073370934]                  |  1.0060472488403320|      0.09000000|[117, 0, 0, 29]                                                            | 
      17|[-0.0215470008552074, -1.0045244619250298, -10.771467979997396]                 |  1.0004429817199707|      0.30000000|[121, 0, 0, 30]                                                            | 
