k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[20.14155352115631, 2.49505952000618, 2.630525052547455, 1.4418646097183228, 0.3606293320655823]|4700.2827148437500000|      3.33333333|[7, 2, 0, 2]                                                               | 
       2|[20.14155352115631, 2.49505952000618, 2.630525052547455, 1.4418646097183228, 0.3606293320655823]|4700.2827148437500000|      1.00000000|[13, 4, 0, 4]                                                              | 
       3|[20.51153528690338, 3.234746664762497, 2.1508276760578156, 1.150416225194931, 0.3910357028245926]|3244.4758300781250000|      3.33333333|[19, 6, 0, 6]                                                              | 
       4|[20.51153528690338, 3.234746664762497, 2.1508276760578156, 1.150416225194931, 0.3910357028245926]|3244.4758300781250000|      1.00000000|[25, 8, 0, 8]                                                              | 
       5|[20.51153528690338, 3.234746664762497, 2.1508276760578156, 1.150416225194931, 0.3910357028245926]|3244.4758300781250000|      0.30000000|[31, 10, 0, 10]                                                            | 
       6|[20.780109405517578, 3.145397052168846, 2.239893987774849, 1.1128998436033726, 0.4143660336732864]|3047.7680664062500000|      1.00000000|[37, 12, 0, 12]                                                            | 
       7|[20.780109405517578, 3.145397052168846, 2.239893987774849, 1.1128998436033726, 0.4143660336732864]|3047.7680664062500000|      0.30000000|[43, 14, 0, 14]                                                            | 
       8|[20.68372517079115, 2.9942315220832825, 2.4456946849823, 0.9886035434901714, 0.4218205388635397]|2984.2048339843750000|      1.00000000|[49, 16, 0, 16]                                                            | 
       9|[20.68372517079115, 2.9942315220832825, 2.4456946849823, 0.9886035434901714, 0.4218205388635397]|2984.2048339843750000|      0.30000000|[55, 18, 0, 18]                                                            | 
      10|[20.68372517079115, 2.9942315220832825, 2.4456946849823, 0.9886035434901714, 0.4218205388635397]|2984.2048339843750000|      0.09000000|[61, 20, 0, 20]                                                            | 
      11|[20.670008093118668, 2.948881860822439, 2.5074348971247673, 1.0337521471083164, 0.4240568904671818]|2932.8977050781250000|      0.30000000|[67, 22, 0, 22]                                                            | 
      12|[20.670008093118668, 2.948881860822439, 2.5074348971247673, 1.0337521471083164, 0.4240568904671818]|2932.8977050781250000|      0.09000000|[73, 24, 0, 24]                                                            | 
      13|[20.640374802052975, 2.960698399692774, 2.5858955159783363, 1.007521791383624, 0.4394886047113687]|2868.0952148437500000|      0.30000000|[79, 26, 0, 26]                                                            | 
      14|[20.596938975155354, 2.8249196745455265, 2.4697670489549637, 1.2445290815085173, 0.4438695013988763]|2850.2773437500000000|      1.00000000|[85, 28, 0, 28]                                                            | 
      15|[20.596938975155354, 2.8249196745455265, 2.4697670489549637, 1.2445290815085173, 0.4438695013988763]|2850.2773437500000000|      0.30000000|[91, 30, 0, 30]                                                            | 
      16|[20.596938975155354, 2.8249196745455265, 2.4697670489549637, 1.2445290815085173, 0.4438695013988763]|2850.2773437500000000|      0.09000000|[97, 32, 0, 32]                                                            | 
      17|[20.575833972543478, 2.8914915211498737, 2.517689887434244, 1.218298725783825, 0.4593012156430632]|2826.9377441406250000|      0.30000000|[103, 34, 0, 34]                                                           | 
      18|[20.575833972543478, 2.8914915211498737, 2.517689887434244, 1.218298725783825, 0.4593012156430632]|2826.9377441406250000|      0.09000000|[109, 36, 0, 36]                                                           | 
      19|[20.54382673278451, 2.8660997468978167, 2.482851345092058, 1.2894009128212929, 0.4465909954626113]|2810.9228515625000000|      0.30000000|[115, 38, 0, 38]                                                           | 
      20|[20.54382673278451, 2.8660997468978167, 2.482851345092058, 1.2894009128212929, 0.4465909954626113]|2810.9228515625000000|      0.09000000|[121, 40, 0, 40]                                                           | 
      21|[20.515600346028805, 2.8919613901525736, 2.5445915572345257, 1.2363199144601822, 0.4488273470662534]|2802.8164062500000000|      0.30000000|[127, 42, 0, 42]                                                           | 
      22|[20.515600346028805, 2.8919613901525736, 2.5445915572345257, 1.2363199144601822, 0.4488273470662534]|2802.8164062500000000|      0.09000000|[133, 44, 0, 44]                                                           | 
      23|[20.4730735309422, 2.864305404946208, 2.613250982016325, 1.2648082580417395, 0.4478709297720343]|2772.9738769531250000|      0.30000000|[139, 46, 0, 46]                                                           | 
      24|[20.7416476495564, 2.774955792352557, 2.705305676907301, 1.227291876450181, 0.4461258994881064]|2736.1420898437500000|      1.00000000|[145, 48, 0, 48]                                                           | 
      25|[20.7416476495564, 2.774955792352557, 2.705305676907301, 1.227291876450181, 0.4461258994881064]|2736.1420898437500000|      0.30000000|[151, 50, 0, 50]                                                           | 
