k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      1.00000000|[0, 0, 0, 0]                                                               | k=8
       1|[0.9967612788906839, -0.1268380242586136, -0.2750181936395905, 0.2753492188453674, 0.6049850557855285, -0.3392528402805328, 0.9334849803953766, -0.0491629573702812, 0.0746839985141205, 0.3781324815750122, 2.907879574222644, -0.2049221652746201, 0.9060474804665749, -0.0686554643511772, 2.6552814164826937, 0.5031455051898956, 14.382586812020838, 0.2682343167066574, 12.320288778371436, -0.2135904538631439, -0.1954965221564178, 0.239809889793396, 0.2621210181688614, 0.1074794647097588, 1.047936679394207, 0.0714541007578373, -0.5987950880495179, -0.0080369408428669, -0.1102431059699844, 0.6099820923805237, 3.3607523984265257, 0.1174145829677582, 0.6358941259028549, -0.2373012113571167, 0.2953588604499039, -0.1271248269081116, 0.3235650967951714, 0.0449080155044794, 1.128372311610727, 0.494587231874466, 0.1487725618763824, 0.106690828204155, 2.0229118862051667, -0.2157456833124161, 1.9929071579160957, 0.2937500369548798, 1.2065465722796813, -0.1047043311595917, 0.6781697674482239, 0.3166601848602295, 0.761777007314856, 0.1051917266845703, 0.615449877619757, -0.2216327595710754, 0.9196671527717766, 0.2152919512987137, 0.4741722441536002, -0.1827637809514999, 0.5566341778713356, 0.0647226576507092, 1.151043557622348, -0.2523866999149322, -0.2709906615623321, -0.3265931415557861, 0.2115385309344467, 0.1146558117866516]|83894.8750000000000000|      3.33333333|[113, 16, 0, 2]                                                            | 
       2|[2.0281996295681743, -0.0882953326404095, -0.1585149102581284, -1.2196214604377746, 1.666891274314276, -0.2516170623898506, 1.1478617429047226, 0.7560529378056526, 1.0057095035800385, 0.1253305268287659, 3.7552734445763427, 1.069818053841591, 0.2192734054352944, 1.4313608673214913, 1.6980327883431978, 0.4508419972658158, 16.19712242984921, 1.6080676954984665, 11.527924657888038, -0.5376537847518921, -0.8227333056609039, -0.0617051529884338, -1.5681921875501328, 0.6532476064562798, 1.3459995105576135, 0.8618012000620365, -0.37021421086465, 1.0663249795138836, 0.0140847324508835, 0.7188450437784195, 3.6306510514569212, 1.0070732128620148, 0.1981228055598373, -0.6650763261318207, -0.4850713372658554, 1.5092920851707459, 0.7493601452704368, 0.5063156173378229, 1.1897157728858276, 2.134177495241165, -0.0652122553900818, 1.0866416138410568, 0.7836823263067902, -0.8122296887636185, 2.524038544672993, 0.8423735988140106, 1.8950795207736388, 0.2056714487075806, 0.4538030578582657, 0.2577387955784798, 1.2902184960576843, -0.0372649538516998, -0.4952059069871766, 0.1840270948410034, 2.272060183892077, -0.1558042126893997, 0.3430597133260779, -0.4624991971254349, 1.0808128616291177, 1.482785106152296, 0.4571406478666411, -0.148278656899929, 0.8526879034629975, -0.8281132388114929, -0.4621337875241104, 0.627975959777832]|40093.3203125000000000|     11.11111111|[225, 32, 0, 4]                                                            | 
       3|[-0.7204390003451557, 0.7664656122028828, -3.7834455304516097, -4.173374931812287, 3.7427687023690854, 0.672606837451458, 3.5638072728424666, -4.973505530059338, 4.987498854089682, -6.184213559627533, 0.5343800615502197, 5.678961310982704, -3.736853284475594, 3.48036709100008, 0.2138608017633028, -4.447461034655571, 15.96403854096085, 1.9831691128015518, 9.757907868451698, -2.6001976537704468, -3.6519488322417146, -2.265116493701935, 1.0515621268724746, 1.3472550031542778, 4.382513554365596, -0.3259410332143307, 0.0683710705074203, 5.069590360373258, -3.184518182359297, 2.3357100826501846, 1.2828929967236449, -0.8495600926876068, 2.5019164743067854, -1.670754383802414, -0.602230748577005, 4.134680469036102, -0.499113498986155, -0.2879408910125494, -0.4332388341240601, 4.748060990571975, 0.9331256094857117, 2.590611283183098, 0.4208219149012269, -0.1458748537302017, 2.008434167880085, -0.808043133020401, -0.4826506103756532, -2.658268074989319, 0.3681981294243706, 1.0217986372113228, 3.000127696726019, 2.4761587274074555, -5.812374619603143, 4.117021460533142, 0.679990200409716, 0.2464586240053177, -4.833569353141208, 4.936389390826225, 2.184768607326139, -0.3692076201736927, -3.379184759161557, -0.4889500769972801, 3.0801501951805266, 0.9586579394340515, -5.240648649584657, -0.7259852695465088]|16609.6953125000000000|     37.03703704|[337, 48, 0, 6]                                                            | 
       4|[-0.732702308624372, 0.7480706483870745, -3.8079721470100423, -4.204033204838634, 3.705978774737469, 0.6296852533519268, 3.5147540397256014, -5.028690419644118, 4.926182308036988, -6.251661758422852, 0.4608002062869865, 5.599249799251556, -3.8226964526746565, 3.388392266333103, 0.1157543355295725, 32.53765783131122, 15.85366876179129, 1.8666676771640778, 9.635274776346309, -2.72896240234375, -3.6631041032130724, -2.406144540309906, 0.9044024163460083, 1.1939636585116387, 4.223090530903301, -0.491495690792799, -0.1033152658907044, 4.891772389858961, -3.368467831693251, 2.145628799200058, 1.0866800642561842, -1.0519046890735626, 2.2934402289034956, -1.4175170469284057, -0.8229703069161239, 3.9078092318773265, -0.7321163702611031, -0.5270754113048315, -0.6785050183348373, 4.496663142442703, 0.6755961123391052, 2.3269501370191574, 0.1510291197199525, -0.4217992979288101, 1.7263780746641428, -1.0962309050559997, -0.7769700314285859, -2.958719115257263, 0.0616154401390923, 0.7090842393040657, 2.681281649801428, 2.151181061267853, -6.14348393476008, 3.7797804367542263, 0.3366175276134666, -0.1030456978082657, -5.189205294169803, 4.574621800780296, 1.8168693086582315, -0.7432385678589344, -3.7593473260618104, -0.8752442929148674, 2.6877243302456053, 0.5601003658771515, -5.645337842356569, -1.1368061113357544]|14322.3583984375000000|    123.45679012|[449, 64, 0, 8]                                                            | 
       5|[25.36243242648305, 2.502199462130666, -10.919975950263217, -16.317210504338146, 13.21836318941032, 6.349350303858518, 19.954020244559587, 32.56206504300236, -18.376359424751097, -7.932503919601441, 28.11080554686316, 10.986746747493743, 38.75361275142691, 30.629050072729587, -9.331177503459685, 45.29188546955585, -35.97226660197824, -29.86316211104393, 48.85109508884631, -17.117407302856446, -46.4546385270412, 35.69887026071549, -6.169151622655456, 20.996087681949138, 57.20419633534666, 33.50724545910955, -7.555413635489093, 38.92710030123591, -35.122105145536025, 22.740361083745956, 61.80129493242025, 17.085165013074874, 8.544793015921318, 10.224297184944152, -30.177218353791122, 14.461113904118537, 43.0425189446803, -51.82842505119741, 10.600836679358034, 40.437192012071606, -49.999529009731205, 59.123035494685176, -32.01744698501638, -12.087249394059182, -20.672850975018473, -59.64946119070053, 34.61558139069056, -14.665169577598572, 26.921844932326593, -41.55754402607679, -10.20056573179037, -26.600131194591523, -32.37692624127863, 7.8197427284717556, 42.7364054304455, 33.637791399359706, -2.9945997052568387, -8.190635080933571, 26.57533221454202, -18.991338848620654, -3.5910447900510682, 2.886681881248951, -64.58060147541846, 8.908870507478714, 1.2566931024676498, -46.23979149341583]|13145.1621093750000000|    411.52263374|[561, 80, 0, 10]                                                           | 
       6|[5.606004661590472, -32.9749543159455, 7.8841317157524085, -12.254897424504161, 23.760688209246744, 10.222900003641843, -37.68512465290135, 17.210080065280195, 10.148413219291871, -7.877296112030745, 27.82103136740454, 3.840874154567718, 15.403732532921047, -30.61082953542471, 31.818919389850862, 57.358802888989445, -47.86253015941232, -84.23210437178612, 12.377996333963495, 13.32733299255371, -62.796380088930846, 23.091298658847812, 8.674410503504212, 25.95077766150236, 97.119986893208, 60.886569418460134, 14.851307479623213, 31.92498314425349, -14.28439381130751, 6.635172713994979, 108.63284934526204, 32.81371783137321, -1.9917136369107133, 2.612156052589416, -50.48225871328819, 19.83181950867176, 34.46970400327405, -104.0264230980724, 31.860493585485962, 19.129057933092113, -49.32797271576682, 81.31233030974866, -14.428740014801534, -28.609918232560158, -29.8208307113466, -31.882544915676114, 2.665569183659308, -51.740155081748966, 43.32255789924554, -23.236296925246712, -29.583631909158534, -26.701538081765175, -49.20199948346613, 5.6941323769092556, 77.27490335525019, 58.20155978620053, -11.766536121882815, 40.419315938353535, 27.839789917178738, 20.93771922633052, -22.979430562756146, -5.39477506607771, -46.62843968647803, 30.09432010769844, 17.13861677800476, -65.58847771167754]|12951.0234375000000000|   1371.74211248|[673, 96, 0, 12]                                                           | 
       7|[5.606004661590472, -32.9749543159455, 7.8841317157524085, -12.254897424504161, 23.760688209246744, 10.222900003641843, -37.68512465290135, 17.210080065280195, 10.148413219291871, -7.877296112030745, 27.82103136740454, 3.840874154567718, 15.403732532921047, -30.61082953542471, 31.818919389850862, 57.358802888989445, -47.86253015941232, -84.23210437178612, 12.377996333963495, 13.32733299255371, -62.796380088930846, 23.091298658847812, 8.674410503504212, 25.95077766150236, 97.119986893208, 60.886569418460134, 14.851307479623213, 31.92498314425349, -14.28439381130751, 6.635172713994979, 108.63284934526204, 32.81371783137321, -1.9917136369107133, 2.612156052589416, -50.48225871328819, 19.83181950867176, 34.46970400327405, -104.0264230980724, 31.860493585485962, 19.129057933092113, -49.32797271576682, 81.31233030974866, -14.428740014801534, -28.609918232560158, -29.8208307113466, -31.882544915676114, 2.665569183659308, -51.740155081748966, 43.32255789924554, -23.236296925246712, -29.583631909158534, -26.701538081765175, -49.20199948346613, 5.6941323769092556, 77.27490335525019, 58.20155978620053, -11.766536121882815, 40.419315938353535, 27.839789917178738, 20.93771922633052, -22.979430562756146, -5.39477506607771, -46.62843968647803, 30.09432010769844, 17.13861677800476, -65.58847771167754]|12951.0234375000000000|    411.52263374|[785, 112, 0, 14]                                                          | 
       8|[59.68223375704946, 9.123644164279106, 24.12785844609909, 78.54207675762474, 74.34629383058464, -125.50912514284254, -28.467650669136702, 228.4018067498505, 253.59137586577626, -63.439319274872545, -19.560720646755616, -37.038493673801426, 162.95216392940543, -95.23589057058096, -66.10849455057883, 119.87066659748554, -119.7303203815803, -138.23277957320215, -32.95007907497205, -46.41004417419434, -72.25099472821307, 151.7856040787697, -108.24239857852703, 63.03723777502775, -7.370369552104506, -174.5909086088836, -24.620925338980303, 99.35619652315974, 1.2146200894493262, -86.76354707360268, 201.92205680375815, 130.49991320490835, -60.56054984906892, -45.65860352993012, -35.796895897431256, 103.13903996765613, 80.0953753899928, 53.444432614818226, 40.36923019589856, 28.090656329393383, -122.49881011811057, -201.66621583282947, -28.501595010529073, 99.80896604478359, -116.52323091886613, -162.5805429625511, -44.86767971770788, -125.149220328331, 30.153164359816827, -173.1538231703639, -83.13620606687337, -19.358384605050087, -21.214113054633124, 75.93960814595222, 124.87268930495722, -6.3480007606744735, 15.07213079401074, 7.535336140990253, -22.95024151592673, -13.514261364489794, -110.57604158570537, -141.5167996022105, -174.86003758686866, 91.89673404812812, -270.655511639964, -36.600606541633596]|12742.6835937500000000|   1371.74211248|[897, 128, 0, 16]                                                          | 
       9|[58.98626149323644, 8.079685619547966, 32.93734960363083, 76.80214600868523, 72.25837674112236, -127.94502821519971, -31.251539724388778, 225.26993123486636, 250.11151436789723, -67.26716723248363, -23.736554825680177, -41.56231407403946, 158.08035778469107, -100.45568341344595, -71.67627266108298, 113.9549013119936, -125.99407141154856, -144.8445168244839, -39.90980207073011, -53.71775386810303, -79.90669064343524, 143.78192194223405, -116.59406693637615, 63.15709438592195, 1359.869498611958, -183.98653467699884, -34.36453762840901, 89.26459705874323, -9.224965596280654, -97.55111898064614, 190.78650058274985, 119.01636885523794, -72.3920804200528, -57.838119368553166, -48.32439795736778, 90.26355168640613, 66.87190088742932, 39.87297189094127, 26.449784204382446, 13.823223162889477, -137.11422950592794, -216.629620488286, -43.81298684097341, 84.14958894670009, -132.53059519193744, -178.93589345693587, -61.57101643340612, -142.20054326534273, 12.753855201491632, -190.90111664265393, -101.23148766782552, -37.801652427315716, -40.00536519086359, 56.800369788408275, 105.3854647260998, -26.183211560845372, -5.111068134822268, -12.995847101807598, -43.829412887386695, -34.741418957263235, -132.15118539979227, -163.43992773026227, -197.13115002888526, 69.27763347744941, -293.6226003393048, -59.91567955493926]|12687.3525390625000000|   4572.47370828|[1009, 144, 0, 18]                                                         | 
