k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      1.00000000|[0, 0, 0, 0]                                                               | k=4
       1|[0.569268392642212, 0.1836625528335571, 0.9886404289875793, 0.2742363405227661, 1.0684896102162171, 0.2111202222108841, 1.44454032501565, 0.1291414615511894, 0.0210579721898626, 0.2627360564470291, 1.1384238829922744, 0.2961465013027191, -0.2930859453591919, 0.3831284236907959, 1.5356952949913818, -0.1202846872806549, 4.584582924872347, 0.4352790307998657, 4.01669361402396, -0.1701872009038925, 0.0349352788578873, -0.3029396939277649, -0.0365093047402191, -0.008522651642561, 0.6899875548635197, -0.1055119889974594, 0.0857714123520851, -0.1797964382171631, -0.2947276295839691, 0.3106668782234192, 1.5803977108733231, 0.4432672154903412, 0.1150129908436966, 0.1408402663469314, -0.0286978343134384, -0.0177989038825035, 0.1675725537441712, -0.0167098413407803, 0.7344005791478729, 0.3606472802162171, -0.3458402596481323, -0.3942161309719086, 0.7068799263992691, 0.1356159862875938, 1.0409369012776417, -0.0352153624594212, 1.1032216479623413, -0.2761629331111908, 0.4584038809219361, -0.1472818213701248, 0.3674860656785583, 0.2229308378696442, 0.3923373326527023, 0.0195843857177533, 0.4766932271926689, -0.2369818794727326, -0.2261025075382996, 0.2828748118877411, -0.0416787044179535, 0.1226319041848183, 0.1818524968110824, 0.1379681345820427, -0.0344895760786568, -0.1064652758836746, 0.2887797132201767, -0.4280936229228973]|38180.7226562500000000|      3.33333333|[61, 4, 0, 1]                                                              | 
       2|[-0.6859863528411865, 0.3959308010339737, 0.3771467222843933, -0.1641056048870086, 2.294961630365448, 0.9916629534959793, 0.810996237605677, 0.7063081976771355, 0.2546891956300329, 0.2756917853653431, 1.402739368946559, 0.8512964141368866, 0.6798876397695923, -0.2809723424911499, 0.3262173935326416, -0.817927371263504, 4.393597781687685, 2.8156050634384155, 3.1047525029361607, 1.7044551712274552, 0.7581763100277786, -0.4800217854976654, -0.8619501883766938, 0.2658120472729206, 0.8272297230516148, -0.0842461488395929, -1.7403233342375755, -0.3155885148048401, -0.9601180018602753, 0.3565308940410614, 2.117868647648531, 0.8119422686100006, -0.0543289011603165, -0.4483422297239303, 1.120651139914467, -0.3527703616023063, 1.020244892229889, -0.7967328797280788, 0.7092152176433182, 0.5368678313493729, -1.280422075844574, 0.1996099245548248, 1.243268562034645, 0.6073311087489128, -1.1489539602335888, 0.2867039297521115, 1.759821229203949, 0.2994601619243622, 1.1983244970718383, -0.9961102563142776, 0.4208343275415516, 1.1373662841320038, 0.0202808484302902, -0.2987873274437152, -0.304743335345478, -0.814599882364273, -0.1758989159531403, 0.5432780873775482, -0.3928116039407349, -0.7304531964659691, 0.5272075008832717, -0.4509650352597236, -0.7490845362913643, -2.124314721226692, -0.0160752758316421, -0.096249680519104]|4059.2343750000000000|     11.11111111|[121, 8, 0, 2]                                                             | 
       3|[-0.6859915252667037, 0.953066263794899, 0.6817678227101135, 1.2218208801746369, 2.7577197542401124, 1.0558390212059021, 5.2949010761676885, 0.556381222307682, -1.1948290081053186, 0.1964758415520191, -0.6108168730425767, 1.7409369838237763, -5.073535097351989, 0.9036683034896851, 0.3973324477228004, -2.7156670200824737, -0.010417282551817, 8.00455798625946, 2.9459089707315327, 2.89450410425663, -0.330165283714592, 0.2677730810642243, -0.3928482825539399, -0.0661309580504894, 1.4632311907563877, -0.664195825830102, -0.9014535837378501, -0.6896478939056396, -0.9915464507161522, -1.5944104301929474, 2.0504862076775607, 0.7950741504132748, 0.0692066276187134, -0.2456113356351852, 1.2713037124270936, -0.3715483877062797, 1.0445367819719058, -0.7932317459676415, 0.6170569075279808, 0.3705855798721314, -1.2697193764217376, 0.1966619074624032, 1.2159648291030312, 0.6714329314231873, -1.1007631467219787, 0.396966867595911, 1.8985716184222794, 0.560217399597168, 1.1761079293021917, -1.109003755748272, 0.4044091817515707, 1.043147314786911, 0.1337475955354118, -0.4487435686937533, -0.2374215878040504, -0.9326901543140411, -0.215198776549797, 0.3781325858831406, -0.466520905591259, -0.8427918064594269, 0.3660736900054717, -0.5583615112304687, -0.8269906009805237, -2.1829434368014335, -0.3132550939850235, -0.1857524174451828]|3354.0366210937500000|     37.03703704|[241, 16, 0, 4]                                                            | 
       4|[-0.6859915252667037, 0.953066263794899, 0.6817678227101135, 1.2218208801746369, 2.7577197542401124, 1.0558390212059021, 5.2949010761676885, 0.556381222307682, -1.1948290081053186, 0.1964758415520191, -0.6108168730425767, 1.7409369838237763, -5.073535097351989, 0.9036683034896851, 0.3973324477228004, -2.7156670200824737, -0.010417282551817, 8.00455798625946, 2.9459089707315327, 2.89450410425663, -0.330165283714592, 0.2677730810642243, -0.3928482825539399, -0.0661309580504894, 1.4632311907563877, -0.664195825830102, -0.9014535837378501, -0.6896478939056396, -0.9915464507161522, -1.5944104301929474, 2.0504862076775607, 0.7950741504132748, 0.0692066276187134, -0.2456113356351852, 1.2713037124270936, -0.3715483877062797, 1.0445367819719058, -0.7932317459676415, 0.6170569075279808, 0.3705855798721314, -1.2697193764217376, 0.1966619074624032, 1.2159648291030312, 0.6714329314231873, -1.1007631467219787, 0.396966867595911, 1.8985716184222794, 0.560217399597168, 1.1761079293021917, -1.109003755748272, 0.4044091817515707, 1.043147314786911, 0.1337475955354118, -0.4487435686937533, -0.2374215878040504, -0.9326901543140411, -0.215198776549797, 0.3781325858831406, -0.466520905591259, -0.8427918064594269, 0.3660736900054717, -0.5583615112304687, -0.8269906009805237, -2.1829434368014335, -0.3132550939850235, -0.1857524174451828]|3354.0366210937500000|     11.11111111|[361, 24, 0, 6]                                                            | 
       5|[-0.6859915252667037, 0.953066263794899, 0.6817678227101135, 1.2218208801746369, 2.7577197542401124, 1.0558390212059021, 5.2949010761676885, 0.556381222307682, -1.1948290081053186, 0.1964758415520191, -0.6108168730425767, 1.7409369838237763, -5.073535097351989, 0.9036683034896851, 0.3973324477228004, -2.7156670200824737, -0.010417282551817, 8.00455798625946, 2.9459089707315327, 2.89450410425663, -0.330165283714592, 0.2677730810642243, -0.3928482825539399, -0.0661309580504894, 1.4632311907563877, -0.664195825830102, -0.9014535837378501, -0.6896478939056396, -0.9915464507161522, -1.5944104301929474, 2.0504862076775607, 0.7950741504132748, 0.0692066276187134, -0.2456113356351852, 1.2713037124270936, -0.3715483877062797, 1.0445367819719058, -0.7932317459676415, 0.6170569075279808, 0.3705855798721314, -1.2697193764217376, 0.1966619074624032, 1.2159648291030312, 0.6714329314231873, -1.1007631467219787, 0.396966867595911, 1.8985716184222794, 0.560217399597168, 1.1761079293021917, -1.109003755748272, 0.4044091817515707, 1.043147314786911, 0.1337475955354118, -0.4487435686937533, -0.2374215878040504, -0.9326901543140411, -0.215198776549797, 0.3781325858831406, -0.466520905591259, -0.8427918064594269, 0.3660736900054717, -0.5583615112304687, -0.8269906009805237, -2.1829434368014335, -0.3132550939850235, -0.1857524174451828]|3354.0366210937500000|      3.33333333|[481, 32, 0, 8]                                                            | 
       6|[-0.6859915252667037, 0.953066263794899, 0.6817678227101135, 1.2218208801746369, 2.7577197542401124, 1.0558390212059021, 5.2949010761676885, 0.556381222307682, -1.1948290081053186, 0.1964758415520191, -0.6108168730425767, 1.7409369838237763, -5.073535097351989, 0.9036683034896851, 0.3973324477228004, -2.7156670200824737, -0.010417282551817, 8.00455798625946, 2.9459089707315327, 2.89450410425663, -0.330165283714592, 0.2677730810642243, -0.3928482825539399, -0.0661309580504894, 1.4632311907563877, -0.664195825830102, -0.9014535837378501, -0.6896478939056396, -0.9915464507161522, -1.5944104301929474, 2.0504862076775607, 0.7950741504132748, 0.0692066276187134, -0.2456113356351852, 1.2713037124270936, -0.3715483877062797, 1.0445367819719058, -0.7932317459676415, 0.6170569075279808, 0.3705855798721314, -1.2697193764217376, 0.1966619074624032, 1.2159648291030312, 0.6714329314231873, -1.1007631467219787, 0.396966867595911, 1.8985716184222794, 0.560217399597168, 1.1761079293021917, -1.109003755748272, 0.4044091817515707, 1.043147314786911, 0.1337475955354118, -0.4487435686937533, -0.2374215878040504, -0.9326901543140411, -0.215198776549797, 0.3781325858831406, -0.466520905591259, -0.8427918064594269, 0.3660736900054717, -0.5583615112304687, -0.8269906009805237, -2.1829434368014335, -0.3132550939850235, -0.1857524174451828]|3354.0366210937500000|      1.00000000|[601, 40, 0, 10]                                                           | 
       7|[-0.3413250144463149, 1.001888834387064, 0.6491309343848991, 1.288695093691349, 2.5271728476496507, 0.7845748853683472, 5.301546206161246, 0.6978751835227013, -1.1937027112870622, 0.2257167291641236, -0.624075548155897, 1.5625189584493637, -5.157479120007476, 0.8469269056618214, 0.6048065751346428, -2.6395199927687645, -0.0086466122589179, 7.936197694838047, 3.2241377901018025, 3.048291240334511, 0.0163054597031479, 0.384037849009037, -0.2873331675908852, -0.3490903596580028, 1.2978312221322728, -0.6994913011044264, -0.60026967456007, -0.9542238819599151, -1.0483611771582508, -1.5380461248755455, 2.010362286789852, 0.7595310141146183, 0.0793971694747043, -0.1889428901672363, 1.1918274155253907, -0.3835432012751698, 1.1009457646958571, -0.7537198381219059, 0.643405898847518, 0.356786761879921, -1.2289785549111842, 0.2375115260761231, 1.1694897911706352, 0.6350136217474938, -1.0869864401903349, 0.3652422954142094, 1.911593352965424, 0.6541622024774552, 1.2679490383991956, -1.0982771986350417, 0.4086217917094743, 1.008820020109415, 0.1755289688574219, -0.383831428324338, -0.2532989538700294, -0.8391082468628883, -0.2529013146228599, 0.3764712835941464, -0.4075548128259278, -0.7174522686004638, 0.4396360066019798, -0.4908240395784378, -0.7805592420768772, -2.072577390372753, -0.2726753018729114, -0.1442043031752109]|2607.8059082031250000|      3.33333333|[661, 44, 0, 11]                                                           | 
       8|[-0.3413276286899276, 1.2839938928186894, 0.8103152154956627, 2.1607644525170326, 2.7845258852453996, 0.8216627989709377, 6.570663323089347, 0.6258166697621346, -1.8152988092332292, 0.1754716415703297, -0.8251037163573436, 1.3656073552370072, -4.602193070164642, 1.1155975838005543, 0.9274353712352592, -1.587332430779934, -0.369016473384864, 7.417686220705509, 1.4022789071977497, 2.247505400776863, 0.4175307285439377, -0.3298959168791771, 0.0836249520399284, -0.965028725117445, 0.9036126879010868, -1.4925568490475416, -0.8036829822268485, -0.9479323472082615, -1.076958783504262, -1.4765547136962414, 1.9542512714104232, 0.7032240708172321, 0.0957436483094525, -0.3056903812289238, 1.1645684978360673, -0.3828225519577972, 1.1229002620182973, -0.7392845896724611, 0.7637532645844793, 0.4162653800845146, -1.1428209349580287, 0.2599716216605157, 1.1444475907096052, 0.5988249187171459, -1.0943712018926042, 0.3719088481552899, 1.8526525809982515, 0.5574832823872566, 1.3629542973170041, -1.0981546660955064, 0.3785377889464414, 1.0222024037316442, 0.1313235565887833, -0.2799115199199878, -0.2764975454152536, -0.7884138967096805, -0.3255166400737571, 0.4133309076819569, -0.4894780145061112, -0.7191518080839887, 0.4544103458755517, -0.4049391406774521, -0.8131266276609932, -1.9920103433728218, -0.2919507659904385, -0.2295770193636417]|2337.5605468750000000|     11.11111111|[721, 48, 0, 12]                                                           | 
       9|[-0.3413276286899276, 1.2839938928186894, 0.8103152154956627, 2.1607644525170326, 2.7845258852453996, 0.8216627989709377, 6.570663323089347, 0.6258166697621346, -1.8152988092332292, 0.1754716415703297, -0.8251037163573436, 1.3656073552370072, -4.602193070164642, 1.1155975838005543, 0.9274353712352592, -1.587332430779934, -0.369016473384864, 7.417686220705509, 1.4022789071977497, 2.247505400776863, 0.4175307285439377, -0.3298959168791771, 0.0836249520399284, -0.965028725117445, 0.9036126879010868, -1.4925568490475416, -0.8036829822268485, -0.9479323472082615, -1.076958783504262, -1.4765547136962414, 1.9542512714104232, 0.7032240708172321, 0.0957436483094525, -0.3056903812289238, 1.1645684978360673, -0.3828225519577972, 1.1229002620182973, -0.7392845896724611, 0.7637532645844793, 0.4162653800845146, -1.1428209349580287, 0.2599716216605157, 1.1444475907096052, 0.5988249187171459, -1.0943712018926042, 0.3719088481552899, 1.8526525809982515, 0.5574832823872566, 1.3629542973170041, -1.0981546660955064, 0.3785377889464414, 1.0222024037316442, 0.1313235565887833, -0.2799115199199878, -0.2764975454152536, -0.7884138967096805, -0.3255166400737571, 0.4133309076819569, -0.4894780145061112, -0.7191518080839887, 0.4544103458755517, -0.4049391406774521, -0.8131266276609932, -1.9920103433728218, -0.2919507659904385, -0.2295770193636417]|2337.5605468750000000|      3.33333333|[841, 56, 0, 14]                                                           | 
