k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[4.0641168384, 0.02, 4.0641168384, 0.16497222, 0.02, 0.16497222, 1.1602949687, 0.02, 1.1602949687, 0.26776527, 0.02, 0.26776527, 0.31204919, 0.02, 0.31204919, 0.073935213, 0.02, 0.073935213, 0.23024068, 0.02, 0.23024068, 1.3683044425, 0.02, 1.3683044425, 0.25260505, 0.02, 0.25260505, 1.1600613899, 0.02, 1.1600613899, 0.046139967, 0.02, 0.046139967, 0.12450694, 0.02, 0.12450694, 0.29665794, 0.02, 0.29665794, 0.09209888, 0.02, 0.09209888, 0.10680955, 0.02, 0.10680955, 0.53729835, 0.02, 0.53729835, 0.0032518929, 0.02, 0.0032518929, 0.087101117, 0.02, 0.087101117, 0.1011676, 0.02, 0.1011676, 0.025500784, 0.02, 0.025500784, 0.095961864, 0.02, 0.095961864, 0.27293359, 0.02, 0.27293359, 0.39239373, 0.02, 0.39239373, 0.1295583, 0.02, 0.1295583, 0.041123179, 0.02, 0.041123179, 0.29625891, 0.02, 0.29625891, 0.089238179, 0.02, 0.089238179, 0.2772403, 0.02, 0.2772403, 0.05829792, 0.02, 0.05829792, 0.14615847, 0.02, 0.14615847, 0.17082536, 0.02, 0.17082536, 0.13884257, 0.02, 0.13884257, 0.38162104, 0.02, 0.38162104]|150235.7958013504103292|      1.00000000|[0, 0, 0, 0]                                                               | k=0
       1|[4.064099135478532, 1.0199868273735047, 4.064081432557064, 0.1649279626999672, 0.0199468912392331, 0.1649102597784989, 1.1602241570141267, 0.0199203368570306, 1.1602064540999344, 0.2676679039428383, 0.0198937824784662, 0.26765020102137, 0.3119252695569978, 0.0198672281071777, 0.3119075666282536, 0.0737847381784334, 0.0198406737140613, 0.0737670352642411, 0.2308833269772123, 0.0198141193354968, 0.2300459478856766, 1.3681008589067525, 0.0197875649569323, 1.3680831559925601, 0.25237491204274, 0.0197610105783679, 0.2523572091139957, 1.1598046975787275, 0.0197344562143553, 1.1597869946499832, 0.0458567202565072, 0.0197079017921351, 0.0458390173568668, 0.1241971388924947, 0.0196813474281225, 0.1241794359637504, 0.2963215845284821, 0.01965479306411, 0.2963038815997379, 0.0917359701353657, 0.0196282386709936, 0.0917182672357253, 0.1064200857713532, 0.0196016842778772, 0.1064023828135051, 0.5368823313782368, 0.0195751299138647, 0.5368646284494926, 0.0028093198851204, 0.0195485755207483, 0.00279161698548, 0.0866319896211079, 0.0195220211567357, 0.0866142866923636, 0.1006719182279915, 0.0194954667636193, 0.1006542153574549, 0.0249785478930827, 0.0194689124287106, 0.0249608449643385, 0.0954130734999663, 0.0194423580355942, 0.0953953705130144, 0.2723582450486423, 0.0194158035842702, 0.2723405421781057, 0.3917918307137336, 0.0193892492493615, 0.3917741277849893, 0.1289298463206172, 0.0201565312559251, 0.1289121433918729, 0.0404681709275008, 0.0193361404631287, 0.0404504680569642, 0.2955773475925921, 0.01930958612822, 0.2955596446638478, 0.0885300621994757, 0.0192830317351036, 0.0885123592707314, 0.2765056288063593, 0.0192564773419872, 0.2764879259358227, 0.0575366944714506, 0.0192299230070785, 0.0575189915427063, 0.1453706900201266, 0.0192033685557544, 0.1453529870913823, 0.1700110256270102, 0.019176814162638, 0.1699933227564736, 0.1380016812921014, 0.0191502598277293, 0.1379839783633572, 0.3807535968989851, 0.0191237054346129, 0.3807358939702408]|2330.7258300781250000|      3.33333333|[113, 0, 0, 7]                                                             | 
       2|[4.064040125741517, 4.353276212215423, 4.063963413083034, 0.1647804383665247, 0.019769862039102, 0.1647037257116793, 1.1599881180660667, 0.0196547930422821, 1.1599114054330493, 0.2673433504238166, 0.019539724078204, 0.2672666377689712, 0.3115122014233587, 0.0194246551505057, 0.3114354887321336, 0.0732831554301768, 0.0193095860845642, 0.0732064428117112, 0.230293229643442, 0.0191945171204861, 0.2293968408476331, 1.367422246929261, 0.019079448156408, 1.3673455343107954, 0.2516077855379425, 0.0189643791923299, 0.2515310728467174, 1.158949056546624, 0.0188493103010114, 1.158872343855399, 0.0449125644642672, 0.0187342411186546, 0.0448358518603535, 0.123164468514741, 0.0186191721691284, 0.1230877558235159, 0.2952003996234225, 0.0185041032778099, 0.2951236869321974, 0.0905262705865848, 0.0183890342409723, 0.0922085134599424, 0.1051218716952663, 0.0182739652041346, 0.105045158858522, 0.5354956026584287, 0.0181588963128161, 0.5354188899672035, 0.001334076521591, 0.0180438272759784, 0.001257363975885, 0.0850682317302724, 0.0179287583846599, 0.0849915190390473, 0.0990196456934348, 0.0178136893478222, 0.098581109467151, 0.0232377609476354, 0.0176986206020229, 0.0231610482564103, 0.0935837719107977, 0.0175835515651852, 0.0935070589285343, 0.2704404285829218, 0.0174684822373092, 0.270363716182735, 0.3897854997207071, 0.0173534134915099, 0.389708787029482, 0.1268350008002847, 0.0180321807379369, 0.1267582881090596, 0.0382848106470318, 0.0171232754178345, 0.038208098246845, 0.2933054730176477, 0.0170082065556198, 0.2932287603264226, 0.0861696728643947, 0.0168931376351975, 0.0860929601731696, 0.2740567249439724, 0.0167780684819445, 0.2739800125437856, 0.0549992760817577, 0.0166629998525605, 0.0549225633905326, 0.1427447568702971, 0.0165479304082692, 0.1426680441790719, 0.1672965777170441, 0.0164328614878468, 0.1672198653168573, 0.13519871908766, 0.0163177926256321, 0.1351220063964349, 0.377862119934407, 0.0162027237052098, 0.3777854072431819]|432.9476623535156250|     11.11111111|[225, 0, 0, 14]                                                            | 
       3|[4.21345372630552, 4.738767344951629, 3.4755031464929154, 0.6882981066137476, -0.0098523053097597, 0.5076093067091464, 1.6303006538288536, 0.5807346527758637, 0.2243919485696459, 0.4764235696926154, 0.002214251991536, 0.7329971856739395, -0.5022235220721247, 0.1304627961030928, 1.0951341071441514, -1.0065896911732168, 0.6812033114797669, 0.752650636651738, 0.386020049873926, 0.2021631336060818, 0.7966037004362562, 0.7619416356049507, -0.7684718952846015, 2.517568551049687, -0.0725723406522431, 0.1348651713738218, -0.3563932097040944, 0.6093551906751946, 0.2131370574457105, 0.1121684091859043, 0.5284436819035372, 0.5668875223305077, 0.5158078534129353, -0.9224851791979666, 0.64488058526651, 0.6844415585044851, 0.1095784972768115, -0.3126624919427559, 0.3302384260224016, 0.3828174051824558, 0.26503569182707, 0.4027736870858885, -0.1138625831749577, -0.4574152075406164, 0.1754510369851433, 1.1747157211810726, 0.6382255390740466, 0.9177195350801949, -0.7095985358975374, 0.0534848384663928, 0.5257185141452576, -0.7134002984477976, 0.3418703765887767, -0.2757900015660399, -0.037229330298768, 0.6363508769241162, -0.5596797724336363, -0.0469772854581568, -0.0100653533195145, 0.0403643233707082, -0.3644320872162469, 0.0093617557827383, 0.269654877493903, 0.7665417185704859, 0.3149174153618515, 0.6938856521225238, 0.2488758279372598, 0.0164963310048915, 1.1215758023912679, 0.5312725725642771, -0.3552642589097377, -1.0397577774884745, 0.2807174794521541, -0.668196029048413, -0.0536550869204677, -0.1169695094347449, -1.3120274332072586, 0.3794446885233296, 0.2524862119135433, -0.7024098146543838, 0.52260566883711, 0.9421449226521023, 1.417365984856151, 1.291321268685448, -0.0691510671575497, 1.4794875829061493, -0.5240587169363107, -0.3424034941863741, -0.3494182406179607, 0.0836649183028837, -0.252589325879834, -0.1815125693869777, 0.4716388463921442, 0.0637363039289114, 0.7546241957857274, 0.3836163930694085, 0.1599012556289108, 0.3673819360369817, 0.6443699228147761]|411.0187683105468750|     37.03703704|[337, 0, 0, 21]                                                            | 
       4|[4.209517911470389, 4.7328636226989325, 3.467631516822653, 0.6784585709229035, -0.0216597498151532, 0.4938339552518486, 1.614557394488329, 0.5630234864834347, 0.2047128771879578, 0.4547765876337327, -0.021400637019251, 0.7074143897112481, -0.5297742249867203, 0.1009441862365929, 1.063647588463102, -1.0400441168061705, 37.70056671480008, 0.7152603933896855, 0.3466619071105498, 0.160837080165511, 0.7533097363184907, 0.7166797682605712, -0.8157016733061755, 2.4683708660762087, -0.1237379325776257, 0.0817316724965349, -0.4114946155332856, 0.5522858778940991, 0.1540998377127107, 0.0511632787757099, 0.4654706445414385, 0.5019465780165047, 0.448899002147028, -0.9913619299651976, 0.5740359200967942, 0.6116289938334455, 0.0347980107527064, -0.3894108779681846, 0.2515221404956491, 0.3021331978026378, 0.1823835849459283, 0.3181536732528425, -0.2004505114104886, -0.5459710427280515, 0.0849273022963844, 1.0822240795404094, 0.5437659830308985, 0.8212920795357231, -0.807993905844494, -0.0468784384324681, 0.4233873302944924, -0.8176993892504671, 0.2356033788342029, -0.3840249062725181, -0.1474321419571504, 0.5241801508632489, -0.6738183979958273, -0.1630838179722521, -0.1281397927855142, -0.0796780230471957, -0.4864423480366357, -0.1146164045389742, 0.1437088027697056, 0.6386277368943842, 0.1850355267338455, 0.5620358565426136, 0.1150581254054452, -0.1192892784788273, 0.9838223008568059, 0.3915511491767496, -0.4969535892491694, -1.1834150147798106, 0.135092350110075, -0.8157890802435577, -0.2032160599686778, -0.2684983596325369, -1.465524205258116, 0.2239799946194066, 0.0950536408600383, -0.8618103075609542, 0.3612372540774741, 0.7788086158417232, 1.2520617710938677, 1.1240491330700992, -0.2383910948236416, 1.308279633386992, -0.6972345734073724, -0.5175472427081789, -0.526529910992831, -0.0954146441227297, -0.4336367952573517, -0.3645279606175609, 0.2866555631108179, -0.1705835170711878, 0.5657050836994313, 0.5120018474856836, -0.0329536554600326, 0.1725591030949727, 0.4475791829208629]|401.9543762207031250|    123.45679012|[449, 0, 0, 28]                                                            | 
       5|[4.209517911470389, 4.7328636226989325, 3.467631516822653, 0.6784585709229035, -0.0216597498151532, 0.4938339552518486, 1.614557394488329, 0.5630234864834347, 0.2047128771879578, 0.4547765876337327, -0.021400637019251, 0.7074143897112481, -0.5297742249867203, 0.1009441862365929, 1.063647588463102, -1.0400441168061705, 37.70056671480008, 0.7152603933896855, 0.3466619071105498, 0.160837080165511, 0.7533097363184907, 0.7166797682605712, -0.8157016733061755, 2.4683708660762087, -0.1237379325776257, 0.0817316724965349, -0.4114946155332856, 0.5522858778940991, 0.1540998377127107, 0.0511632787757099, 0.4654706445414385, 0.5019465780165047, 0.448899002147028, -0.9913619299651976, 0.5740359200967942, 0.6116289938334455, 0.0347980107527064, -0.3894108779681846, 0.2515221404956491, 0.3021331978026378, 0.1823835849459283, 0.3181536732528425, -0.2004505114104886, -0.5459710427280515, 0.0849273022963844, 1.0822240795404094, 0.5437659830308985, 0.8212920795357231, -0.807993905844494, -0.0468784384324681, 0.4233873302944924, -0.8176993892504671, 0.2356033788342029, -0.3840249062725181, -0.1474321419571504, 0.5241801508632489, -0.6738183979958273, -0.1630838179722521, -0.1281397927855142, -0.0796780230471957, -0.4864423480366357, -0.1146164045389742, 0.1437088027697056, 0.6386277368943842, 0.1850355267338455, 0.5620358565426136, 0.1150581254054452, -0.1192892784788273, 0.9838223008568059, 0.3915511491767496, -0.4969535892491694, -1.1834150147798106, 0.135092350110075, -0.8157890802435577, -0.2032160599686778, -0.2684983596325369, -1.465524205258116, 0.2239799946194066, 0.0950536408600383, -0.8618103075609542, 0.3612372540774741, 0.7788086158417232, 1.2520617710938677, 1.1240491330700992, -0.2383910948236416, 1.308279633386992, -0.6972345734073724, -0.5175472427081789, -0.526529910992831, -0.0954146441227297, -0.4336367952573517, -0.3645279606175609, 0.2866555631108179, -0.1705835170711878, 0.5657050836994313, 0.5120018474856836, -0.0329536554600326, 0.1725591030949727, 0.4475791829208629]|401.9543762207031250|     37.03703704|[561, 0, 0, 35]                                                            | 
       6|[4.206238546336895, 4.727944575231522, 3.4610727865556647, 0.6702601578563375, -0.0314978447499743, 0.4823561775174497, 1.6014399339543524, 0.5482663431498804, 0.1883160510548259, 0.436740078701023, -0.0410768268888933, 0.686098515179383, -0.552729780455518, 37.12570538618777, 1.037412667395149, -1.0679187206737013, 37.671052428132974, 0.6841064257856444, 0.3138682548442858, 0.1264037488249596, 0.7172367184530714, 0.6789670675955741, -0.85505405304546, 2.4273788072626368, -0.1663696816413559, 0.0374602443585172, -0.457405726470881, 0.5047350878822163, 0.1049093574506696, 0.0003331194393814, 0.4130008024055323, 0.447837056806311, 0.3931497944119664, -1.048750820499837, 0.5150073467625771, 0.550960741424941, -0.0275099244553758, -0.4533584959758445, 0.1859348359631212, 0.2349062141958225, 0.1135169222648256, 0.2476473240468717, -0.2725965471413273, -0.6197567575331777, 0.0095019009663902, 1.0051589991361278, 0.4650612235523295, 0.7409476409828667, -0.8899780234716379, -0.1305022574856411, 0.3381238321670319, -0.904602566452215, 0.1470605225581676, -0.4742074490734214, -0.2392543638323411, 0.4307182499137707, -0.7689199780195929, -0.2598250845208857, -0.2265207533095963, -0.1796986626455653, -0.5881026667092928, -0.2179164022859186, 0.0387691184978932, 0.5320483735482844, 0.0768164843134582, 0.4521771350479389, 0.003559709935322, -0.2324273804738186, 0.8690445197875272, 0.2751336890331835, -0.6150107359176036, -1.3031118405225321, 0.013755845293066, -0.9387652641348541, -0.3278319303848422, -0.3947539165735693, -1.593419441273436, 0.0944450646286382, -0.0361209682050175, -0.7657852206216194, 0.2267832868638434, 0.6427149695538051, 1.1143284457316622, 0.9846761137324451, -0.3794037932355832, 1.1656272409996018, -0.8415266448690499, -0.6634789932441438, -0.3527595428936183, -0.2446257528072695, -0.5844875979173401, -0.5170184423518367, 0.1325254023022546, -0.3263533569540384, 0.4082955647422932, 0.3529526345530969, -0.1936425325657455, 0.0102305320138112, 0.2836109476665751]|400.4985351562500000|    123.45679012|[673, 0, 0, 42]                                                            | 
       7|[4.206238546336895, 4.727944575231522, 3.4610727865556647, 0.6702601578563375, -0.0314978447499743, 0.4823561775174497, 1.6014399339543524, 0.5482663431498804, 0.1883160510548259, 0.436740078701023, -0.0410768268888933, 0.686098515179383, -0.552729780455518, 37.12570538618777, 1.037412667395149, -1.0679187206737013, 37.671052428132974, 0.6841064257856444, 0.3138682548442858, 0.1264037488249596, 0.7172367184530714, 0.6789670675955741, -0.85505405304546, 2.4273788072626368, -0.1663696816413559, 0.0374602443585172, -0.457405726470881, 0.5047350878822163, 0.1049093574506696, 0.0003331194393814, 0.4130008024055323, 0.447837056806311, 0.3931497944119664, -1.048750820499837, 0.5150073467625771, 0.550960741424941, -0.0275099244553758, -0.4533584959758445, 0.1859348359631212, 0.2349062141958225, 0.1135169222648256, 0.2476473240468717, -0.2725965471413273, -0.6197567575331777, 0.0095019009663902, 1.0051589991361278, 0.4650612235523295, 0.7409476409828667, -0.8899780234716379, -0.1305022574856411, 0.3381238321670319, -0.904602566452215, 0.1470605225581676, -0.4742074490734214, -0.2392543638323411, 0.4307182499137707, -0.7689199780195929, -0.2598250845208857, -0.2265207533095963, -0.1796986626455653, -0.5881026667092928, -0.2179164022859186, 0.0387691184978932, 0.5320483735482844, 0.0768164843134582, 0.4521771350479389, 0.003559709935322, -0.2324273804738186, 0.8690445197875272, 0.2751336890331835, -0.6150107359176036, -1.3031118405225321, 0.013755845293066, -0.9387652641348541, -0.3278319303848422, -0.3947539165735693, -1.593419441273436, 0.0944450646286382, -0.0361209682050175, -0.7657852206216194, 0.2267832868638434, 0.6427149695538051, 1.1143284457316622, 0.9846761137324451, -0.3794037932355832, 1.1656272409996018, -0.8415266448690499, -0.6634789932441438, -0.3527595428936183, -0.2446257528072695, -0.5844875979173401, -0.5170184423518367, 0.1325254023022546, -0.3263533569540384, 0.4082955647422932, 0.3529526345530969, -0.1936425325657455, 0.0102305320138112, 0.2836109476665751]|400.4985351562500000|     37.03703704|[785, 0, 0, 49]                                                            | 
       8|[4.206238546336895, 4.727944575231522, 3.4610727865556647, 0.6702601578563375, -0.0314978447499743, 0.4823561775174497, 1.6014399339543524, 0.5482663431498804, 0.1883160510548259, 0.436740078701023, -0.0410768268888933, 0.686098515179383, -0.552729780455518, 37.12570538618777, 1.037412667395149, -1.0679187206737013, 37.671052428132974, 0.6841064257856444, 0.3138682548442858, 0.1264037488249596, 0.7172367184530714, 0.6789670675955741, -0.85505405304546, 2.4273788072626368, -0.1663696816413559, 0.0374602443585172, -0.457405726470881, 0.5047350878822163, 0.1049093574506696, 0.0003331194393814, 0.4130008024055323, 0.447837056806311, 0.3931497944119664, -1.048750820499837, 0.5150073467625771, 0.550960741424941, -0.0275099244553758, -0.4533584959758445, 0.1859348359631212, 0.2349062141958225, 0.1135169222648256, 0.2476473240468717, -0.2725965471413273, -0.6197567575331777, 0.0095019009663902, 1.0051589991361278, 0.4650612235523295, 0.7409476409828667, -0.8899780234716379, -0.1305022574856411, 0.3381238321670319, -0.904602566452215, 0.1470605225581676, -0.4742074490734214, -0.2392543638323411, 0.4307182499137707, -0.7689199780195929, -0.2598250845208857, -0.2265207533095963, -0.1796986626455653, -0.5881026667092928, -0.2179164022859186, 0.0387691184978932, 0.5320483735482844, 0.0768164843134582, 0.4521771350479389, 0.003559709935322, -0.2324273804738186, 0.8690445197875272, 0.2751336890331835, -0.6150107359176036, -1.3031118405225321, 0.013755845293066, -0.9387652641348541, -0.3278319303848422, -0.3947539165735693, -1.593419441273436, 0.0944450646286382, -0.0361209682050175, -0.7657852206216194, 0.2267832868638434, 0.6427149695538051, 1.1143284457316622, 0.9846761137324451, -0.3794037932355832, 1.1656272409996018, -0.8415266448690499, -0.6634789932441438, -0.3527595428936183, -0.2446257528072695, -0.5844875979173401, -0.5170184423518367, 0.1325254023022546, -0.3263533569540384, 0.4082955647422932, 0.3529526345530969, -0.1936425325657455, 0.0102305320138112, 0.2836109476665751]|400.4985351562500000|     11.11111111|[897, 0, 0, 56]                                                            | 
       9|[4.203873655221319, 4.724397238558158, 3.4563430043245127, 0.6643479303002281, -0.0385925180967024, 0.474079058380103, 1.5919803694920482, 0.537624333362619, 0.176491595942607, 0.4237331764012016, -0.0552661735823494, 0.6707267240922921, -0.5692840187302115, 37.10796870351944, 1.0184935384705407, -1.0880202958545895, 37.64976840855845, 0.6616399580921963, 0.2902193446198481, 0.101572392344242, 0.6912229138534286, 0.6517708204649417, -0.9003304527472937, 2.3978176676194445, -0.1971132638155378, 0.005534212202765, -0.4905142030202679, 0.4704441669391946, 0.0694359921140131, -0.0363226940162003, 0.3751625445563158, 0.4088163508381695, 0.3529466440501901, -1.0901364152552482, 11.604891151083866, 0.5072102578822603, -0.0724428598422719, -0.4994738720310852, 0.1386370155142458, 0.1864259456280219, 0.0638542093033903, 0.1968021666918016, -0.3246241563406128, -0.672966811126098, -0.0448905932948746, 0.9495840530306476, 0.4083038367785048, 0.6830078098154072, -0.9491003027580225, -0.1908069811656605, 0.276636667818668, -0.967272178919504, 0.0832084582466632, -0.5392419577785605, -0.3054713169311151, 0.363318852421362, -0.8375018199056364, -0.3295893782511446, -0.2974674839829095, -0.2518278377125133, -0.6614142936204561, -0.2924104735907167, -0.0369073972005398, 0.4551894060056361, -0.0012249276228249, 0.3729532861686016, -0.0768465907882308, -0.3140161255910061, 0.7862733302767049, 0.3513151231280893, -0.7001468142156955, -1.3894303706648394, -0.0737451217922955, -1.027448683064431, -0.4176978011586345, -0.4858022242904158, -1.6856501933839172, 0.0010318606739415, -0.1307166091027684, -0.8615633133635856, 0.1298227497282424, 0.5445719954751499, 1.0150030198087916, 0.8841682434159397, -0.4810941079457234, 1.0627544744452462, -0.945581863267621, -0.768716648585769, -0.4591796500794589, -0.3522283043867449, -0.6932725864398697, -0.6269858827185817, 0.0213755100912942, -0.438685686108053, 0.2947807911946438, 0.2382554091612321, -0.3095221949006645, -0.1068315821653232, 0.165366389093806]|388.5453186035156250|     37.03703704|[1009, 0, 0, 63]                                                           | 
