k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |16002.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[1.9251734018325806, 3.2268519401550293]                                        |1356.0318603515625000|      3.33333333|[4, 1, 0, 1]                                                               | 
       2|[4.6274460554122925, 1.2752289772033691]                                        |667.2219238281250000|     11.11111111|[7, 2, 0, 2]                                                               | 
       3|[4.6274460554122925, 1.2752289772033691]                                        |667.2219238281250000|      3.33333333|[13, 4, 0, 4]                                                              | 
       4|[4.827267408370972, -2.052109479904175]                                         |317.3431396484375000|     11.11111111|[16, 5, 0, 5]                                                              | 
       5|[4.827267408370972, -2.052109479904175]                                         |317.3431396484375000|      3.33333333|[22, 7, 0, 7]                                                              | 
       6|[2.3101930618286133, 0.1331698894500732]                                        | 61.1776885986328125|     11.11111111|[25, 8, 0, 8]                                                              | 
       7|[2.3101930618286133, 0.1331698894500732]                                        | 61.1776885986328125|      3.33333333|[31, 10, 0, 10]                                                            | 
       8|[2.135016918182373, -1.524265170097351]                                         | 54.9847183227539062|     11.11111111|[34, 11, 0, 11]                                                            | 
       9|[2.135016918182373, -1.524265170097351]                                         | 54.9847183227539062|      3.33333333|[40, 13, 0, 13]                                                            | 
      10|[2.135016918182373, -1.524265170097351]                                         | 54.9847183227539062|      1.00000000|[46, 15, 0, 15]                                                            | 
      11|[3.0960828065872192, -1.2479455471038818]                                       | 52.3883209228515625|      3.33333333|[49, 16, 0, 16]                                                            | 
      12|[3.0960828065872192, -1.2479455471038818]                                       | 52.3883209228515625|      1.00000000|[55, 18, 0, 18]                                                            | 
      13|[2.4073328971862793, -1.9729444980621338]                                       | 46.9741859436035156|      3.33333333|[58, 19, 0, 19]                                                            | 
      14|[2.4073328971862793, -1.9729444980621338]                                       | 46.9741859436035156|      1.00000000|[64, 21, 0, 21]                                                            | 
