k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      1.00000000|[0, 0, 0, 0]                                                               | k=0
       1|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.30000000|[9, 0, 0, 2]                                                               | 
       2|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.09000000|[17, 0, 0, 4]                                                              | 
       3|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.02700000|[25, 0, 0, 6]                                                              | 
       4|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.00810000|[33, 0, 0, 8]                                                              | 
       5|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.00243000|[41, 0, 0, 10]                                                             | 
       6|[0.3984754526522011, 0.9981429111212492, -0.0003631478466559]                   |  0.0000006024963000|      0.00810000|[49, 0, 0, 12]                                                             | 
       7|[0.3984754526522011, 0.9981429111212492, -0.0003631478466559]                   |  0.0000006024963000|      0.00243000|[57, 0, 0, 14]                                                             | 
       8|[0.3991904491325841, 0.9989251908264123, 0.000231026817346]                     |  0.0000005293034633|      0.00810000|[65, 0, 0, 16]                                                             | 
       9|[0.3991904491325841, 0.9989251908264123, 0.000231026817346]                     |  0.0000005293034633|      0.00243000|[73, 0, 0, 18]                                                             | 
      10|[0.3991904491325841, 0.9989251908264123, 0.000231026817346]                     |  0.0000005293034633|      0.00072900|[81, 0, 0, 20]                                                             | 
      11|[0.3988597043557093, 0.9993302285438403, 0.0007389573438559]                    |  0.0000002014821519|      0.00243000|[85, 0, 0, 21]                                                             | 
      12|[0.3988597043557093, 0.9993302285438403, 0.0007389573438559]                    |  0.0000002014821519|      0.00072900|[93, 0, 0, 23]                                                             | 
      13|[0.3990368186990964, 0.999850245192647, 0.0002597348357085]                     |  0.0000000660422614|      0.00243000|[101, 0, 0, 25]                                                            | 
      14|[0.3990368186990964, 0.999850245192647, 0.0002597348357085]                     |  0.0000000660422614|      0.00072900|[109, 0, 0, 27]                                                            | 
      15|[0.3990368186990964, 0.999850245192647, 0.0002597348357085]                     |  0.0000000660422614|      0.00021870|[117, 0, 0, 29]                                                            | 
      16|[0.3989395434022299, 1.0000062501931097, 0.000378181655833]                     |  0.0000000524692076|      0.00072900|[121, 0, 0, 30]                                                            | 
