k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-4.0, -0.1]                                                                    | 41.0311021275976984|      1.00000000|[0, 0, 0, 0]                                                               | k=0
       1|[-4.0, -0.1]                                                                    | 41.0311021275976984|      0.30000000|[9, 0, 0, 2]                                                               | 
       2|[-4.0, -0.1]                                                                    | 41.0311021275976984|      0.09000000|[17, 0, 0, 4]                                                              | 
       3|[-4.0, -0.1]                                                                    | 41.0311021275976984|      0.02700000|[25, 0, 0, 6]                                                              | 
       4|[-4.00961936917156, -0.1094719454646111]                                        | 35.3111648559570312|      0.09000000|[33, 0, 0, 8]                                                              | 
       5|[-4.00961936917156, -0.1094719454646111]                                        | 35.3111648559570312|      0.02700000|[41, 0, 0, 10]                                                             | 
       6|[-4.00961936917156, -0.1094719454646111]                                        | 35.3111648559570312|      0.00810000|[49, 0, 0, 12]                                                             | 
       7|[-4.012373999459669, -0.1065030208788812]                                       | 35.2958183288574219|      0.02700000|[57, 0, 0, 14]                                                             | 
       8|[-4.012373999459669, -0.1065030208788812]                                       | 35.2958183288574219|      0.00810000|[65, 0, 0, 16]                                                             | 
       9|[-4.00428335624747, -0.1068922424688935]                                        | 35.1155815124511719|      0.02700000|[73, 0, 0, 18]                                                             | 
      10|[-4.00428335624747, -0.1068922424688935]                                        | 35.1155815124511719|      0.00810000|[81, 0, 0, 20]                                                             | 
