k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, 0.0]                                                                | 25.2430323198307036|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[1.9137030839920044, -1.198771059513092, -0.3544525802135468]                   |  9.7986297607421875|      3.33333333|[7, 2, 0, 2]                                                               | 
       2|[5.179449200630188, -1.5416690111160278, 0.218637615442276]                     |  3.1202242374420166|     11.11111111|[13, 4, 0, 4]                                                              | 
       3|[5.179449200630188, -1.5416690111160278, 0.218637615442276]                     |  3.1202242374420166|      3.33333333|[19, 6, 0, 6]                                                              | 
       4|[5.179449200630188, -1.5416690111160278, 0.218637615442276]                     |  3.1202242374420166|      1.00000000|[25, 8, 0, 8]                                                              | 
       5|[5.16922652721405, -1.6560007184743881, -0.7747523486614227]                    |  2.3105330467224121|      3.33333333|[31, 10, 0, 10]                                                            | 
       6|[5.16922652721405, -1.6560007184743881, -0.7747523486614227]                    |  2.3105330467224121|      1.00000000|[37, 12, 0, 12]                                                            | 
       7|[4.52398157119751, -2.2543391436338425, -1.2497786581516266]                    |  1.6127560138702393|      3.33333333|[43, 14, 0, 14]                                                            | 
       8|[4.518946647644043, -2.623438999056816, -2.875053197145462]                     |  1.1934710741043091|     11.11111111|[49, 16, 0, 16]                                                            | 
       9|[4.518946647644043, -2.623438999056816, -2.875053197145462]                     |  1.1934710741043091|      3.33333333|[55, 18, 0, 18]                                                            | 
      10|[4.518946647644043, -2.623438999056816, -2.875053197145462]                     |  1.1934710741043091|      1.00000000|[61, 20, 0, 20]                                                            | 
      11|[4.669763460755348, -2.3326684683561325, -3.2528187334537506]                   |  0.8587716221809387|      3.33333333|[67, 22, 0, 22]                                                            | 
      12|[4.669763460755348, -2.3326684683561325, -3.2528187334537506]                   |  0.8587716221809387|      1.00000000|[73, 24, 0, 24]                                                            | 
      13|[3.9201709777116776, -2.3527855277061462, -3.9144125282764435]                  |  0.6534470319747925|      3.33333333|[79, 26, 0, 26]                                                            | 
      14|[3.9201709777116776, -2.3527855277061462, -3.9144125282764435]                  |  0.6534470319747925|      1.00000000|[85, 28, 0, 28]                                                            | 
      15|[4.193898633122444, -2.0342076420783997, -3.006898730993271]                    |  0.4666636586189270|      3.33333333|[91, 30, 0, 30]                                                            | 
