k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      0.30000000|[4, 1, 0, 1]                                                               | 
       2|[0.0393579550087452, -0.0360610574483871, -0.1604033946990967]                  |  0.0090904114767909|      1.00000000|[7, 2, 0, 2]                                                               | 
       3|[0.0393579550087452, -0.0360610574483871, -0.1604033946990967]                  |  0.0090904114767909|      0.30000000|[10, 3, 0, 3]                                                              | 
       4|[0.0393579550087452, -0.0360610574483871, -0.1604033946990967]                  |  0.0090904114767909|      0.09000000|[13, 4, 0, 4]                                                              | 
       5|[0.02538589425385, 0.0156419299542904, -0.0880737021565437]                     |  0.0041606999002397|      0.30000000|[16, 5, 0, 5]                                                              | 
       6|[0.02538589425385, 0.0156419299542904, -0.0880737021565437]                     |  0.0041606999002397|      0.09000000|[19, 6, 0, 6]                                                              | 
       7|[0.02538589425385, 0.0156419299542904, -0.0880737021565437]                     |  0.0041606999002397|      0.02700000|[22, 7, 0, 7]                                                              | 
       8|[0.0467466603964567, 0.0280341882258654, -0.0989892702549696]                   |  0.0027873993385583|      0.09000000|[25, 8, 0, 8]                                                              | 
       9|[0.0467466603964567, 0.0280341882258654, -0.0989892702549696]                   |  0.0027873993385583|      0.02700000|[28, 9, 0, 9]                                                              | 
      10|[0.0317187806591392, 0.0337192876264453, -0.0772903632372618]                   |  0.0026214153040200|      0.09000000|[31, 10, 0, 10]                                                            | 
      11|[0.0317187806591392, 0.0337192876264453, -0.0772903632372618]                   |  0.0026214153040200|      0.02700000|[34, 11, 0, 11]                                                            | 
      12|[0.0431956671178341, 0.0186779642477632, -0.0580279711633921]                   |  0.0024541362654418|      0.09000000|[37, 12, 0, 12]                                                            | 
      13|[0.0431956671178341, 0.0186779642477632, -0.0580279711633921]                   |  0.0024541362654418|      0.02700000|[40, 13, 0, 13]                                                            | 
      14|[0.0431956671178341, 0.0186779642477632, -0.0580279711633921]                   |  0.0024541362654418|      0.00810000|[43, 14, 0, 14]                                                            | 
      15|[0.0500896749086678, 0.0146673283539712, -0.0594412890262902]                   |  0.0024112649261951|      0.02700000|[46, 15, 0, 15]                                                            | 
      16|[0.0500896749086678, 0.0146673283539712, -0.0594412890262902]                   |  0.0024112649261951|      0.00810000|[49, 16, 0, 16]                                                            | 
      17|[0.0500896749086678, 0.0146673283539712, -0.0594412890262902]                   |  0.0024112649261951|      0.00243000|[52, 17, 0, 17]                                                            | 
      18|[0.0521001754328609, 0.0133136091986671, -0.0592674124403857]                   |  0.0024070967920125|      0.00810000|[55, 18, 0, 18]                                                            | 
      19|[0.0521001754328609, 0.0133136091986671, -0.0592674124403857]                   |  0.0024070967920125|      0.00243000|[58, 19, 0, 19]                                                            | 
      20|[0.0529317637206987, 0.0121104184305295, -0.0573268728679977]                   |  0.0023941614199430|      0.00810000|[61, 20, 0, 20]                                                            | 
      21|[0.0529317637206987, 0.0121104184305295, -0.0573268728679977]                   |  0.0023941614199430|      0.00243000|[64, 21, 0, 21]                                                            | 
      22|[0.0505918395007029, 0.0118219674564898, -0.0579154732753523]                   |  0.0023912705946714|      0.00810000|[67, 22, 0, 22]                                                            | 
      23|[0.0505918395007029, 0.0118219674564898, -0.0579154732753523]                   |  0.0023912705946714|      0.00243000|[70, 23, 0, 23]                                                            | 
      24|[0.0505918395007029, 0.0118219674564898, -0.0579154732753523]                   |  0.0023912705946714|      0.00072900|[73, 24, 0, 24]                                                            | 
      25|[0.0512866210425273, 0.0116019257053267, -0.0579328288862598]                   |  0.0023869022261351|      0.00243000|[76, 25, 0, 25]                                                            | 
      26|[0.0512866210425273, 0.0116019257053267, -0.0579328288862598]                   |  0.0023869022261351|      0.00072900|[79, 26, 0, 26]                                                            | 
      27|[0.0519404067541473, 0.0113320652686525, -0.0581094090142869]                   |  0.0023839981295168|      0.00243000|[82, 27, 0, 27]                                                            | 
      28|[0.0519404067541473, 0.0113320652686525, -0.0581094090142869]                   |  0.0023839981295168|      0.00072900|[85, 28, 0, 28]                                                            | 
      29|[0.0522339951654431, 0.0106885853980202, -0.0582859891423141]                   |  0.0023804109077901|      0.00243000|[88, 29, 0, 29]                                                            | 
      30|[0.0522339951654431, 0.0106885853980202, -0.0582859891423141]                   |  0.0023804109077901|      0.00072900|[91, 30, 0, 30]                                                            | 
