k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]| 27.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[0.9954690402373672, 0.9932035594247282, 0.9909380804747343, 0.988672599196434, 0.9864071188494563, 1.0522638149559498, 0.9818761609494686, 0.9796106796711683, 0.977345198392868, 0.9750797189772129, 0.9728142376989126, 0.9705487582832575, 1.9844719171524048, 0.9660178013145924, 0.9637523218989372, 0.9614868387579918, 0.9592213593423367, 0.9569558762013912, 0.9546903967857361, 0.952424917370081, 0.9979843988548964, 0.9478939548134804, 0.9456284753978252, 0.9433629959821701, 0.941097516566515]|  4.6396164894104004|      3.33333333|[31, 2, 0, 2]                                                              | 
       2|[0.9108022889122367, 0.8662034361623228, 0.8216045778244734, 0.7770057320594788, 0.3647058187052608, 0.7559302039444447, 0.6432091556489468, 0.5986103098839521, 0.5540114641189575, 0.5094125904142857, 0.464813744649291, 0.4202148411422968, 1.3918046951293945, 0.331017155200243, 0.2864183112978935, 0.2418194636702538, 0.450646098703146, 0.1526217721402645, 0.108022928237915, 0.0634240247309208, 0.0666501417290419, -0.0257736071944237, -0.0703725107014179, -0.1149713546037674, -0.1595703177154064]|  4.2843775749206543|     11.11111111|[61, 4, 0, 4]                                                              | 
       3|[0.9108022889122367, 0.8662034361623228, 0.8216045778244734, 0.7770057320594788, 0.3647058187052608, 0.7559302039444447, 0.6432091556489468, 0.5986103098839521, 0.5540114641189575, 0.5094125904142857, 0.464813744649291, 0.4202148411422968, 1.3918046951293945, 0.331017155200243, 0.2864183112978935, 0.2418194636702538, 0.450646098703146, 0.1526217721402645, 0.108022928237915, 0.0634240247309208, 0.0666501417290419, -0.0257736071944237, -0.0703725107014179, -0.1149713546037674, -0.1595703177154064]|  4.2843775749206543|      3.33333333|[91, 6, 0, 6]                                                              | 
       4|[0.9108022889122367, 0.8662034361623228, 0.8216045778244734, 0.7770057320594788, 0.3647058187052608, 0.7559302039444447, 0.6432091556489468, 0.5986103098839521, 0.5540114641189575, 0.5094125904142857, 0.464813744649291, 0.4202148411422968, 1.3918046951293945, 0.331017155200243, 0.2864183112978935, 0.2418194636702538, 0.450646098703146, 0.1526217721402645, 0.108022928237915, 0.0634240247309208, 0.0666501417290419, -0.0257736071944237, -0.0703725107014179, -0.1149713546037674, -0.1595703177154064]|  4.2843775749206543|      1.00000000|[121, 8, 0, 8]                                                             | 
       5|[0.9756857519969344, 0.8122107735835016, 0.9062004741281271, 0.8692377954721451, 0.3956776047125459, 0.8139510378241539, 0.5161254070699215, 0.3715020846575499, 0.7113776504993439, 0.4737811535596848, 0.547963572666049, 0.3172795940190554, 1.389319637324661, 0.3346448594238609, 0.3552851006388664, 0.2728774435818195, 0.5122461281716824, 0.1958581656217575, 0.0561107844114304, -0.0200972594320774, 0.2268880202900618, 0.1791507229208946, -0.0270799659192562, -0.0481410697102547, -0.0309528224170208]|  3.8301649093627930|      3.33333333|[151, 10, 0, 10]                                                           | 
       6|[0.9756857519969344, 0.8122107735835016, 0.9062004741281271, 0.8692377954721451, 0.3956776047125459, 0.8139510378241539, 0.5161254070699215, 0.3715020846575499, 0.7113776504993439, 0.4737811535596848, 0.547963572666049, 0.3172795940190554, 1.389319637324661, 0.3346448594238609, 0.3552851006388664, 0.2728774435818195, 0.5122461281716824, 0.1958581656217575, 0.0561107844114304, -0.0200972594320774, 0.2268880202900618, 0.1791507229208946, -0.0270799659192562, -0.0481410697102547, -0.0309528224170208]|  3.8301649093627930|      1.00000000|[181, 12, 0, 12]                                                           | 
       7|[1.0095395362004638, 0.8662199578247964, 0.8769302852451801, 0.7834381014108658, 0.5744946533814073, 0.7722064591944218, 0.5152627328061499, 0.4283887874335051, 0.5226449072360992, 0.5558518543839455, 0.544273775536567, 0.1125044543296099, 1.3632969851605594, 0.4154206195380539, 0.361661896109581, 0.5186608918011189, 0.5387186631560326, 0.2309491261839867, 0.0308460779488087, -0.0852242968976498, 0.2776289030443877, 0.1904602395370603, 0.0778562761843204, 0.1199550852179527, -0.0257625957019627]|  3.2081632614135742|      3.33333333|[211, 14, 0, 14]                                                           | 
       8|[1.0095395362004638, 0.8662199578247964, 0.8769302852451801, 0.7834381014108658, 0.5744946533814073, 0.7722064591944218, 0.5152627328061499, 0.4283887874335051, 0.5226449072360992, 0.5558518543839455, 0.544273775536567, 0.1125044543296099, 1.3632969851605594, 0.4154206195380539, 0.361661896109581, 0.5186608918011189, 0.5387186631560326, 0.2309491261839867, 0.0308460779488087, -0.0852242968976498, 0.2776289030443877, 0.1904602395370603, 0.0778562761843204, 0.1199550852179527, -0.0257625957019627]|  3.2081632614135742|      1.00000000|[241, 16, 0, 16]                                                           | 
       9|[1.0095395362004638, 0.8662199578247964, 0.8769302852451801, 0.7834381014108658, 0.5744946533814073, 0.7722064591944218, 0.5152627328061499, 0.4283887874335051, 0.5226449072360992, 0.5558518543839455, 0.544273775536567, 0.1125044543296099, 1.3632969851605594, 0.4154206195380539, 0.361661896109581, 0.5186608918011189, 0.5387186631560326, 0.2309491261839867, 0.0308460779488087, -0.0852242968976498, 0.2776289030443877, 0.1904602395370603, 0.0778562761843204, 0.1199550852179527, -0.0257625957019627]|  3.2081632614135742|      0.30000000|[271, 18, 0, 18]                                                           | 
