k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]| 27.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[0.9954690402373672, 0.9932035594247282, 0.9909380804747343, 0.988672599196434, 0.9864071188494563, 1.0522638149559498, 0.9818761609494686, 0.9796106796711683, 0.977345198392868, 0.9750797189772129, 0.9728142376989126, 0.9705487582832575, 1.9844719171524048, 0.9660178013145924, 0.9637523218989372, 0.9614868387579918, 0.9592213593423367, 0.9569558762013912, 0.9546903967857361, 0.952424917370081, 0.9979843988548964, 0.9478939548134804, 0.9456284753978252, 0.9433629959821701, 0.941097516566515]|  4.6396164894104004|      3.33333333|[16, 1, 0, 1]                                                              | 
       2|[0.9954690402373672, 0.9932035594247282, 0.9909380804747343, 0.988672599196434, 0.9864071188494563, 1.0522638149559498, 0.9818761609494686, 0.9796106796711683, 0.977345198392868, 0.9750797189772129, 0.9728142376989126, 0.9705487582832575, 1.9844719171524048, 0.9660178013145924, 0.9637523218989372, 0.9614868387579918, 0.9592213593423367, 0.9569558762013912, 0.9546903967857361, 0.952424917370081, 0.9979843988548964, 0.9478939548134804, 0.9456284753978252, 0.9433629959821701, 0.941097516566515]|  4.6396164894104004|      1.00000000|[46, 3, 0, 3]                                                              | 
       3|[0.970069014467299, 0.9551035217009485, 0.940138028934598, 0.9251725375652313, 0.910207043401897, 0.9633637256920338, 0.9911106014624238, 0.865310562774539, 0.8503450751304626, 0.8353795744478703, 0.8204140868037939, 0.8054485861212015, 1.8066717386245728, 0.7755176015198231, 0.7605521157383919, 0.7455866262316704, 0.730621125549078, 0.7156556360423565, 0.7006901502609253, 0.6857246495783329, 0.7185841097962111, 0.6387663558125496, 0.6408281736075878, 0.6258626729249954, 0.610897172242403]|  3.2834079265594482|      3.33333333|[61, 4, 0, 4]                                                              | 
       4|[0.970069014467299, 0.9551035217009485, 0.940138028934598, 0.9251725375652313, 0.910207043401897, 0.9633637256920338, 0.9911106014624238, 0.865310562774539, 0.8503450751304626, 0.8353795744478703, 0.8204140868037939, 0.8054485861212015, 1.8066717386245728, 0.7755176015198231, 0.7605521157383919, 0.7455866262316704, 0.730621125549078, 0.7156556360423565, 0.7006901502609253, 0.6857246495783329, 0.7185841097962111, 0.6387663558125496, 0.6408281736075878, 0.6258626729249954, 0.610897172242403]|  3.2834079265594482|      1.00000000|[91, 6, 0, 6]                                                              | 
       5|[0.970069014467299, 0.9551035217009485, 0.940138028934598, 0.9251725375652313, 0.910207043401897, 0.9633637256920338, 0.9911106014624238, 0.865310562774539, 0.8503450751304626, 0.8353795744478703, 0.8204140868037939, 0.8054485861212015, 1.8066717386245728, 0.7755176015198231, 0.7605521157383919, 0.7455866262316704, 0.730621125549078, 0.7156556360423565, 0.7006901502609253, 0.6857246495783329, 0.7185841097962111, 0.6387663558125496, 0.6408281736075878, 0.6258626729249954, 0.610897172242403]|  3.2834079265594482|      0.30000000|[121, 8, 0, 8]                                                             | 
       6|[0.9766109492629766, 0.9269576179794967, 0.9021236766129732, 0.9009043481200933, 0.891162141226232, 0.9790270440280437, 0.99787601782009, 0.8663981397403404, 0.859641226939857, 0.9047991894185543, 0.8425739835947752, 0.7712477762252092, 1.7778677269816399, 0.8023934233933687, 0.8019933998584747, 0.7012335285544395, 0.7146496176719666, 0.7067802073433995, 0.7337750308215618, 0.7020340841263533, 0.6713833368849009, 0.6769310347735882, 0.6470759944058955, 0.6228335129562765, 0.6526826098561287]|  3.0341517925262451|      1.00000000|[136, 9, 0, 9]                                                             | 
       7|[0.9766109492629766, 0.9269576179794967, 0.9021236766129732, 0.9009043481200933, 0.891162141226232, 0.9790270440280437, 0.99787601782009, 0.8663981397403404, 0.859641226939857, 0.9047991894185543, 0.8425739835947752, 0.7712477762252092, 1.7778677269816399, 0.8023934233933687, 0.8019933998584747, 0.7012335285544395, 0.7146496176719666, 0.7067802073433995, 0.7337750308215618, 0.7020340841263533, 0.6713833368849009, 0.6769310347735882, 0.6470759944058955, 0.6228335129562765, 0.6526826098561287]|  3.0341517925262451|      0.30000000|[166, 11, 0, 11]                                                           | 
       8|[0.9713408066891134, 0.886866647284478, 0.9038020045263693, 0.9179611504077911, 0.8868946759030223, 0.9249716736376286, 1.013017890509218, 0.8222640518797562, 0.9022407261654735, 0.923394575715065, 0.8697425648570061, 0.7283561769872904, 1.7681175405159593, 0.7876543523743749, 0.8345141187310219, 0.6955511728301644, 0.6856107655912638, 0.7240454582497478, 0.7109631858766079, 0.758406238630414, 0.6929059259127825, 0.6276658475399017, 0.6471024835645949, 0.6560698377434164, 0.6745664905756712]|  2.8372616767883301|      1.00000000|[181, 12, 0, 12]                                                           | 
       9|[0.9713408066891134, 0.886866647284478, 0.9038020045263693, 0.9179611504077911, 0.8868946759030223, 0.9249716736376286, 1.013017890509218, 0.8222640518797562, 0.9022407261654735, 0.923394575715065, 0.8697425648570061, 0.7283561769872904, 1.7681175405159593, 0.7876543523743749, 0.8345141187310219, 0.6955511728301644, 0.6856107655912638, 0.7240454582497478, 0.7109631858766079, 0.758406238630414, 0.6929059259127825, 0.6276658475399017, 0.6471024835645949, 0.6560698377434164, 0.6745664905756712]|  2.8372616767883301|      0.30000000|[211, 14, 0, 14]                                                           | 
      10|[0.9637207984924316, 0.875436635222286, 0.8885619881330058, 0.8989111315459013, 0.8640346517786384, 0.8983016461133957, 0.982537857722491, 0.7879740138305351, 0.8641406884416938, 0.8844356462359428, 0.8240225166082382, 0.6788261216133833, 1.7147774854674935, 0.7305042902007699, 0.773554053157568, 0.6307811075821519, 0.6170306894928217, 0.6516553862020373, 0.6347631104290485, 0.6769184041768312, 0.6090858362149447, 0.5400357618927956, 0.5556623870670592, 0.5608197378460318, 0.575506379827857]|  2.6861915588378906|      1.00000000|[226, 15, 0, 15]                                                           | 
      11|[0.9637207984924316, 0.875436635222286, 0.8885619881330058, 0.8989111315459013, 0.8640346517786384, 0.8983016461133957, 0.982537857722491, 0.7879740138305351, 0.8641406884416938, 0.8844356462359428, 0.8240225166082382, 0.6788261216133833, 1.7147774854674935, 0.7305042902007699, 0.773554053157568, 0.6307811075821519, 0.6170306894928217, 0.6516553862020373, 0.6347631104290485, 0.6769184041768312, 0.6090858362149447, 0.5400357618927956, 0.5556623870670592, 0.5608197378460318, 0.575506379827857]|  2.6861915588378906|      0.30000000|[256, 17, 0, 17]                                                           | 
      12|[1.0148898102343082, 0.8391826688311994, 0.9008234868524596, 0.8378859292715788, 0.8283229237422347, 0.9216402284801006, 0.9524801555089653, 0.7929550263797864, 0.863598286814522, 0.8499561063945293, 0.7700116969645023, 0.6664374591782689, 1.7431139769032598, 0.7233033911325037, 0.7668498544953763, 0.6192481275647879, 0.6024505831301212, 0.648762374650687, 0.6532113533467054, 0.6831987728364766, 0.562907227082178, 0.5109376255422831, 0.6053629489779269, 0.5594000706914812, 0.5510100871324539]|  2.6295800209045410|      1.00000000|[271, 18, 0, 18]                                                           | 
      13|[1.0148898102343082, 0.8391826688311994, 0.9008234868524596, 0.8378859292715788, 0.8283229237422347, 0.9216402284801006, 0.9524801555089653, 0.7929550263797864, 0.863598286814522, 0.8499561063945293, 0.7700116969645023, 0.6664374591782689, 1.7431139769032598, 0.7233033911325037, 0.7668498544953763, 0.6192481275647879, 0.6024505831301212, 0.648762374650687, 0.6532113533467054, 0.6831987728364766, 0.562907227082178, 0.5109376255422831, 0.6053629489779269, 0.5594000706914812, 0.5510100871324539]|  2.6295800209045410|      0.30000000|[301, 20, 0, 20]                                                           | 
      14|[1.0125920763239264, 0.8419743748381734, 0.896228019031696, 0.8321415944956243, 0.8214297224767506, 0.9135981593281031, 0.9432892198674381, 0.7826152233174071, 0.852109617262613, 0.8373185694217682, 0.7562252944335341, 0.6515021892264485, 1.7270298385992646, 0.706070386338979, 0.748467983212322, 0.5996130779385567, 0.5817709770053625, 0.6269339020363986, 0.6302340142428875, 0.659072567243129, 0.5376321531366557, 0.7981916610151529, 0.5777901439159905, 0.5306783972773701, 0.5211395472288132]|  2.5780847072601318|      1.00000000|[316, 21, 0, 21]                                                           | 
      15|[1.0125920763239264, 0.8419743748381734, 0.896228019031696, 0.8321415944956243, 0.8214297224767506, 0.9135981593281031, 0.9432892198674381, 0.7826152233174071, 0.852109617262613, 0.8373185694217682, 0.7562252944335341, 0.6515021892264485, 1.7270298385992646, 0.706070386338979, 0.748467983212322, 0.5996130779385567, 0.5817709770053625, 0.6269339020363986, 0.6302340142428875, 0.659072567243129, 0.5376321531366557, 0.7981916610151529, 0.5777901439159905, 0.5306783972773701, 0.5211395472288132]|  2.5780847072601318|      0.30000000|[346, 23, 0, 23]                                                           | 
      16|[1.011030784342438, 0.8396324368659407, 0.9107663667527959, 0.8282383647747338, 0.8167458465322852, 0.9081336376257241, 0.9370440519414842, 0.7755894096335396, 0.844303157820832, 0.8287314642220736, 0.7468575425446033, 0.6413537915796041, 1.7161007951945066, 0.6943606971763074, 1.0423688008449972, 0.5863420972600579, 0.5677193496376276, 0.6226463234052062, 0.6146210953593254, 0.6426790007390082, 0.5204579427372664, 0.7802368029952049, 0.5590546401381289, 0.5111622477415949, 0.5008427519351244]|  2.5327663421630859|      1.00000000|[361, 24, 0, 24]                                                           | 
      17|[1.011030784342438, 0.8396324368659407, 0.9107663667527959, 0.8282383647747338, 0.8167458465322852, 0.9081336376257241, 0.9370440519414842, 0.7755894096335396, 0.844303157820832, 0.8287314642220736, 0.7468575425446033, 0.6413537915796041, 1.7161007951945066, 0.6943606971763074, 1.0423688008449972, 0.5863420972600579, 0.5677193496376276, 0.6226463234052062, 0.6146210953593254, 0.6426790007390082, 0.5204579427372664, 0.7802368029952049, 0.5590546401381289, 0.5111622477415949, 0.5008427519351244]|  2.5327663421630859|      0.30000000|[391, 26, 0, 26]                                                           | 
      18|[1.0498328343965113, 0.8103245629463345, 0.9215974387479946, 0.8218522937968373, 0.8027195353060961, 0.9207516671158373, 0.941107886377722, 0.7679440098581836, 0.8676360628451221, 0.8460599482059479, 0.8030514158308506, 0.6188318878412247, 1.7655552420765162, 0.6735556214116514, 1.053157129790634, 0.5959541266784072, 0.541450172662735, 0.6760656824335456, 0.6011551776900887, 0.6371453222818673, 0.6064733311068267, 0.7865723026916385, 0.5477200979530608, 0.5300226996187121, 0.4843881987035275]|  2.4758696556091309|      1.00000000|[406, 27, 0, 27]                                                           | 
      19|[1.0498328343965113, 0.8103245629463345, 0.9215974387479946, 0.8218522937968373, 0.8027195353060961, 0.9207516671158373, 0.941107886377722, 0.7679440098581836, 0.8676360628451221, 0.8460599482059479, 0.8030514158308506, 0.6188318878412247, 1.7655552420765162, 0.6735556214116514, 1.053157129790634, 0.5959541266784072, 0.541450172662735, 0.6760656824335456, 0.6011551776900887, 0.6371453222818673, 0.6064733311068267, 0.7865723026916385, 0.5477200979530608, 0.5300226996187121, 0.4843881987035275]|  2.4758696556091309|      0.30000000|[436, 29, 0, 29]                                                           | 
      20|[1.0168027528561652, 0.7581906637642533, 0.9190058674430475, 0.7934018140658736, 0.795739833265543, 0.8984984406270087, 0.9446544167585671, 0.7387509791878983, 0.8582922664354555, 0.8357759425416589, 0.767147783190012, 0.6065491130575538, 1.777579345740378, 0.6516711502335966, 1.0626897891052067, 0.6039084456861019, 0.5872428044676781, 0.6628998564556241, 0.5967096397653222, 0.6942753870971501, 0.6456080905627459, 0.79711823631078, 0.5428406922310387, 0.4595919365528971, 0.5276845842599869]|  2.4318289756774902|      1.00000000|[451, 30, 0, 30]                                                           | 
      21|[1.0168027528561652, 0.7581906637642533, 0.9190058674430475, 0.7934018140658736, 0.795739833265543, 0.8984984406270087, 0.9446544167585671, 0.7387509791878983, 0.8582922664354555, 0.8357759425416589, 0.767147783190012, 0.6065491130575538, 1.777579345740378, 0.6516711502335966, 1.0626897891052067, 0.6039084456861019, 0.5872428044676781, 0.6628998564556241, 0.5967096397653222, 0.6942753870971501, 0.6456080905627459, 0.79711823631078, 0.5428406922310387, 0.4595919365528971, 0.5276845842599869]|  2.4318289756774902|      0.30000000|[481, 32, 0, 32]                                                           | 
      22|[1.0318762403912842, 0.7220216004643589, 0.9393489066278562, 0.7609475469216704, 0.8052666746079922, 0.863082739058882, 0.940676343627274, 0.7612983657745644, 0.8783988204668276, 0.816089634783566, 0.7802649382501841, 0.6197508350014687, 1.7300238879397511, 0.6211634068749845, 1.0658490050118417, 0.6018485033418983, 0.5868281622824725, 0.6134361745789647, 0.5951664320891723, 0.6698544383980334, 0.6624437707941979, 0.721744348295033, 0.4811836322933232, 0.440427296096459, 0.5174639616161585]|  2.3639380931854248|      1.00000000|[496, 33, 0, 33]                                                           | 
      23|[1.0318762403912842, 0.7220216004643589, 0.9393489066278562, 0.7609475469216704, 0.8052666746079922, 0.863082739058882, 0.940676343627274, 0.7612983657745644, 0.8783988204668276, 0.816089634783566, 0.7802649382501841, 0.6197508350014687, 1.7300238879397511, 0.6211634068749845, 1.0658490050118417, 0.6018485033418983, 0.5868281622824725, 0.6134361745789647, 0.5951664320891723, 0.6698544383980334, 0.6624437707941979, 0.721744348295033, 0.4811836322933232, 0.440427296096459, 0.5174639616161585]|  2.3639380931854248|      0.30000000|[526, 35, 0, 35]                                                           | 
      24|[1.0356951132416725, 0.7311707299668342, 0.9605619687354192, 0.7528355233371258, 0.8251094538718462, 0.8556703152135015, 0.9485802510753274, 0.7980794085888192, 0.8410169665585272, 0.8515513362362981, 0.7707223994657397, 0.6180749019840732, 1.716012379154563, 0.648075835313648, 1.0783306618686765, 0.5995950433425605, 0.61356009481824, 0.6220809696242213, 0.6955057777231559, 0.6632754844613373, 0.605495649157092, 0.7423866735771298, 0.4886951660901104, 0.4680766949895769, 0.4891631081700325]|  2.3054845333099365|      1.00000000|[541, 36, 0, 36]                                                           | 
      25|[1.0356951132416725, 0.7311707299668342, 0.9605619687354192, 0.7528355233371258, 0.8251094538718462, 0.8556703152135015, 0.9485802510753274, 0.7980794085888192, 0.8410169665585272, 0.8515513362362981, 0.7707223994657397, 0.6180749019840732, 1.716012379154563, 0.648075835313648, 1.0783306618686765, 0.5995950433425605, 0.61356009481824, 0.6220809696242213, 0.6955057777231559, 0.6632754844613373, 0.605495649157092, 0.7423866735771298, 0.4886951660901104, 0.4680766949895769, 0.4891631081700325]|  2.3054845333099365|      0.30000000|[571, 38, 0, 38]                                                           | 
      26|[1.0331761685665697, 0.727392312604934, 0.9555240793852136, 0.746538161765784, 0.8175526191480458, 0.8468540087342262, 0.9385044723749161, 0.7867441567359492, 0.8284222434158437, 0.8376971390098333, 0.7556087300181389, 0.6017017612466589, 1.6983797661960125, 0.6291837482713163, 1.058179104467854, 0.5781840118579566, 0.5908895911125001, 0.5981509918347001, 0.7204804256325588, 0.6368265640921891, 0.5777872547041625, 0.7134188087657094, 0.5191002180963551, 0.7529565880540758, 0.4564168266952038]|  2.2786381244659424|      1.00000000|[586, 39, 0, 39]                                                           | 
      27|[1.0331761685665697, 0.727392312604934, 0.9555240793852136, 0.746538161765784, 0.8175526191480458, 0.8468540087342262, 0.9385044723749161, 0.7867441567359492, 0.8284222434158437, 0.8376971390098333, 0.7556087300181389, 0.6017017612466589, 1.6983797661960125, 0.6291837482713163, 1.058179104467854, 0.5781840118579566, 0.5908895911125001, 0.5981509918347001, 0.7204804256325588, 0.6368265640921891, 0.5777872547041625, 0.7134188087657094, 0.5191002180963551, 0.7529565880540758, 0.4564168266952038]|  2.2786381244659424|      0.30000000|[616, 41, 0, 41]                                                           | 
