k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 2.0]                                                                      |  2.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[1.759369969367981, 1.0488862991333008]                                         |  1.1702033281326294|      3.33333333|[4, 1, 0, 1]                                                               | 
       2|[1.759369969367981, 1.0488862991333008]                                         |  1.1702033281326294|      1.00000000|[7, 2, 0, 2]                                                               | 
       3|[1.0018901824951172, 1.7017449140548706]                                        | -0.5075433254241943|      3.33333333|[10, 3, 0, 3]                                                              | 
       4|[-2.3093621730804443, 2.084781527519226]                                        | -3.2113459110260010|     11.11111111|[13, 4, 0, 4]                                                              | 
       5|[-2.3093621730804443, 2.084781527519226]                                        | -3.2113459110260010|      3.33333333|[16, 5, 0, 5]                                                              | 
       6|[-6.5347349643707275, -3.071832776069641]                                       |-241.8672027587890625|     11.11111111|[19, 6, 0, 6]                                                              | 
       7|[-17.33431839942932, -0.4592133760452271]                                       |-5153.4594726562500000|     37.03703704|[22, 7, 0, 7]                                                              | 
       8|[-59.39600205421448, 60.51441943645477]                                         |-205821.1093750000000000|    123.45679012|[25, 8, 0, 8]                                                              | 
       9|[-177.8672239780426, 95.24410617351532]                                         |-5617724.0000000000000000|    411.52263374|[28, 9, 0, 9]                                                              | 
      10|[-588.6738035678864, 70.9783285856247]                                          |-203990496.0000000000000000|   1371.74211248|[31, 10, 0, 10]                                                            | 
      11|[-1917.0590574741364, 413.13158786296844]                                       |-7045237760.0000000000000000|   4572.47370828|[34, 11, 0, 11]                                                            | 
      12|[-6303.551733255386, 1703.9433554410934]                                        |-250467221504.0000000000000000|  15241.57902759|[37, 12, 0, 12]                                                            | 
      13|[-20569.694311380386, 7068.914058566093]                                        |-8703241093120.0000000000000000|  50805.26342529|[40, 13, 0, 13]                                                            | 
      14|[-118252.42087388039, 35047.19921481609]                                        |-1653597439787008.0000000000000000| 169350.87808430|[43, 14, 0, 14]                                                            | 
      15|[-287067.3896238804, 21585.214839816093]                                        |-23656559607283712.0000000000000000| 564502.92694768|[46, 15, 0, 15]                                                            | 
      16|[-851568.6396238804, 22954.058589816093]                                        |-617531291172077568.0000000000000000|1881676.42315892|[49, 16, 0, 16]                                                            | 
      17|[-4614915.13962388, 16034.308589816093]                                         |-98285889764664016896.0000000000000000|6272254.74386307|[52, 17, 0, 17]                                                            | 
      18|[-17064827.13962388, -1521626.691410184]                                        |-100000002004087734272.0000000000000000|20907515.81287691|[55, 18, 0, 18]                                                            | 
      19|[-17064827.13962388, -1521626.691410184]                                        |-100000002004087734272.0000000000000000|6272254.74386307|[58, 19, 0, 19]                                                            | 
      20|[-17064827.13962388, -1521626.691410184]                                        |-100000002004087734272.0000000000000000|1881676.42315892|[61, 20, 0, 20]                                                            | 
