k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | k=0
       1|[99.9052791967988, -0.0008466609288007, 0.3061211749911308, 0.9047563710249961, 100.13429434597492, 0.104208692908287, 0.249903467297554, 0.6325390666723252, 100.02510044910014, 0.0612819112837315, 0.2384145401418209, 0.9077343076467514, 100.05221303924918, 0.2511442065238952, 0.2083460718393326, 0.7403110325336456, 100.02236469462514, 0.434364515542984, 0.4057413786649704, 0.3467869341373443, 100.07880862802267, 0.6454192943871021, 0.5832877591252327, 0.2009051591157913, 300.0396378673613, 300.0064168027602, 300.0929132550955, 300.10143192857504, 299.9622830338776]|477.2096557617187500|      3.33333333|[65, 0, 0, 1]                                                              | 
       2|[103.23792151361704, -0.0029408542905003, 0.303328917408362, 0.9012660487554968, 100.13010595925152, 0.0993222421966493, 0.2443189521320164, 0.6262564870528877, 100.01811980456114, 0.0536032027564943, 0.2300377666950226, 0.9171358479186893, 100.0424401378259, 0.2406732406467199, 0.1971770415082574, 0.7284439377486706, 100.00979953538626, 0.4211012918502092, 0.3917800895869732, 0.3321275815367699, 100.06364901084453, 0.6293638128787279, 0.566534212231636, 0.1834535486996174, 300.0214881915599, 299.98756906343624, 300.07336745224893, 300.08118806034327, 299.94134110212326]|407.5094909667968750|     11.11111111|[129, 0, 0, 2]                                                             | 
       3|[114.34672907739878, -0.0099214988294989, 0.2940213922876865, 0.8896316411904991, 100.11614467017353, 0.0830340734682977, 0.2257039018906653, 0.6053145552985371, 99.99485098943114, 0.0280075079761446, 0.2021151885390282, 0.8868863882496953, 100.0098638003692, 0.2057700235396623, 0.1599469410255551, 0.6888869538903236, 99.96791567187756, 0.3523582194000482, 0.3452424593269825, 0.2832630753517151, 100.01245762128383, 0.639017048664391, 0.5106890559196472, 0.1252815127372742, 299.9609892722219, 299.9247432644479, 300.0082147773355, 300.0137085020542, 299.87153466790915]|364.7382812500000000|     37.03703704|[193, 0, 0, 3]                                                             | 
       4|[114.34672907739878, -0.0099214988294989, 0.2940213922876865, 0.8896316411904991, 100.11614467017353, 0.0830340734682977, 0.2257039018906653, 0.6053145552985371, 99.99485098943114, 0.0280075079761446, 0.2021151885390282, 0.8868863882496953, 100.0098638003692, 0.2057700235396623, 0.1599469410255551, 0.6888869538903236, 99.96791567187756, 0.3523582194000482, 0.3452424593269825, 0.2832630753517151, 100.01245762128383, 0.639017048664391, 0.5106890559196472, 0.1252815127372742, 299.9609892722219, 299.9247432644479, 300.0082147773355, 300.0137085020542, 299.87153466790915]|364.7382812500000000|     11.11111111|[257, 0, 0, 4]                                                             | 
       5|[114.34672907739878, -0.0099214988294989, 0.2940213922876865, 0.8896316411904991, 100.11614467017353, 0.0830340734682977, 0.2257039018906653, 0.6053145552985371, 99.99485098943114, 0.0280075079761446, 0.2021151885390282, 0.8868863882496953, 100.0098638003692, 0.2057700235396623, 0.1599469410255551, 0.6888869538903236, 99.96791567187756, 0.3523582194000482, 0.3452424593269825, 0.2832630753517151, 100.01245762128383, 0.639017048664391, 0.5106890559196472, 0.1252815127372742, 299.9609892722219, 299.9247432644479, 300.0082147773355, 300.0137085020542, 299.87153466790915]|364.7382812500000000|      3.33333333|[321, 0, 0, 5]                                                             | 
       6|[114.34253358189017, -0.0487876909319311, 0.2856304012704641, 0.8791429028846324, 103.44325543753803, 0.0683498396538198, 0.2089219198562205, 0.5864348250441254, 99.97387351281941, 0.0049322831444442, 0.1769422154873609, 0.8596156688407064, 99.98049533274025, 0.1743038076907396, 0.1263829769566655, 0.6532252416014671, 99.93015621136874, 0.3125010143965483, 0.3032875061035156, 0.239210370182991, 99.96630717162043, 0.5907688507810235, 0.4603431098163128, 0.0895132943987846, 299.90644783340394, 299.86810407740995, 299.9494778420776, 299.95287381857634, 299.8086022362113]|269.0589599609375000|     11.11111111|[385, 0, 0, 6]                                                             | 
       7|[114.34253358189017, -0.0487876909319311, 0.2856304012704641, 0.8791429028846324, 103.44325543753803, 0.0683498396538198, 0.2089219198562205, 0.5864348250441254, 99.97387351281941, 0.0049322831444442, 0.1769422154873609, 0.8596156688407064, 99.98049533274025, 0.1743038076907396, 0.1263829769566655, 0.6532252416014671, 99.93015621136874, 0.3125010143965483, 0.3032875061035156, 0.239210370182991, 99.96630717162043, 0.5907688507810235, 0.4603431098163128, 0.0895132943987846, 299.90644783340394, 299.86810407740995, 299.9494778420776, 299.95287381857634, 299.8086022362113]|269.0589599609375000|      3.33333333|[449, 0, 0, 7]                                                             | 
       8|[114.33833808638155, -0.0550809341948479, 0.2772394102532417, 0.8686541645787657, 106.77036620490253, 0.0536656058393419, 0.1921399378217757, 0.5675550947897137, 100.00914064608514, -0.0181429416872561, 0.1517692424356937, 0.8323449494317174, 99.95112686511129, 0.1428375918418169, 0.0928190128877759, 0.6175635293126106, 99.89239675085992, 0.2844852928072214, 0.2613325528800488, 0.195157665014267, 99.92015672195703, 0.5425206528976559, 0.4099971637129783, 0.037069596350193, 299.85190639458597, 299.811464890372, 299.8907409068197, 299.89203913509846, 299.74566980451345]|253.9058837890625000|     11.11111111|[513, 0, 0, 8]                                                             | 
       9|[114.33833808638155, -0.0550809341948479, 0.2772394102532417, 0.8686541645787657, 106.77036620490253, 0.0536656058393419, 0.1921399378217757, 0.5675550947897137, 100.00914064608514, -0.0181429416872561, 0.1517692424356937, 0.8323449494317174, 99.95112686511129, 0.1428375918418169, 0.0928190128877759, 0.6175635293126106, 99.89239675085992, 0.2844852928072214, 0.2613325528800488, 0.195157665014267, 99.92015672195703, 0.5425206528976559, 0.4099971637129783, 0.037069596350193, 299.85190639458597, 299.811464890372, 299.8907409068197, 299.89203913509846, 299.74566980451345]|253.9058837890625000|      3.33333333|[577, 0, 0, 9]                                                             | 
