k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7504728856305292|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[1.0649327605962753, 0.9019648313522339, 5.114774441719055, 5.566084951162338, 4.847122430801392, 6.795276618003845]|168.0361785888671875|      3.33333333|[16, 1, 0, 1]                                                              | 
       2|[-3.4886394172906874, 4.936025786399841, 4.281124806404113, 7.393475383520126, 3.4971576929092407, 5.538678622245788]|  5.4015235900878906|     11.11111111|[31, 2, 0, 2]                                                              | 
       3|[-3.4886394172906874, 4.936025786399841, 4.281124806404113, 7.393475383520126, 3.4971576929092407, 5.538678622245788]|  5.4015235900878906|      3.33333333|[46, 3, 0, 3]                                                              | 
       4|[-3.6248135447502134, 7.636835980415344, 2.4677722215652462, 7.053040087223053, 3.0886353254318237, 5.062069153785705]|  0.9002693295478821|     11.11111111|[61, 4, 0, 4]                                                              | 
       5|[-3.6248135447502134, 7.636835980415344, 2.4677722215652462, 7.053040087223053, 3.0886353254318237, 5.062069153785705]|  0.9002693295478821|      3.33333333|[76, 5, 0, 5]                                                              | 
       6|[-3.9740662455558775, 6.845336306095123, 2.48202947191894, 7.102015972137451, 3.8392401337623596, 3.852391934394836]|  0.4041089713573456|     11.11111111|[91, 6, 0, 6]                                                              | 
       7|[-3.9740662455558775, 6.845336306095123, 2.48202947191894, 7.102015972137451, 3.8392401337623596, 3.852391934394836]|  0.4041089713573456|      3.33333333|[106, 7, 0, 7]                                                             | 
       8|[-3.9740662455558775, 6.845336306095123, 2.48202947191894, 7.102015972137451, 3.8392401337623596, 3.852391934394836]|  0.4041089713573456|      1.00000000|[121, 8, 0, 8]                                                             | 
       9|[-3.674476075172424, 6.8992165245115755, 2.46166426166892, 7.121374795213342, 3.8194951489567757, 4.24756691455841]|  0.2124495208263397|      3.33333333|[136, 9, 0, 9]                                                             | 
      10|[-3.674476075172424, 6.8992165245115755, 2.46166426166892, 7.121374795213342, 3.8194951489567757, 4.24756691455841]|  0.2124495208263397|      1.00000000|[151, 10, 0, 10]                                                           | 
      11|[-3.7294589720666407, 7.131323359161615, 2.4123629242181774, 7.228893840685487, 3.5923440530896187, 4.604658937454223]|  0.1329516321420670|      3.33333333|[166, 11, 0, 11]                                                           | 
      12|[-3.7294589720666407, 7.131323359161615, 2.4123629242181774, 7.228893840685487, 3.5923440530896187, 4.604658937454223]|  0.1329516321420670|      1.00000000|[181, 12, 0, 12]                                                           | 
      13|[-3.7294589720666407, 7.131323359161615, 2.4123629242181774, 7.228893840685487, 3.5923440530896187, 4.604658937454223]|  0.1329516321420670|      0.30000000|[196, 13, 0, 13]                                                           | 
      14|[-3.7462547712028025, 7.106129662320018, 2.697539111971855, 7.186904342845082, 3.528065450489521, 4.56149805560708]|  0.0533775128424168|      1.00000000|[211, 14, 0, 14]                                                           | 
      15|[-3.7462547712028025, 7.106129662320018, 2.697539111971855, 7.186904342845082, 3.528065450489521, 4.56149805560708]|  0.0533775128424168|      0.30000000|[226, 15, 0, 15]                                                           | 
      16|[-3.7573226636275647, 7.0451228257268665, 2.633525802195072, 7.294456200674176, 3.5717698261141777, 4.528627241402864]|  0.0500751733779907|      1.00000000|[241, 16, 0, 16]                                                           | 
      17|[-3.7573226636275647, 7.0451228257268665, 2.633525802195072, 7.294456200674176, 3.5717698261141777, 4.528627241402864]|  0.0500751733779907|      0.30000000|[256, 17, 0, 17]                                                           | 
      18|[-3.7573226636275647, 7.0451228257268665, 2.633525802195072, 7.294456200674176, 3.5717698261141777, 4.528627241402864]|  0.0500751733779907|      0.09000000|[271, 18, 0, 18]                                                           | 
      19|[-3.762361403275281, 7.037564716488123, 2.630410085339099, 7.281859351322055, 3.55665360763669, 4.441331209987402]|  0.0439537465572357|      0.30000000|[286, 19, 0, 19]                                                           | 
      20|[-3.8215315637178717, 6.6539346791803835, 2.6453664097003635, 7.64026446454227, 3.5953259989619255, 4.159989001601934]|  0.0263332724571228|      1.00000000|[301, 20, 0, 20]                                                           | 
      21|[-3.8215315637178717, 6.6539346791803835, 2.6453664097003635, 7.64026446454227, 3.5953259989619255, 4.159989001601934]|  0.0263332724571228|      0.30000000|[316, 21, 0, 21]                                                           | 
      22|[-3.721753000933677, 6.63656263910234, 2.571699576359242, 7.624602006748319, 3.6762244179844856, 4.165066670998931]|  0.0227098036557436|      1.00000000|[331, 22, 0, 22]                                                           | 
      23|[-3.564512088615447, 6.52755860351026, 2.6126810069195923, 8.546283172443509, 3.4582163468003273, 3.910723906382918]|  0.0195023808628321|      3.33333333|[346, 23, 0, 23]                                                           | 
      24|[-3.564512088615447, 6.52755860351026, 2.6126810069195923, 8.546283172443509, 3.4582163468003273, 3.910723906382918]|  0.0195023808628321|      1.00000000|[361, 24, 0, 24]                                                           | 
