k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | k=16
       1|[1.1833597421646118, -0.0023847818374634, 1.5642547607421875, 1.4329019784927368, 0.4531190395355225, 0.6192034184932709, 0.5967974662780762, 1.114796206355095, 0.8103517442941666, 0.5642732977867126, 1.3340057134628296, 0.5022495985031128, 0.7349631786346436, 0.4838507771492004, 0.874534010887146, 1.1740915030241013, 1.1416570097208023, 1.5888412594795227, 0.9538121372461319, 1.443194568157196, 0.6430800259113312, 1.4187961220741272]|  1.3350721597671509|      3.33333333|[49, 16, 0, 1]                                                             | 
       2|[-0.2001612186431885, -1.0118544101715088, 3.7844696044921875, -0.1512050628662109, 1.1413261890411377, -0.7767666876316071, 1.1922867894172668, -2.173932746052742, -1.3728219121694565, 1.2746579051017761, 0.5094624757766724, -1.223686933517456, 0.6675397008657455, 2.013291656970978, 2.046736240386963, 1.222199209034443, 0.3225422650575638, 2.9859426617622375, 0.2933319956064224, -0.6774209141731262, 0.5271498486399651, 0.9083319902420044]|  1.0235729217529297|     11.11111111|[97, 32, 0, 2]                                                             | 
       3|[-0.5381442010402679, -1.5188289284706116, 3.1085036396980286, -0.9961625337600708, 0.1273771524429321, -1.9597071707248688, 2.259137809276581, -3.694856122136116, -3.062736853957176, -0.5842484831809998, -1.6818658113479614, -3.420576333999634, -1.698341265320778, -0.5215806365013123, -0.6571276187896729, -1.6506562158465385, -2.7193044871091843, -0.2248958945274353, -3.086497887969017, -4.226242363452911, -3.1906629279255867, -2.978472590446472]|  0.8292654752731323|     37.03703704|[145, 48, 0, 3]                                                            | 
       4|[-0.5381442010402679, -1.5188289284706116, 3.1085036396980286, -0.9961625337600708, 0.1273771524429321, -1.9597071707248688, 2.259137809276581, -3.694856122136116, -3.062736853957176, -0.5842484831809998, -1.6818658113479614, -3.420576333999634, -1.698341265320778, -0.5215806365013123, -0.6571276187896729, -1.6506562158465385, -2.7193044871091843, -0.2248958945274353, -3.086497887969017, -4.226242363452911, -3.1906629279255867, -2.978472590446472]|  0.8292654752731323|     11.11111111|[193, 64, 0, 4]                                                            | 
       5|[0.655933290719986, -1.7825340330600739, 2.0912830233573914, -1.4412034153938293, -0.2392049729824066, -1.8573579415678978, 1.1862401366233826, -0.4687952548265457, -4.083526000380516, 0.7319489121437073, -1.0495215058326721, -5.459875822067261, -2.6095296889543533, -2.0898870825767517, 0.025336742401123, -3.2188078090548515, -3.854845330119133, 0.0255513787269592, -3.6754896491765976, -3.2833545207977295, -3.7305104807019234, -2.9053720831871033]|  0.6615291237831116|     37.03703704|[241, 80, 0, 5]                                                            | 
       6|[0.655933290719986, -1.7825340330600739, 2.0912830233573914, -1.4412034153938293, -0.2392049729824066, -1.8573579415678978, 1.1862401366233826, -0.4687952548265457, -4.083526000380516, 0.7319489121437073, -1.0495215058326721, -5.459875822067261, -2.6095296889543533, -2.0898870825767517, 0.025336742401123, -3.2188078090548515, -3.854845330119133, 0.0255513787269592, -3.6754896491765976, -3.2833545207977295, -3.7305104807019234, -2.9053720831871033]|  0.6615291237831116|     11.11111111|[289, 96, 0, 6]                                                            | 
       7|[0.5377525091171265, -1.9598052203655243, 1.8549214601516724, -1.7366553843021393, -0.5937473475933075, -1.0526584014296532, 0.7135170102119446, -1.000608816742897, -4.674429938197136, 0.0819545388221741, -0.8871887624263763, -6.228050947189331, -3.436795189976692, -2.9762430787086487, -0.9201095104217529, -4.223344556987286, -4.918472453951836, -1.097166121006012, -4.857297524809837, -4.524252772331238, 6.760068170726299, -4.264451205730438]|  0.6328659653663635|     37.03703704|[337, 112, 0, 7]                                                           | 
       8|[0.5377525091171265, -1.9598052203655243, 1.8549214601516724, -1.7366553843021393, -0.5937473475933075, -1.0526584014296532, 0.7135170102119446, -1.000608816742897, -4.674429938197136, 0.0819545388221741, -0.8871887624263763, -6.228050947189331, -3.436795189976692, -2.9762430787086487, -0.9201095104217529, -4.223344556987286, -4.918472453951836, -1.097166121006012, -4.857297524809837, -4.524252772331238, 6.760068170726299, -4.264451205730438]|  0.6328659653663635|     11.11111111|[385, 128, 0, 8]                                                           | 
       9|[-0.8024102449417114, -3.234111040830612, -1.0146056413650513, -1.5348630845546722, -2.772367924451828, -2.1249453648924828, -0.3266586661338806, -0.7857767939567566, -5.784256860613823, -0.1162465810775757, -2.4946111142635345, -7.485681772232056, -3.9388198405504227, -4.248038947582245, -1.4725443124771118, -5.348945014178753, -4.520345285534859, -1.0249927192926407, -5.906961187720299, -4.013846337795258, 6.384086810052395, -5.529208719730377]|  0.6122535467147827|     37.03703704|[433, 144, 0, 9]                                                           | 
