k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]|32160.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | k=0
       1|[-1.0000238260399783, -0.8132219016551971, -1.0527090653777122, -0.9538247063755989, -1.0690663754940033, -0.9772886484861374, -0.8582169711589813, -1.0131408842280507, -1.2750814855098724, -1.0498315207660198, -1.1043459251523018, -0.9977990908082575, -1.0187672805041075, -1.0120533341541886, -1.048836961388588, -1.1111379638314247, -1.1581325083971024, -0.844314455986023, -0.9994803533190861, -0.9877457721158862, -1.0304655712097883, -0.9613534547388554, -0.9564454443752766, -0.8763239160180092, -0.9076547622680664, -1.135845109820366, -1.0903049036860466, -1.0159266367554665, -1.042436644434929, -0.9136341512203217, -0.9447164498269558, -0.9573305696249008, -0.9657434746623039, -0.9849987737834454, -0.9951638439670205, -1.006364842876792, -1.0238497108221054, -0.9866194408386946, -0.9791404660791159, -0.9754945337772369, -0.9774226229637861, -0.935209721326828, -0.9107049256563187, -0.8703551590442657, -0.8658606559038162, -0.8126004040241241, -0.7969909161329269, -0.7817651331424713, -0.8140861243009567, -0.7972473055124283, -0.8498645573854446, -0.8524972498416901, -0.9241020753979683, -0.9638733901083469, -1.1017380356788635, -1.0587358586490154, -1.0864000469446182, -1.1096065938472748, -1.1122862696647644, -1.1070246025919914, -1.0741932466626167, -1.0876615196466446, -1.0138639155775309, -0.9761821776628494, -0.9454588368535042, -0.9387403354048729, -0.9007621258497238, -0.8761948794126511, -0.8815645128488541, -0.8789610490202904, -0.935264065861702, -0.9621118046343327, -0.9875108236446977, -1.0339639149606228, -1.0407140031456947, -1.0986409410834312, -1.0690443441271782, -1.1008820831775665, -1.0806988775730133, -1.0907959789037704, -1.0531620346009731, -1.02217947691679, -0.9650070890784264, -0.9517230354249477, -0.8728430420160294, -0.8514536917209625, -0.8623960316181183, -0.8543792366981506, -0.8115435838699341, -0.8311957567930222, -0.8425918817520142, -0.894404947757721, -0.9303988665342331, -1.0090321097522974, -1.0445300042629242, -1.11918555945158, -1.1218696162104607, -1.0951658338308334]|31369.8730468750000000|      3.33333333|[65, 0, 0, 1]                                                              | 
       2|[-1.222534148968407, -0.6683265417814255, -0.8493537083268166, -1.2112312093377113, -1.2149276286363602, -0.6602100878953934, -1.2089633345603943, -0.8743956806138158, -1.5498442649841309, -1.0142013691365719, -1.1204350553452969, -0.997373854421312, -0.5880811642855406, -1.158890881575644, -0.79624904692173, -0.9714556410908699, -0.9710814952850342, -0.7378642410039902, -0.9685849637025967, -0.7153397602960467, -1.0835114065557718, -0.7150331474840641, -0.9976114928722382, -0.917668491601944, -0.8665290884673595, -1.0380942821502686, -1.1583199724555016, -1.116388976573944, -0.9996131174266338, -0.8041914701461792, -0.9587526246905327, -0.9089670516550541, -1.0860614702105522, -0.951170165091753, -0.8302330086007714, -0.8566371258348227, -1.1025425642728806, -1.1023236494511366, -1.1165094431489706, -0.8531062230467796, -1.0758719202131033, -0.7826826125383377, -0.7177589535713196, -0.7572249993681908, -0.7390186488628387, -0.7279736772179604, -0.9213149547576904, -0.3674691021442413, -0.7435820698738098, -0.8304122723639011, -0.6523552983999252, -0.7870127782225609, -0.9342046929523349, -0.9727673400193453, -0.9556973427534103, -0.8501388840377331, -1.1032403036952019, -0.8400810956954956, -1.341877743601799, -1.3962058052420616, -1.1461756378412247, -1.2022897079586983, -1.1713296417146921, -0.8739684075117111, -0.871062271296978, -1.0658772960305214, -1.0397748351097107, -1.1761914044618607, -0.9670872837305069, -0.9003022704273462, -0.8235801160335541, -0.9177944920957088, -0.9255740800872445, -1.164436649531126, -1.2285084202885628, -0.9774516373872757, -0.9193298742175102, -1.1451434567570686, -1.220240294933319, -0.9043865352869034, -1.1407711021602154, -0.68110042065382, -0.7095268592238426, -0.8109349124133587, -0.6342790275812149, -0.8818933181464672, -0.7378358840942383, -1.0294350534677505, -0.7428229376673698, -0.9450371488928795, -0.540347695350647, -0.9138371460139751, -0.958648357540369, -1.2353438679128885, -0.9218360334634781, -1.3794411942362785, -0.9777771607041359, -0.8352264314889908]|30438.9980468750000000|     11.11111111|[129, 0, 0, 2]                                                             | 
       3|[-1.222534148968407, -0.6683265417814255, -0.8493537083268166, -1.2112312093377113, -1.2149276286363602, -0.6602100878953934, -1.2089633345603943, -0.8743956806138158, -1.5498442649841309, -1.0142013691365719, -1.1204350553452969, -0.997373854421312, -0.5880811642855406, -1.158890881575644, -0.79624904692173, -0.9714556410908699, -0.9710814952850342, -0.7378642410039902, -0.9685849637025967, -0.7153397602960467, -1.0835114065557718, -0.7150331474840641, -0.9976114928722382, -0.917668491601944, -0.8665290884673595, -1.0380942821502686, -1.1583199724555016, -1.116388976573944, -0.9996131174266338, -0.8041914701461792, -0.9587526246905327, -0.9089670516550541, -1.0860614702105522, -0.951170165091753, -0.8302330086007714, -0.8566371258348227, -1.1025425642728806, -1.1023236494511366, -1.1165094431489706, -0.8531062230467796, -1.0758719202131033, -0.7826826125383377, -0.7177589535713196, -0.7572249993681908, -0.7390186488628387, -0.7279736772179604, -0.9213149547576904, -0.3674691021442413, -0.7435820698738098, -0.8304122723639011, -0.6523552983999252, -0.7870127782225609, -0.9342046929523349, -0.9727673400193453, -0.9556973427534103, -0.8501388840377331, -1.1032403036952019, -0.8400810956954956, -1.341877743601799, -1.3962058052420616, -1.1461756378412247, -1.2022897079586983, -1.1713296417146921, -0.8739684075117111, -0.871062271296978, -1.0658772960305214, -1.0397748351097107, -1.1761914044618607, -0.9670872837305069, -0.9003022704273462, -0.8235801160335541, -0.9177944920957088, -0.9255740800872445, -1.164436649531126, -1.2285084202885628, -0.9774516373872757, -0.9193298742175102, -1.1451434567570686, -1.220240294933319, -0.9043865352869034, -1.1407711021602154, -0.68110042065382, -0.7095268592238426, -0.8109349124133587, -0.6342790275812149, -0.8818933181464672, -0.7378358840942383, -1.0294350534677505, -0.7428229376673698, -0.9450371488928795, -0.540347695350647, -0.9138371460139751, -0.958648357540369, -1.2353438679128885, -0.9218360334634781, -1.3794411942362785, -0.9777771607041359, -0.8352264314889908]|30438.9980468750000000|      3.33333333|[321, 0, 0, 5]                                                             | 
       4|[-1.222632003344188, 0.1135010272264481, -1.0353210046887398, -0.5413397923111916, -1.4861361533403397, -0.6216804012656212, -0.9046971797943115, -0.9656846644356847, -1.641449086368084, -1.140489500015974, -0.9087681882083416, -1.167182108067209, -0.6664340626448393, -1.686395206488669, -0.0649445205926895, -1.4222002997994423, -1.1853139251470566, -0.7537647411227226, -0.7564136922592297, -0.2479484183713794, -0.8453734163194895, -0.9589259810745716, -1.1978520452976227, -0.9661201275885105, -0.9008072763681412, -0.6439725458621979, -1.3255287930369377, -1.2634047865867615, -1.106842514127493, -0.8706831410527229, -0.8829112946987152, -0.8028946183621883, -0.9231642559170723, -0.7058267183601856, -0.5065004536882043, -0.4546575602144003, -0.6330316811800003, -0.6140685956925154, -0.604304438456893, -0.3503060564398766, -0.5386233683675528, -0.310300275683403, -0.3037373125553131, -0.4948234185576439, -0.4819749891757965, -0.6492004096508026, -0.9555093087255955, -0.5051524043083191, -0.9750342518091202, -1.1451051570475101, -0.957596018910408, -0.6400013789534569, -1.3025728417560458, -1.3244417775422335, -1.204181507229805, -0.9764846675097942, -1.1623457446694374, -0.7573599591851234, -1.12258180975914, -1.069528453052044, -0.7143423408269882, -0.6252657249569893, -0.6498398426920176, -0.2715170830488205, -0.2735019251704216, -0.3822472468018532, -0.4194690585136414, -0.6400091201066971, -0.4916363805532455, -0.4602630827575922, -0.4106587767601013, -0.6847474686801434, -0.7967971870675683, -1.0290324799716473, -1.1800061874091625, -1.0006876084953547, -1.0338280349969864, -1.2308546006679535, -1.4173274338245392, -1.0863673388957977, -1.3163445554673672, -0.861968882381916, -0.8265354558825493, -0.846210703253746, -0.7524713724851608, -0.8451801091432571, -0.6618306115269661, -0.8923937529325485, -0.5317888781428337, -0.6660638079047203, -0.2514116168022156, -0.573075782507658, -0.5704675056040287, -0.7441412154585123, -1.4648001939058304, -0.8845465108752251, -0.56767288595438, -0.5099294036626816]|28438.5507812500000000|     11.11111111|[385, 0, 0, 6]                                                             | 
       5|[-1.222632003344188, 0.1135010272264481, -1.0353210046887398, -0.5413397923111916, -1.4861361533403397, -0.6216804012656212, -0.9046971797943115, -0.9656846644356847, -1.641449086368084, -1.140489500015974, -0.9087681882083416, -1.167182108067209, -0.6664340626448393, -1.686395206488669, -0.0649445205926895, -1.4222002997994423, -1.1853139251470566, -0.7537647411227226, -0.7564136922592297, -0.2479484183713794, -0.8453734163194895, -0.9589259810745716, -1.1978520452976227, -0.9661201275885105, -0.9008072763681412, -0.6439725458621979, -1.3255287930369377, -1.2634047865867615, -1.106842514127493, -0.8706831410527229, -0.8829112946987152, -0.8028946183621883, -0.9231642559170723, -0.7058267183601856, -0.5065004536882043, -0.4546575602144003, -0.6330316811800003, -0.6140685956925154, -0.604304438456893, -0.3503060564398766, -0.5386233683675528, -0.310300275683403, -0.3037373125553131, -0.4948234185576439, -0.4819749891757965, -0.6492004096508026, -0.9555093087255955, -0.5051524043083191, -0.9750342518091202, -1.1451051570475101, -0.957596018910408, -0.6400013789534569, -1.3025728417560458, -1.3244417775422335, -1.204181507229805, -0.9764846675097942, -1.1623457446694374, -0.7573599591851234, -1.12258180975914, -1.069528453052044, -0.7143423408269882, -0.6252657249569893, -0.6498398426920176, -0.2715170830488205, -0.2735019251704216, -0.3822472468018532, -0.4194690585136414, -0.6400091201066971, -0.4916363805532455, -0.4602630827575922, -0.4106587767601013, -0.6847474686801434, -0.7967971870675683, -1.0290324799716473, -1.1800061874091625, -1.0006876084953547, -1.0338280349969864, -1.2308546006679535, -1.4173274338245392, -1.0863673388957977, -1.3163445554673672, -0.861968882381916, -0.8265354558825493, -0.846210703253746, -0.7524713724851608, -0.8451801091432571, -0.6618306115269661, -0.8923937529325485, -0.5317888781428337, -0.6660638079047203, -0.2514116168022156, -0.573075782507658, -0.5704675056040287, -0.7441412154585123, -1.4648001939058304, -0.8845465108752251, -0.56767288595438, -0.5099294036626816]|28438.5507812500000000|      3.33333333|[577, 0, 0, 9]                                                             | 
       6|[-1.7110403602491715, 0.203852578997612, -0.3845936134457588, -0.4215388149023056, -1.130603477358818, -0.9835165366530418, -0.7551870346069336, -1.2990618767216802, -1.7148689106106758, -0.7467370145022869, -0.9676847532391548, -1.160843124758685, -0.691005527973175, -1.4297575438395143, 0.2535169273614883, -1.1673612669110298, -1.0323573052883148, -0.6300400644540787, -0.5884961277479306, -0.1881057238206267, -0.8391801090911031, -0.9650674303993583, -1.122968539595604, -0.5683675743639469, -1.2287723273038864, -0.3732269108295441, -1.2527253702282906, -0.9349985122680664, -1.3797354362905025, -0.8915948085486889, -0.8868814068846405, -0.8119315300136805, -0.9287901348434389, -0.7170294718816876, -0.5243061622604728, -0.4346671309322119, -0.6524126045405865, -0.62022187653929, -0.5914577832445502, -0.2866422981023788, -0.5317853577435017, -0.290679519996047, -0.3056849705753848, -0.4605709724128246, -0.4700558530166745, -0.5536135137081146, -0.9469027295708656, -0.4759730156511068, -0.9738906116690487, -1.1569096641615033, -0.9116427004337311, -0.5969664640724659, -1.250970776192844, -1.3068396896123886, -1.1490354910492897, -0.9418591968715191, -1.113176491111517, -0.7051962912082672, -1.0625048503279686, -1.10741413757205, -0.7628404088318348, -0.6657255701720715, -0.6270348895341158, -0.3095966503024101, -0.2816952271386981, -0.3649458047002554, -0.395513316616416, -0.5840713679790497, -0.4774676160886884, -0.4297991953790188, -0.3554023988544941, -0.5997820757329464, -0.7663879627361894, -1.0389510169625282, -1.246837381273508, -0.968166584149003, -1.0724035501480103, -1.2237582160159945, -1.4622077532112598, -1.1725532859563828, -1.3606185019016266, -0.7875524535775185, -0.7805569916963577, -0.7370664924383163, -0.6876528784632683, -0.7919846288859844, -0.5930051282048225, -0.8555169180035591, -0.6187217831611633, -0.8206548616290092, -0.5009842813014984, -0.9677346162497997, -1.1004898883402348, -1.1580299381166697, 1.2389833182096481, -1.4130551740527153, -1.1536708250641823, -1.046870931982994]|27047.5722656250000000|     11.11111111|[705, 0, 0, 11]                                                            | 
       7|[-1.7110403602491715, 0.203852578997612, -0.3845936134457588, -0.4215388149023056, -1.130603477358818, -0.9835165366530418, -0.7551870346069336, -1.2990618767216802, -1.7148689106106758, -0.7467370145022869, -0.9676847532391548, -1.160843124758685, -0.691005527973175, -1.4297575438395143, 0.2535169273614883, -1.1673612669110298, -1.0323573052883148, -0.6300400644540787, -0.5884961277479306, -0.1881057238206267, -0.8391801090911031, -0.9650674303993583, -1.122968539595604, -0.5683675743639469, -1.2287723273038864, -0.3732269108295441, -1.2527253702282906, -0.9349985122680664, -1.3797354362905025, -0.8915948085486889, -0.8868814068846405, -0.8119315300136805, -0.9287901348434389, -0.7170294718816876, -0.5243061622604728, -0.4346671309322119, -0.6524126045405865, -0.62022187653929, -0.5914577832445502, -0.2866422981023788, -0.5317853577435017, -0.290679519996047, -0.3056849705753848, -0.4605709724128246, -0.4700558530166745, -0.5536135137081146, -0.9469027295708656, -0.4759730156511068, -0.9738906116690487, -1.1569096641615033, -0.9116427004337311, -0.5969664640724659, -1.250970776192844, -1.3068396896123886, -1.1490354910492897, -0.9418591968715191, -1.113176491111517, -0.7051962912082672, -1.0625048503279686, -1.10741413757205, -0.7628404088318348, -0.6657255701720715, -0.6270348895341158, -0.3095966503024101, -0.2816952271386981, -0.3649458047002554, -0.395513316616416, -0.5840713679790497, -0.4774676160886884, -0.4297991953790188, -0.3554023988544941, -0.5997820757329464, -0.7663879627361894, -1.0389510169625282, -1.246837381273508, -0.968166584149003, -1.0724035501480103, -1.2237582160159945, -1.4622077532112598, -1.1725532859563828, -1.3606185019016266, -0.7875524535775185, -0.7805569916963577, -0.7370664924383163, -0.6876528784632683, -0.7919846288859844, -0.5930051282048225, -0.8555169180035591, -0.6187217831611633, -0.8206548616290092, -0.5009842813014984, -0.9677346162497997, -1.1004898883402348, -1.1580299381166697, 1.2389833182096481, -1.4130551740527153, -1.1536708250641823, -1.046870931982994]|27047.5722656250000000|      3.33333333|[897, 0, 0, 14]                                                            | 
       8|[-1.7978731816183426, 1.077051267027855, -0.5817463621497154, 0.3847189694643021, -1.4238430708646774, -0.9928008476272225, -0.5645715445280075, -1.436684993095696, -1.269989974796772, -0.8496178351342678, -0.3861204460263252, -1.4482982066983823, -0.5991255715489388, -1.7585831368342042, 0.938720241189003, -1.2468169406056404, -0.9525096714496613, -1.2657759338617325, -0.3925286174053326, -0.5377013301476836, -0.7073035957291722, -0.7704670866951346, -1.231194145977497, -1.0777697898447514, -1.251956269145012, -0.2237260639667511, -1.2380132023245096, -0.9580079093575478, -1.4780731983482838, -0.1471837572753429, -0.247062202077359, -0.2229798827320337, -0.4625193900428712, -0.3326982455328107, -0.3335201134905219, -0.4000652153044939, -0.7240252457559109, -0.8627323294058442, -0.9159170379862189, -0.6880041509866714, -0.8549395687878132, -0.6974409576505423, -0.6119784581242129, -0.7227959148585796, -0.7111432300880551, -0.7496670931577682, -0.9950922429561615, -0.4100043755024672, -0.7610711397137493, -0.9583329455927014, -0.6680195927619934, -0.4096667654812336, -0.9278922034427524, -0.9786598235368729, -0.8503057733178139, -0.591912042349577, -0.7931473813951015, -0.3671083152294159, -0.7140742167830467, -0.8129625432193279, -0.4895910806953907, -0.3713617436587811, -0.4212557841092348, -0.2049293965101242, -0.2241277014836669, -0.4609158542007208, -0.6435926910489798, -0.9160506427288055, -0.9253112869337201, -0.9540957175195217, -0.9704900272190571, -1.1687420271337032, -1.1654584342613816, -1.3581078425049782, -1.5360793210566044, -1.1038499120622873, -1.0128255374729633, -0.9402363849803805, -1.0410441644489765, -0.6311549991369247, -0.8019119203090668, -0.3612317815423012, -0.3171922713518143, -0.3782199770212173, -0.383151076734066, -0.5595782063901424, -0.3816602006554604, -0.6304358318448067, -0.4891312122344971, -0.6833636835217476, -0.3285569548606873, -0.8497563786804676, -0.927429798990488, -1.2108067218214273, 1.3132071867585182, -1.5724554285407066, -1.2812551334500313, -1.1833477914333344]|25735.1015625000000000|     11.11111111|[961, 0, 0, 15]                                                            | 
       9|[-1.7978731816183426, 1.077051267027855, -0.5817463621497154, 0.3847189694643021, -1.4238430708646774, -0.9928008476272225, -0.5645715445280075, -1.436684993095696, -1.269989974796772, -0.8496178351342678, -0.3861204460263252, -1.4482982066983823, -0.5991255715489388, -1.7585831368342042, 0.938720241189003, -1.2468169406056404, -0.9525096714496613, -1.2657759338617325, -0.3925286174053326, -0.5377013301476836, -0.7073035957291722, -0.7704670866951346, -1.231194145977497, -1.0777697898447514, -1.251956269145012, -0.2237260639667511, -1.2380132023245096, -0.9580079093575478, -1.4780731983482838, -0.1471837572753429, -0.247062202077359, -0.2229798827320337, -0.4625193900428712, -0.3326982455328107, -0.3335201134905219, -0.4000652153044939, -0.7240252457559109, -0.8627323294058442, -0.9159170379862189, -0.6880041509866714, -0.8549395687878132, -0.6974409576505423, -0.6119784581242129, -0.7227959148585796, -0.7111432300880551, -0.7496670931577682, -0.9950922429561615, -0.4100043755024672, -0.7610711397137493, -0.9583329455927014, -0.6680195927619934, -0.4096667654812336, -0.9278922034427524, -0.9786598235368729, -0.8503057733178139, -0.591912042349577, -0.7931473813951015, -0.3671083152294159, -0.7140742167830467, -0.8129625432193279, -0.4895910806953907, -0.3713617436587811, -0.4212557841092348, -0.2049293965101242, -0.2241277014836669, -0.4609158542007208, -0.6435926910489798, -0.9160506427288055, -0.9253112869337201, -0.9540957175195217, -0.9704900272190571, -1.1687420271337032, -1.1654584342613816, -1.3581078425049782, -1.5360793210566044, -1.1038499120622873, -1.0128255374729633, -0.9402363849803805, -1.0410441644489765, -0.6311549991369247, -0.8019119203090668, -0.3612317815423012, -0.3171922713518143, -0.3782199770212173, -0.383151076734066, -0.5595782063901424, -0.3816602006554604, -0.6304358318448067, -0.4891312122344971, -0.6833636835217476, -0.3285569548606873, -0.8497563786804676, -0.927429798990488, -1.2108067218214273, 1.3132071867585182, -1.5724554285407066, -1.2812551334500313, -1.1833477914333344]|25735.1015625000000000|      3.33333333|[1153, 0, 0, 18]                                                           | 
