k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8]|27015.8467613624197838|      1.00000000|[0, 0, 0, 0]                                                               | k=8
       1|[-1.0316128462553025, 1.5567449152469635, -1.2618447102606296, 0.8040213842876256, -1.107991087436676, 1.2345724932849407, -1.0675915896892547, 0.7681584239006043, -0.8603843741118908, 1.2071681984700262, -1.4257544249296188, 0.8494201816618443, -0.878727275133133, 1.2450695566833019, -1.482902419567108, 0.9231360211968422, -0.8161220841109753, 1.0925069645047187, -1.0754342719912529, 0.8568499527871609, -0.8624198988080025, 1.2851931869983673, -1.4180255502462387, 0.7657437577843667, -1.170581090450287, 1.3189906895160675, -1.1462512284517288, 0.7166820272803307, -0.9916139125823975, 1.3364575773477554, -0.8649089753627777, 0.8697350427508355, -0.9764297634363175, 1.593341600894928, -1.3856152713298797, 0.7953984450548888, -0.7432288818061352, 1.458932113647461, -1.105270330607891, 0.7157828465104104, -0.6698303401470185, 1.3368516534566879, -0.8377056539058685, 0.923687893152237, -1.2464392960071564, 1.004001584649086, -1.441647481918335, 1.0179531008005143, -1.28610320687294, 1.3470605134963989, -1.410585430264473, 0.8877371802926064, -0.5997897565364838, 1.5176068365573883, -1.3877616047859191, 0.2965124726295472, -0.7661337099969387, 1.5280390799045562, -1.4274207472801208, 0.9411575227975846, -0.632385003566742, 1.1839124269783496, -1.2589214749634265, 0.6068788051605225, -0.9538166999816895, 0.7351164042949676, -1.1396010413765907, 0.8548337325453759, -0.9047580614686013, 1.1293524250388145, -1.5701103627681732, 0.9141309514641762, -0.6179849237203598, 1.3569539308547973, -0.9921076118946075, 1.081286895275116, -0.7738971330225468, 1.1754378218203783, -1.2941605642437934, 0.8202200692147017, -0.9941432058811188, 1.3277530044317245, -1.1443950653076171, 0.6338513523340226, -0.7505664221942425, 1.2498846918344497, -1.4295871376991272, 0.7943790757097304, -0.8408858098089695, 0.7984804332256317, -1.1515847899019718, 0.8747610703110695, -1.013834971189499, 1.1292222708463668, -1.5928702771663665, 0.5894420921802521, -0.5972484081983567, 1.1534355588257312, -1.0433090150356292, 1.0462903559207917]|23071.2285156250000000|      3.33333333|[169, 24, 0, 3]                                                            | 
       2|[-1.3048704892396927, 1.499995794892311, -1.3018989980220794, 0.8981941972859204, -1.211522276699543, 1.0621263317763805, -1.1930663108825683, 0.9668622344732285, -0.7523317851126194, 1.3451481082476675, -1.4171433875337243, 1.083351693302393, -0.6006824851036072, 1.2149234626442194, -1.603565227985382, 1.2234221950173378, -0.9244597174227238, 0.9004370912909507, -1.1783552885055542, 0.9553592272102833, -0.714462722837925, 1.4797908931970596, -1.573724102973938, 0.9443867310881615, -1.059851671755314, 1.3014099158346653, -0.9715372294187545, 0.7009720478206873, -1.0520069777965546, 1.0895229697227478, -1.141825807094574, 1.0271018400788308, -1.0262399457395077, 1.4460086792707443, -1.3859264303056988, 1.0089285533875227, -0.7704244621098042, 1.3472376585006713, -1.267698247730732, 0.8892744585871697, -0.595778974890709, 1.7652204900979995, -0.4927490174770355, 1.034395757317543, -1.071875649690628, 0.9663025520741939, -1.2605940520763397, 1.3746724754571915, -1.3102665908634663, 1.1755654036998748, -1.4057097037322819, 1.0026372477412224, -0.7069792851805687, 1.5163136531366035, -1.45510935485363, 0.6012369275093079, -0.7906165320426226, 1.3541117578744888, -1.3807149983942508, 0.9116226986050606, -0.6058315068483353, 1.0666640184819698, -1.241448412463069, 0.7239105582237244, -1.065671543776989, 0.8898343563079834, -1.1002982042729854, 0.4518126949667931, -0.6964511379599572, 0.9199683412909507, -1.4712454348802566, 1.1205690011382103, -0.2579045921564103, 1.4138760313391685, -0.8997902691364288, 1.1268484212458134, -0.9593333072960377, 1.3336548645049333, -1.244500581920147, 0.9885627191513777, -0.9915214674081654, 1.150288251042366, -1.2738640874624252, 0.6118260279297829, -0.6916308917105198, 1.330288802087307, -1.3930016204714775, 0.8002346369437874, -0.8502785602584482, 0.8507667265832424, -0.7548801459372043, 0.8603204360231758, -1.1184111714363099, 1.241801981627941, -1.9272035777568817, 0.8086079239845276, -0.536488588154316, 1.2117518231272697, -1.3152004599571228, 1.1253319710493088]|19939.8320312500000000|     11.11111111|[337, 48, 0, 6]                                                            | 
       3|[-1.3048704892396927, 1.499995794892311, -1.3018989980220794, 0.8981941972859204, -1.211522276699543, 1.0621263317763805, -1.1930663108825683, 0.9668622344732285, -0.7523317851126194, 1.3451481082476675, -1.4171433875337243, 1.083351693302393, -0.6006824851036072, 1.2149234626442194, -1.603565227985382, 1.2234221950173378, -0.9244597174227238, 0.9004370912909507, -1.1783552885055542, 0.9553592272102833, -0.714462722837925, 1.4797908931970596, -1.573724102973938, 0.9443867310881615, -1.059851671755314, 1.3014099158346653, -0.9715372294187545, 0.7009720478206873, -1.0520069777965546, 1.0895229697227478, -1.141825807094574, 1.0271018400788308, -1.0262399457395077, 1.4460086792707443, -1.3859264303056988, 1.0089285533875227, -0.7704244621098042, 1.3472376585006713, -1.267698247730732, 0.8892744585871697, -0.595778974890709, 1.7652204900979995, -0.4927490174770355, 1.034395757317543, -1.071875649690628, 0.9663025520741939, -1.2605940520763397, 1.3746724754571915, -1.3102665908634663, 1.1755654036998748, -1.4057097037322819, 1.0026372477412224, -0.7069792851805687, 1.5163136531366035, -1.45510935485363, 0.6012369275093079, -0.7906165320426226, 1.3541117578744888, -1.3807149983942508, 0.9116226986050606, -0.6058315068483353, 1.0666640184819698, -1.241448412463069, 0.7239105582237244, -1.065671543776989, 0.8898343563079834, -1.1002982042729854, 0.4518126949667931, -0.6964511379599572, 0.9199683412909507, -1.4712454348802566, 1.1205690011382103, -0.2579045921564103, 1.4138760313391685, -0.8997902691364288, 1.1268484212458134, -0.9593333072960377, 1.3336548645049333, -1.244500581920147, 0.9885627191513777, -0.9915214674081654, 1.150288251042366, -1.2738640874624252, 0.6118260279297829, -0.6916308917105198, 1.330288802087307, -1.3930016204714775, 0.8002346369437874, -0.8502785602584482, 0.8507667265832424, -0.7548801459372043, 0.8603204360231758, -1.1184111714363099, 1.241801981627941, -1.9272035777568817, 0.8086079239845276, -0.536488588154316, 1.2117518231272697, -1.3152004599571228, 1.1253319710493088]|19939.8320312500000000|      3.33333333|[505, 72, 0, 9]                                                            | 
       4|[-1.3193561976775527, 1.5951193690299987, -1.2955068743787705, 0.9934389774687589, -1.3997955575585366, 0.8514824740588665, -1.6561655223369598, 1.2592373222112656, -0.7701054450124503, 1.417332909349352, -1.6221915313974022, 0.9543389447033406, -0.3994152575731278, 1.1934830516576767, -1.6900787472724914, 1.2511092100292445, -0.7356020577251912, 0.6180770739912986, -1.1560959041118621, 1.1877892531454564, -0.9181096360087395, 1.332518008351326, -1.5967288602143526, 0.9381155494600535, -1.2943337813019753, 1.4323498614132404, -1.2755011588335037, 0.6288251403719187, -1.1883194029331208, 1.2484124273061752, -1.1740449376404285, 0.94678293466568, -1.0704897858202458, 1.2710777640342712, -1.7700556863157544, 1.0652773316949606, -0.6607219569385052, 1.4403217330574989, -1.3473601907491684, 0.7355749264359475, -0.6347678817808629, 1.6946907311677932, -0.8668323278427124, 1.202155876159668, -1.149958099424839, 0.8743366755545139, -1.1911131486296653, 1.5159535884857178, -1.4354353167116642, 1.0658421486616134, -1.700285514164716, 1.0236965112388134, -0.7156456626951695, 1.49564353718888, -1.5493960425257682, 0.1953605592250824, -0.692842197790742, 1.3677691480144858, -1.2877429284155368, 1.1721382096409798, -0.8316827446222306, 1.1493597410619258, -1.3862840484827756, 1.129546719789505, -1.0984916493296624, 0.9141970451921224, -0.9887340597808361, 0.5289367392659188, -0.954537819325924, 0.8757511645555496, -1.3974008530378341, 1.1450425807386637, -0.3310590043663979, 1.599445615708828, -1.0310703337192535, 1.1381250966340304, -0.9402722001075745, 1.3251986436545848, -1.2396355199627578, 1.0983514051884413, -1.0043750190641731, 0.8871268600225448, -1.0432229310274124, 0.7376218393445015, -1.1280280865728856, 1.286121678352356, -1.4450657673180103, 0.9690063956193626, -0.8385663164779544, 1.002523236721754, -0.5346011824905872, 1.0772743543609977, -1.1732092455029488, 1.2454298150725662, -1.8601795256137847, 0.9544632315635682, -0.7792542532086373, 1.2873137935996055, -1.2354643762111663, 1.1329036957584322]|16489.7597656250000000|     11.11111111|[673, 96, 0, 12]                                                           | 
       5|[-1.3193561976775527, 1.5951193690299987, -1.2955068743787705, 0.9934389774687589, -1.3997955575585366, 0.8514824740588665, -1.6561655223369598, 1.2592373222112656, -0.7701054450124503, 1.417332909349352, -1.6221915313974022, 0.9543389447033406, -0.3994152575731278, 1.1934830516576767, -1.6900787472724914, 1.2511092100292445, -0.7356020577251912, 0.6180770739912986, -1.1560959041118621, 1.1877892531454564, -0.9181096360087395, 1.332518008351326, -1.5967288602143526, 0.9381155494600535, -1.2943337813019753, 1.4323498614132404, -1.2755011588335037, 0.6288251403719187, -1.1883194029331208, 1.2484124273061752, -1.1740449376404285, 0.94678293466568, -1.0704897858202458, 1.2710777640342712, -1.7700556863157544, 1.0652773316949606, -0.6607219569385052, 1.4403217330574989, -1.3473601907491684, 0.7355749264359475, -0.6347678817808629, 1.6946907311677932, -0.8668323278427124, 1.202155876159668, -1.149958099424839, 0.8743366755545139, -1.1911131486296653, 1.5159535884857178, -1.4354353167116642, 1.0658421486616134, -1.700285514164716, 1.0236965112388134, -0.7156456626951695, 1.49564353718888, -1.5493960425257682, 0.1953605592250824, -0.692842197790742, 1.3677691480144858, -1.2877429284155368, 1.1721382096409798, -0.8316827446222306, 1.1493597410619258, -1.3862840484827756, 1.129546719789505, -1.0984916493296624, 0.9141970451921224, -0.9887340597808361, 0.5289367392659188, -0.954537819325924, 0.8757511645555496, -1.3974008530378341, 1.1450425807386637, -0.3310590043663979, 1.599445615708828, -1.0310703337192535, 1.1381250966340304, -0.9402722001075745, 1.3251986436545848, -1.2396355199627578, 1.0983514051884413, -1.0043750190641731, 0.8871268600225448, -1.0432229310274124, 0.7376218393445015, -1.1280280865728856, 1.286121678352356, -1.4450657673180103, 0.9690063956193626, -0.8385663164779544, 1.002523236721754, -0.5346011824905872, 1.0772743543609977, -1.1732092455029488, 1.2454298150725662, -1.8601795256137847, 0.9544632315635682, -0.7792542532086373, 1.2873137935996055, -1.2354643762111663, 1.1329036957584322]|16489.7597656250000000|      3.33333333|[841, 120, 0, 15]                                                          | 
       6|[-1.3193561976775527, 1.5951193690299987, -1.2955068743787705, 0.9934389774687589, -1.3997955575585366, 0.8514824740588665, -1.6561655223369598, 1.2592373222112656, -0.7701054450124503, 1.417332909349352, -1.6221915313974022, 0.9543389447033406, -0.3994152575731278, 1.1934830516576767, -1.6900787472724914, 1.2511092100292445, -0.7356020577251912, 0.6180770739912986, -1.1560959041118621, 1.1877892531454564, -0.9181096360087395, 1.332518008351326, -1.5967288602143526, 0.9381155494600535, -1.2943337813019753, 1.4323498614132404, -1.2755011588335037, 0.6288251403719187, -1.1883194029331208, 1.2484124273061752, -1.1740449376404285, 0.94678293466568, -1.0704897858202458, 1.2710777640342712, -1.7700556863157544, 1.0652773316949606, -0.6607219569385052, 1.4403217330574989, -1.3473601907491684, 0.7355749264359475, -0.6347678817808629, 1.6946907311677932, -0.8668323278427124, 1.202155876159668, -1.149958099424839, 0.8743366755545139, -1.1911131486296653, 1.5159535884857178, -1.4354353167116642, 1.0658421486616134, -1.700285514164716, 1.0236965112388134, -0.7156456626951695, 1.49564353718888, -1.5493960425257682, 0.1953605592250824, -0.692842197790742, 1.3677691480144858, -1.2877429284155368, 1.1721382096409798, -0.8316827446222306, 1.1493597410619258, -1.3862840484827756, 1.129546719789505, -1.0984916493296624, 0.9141970451921224, -0.9887340597808361, 0.5289367392659188, -0.954537819325924, 0.8757511645555496, -1.3974008530378341, 1.1450425807386637, -0.3310590043663979, 1.599445615708828, -1.0310703337192535, 1.1381250966340304, -0.9402722001075745, 1.3251986436545848, -1.2396355199627578, 1.0983514051884413, -1.0043750190641731, 0.8871268600225448, -1.0432229310274124, 0.7376218393445015, -1.1280280865728856, 1.286121678352356, -1.4450657673180103, 0.9690063956193626, -0.8385663164779544, 1.002523236721754, -0.5346011824905872, 1.0772743543609977, -1.1732092455029488, 1.2454298150725662, -1.8601795256137847, 0.9544632315635682, -0.7792542532086373, 1.2873137935996055, -1.2354643762111663, 1.1329036957584322]|16489.7597656250000000|      1.00000000|[1009, 144, 0, 18]                                                         | 
       7|[-1.3193467605622573, 1.5864899035543203, -1.3495749219320714, 0.9839737915433944, -1.4690523996949196, 0.7932110697031021, -1.7741784274578094, 1.2368261229246855, -0.6290747608989478, 1.392240830976516, -1.5974952111020684, 0.8788901634514332, -0.2669270813465119, 1.2238455142825841, -1.772956033051014, 1.1963799308985472, -0.7994946457445622, 0.535222877562046, -1.0757128342986106, 1.2365583136677742, -1.0171505242586136, 1.2694068744778633, -1.6372563380748033, 0.9232983190566302, -1.4172500252723694, 1.3737095899879932, -1.307179295271635, 0.653639803826809, -1.2979512244462967, 1.2595248136669397, -1.168430047854781, 0.9596081824973226, -1.0670339068863541, 1.229187012463808, -1.7781075315608177, 1.0347483709454537, -0.6837336506694556, 1.4287881905212998, -1.3520295632071793, 0.7240886792540551, -0.6280269908718765, 1.7083698108792305, -0.8419162396341562, 1.227221465855837, -1.1083294779062272, 0.9158599831163883, -1.1776850631460547, 1.5152176050003618, -1.4598138883709908, 1.0298567868769168, -1.7639863242395222, 0.9334737055003643, -0.8191459618508816, 1.3912237320793792, -1.6628152921795845, 1.0553413808345795, -0.8077259410172701, 1.2504541238769888, -1.3920890994369983, 1.1054779395461083, -0.8900264717638493, 1.1130092859268188, -1.4034491077065467, 1.1318111961707473, -1.0935874164104462, 0.9189966398291289, -0.9775135757401585, 0.5648841738700867, -0.9359199769794941, 0.878610116476193, -1.3977039387274999, 1.147752063535154, -0.3282580824568868, 1.5690835703164339, -1.0478274941444397, 1.1201346360147, -0.9673199813812972, 1.301779343560338, -1.2373803635593503, 1.1057027785107494, -1.011930287303403, 0.8860853963298723, -1.021578487753868, 0.7577490035444499, -1.1237797431647778, 1.284716662648134, -1.4523873508907854, 0.9695895842858591, -0.8469985660165549, 0.9942010043188929, -0.535638812975958, 1.0814656952396036, -1.1797646057792008, 1.2452152351499535, -1.836385802179575, 0.9686909822747112, -0.7703593496233225, 1.294687573146075, -1.2206010090187192, 1.1341820713831112]|14935.7343750000000000|      3.33333333|[1177, 168, 0, 21]                                                         | 
       8|[-1.3193467605622573, 1.5864899035543203, -1.3495749219320714, 0.9839737915433944, -1.4690523996949196, 0.7932110697031021, -1.7741784274578094, 1.2368261229246855, -0.6290747608989478, 1.392240830976516, -1.5974952111020684, 0.8788901634514332, -0.2669270813465119, 1.2238455142825841, -1.772956033051014, 1.1963799308985472, -0.7994946457445622, 0.535222877562046, -1.0757128342986106, 1.2365583136677742, -1.0171505242586136, 1.2694068744778633, -1.6372563380748033, 0.9232983190566302, -1.4172500252723694, 1.3737095899879932, -1.307179295271635, 0.653639803826809, -1.2979512244462967, 1.2595248136669397, -1.168430047854781, 0.9596081824973226, -1.0670339068863541, 1.229187012463808, -1.7781075315608177, 1.0347483709454537, -0.6837336506694556, 1.4287881905212998, -1.3520295632071793, 0.7240886792540551, -0.6280269908718765, 1.7083698108792305, -0.8419162396341562, 1.227221465855837, -1.1083294779062272, 0.9158599831163883, -1.1776850631460547, 1.5152176050003618, -1.4598138883709908, 1.0298567868769168, -1.7639863242395222, 0.9334737055003643, -0.8191459618508816, 1.3912237320793792, -1.6628152921795845, 1.0553413808345795, -0.8077259410172701, 1.2504541238769888, -1.3920890994369983, 1.1054779395461083, -0.8900264717638493, 1.1130092859268188, -1.4034491077065467, 1.1318111961707473, -1.0935874164104462, 0.9189966398291289, -0.9775135757401585, 0.5648841738700867, -0.9359199769794941, 0.878610116476193, -1.3977039387274999, 1.147752063535154, -0.3282580824568868, 1.5690835703164339, -1.0478274941444397, 1.1201346360147, -0.9673199813812972, 1.301779343560338, -1.2373803635593503, 1.1057027785107494, -1.011930287303403, 0.8860853963298723, -1.021578487753868, 0.7577490035444499, -1.1237797431647778, 1.284716662648134, -1.4523873508907854, 0.9695895842858591, -0.8469985660165549, 0.9942010043188929, -0.535638812975958, 1.0814656952396036, -1.1797646057792008, 1.2452152351499535, -1.836385802179575, 0.9686909822747112, -0.7703593496233225, 1.294687573146075, -1.2206010090187192, 1.1341820713831112]|14935.7343750000000000|      1.00000000|[1345, 192, 0, 24]                                                         | 
       9|[-1.3207190208366228, 1.7252315010875463, -1.3982010542415082, 0.8683702253736556, -1.5083554938435555, 0.7869019646197557, -1.813910160958767, 1.253588243573904, -0.7180879946798087, 1.4999140289612114, -1.6074401007965207, 0.9884345225989819, -0.2720397284254432, 1.2959495063871145, -1.7953209176659584, 1.2340277034789324, -0.9087860576808453, 0.4738773822784423, -1.0118640556931495, 1.29658203125, -1.0917909398674965, 1.2669466792605817, -1.63649369222112, 0.8531725157052279, -1.5010011598467827, 1.2825534053146839, -1.226746492832899, 0.7110618196427823, -1.4395423263311387, 1.255387542117387, -1.1646777668967843, 0.9842594714835287, -1.0444433814380318, 1.230188092496246, -1.7647105801908765, 1.0359560591867194, -0.6852577009238303, 1.430459869490005, -1.3504816183587536, 0.7112646477296949, -0.62499572285451, 1.7031415079720318, -0.846546930540353, 1.2328447640873492, -1.0928583677858115, 0.9414580229669809, -1.1652305953204631, 1.539958951016888, -1.453747359290719, 1.0366950014606118, -1.755090222042054, 0.9293938979506493, -0.8249762949533761, 1.3829146201489493, -1.663670718774665, 1.0292309869080782, -0.8222586570307613, 1.2303063308820128, -1.3987041160464286, 1.1195762634277344, -0.8728547368198634, 1.1288395531475544, -1.3798141747713089, 1.1575844755396247, -1.0762371301651001, 0.9195460658404044, -0.9932514706626534, 0.5410342022776604, -0.9856346726417542, 0.7890574234072119, -1.4998379578639287, 1.0246778747066856, -0.4525467755272985, 2.416621207073331, -1.1870239198207855, 0.9944173984229565, -1.0804581951349974, 1.2214665178209543, -1.2939863917883485, 1.0839462710544467, -1.0124490635469556, 0.8986725077731534, -1.000208481028676, 0.80124697573483, -1.0908431105315686, 1.3046203504083678, -1.4515988087980076, 0.9686502923839726, -0.8738966800272465, 0.9699688142165541, -0.5650332961697131, 1.0693765070289374, -1.1955773771740497, 1.2300400509149767, -1.8213429905474185, 0.9795034855604172, -0.7650734020397068, 1.3147485855035483, -1.2065331095829606, 1.1452475209487603]|13395.6015625000000000|      3.33333333|[1513, 216, 0, 27]                                                         | 
