k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[102.49232685, 96.347063078, 90.449776874, 84.79655424, 79.382994188, 74.204294955, 69.255448773, 64.531343749, 60.026813865, 55.736664095, 51.655683457, 47.778652045, 44.100344913, 40.615534279, 37.318990799, 34.205484307, 31.269784252, 28.506659953, 25.910880752, 23.477216093, 21.20043557, 19.075308947, 17.096606168, 15.259097353, 13.557552793, 11.986742944, 10.541438416, 9.216409963, 8.0064284742, 6.9062649654, 5.9106905698, 5.0144765304, 4.2123941924, 3.4992149966, 2.8697104734, 2.318652237, 1.8408119802, 1.43096147, 1.0838725426, 0.79431710019, 0.5570671067, 0.36689458466, 0.21857161204, 0.10687031935, 0.026562886928, -0.027578457514, -0.060781441248, -0.078273748691, -0.085283023428, -0.087036870116, -0.088762856265, -0.09568851391, -0.11304134119, -0.14604880381, -0.19993833648, -0.27993734421, -0.39127320354, -0.53917326376, -0.72886484804, -0.96557525443, -1.2545317569, -1.6009616064, -2.0100920316, -2.4871502399, -3.037363418, -3.6659587332, -4.3781633337, -5.1792043492, -6.0743088924, -7.0687040585, -8.1676169268, -9.3762745608, -10.699904009, -12.143732305, -13.712986469, -15.412893506, -17.248680411, -19.225574164, -21.348801732, -23.623590074, -26.055166135, -28.648756848, -31.409589138, -34.342889918, -37.453886093, -40.747804558, -44.229872196, -47.905315885, -51.779362492, -55.857238877, -60.144171891, -64.645388378, -69.366115173, -74.311579107, -79.487007001, -84.89762567, -90.548661922, -96.44534256, -102.59289438, -108.99654417]|1103265273683.5454101562500000|      1.00000000|[0, 0, 0, 0]                                                               | k=4
       1|[102.49233413015448, 96.26507603974527, 90.40999699112193, 84.8638661676762, 79.28095658682707, 74.17810697072716, 69.08958835849499, 64.59617394043343, 60.091183036857835, 55.82481427587626, 51.405193328006014, 47.838064509499475, 43.78669433473958, 40.55328165317698, 37.26414204235885, 34.25590214003022, 31.362817118716386, 28.484680343495658, 26.041470863017228, 23.552735505755965, 21.092930919049568, 19.005542604360077, 17.139423950610656, 15.385515690225914, 13.499319427583472, 11.981641043452257, 10.391694277878395, 9.212010423097194, 7.938595527422656, 6.91942335011055, 5.891165801805119, 5.064409230050526, 4.205409672627768, 3.4369074823497217, 2.787399997990969, 2.191579068245422, 1.6743103240253403, 1.296444977514, 0.946008504251802, 0.6472545154321951, 0.443541865086612, 0.2923319754642908, 0.1563048040368128, 0.0263688374593216, 0.0170587549552102, 0.0057209029102802, -0.0887375879948739, -0.0902941475536599, -0.1382263499608407, -0.1154195812284992, -0.153041063984326, -0.1851399684898302, -0.1759666799351172, -0.1902372399307485, -0.109804438519814, -0.4005832696126413, -0.4133257654042569, -0.5669689752922351, -0.7569181261434708, -0.8789532844917218, -1.1845935815197701, -1.4770903917121758, -1.932461601140024, -2.3721331238302064, -2.954046026425617, -3.612566598593162, -4.321235466466247, -5.086684589068164, -5.9840813331911304, -7.012518339874216, -8.114352752189623, -9.333012421837255, -10.619514248565373, -12.12842599147784, -13.663322504341025, -15.311230013380008, -17.301809540111766, -19.15733311167046, -21.273122325476294, -23.481462217387794, -25.922872344421158, -28.53690948458762, -31.27738323446988, -34.20568413844754, -37.34115038196189, -40.64657299043837, -44.13209856955328, -47.793765777401696, -51.70955751809968, -55.787547159375336, -60.06739578136417, -64.51786972413038, -69.2524829932033, -74.19487430031455, -79.28975214953954, -84.7355551125249, -90.38319208183104, -96.26578741211372, -102.43837629726208, -108.88591259978001]|1101749420032.0000000000000000|      3.33333333|[181, 12, 0, 3]                                                            | 
       2|[102.49235839733576, 95.99178591222947, 90.2773973840119, 85.08823925496316, 78.94083126448515, 74.09081368857593, 68.5367203498814, 64.81227457357781, 60.305746943050615, 56.118648217097494, 50.5702262512276, 48.036106052864, 42.741192387336625, 40.345772910367685, 37.081312856038544, 34.42396157849725, 31.67292667443767, 28.41141497723942, 26.476771213206437, 23.80446687167508, 20.734582102416343, 18.772988138827774, 17.2821498951297, 15.806910127777412, 13.305208214495437, 11.964634709534877, 9.892547160740486, 9.197345290708721, 7.712485709798564, 6.963284631237288, 5.8260832443057105, 5.230851564702473, 4.182127940053663, 3.2292157681821267, 2.513031741660479, 1.7680018489976042, 1.1193048332454636, 0.848056669227333, 0.4864617296260239, 0.1570459194410605, 0.0651244029760926, 0.0437899497789804, -0.0512512201569509, -0.2419694255754989, -0.0146216837123255, 0.1167187660241603, -0.1819247413342598, -0.1303621443834081, -0.3147040951362023, -0.2100286182701634, -0.367301746447972, -0.4833114887229845, -0.3857178090855078, -0.3375320294834371, -0.3292092551473165, -0.8027363443540048, -0.4868343037100163, -0.6596213483081157, -0.8504290519132767, -0.5902133946315686, -0.951466330252337, -1.064186337785708, -1.673693519474985, -1.988742756799109, -2.6763214027455025, -3.4345928215374215, -4.131475913987456, -4.778285388628711, -5.683322822363112, -6.825232618572183, -7.936805505971895, -9.188805301895544, -10.35154839535111, -12.077404948266619, -13.497775952994246, -14.972351709613758, -17.030713817198023, -18.92986293723866, -21.020857646998053, -23.007702715215324, -25.481893042491684, -29.28474553795905, -30.836696889369478, -33.74833155980755, -36.96536467353446, -40.30913443686667, -43.80618648139753, -47.421932095341454, -51.47687427673234, -55.55524143892684, -59.811475430812564, -64.09280754456495, -68.8737090655147, -73.80585829789794, -79.17990272636945, -84.1953199507436, -89.83162595786864, -95.66727029222923, -101.92331605127133, -108.51714071891492]|1097221406720.0000000000000000|     11.11111111|[361, 24, 0, 6]                                                            | 
       3|[102.49243928794006, 95.0808188602466, 89.83539869364516, 85.83614951611733, 77.80708022974852, 73.7998360913393, 66.69382686862683, 65.53260999752419, 61.020959943825, 57.09809462823031, 47.7870026222298, 48.69624454067986, 39.256186054939164, 39.65407710100337, 36.47188224490497, 34.98415970672067, 32.70662511403575, 28.16719710461979, 27.9277723805038, 24.643571404870574, 19.540086066840477, 17.997806606921646, 17.757903023658294, 17.21155831255372, 12.65817082760121, 11.907946926084989, 8.228723436947456, 9.148461517322243, 6.958786347520579, 7.109488894209166, 5.609141381007294, 5.785659346875629, 4.1045221710154625, 2.536910084092466, 1.5984709468301568, 0.3560778444428556, -0.7307135488269851, -0.6465709257204819, -1.0453608325916885, -1.4769827537309366, -1.1962671175240907, -0.7846834393697317, -0.7431046242020559, 0.8431704450681168, -0.1202231434539179, 0.4867116480374812, -0.4925485957329873, -0.2639221313323751, -0.9029632556548486, -0.5253920552074955, -1.0815040312608992, -1.4772164965621872, -0.0519952176853613, -0.8285146215893026, -1.060558604169228, -2.143246593491883, -0.7318627547951069, -0.9684625767932231, -1.1621321378126297, 0.3722529049022754, -0.1743755423647637, 0.3121604887676368, -0.8111331876535433, -0.710774826959021, -1.750572637276905, -2.841346898018287, -3.4989440922597037, -3.7502881333033935, -4.68079439333174, -6.200946861030527, -7.344981391649233, -8.708114882221624, -9.458328864768681, -11.90733480671274, -12.945954125105757, -13.84275738359447, -16.127061387617335, -18.171629032400098, -20.17997540527213, -21.42850435477221, -24.011962036060105, -28.041997158251714, -29.367742445437898, -32.22382296434094, -35.71274576465232, -39.18433923842612, -42.719812913816355, -46.18248652821041, -50.70126347217454, -54.780889067234185, -58.95840755590412, -62.67593361268018, -67.61112938602557, -72.50913826997436, -76.98818224068219, -82.39453607813923, -87.99307229080016, -93.67221318621117, -100.20644848516262, -107.28790113589947]|1080640405504.0000000000000000|     37.03703704|[541, 36, 0, 9]                                                            | 
       4|[102.49270892328771, 92.04426190109437, 88.36206974562423, 88.3291838789103, 74.02790971659545, 72.82991074734898, 60.550848677251096, 67.93372827602761, 63.4050033989489, 60.362916157618734, 38.50959020767902, 50.89670616673271, 27.63949828028096, 37.348424244176584, 34.44044675525043, 36.85148680079873, 36.152286897254136, 27.3531374894846, 32.76444325605311, 27.440586594995086, 15.558432376502342, 15.413868008288834, 19.343746825156707, 21.89371916689332, 10.50137961742665, 11.718987640468114, 2.6826442781644975, 8.98551559113282, 4.446455100190867, 7.596836467251082, 4.8860018565474554, 7.635018620786152, 3.8458362543532463, 0.229224470460264, -1.4500651154104438, -4.350335901437271, -6.897441568541341, -5.628663306244164, -6.151436119456923, -6.9237453155290325, -5.400905598664227, -3.546261522408062, -3.049282717158599, -2.1383659433291, -0.4722280291274409, 1.7200212746167658, -1.5279613841241004, -0.7091220977630391, -2.8638272035231958, -1.5766035315334843, 1.6084242619672502, -4.790233388041679, -2.382563292865415, -2.465123341415047, -3.152189301419594, -6.611614170091004, -1.548624308082613, -1.9979333781466777, -2.2011424241438062, 3.5804741020305713, 2.415927163400007, 4.899983402891172, 2.0640680376272185, 3.549118113562219, 1.3352566206881828, -0.8638604068149789, -1.3905046467640982, -0.3236304566066162, -1.3390330427000263, -4.119994216682382, -5.372234184961306, -7.105813403835699, -6.480930230811772, -11.340434314998262, -11.106547992407698, -10.07744280458446, -13.114886542875514, -15.644182762411084, -17.37703432136405, -16.164509661016105, -19.112192253040085, -23.89950200291724, -24.471227552859773, -27.142127407700315, -31.53734884540183, -35.43502183081809, -39.09856752960005, -42.05100106602169, -48.11589412364854, -52.1997144551889, -56.11484805234882, -57.95302034745191, -63.402530295449395, -68.18673817689574, -69.68244712944562, -76.39192301051227, -81.86455990829283, -87.02202235598045, -94.48355667760647, -103.19043562076276]|1028648534016.0000000000000000|    123.45679012|[721, 48, 0, 12]                                                           | 
       5|[102.49360770777987, 81.92240521164125, 83.45097317274825, 96.63929778577065, 61.4306749906433, 69.59682630711765, 40.07425565967297, 75.93745523525612, 71.35181459813714, 71.24565427102206, 7.584882794959292, 58.23157793568413, -11.082795573478805, 29.662915039312082, 27.668995282014343, 43.07591068614419, 47.63782537992015, 24.639605518506816, 48.88667950788417, 36.76397087996823, 2.2862537265999983, 6.8007393461794585, 24.62989251225998, 37.50092074312623, 3.3120752656200096, 11.08912336501264, -15.804286569003471, 8.442362543571175, -3.927982231962453, 9.221328397259017, 2.47553661606894, 13.799549374875507, 2.9835498654791923, -7.463061067259463, -11.611852148491499, -20.038381403146253, -27.45320099847298, -22.235636954315453, -23.171686439891495, -25.07961956784837, -19.416367520356122, -12.751521799202497, -10.736542868068023, -12.076820571319823, -1.645577648039184, 5.831053283741522, -4.979337345427812, -2.193121946128823, -9.400040124665773, -5.080641865426307, -6.327156945308141, -15.833622708415215, -10.151123225574155, -7.920485661361337, -11.278293656277992, -21.50617212297186, 1.5278680014876995, 1.1202519036068623, -5.6645101247205885, 14.274543964396294, 11.050269357003522, 20.19272517840387, 11.648071486113547, 17.748762202307336, 11.621354147238476, 5.727760992110802, 5.637626838221253, 11.098562116940748, 9.800171936242844, 2.816513962028555, 1.2035895989132062, -1.764808555355474, 3.443731405540767, -9.450765969546907, -4.9751946141118, 2.473605474224133, -3.074303886015162, -7.219361862447705, -8.0338975339495, 1.3821383644965906, -2.779625038074265, -10.091185772143316, -8.149511244266023, -10.203143490463987, -17.619360068241186, -22.937297297737032, -27.02774958221235, -28.279383176617394, -39.497996136282815, -43.59579924065032, -46.63631621488544, -42.209977401590095, -49.37386666019549, -53.77873723085082, -45.32999771233136, -56.38321214930622, -61.43618466415221, -64.85472117800194, -75.40725128820218, -89.5322172369737]|894446141440.0000000000000000|    411.52263374|[901, 60, 0, 15]                                                           | 
       6|[102.49627526196839, 83.66436943264192, 71.74671043928878, 119.49803763867592, 26.302512606610094, 48.46534704381199, -81.12823610058093, 103.21906381679909, -33.944419532722236, 76.76455323495028, 30.118482648474917, 30.189093652236863, -113.90315384984599, 90.41748886133357, 30.9792403190932, -78.22751796375815, -18.467300047325942, 29.75240563981419, 1.2489269749251832, 9.016809014733852, 59.00753668558437, 31.159225521716568, 38.043573542533416, -11.818300753455802, 42.48485434887196, 23.583737012473577, 37.510639578457464, 30.42437433861512, -28.255906960356008, -19.09253726436208, -32.45652744032755, -23.71487399548582, -28.784968582396786, -36.167641374266296, -29.84815357061064, -13.98414308374928, -4.054465952086261, 8.546244378082008, 23.386346549610458, 30.018418151878194, 40.95262814614779, 44.443626668815085, 39.99831659848471, 36.48976878414893, 29.749171039704958, 30.587017562916326, 14.020824779205977, 13.332415544715904, -2.425331567536867, -8.21109950512052, 3.1258068837323867, -11.054572835063164, -1.9725105165287449, 2.846662356521964, 8.747501326632165, 9.364713726027162, 29.192401616600005, 32.59615636832854, 38.23181403299426, 51.204673969279106, 50.905108681954694, 55.93935680071832, 42.708410460112574, 38.45863540177022, 28.089388891501173, 9.331586561263634, -0.7196710591176139, -10.879856233278979, -12.313937103063797, -32.12686448645778, -23.524708588342655, -25.078035255184574, -19.37643041391724, -19.96501004913675, -4.3166412522191, 12.692927678813977, 25.26710198251511, 39.614019790384326, 46.33354173607003, 65.59338866967238, 74.44992818458198, 67.37903670100121, 62.42465409997226, 59.22676526197742, 47.78064145763772, 22.040016697624296, 7.209780172426321, -9.946495527081261, -39.33020098481072, -44.11437085586944, -61.2322262872121, -53.55251528153394, -65.19065247257342, -64.48722283418334, -47.19926970596845, -47.096422255202214, -49.92499138870055, -26.03826915163475, -33.229822088983425, -18.55007764957135]|850137186304.0000000000000000|   1371.74211248|[1081, 72, 0, 18]                                                          | 
       7|[102.49627526196839, 83.66436943264192, 71.74671043928878, 119.49803763867592, 26.302512606610094, 48.46534704381199, -81.12823610058093, 103.21906381679909, -33.944419532722236, 76.76455323495028, 30.118482648474917, 30.189093652236863, -113.90315384984599, 90.41748886133357, 30.9792403190932, -78.22751796375815, -18.467300047325942, 29.75240563981419, 1.2489269749251832, 9.016809014733852, 59.00753668558437, 31.159225521716568, 38.043573542533416, -11.818300753455802, 42.48485434887196, 23.583737012473577, 37.510639578457464, 30.42437433861512, -28.255906960356008, -19.09253726436208, -32.45652744032755, -23.71487399548582, -28.784968582396786, -36.167641374266296, -29.84815357061064, -13.98414308374928, -4.054465952086261, 8.546244378082008, 23.386346549610458, 30.018418151878194, 40.95262814614779, 44.443626668815085, 39.99831659848471, 36.48976878414893, 29.749171039704958, 30.587017562916326, 14.020824779205977, 13.332415544715904, -2.425331567536867, -8.21109950512052, 3.1258068837323867, -11.054572835063164, -1.9725105165287449, 2.846662356521964, 8.747501326632165, 9.364713726027162, 29.192401616600005, 32.59615636832854, 38.23181403299426, 51.204673969279106, 50.905108681954694, 55.93935680071832, 42.708410460112574, 38.45863540177022, 28.089388891501173, 9.331586561263634, -0.7196710591176139, -10.879856233278979, -12.313937103063797, -32.12686448645778, -23.524708588342655, -25.078035255184574, -19.37643041391724, -19.96501004913675, -4.3166412522191, 12.692927678813977, 25.26710198251511, 39.614019790384326, 46.33354173607003, 65.59338866967238, 74.44992818458198, 67.37903670100121, 62.42465409997226, 59.22676526197742, 47.78064145763772, 22.040016697624296, 7.209780172426321, -9.946495527081261, -39.33020098481072, -44.11437085586944, -61.2322262872121, -53.55251528153394, -65.19065247257342, -64.48722283418334, -47.19926970596845, -47.096422255202214, -49.92499138870055, -26.03826915163475, -33.229822088983425, -18.55007764957135]|850137186304.0000000000000000|    411.52263374|[1261, 84, 0, 21]                                                          | 
       8|[102.49742390936429, 124.43680366726106, 70.32284643229262, 36.21231681348061, 1.4534182157409532, 30.14213918858738, -63.89744310131336, 65.80611139370339, -59.10920873255134, 7.538646862879972, -50.13920778121258, -44.143906530868605, -155.82880540013895, 13.497391510259348, -67.05052957836773, -34.537778736463224, -50.02096711580739, 6.204910751508525, 39.60792813459315, -75.54686591202396, 57.10835829984981, 55.8026600462527, 98.38845269292403, -32.60926678739135, 53.28622306225087, 33.49601995619916, 99.61536827718794, 56.4000461068036, -38.0678309410689, 0.6919189886896788, 28.307541163188077, -1.2504307886987114, -2.5967514193108485, -18.29447433630243, -12.477632025200485, 0.0260698145051137, 11.235913572144696, 6.8213249397198865, 15.832233161548935, 14.365738708518819, 17.759985934233725, 7.1259043482584445, -4.118050741603177, -9.153698165313962, -20.82304499423059, -23.73705622858758, -35.60248149520808, -30.010914838584878, -35.82494780899194, -44.88759791820646, -12.709392472346714, -25.45972515592498, -7.556391894702573, 2.171722664501548, 18.24344248874154, 25.465696392042787, 37.86158057930753, 50.55705762870452, 63.89126456400012, 70.59325047684746, 74.5150539791959, 82.95888232867242, 72.18434544241238, 68.50423438553487, 62.26729111318086, 35.48659869200094, 28.116415214075744, 4.6356466964085214, 2.178610885827805, -23.586711936714124, -16.831942875604618, -24.60294090699236, -30.188237092689214, -39.13792646149027, -29.265125672995467, -30.215603510150867, -24.93847205312942, -18.449979385641065, -4.772895947035437, 2.338078611078629, 4.871101280285103, -2.718611919604257, -4.414029982058992, 1.5933233369285915, -1.6469212559853261, -22.017646266242892, -29.499162240903757, -35.51640557651974, -49.95554335389031, -28.536276373447564, -37.37219515928241, -15.345770133828864, -19.8370834418117, -7.864980860306389, 20.67595154647296, 13.18762391789349, 12.319896916963515, 25.831661115699234, 12.538389275762668, 47.77936723568256]|678198444032.0000000000000000|   1371.74211248|[1441, 96, 0, 24]                                                          | 
       9|[102.49742390936429, 124.43680366726106, 70.32284643229262, 36.21231681348061, 1.4534182157409532, 30.14213918858738, -63.89744310131336, 65.80611139370339, -59.10920873255134, 7.538646862879972, -50.13920778121258, -44.143906530868605, -155.82880540013895, 13.497391510259348, -67.05052957836773, -34.537778736463224, -50.02096711580739, 6.204910751508525, 39.60792813459315, -75.54686591202396, 57.10835829984981, 55.8026600462527, 98.38845269292403, -32.60926678739135, 53.28622306225087, 33.49601995619916, 99.61536827718794, 56.4000461068036, -38.0678309410689, 0.6919189886896788, 28.307541163188077, -1.2504307886987114, -2.5967514193108485, -18.29447433630243, -12.477632025200485, 0.0260698145051137, 11.235913572144696, 6.8213249397198865, 15.832233161548935, 14.365738708518819, 17.759985934233725, 7.1259043482584445, -4.118050741603177, -9.153698165313962, -20.82304499423059, -23.73705622858758, -35.60248149520808, -30.010914838584878, -35.82494780899194, -44.88759791820646, -12.709392472346714, -25.45972515592498, -7.556391894702573, 2.171722664501548, 18.24344248874154, 25.465696392042787, 37.86158057930753, 50.55705762870452, 63.89126456400012, 70.59325047684746, 74.5150539791959, 82.95888232867242, 72.18434544241238, 68.50423438553487, 62.26729111318086, 35.48659869200094, 28.116415214075744, 4.6356466964085214, 2.178610885827805, -23.586711936714124, -16.831942875604618, -24.60294090699236, -30.188237092689214, -39.13792646149027, -29.265125672995467, -30.215603510150867, -24.93847205312942, -18.449979385641065, -4.772895947035437, 2.338078611078629, 4.871101280285103, -2.718611919604257, -4.414029982058992, 1.5933233369285915, -1.6469212559853261, -22.017646266242892, -29.499162240903757, -35.51640557651974, -49.95554335389031, -28.536276373447564, -37.37219515928241, -15.345770133828864, -19.8370834418117, -7.864980860306389, 20.67595154647296, 13.18762391789349, 12.319896916963515, 25.831661115699234, 12.538389275762668, 47.77936723568256]|678198444032.0000000000000000|    411.52263374|[1621, 108, 0, 27]                                                         | 
