k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[102.49232685, 96.347063078, 90.449776874, 84.79655424, 79.382994188, 74.204294955, 69.255448773, 64.531343749, 60.026813865, 55.736664095, 51.655683457, 47.778652045, 44.100344913, 40.615534279, 37.318990799, 34.205484307, 31.269784252, 28.506659953, 25.910880752, 23.477216093, 21.20043557, 19.075308947, 17.096606168, 15.259097353, 13.557552793, 11.986742944, 10.541438416, 9.216409963, 8.0064284742, 6.9062649654, 5.9106905698, 5.0144765304, 4.2123941924, 3.4992149966, 2.8697104734, 2.318652237, 1.8408119802, 1.43096147, 1.0838725426, 0.79431710019, 0.5570671067, 0.36689458466, 0.21857161204, 0.10687031935, 0.026562886928, -0.027578457514, -0.060781441248, -0.078273748691, -0.085283023428, -0.087036870116, -0.088762856265, -0.09568851391, -0.11304134119, -0.14604880381, -0.19993833648, -0.27993734421, -0.39127320354, -0.53917326376, -0.72886484804, -0.96557525443, -1.2545317569, -1.6009616064, -2.0100920316, -2.4871502399, -3.037363418, -3.6659587332, -4.3781633337, -5.1792043492, -6.0743088924, -7.0687040585, -8.1676169268, -9.3762745608, -10.699904009, -12.143732305, -13.712986469, -15.412893506, -17.248680411, -19.225574164, -21.348801732, -23.623590074, -26.055166135, -28.648756848, -31.409589138, -34.342889918, -37.453886093, -40.747804558, -44.229872196, -47.905315885, -51.779362492, -55.857238877, -60.144171891, -64.645388378, -69.366115173, -74.311579107, -79.487007001, -84.89762567, -90.548661922, -96.44534256, -102.59289438, -108.99654417]|1103265273683.5454101562500000|      1.00000000|[0, 0, 0, 0]                                                               | k=8
       1|[102.49233413015448, 96.26507603974527, 90.40999699112193, 84.8638661676762, 79.28095658682707, 74.17810697072716, 69.08958835849499, 64.59617394043343, 60.091183036857835, 55.82481427587626, 51.405193328006014, 47.838064509499475, 43.78669433473958, 40.55328165317698, 37.26414204235885, 34.25590214003022, 31.362817118716386, 28.484680343495658, 26.041470863017228, 23.552735505755965, 21.092930919049568, 19.005542604360077, 17.139423950610656, 15.385515690225914, 13.499319427583472, 11.981641043452257, 10.391694277878395, 9.212010423097194, 7.938595527422656, 6.91942335011055, 5.891165801805119, 5.064409230050526, 4.205409672627768, 3.4369074823497217, 2.787399997990969, 2.191579068245422, 1.6743103240253403, 1.296444977514, 0.946008504251802, 0.6472545154321951, 0.443541865086612, 0.2923319754642908, 0.1563048040368128, 0.0263688374593216, 0.0170587549552102, 0.0057209029102802, -0.0887375879948739, -0.0902941475536599, -0.1382263499608407, -0.1154195812284992, -0.153041063984326, -0.1851399684898302, -0.1759666799351172, -0.1902372399307485, -0.109804438519814, -0.4005832696126413, -0.4133257654042569, -0.5669689752922351, -0.7569181261434708, -0.8789532844917218, -1.1845935815197701, -1.4770903917121758, -1.932461601140024, -2.3721331238302064, -2.954046026425617, -3.612566598593162, -4.321235466466247, -5.086684589068164, -5.9840813331911304, -7.012518339874216, -8.114352752189623, -9.333012421837255, -10.619514248565373, -12.12842599147784, -13.663322504341025, -15.311230013380008, -17.301809540111766, -19.15733311167046, -21.273122325476294, -23.481462217387794, -25.922872344421158, -28.53690948458762, -31.27738323446988, -34.20568413844754, -37.34115038196189, -40.64657299043837, -44.13209856955328, -47.793765777401696, -51.70955751809968, -55.787547159375336, -60.06739578136417, -64.51786972413038, -69.2524829932033, -74.19487430031455, -79.28975214953954, -84.7355551125249, -90.38319208183104, -96.26578741211372, -102.43837629726208, -108.88591259978001]|1101749420032.0000000000000000|      3.33333333|[57, 8, 0, 1]                                                              | 
       2|[102.84622288023077, 97.1606668219108, 89.5330116200091, 84.38601438940739, 78.69339491986159, 72.80734080785484, 69.48176695356106, 64.18026193810837, 60.09861144732087, 55.71610299594757, 50.52449083243106, 47.68586515175144, 43.0049500930251, 40.76769912565871, 36.777081704100105, 33.60537209976609, 31.351648516793695, 30.032262016164115, 24.962388016375687, 24.465265033896987, 21.01742023092348, 19.37726682249019, 16.317795141635436, 15.591372222084358, 13.17174508509423, 11.842734087733263, 9.374617666359535, 10.624746123704494, 8.488158398878802, 8.196004041448136, 6.027123013061146, 5.40658897548624, 4.4674540726044984, 3.654503447019903, 2.8974114787396226, 2.9301606064458006, 1.588991073203273, 0.6182757270257186, 0.4596582063239456, 0.1180373318422598, -0.1668451621770294, -0.2005600812392767, 0.3391625260808039, -0.8147302459642929, 0.4970542440756937, 0.4607847227955341, -0.3955554474061135, -0.09047439830044, 0.6123475235590568, 0.3543671223580791, -0.4749569289287841, 1.6871573184974746, -0.2575983403965429, 0.4034790238403086, 0.4237018357035136, 0.0831983661486197, -0.9423223522038784, -0.3682476856575305, -0.5928094623460922, -0.2629910771743695, -0.4859115713459725, -0.3684109779167046, -2.0123254101891535, -2.3512332394274544, -3.5228678142597847, -3.938740857778953, -4.381022840456067, -5.430957470814456, -5.904427168578837, -6.722827517511316, -8.523266453962313, -9.01834367703478, -10.393948472336469, -13.157743608894222, -13.999713446676154, -15.728359947214084, -17.43252604277824, -18.788151210453954, -21.015034362610464, -23.539410694954036, -26.074240619705925, -29.07287039729209, -30.554090347259034, -32.8661340009277, -38.08378235379798, -40.690405493697554, -45.48322893587866, -47.47753255968548, -50.85820226344956, -55.791945745138165, -59.48207423576328, -64.34646256098722, -70.29868851383318, -73.47287233050025, -79.58987101312215, -85.59257465617267, -89.73207106151396, -94.44420509476143, -102.30884787907875, -107.80689293406193]|1098040082432.0000000000000000|     11.11111111|[113, 16, 0, 2]                                                            | 
       3|[102.45173824106298, 93.8839572653312, 88.83930051800029, 81.42010323942876, 77.46759881638411, 69.29108638280601, 67.42272831449246, 65.91283854676621, 57.657177063928536, 55.30961117990372, 49.05448686991428, 49.13831161247532, 40.09675745844258, 41.92217552984877, 32.97502992149207, 33.00226279962953, 28.0591668559508, 27.86416714273577, 22.266590096148636, 26.668285129722182, 19.862893639622516, 20.085823295745346, 14.765594347415465, 17.530455798286752, 14.624423527095573, 10.89086382511043, 9.37571031251411, 11.406507769975246, 5.531389886152972, 7.426949330583115, 4.4962699799953505, 6.672240797576389, 8.33598649180921, 4.259926957094518, 1.641115201693419, 1.82547482305957, 4.772941497397609, 0.3732123923222732, 5.103949607233369, -1.429330479360743, -0.856438775324765, 1.75304080224461, -0.7599682236216497, -0.6326315890715164, -0.5201832999840598, 2.2667294039631365, 2.278527070217788, -0.1348366117630312, -0.1974041658749948, -0.736542597109084, -3.0222145907482423, 2.804233477021034, 1.6174997688487573, 0.1931012710593943, 2.853905988764427, 0.1949902450872946, -0.842970268103632, 2.7492995879783337, -1.6630066869630966, -4.928331023921196, 2.043919599689794, 0.8069356350135932, -3.3480625193734186, -4.858920569673426, -7.000924245076435, -3.8478760206093057, -0.6703287658253299, -2.3969830617110626, -7.626149294585917, -7.108045958997675, -11.202402014951693, -9.939023544302389, -11.801287210777936, -14.889846241416805, -16.54578545290174, -18.254902610788303, -20.907345941383586, -15.877250617649999, -23.63299028569091, -22.163919433471797, -21.376380855606804, -28.050636911116552, -29.47201260563611, -30.704217268139615, -36.50447837392432, -42.247000819167525, -41.284634365718745, -51.84739702349163, -49.51140634689225, -54.84679644265556, -63.54853293785068, -60.10459835658048, -68.53106318195452, -75.74284036333717, -79.51326705660159, -86.0910176040372, -92.0874926046353, -97.09778790611702, -102.36717873534239, -105.39414602778142]|1087861096448.0000000000000000|     37.03703704|[169, 24, 0, 3]                                                            | 
       4|[102.45200787641063, 90.84740030617898, 87.36597156997935, 83.91313760222172, 73.68842830323103, 68.32116103881569, 61.27975012311673, 68.31395682526963, 60.04122051905244, 58.57443270929215, 39.7770744553635, 51.33877323852818, 28.48006968378438, 39.61652267302199, 30.943594431837532, 34.86958989370759, 31.504828639169183, 27.050107527600577, 27.103260971697953, 29.465300319846694, 15.881239949284382, 17.501884697112533, 16.35143814891388, 22.21261665262635, 12.467632316921012, 10.701904539493555, 3.8296311537311514, 11.243561843785823, 3.0190586388232603, 7.914296903625031, 3.7731304555355116, 8.521600071486912, 8.077300575146994, 1.9522413434623163, -1.4074208605471816, -2.880938922820557, -1.3937865223167467, -4.608879988201409, -0.0021256796318649, -6.876093041158839, -5.061077256464902, -1.00853728079372, -3.066146316578193, -3.614167977468733, -0.8721881856575827, 3.500039030542421, 1.2431142818266747, -0.5800365781936953, -2.158268113743342, -1.7877540734350728, -5.4028889529308595, -0.508783414458458, -0.7130683063312964, -1.4435074487663502, 0.4160745869394757, -4.273377331511827, 5.54733572783753, 1.7198287866248791, -2.702016973294273, -1.7201098267928998, 4.634222305454564, 5.394758549137128, -0.4728612940926569, -0.5990276291521859, -3.915094987111347, -1.8703895294059976, 1.4381106796702756, 1.0296746149857148, -4.284387943954203, -5.02709331464953, -9.229654808263765, -8.336722065916463, -8.823888576821027, -14.322945749702328, -14.70637932020368, -14.489588031778293, -17.895171096641764, -13.349804347660985, -20.830049201782828, -16.899924739715694, -16.476611072586785, -23.90814175578208, -24.575497713057985, -25.62252171149899, -32.32908145467383, -38.49768341155949, -37.663388981502436, -47.71591156130291, -46.92603699836625, -52.26562183061027, -60.70497343429538, -55.38168509135221, -64.32246409137835, -71.42044027025855, -72.20753194536502, -80.08840453641025, -85.95898022212798, -99.11177044052559, -96.64428692778624, -101.2966805126447]|1040067985408.0000000000000000|    123.45679012|[225, 32, 0, 4]                                                            | 
       5|[102.45258718064709, 89.90974700303262, 84.70528364654795, 89.65568463743901, 65.40985145233992, 64.13358045333595, 35.56841970929837, 75.07577189637558, 43.69329914759248, 62.5756128812587, 42.019512294871554, 48.33895515190403, 0.5229354369582069, 45.852321508776384, 27.880106186827156, 8.36853131521638, 19.25502318872973, 29.033747244702628, 26.879712723287728, 12.401858089622085, 19.029522000370807, 19.533174751433823, 15.76883862823059, 10.935723990578012, 15.792864822719352, 8.578451399234766, 6.09141403832893, 25.337457755956233, -2.286007946717511, -2.7447530841679377, -6.8755397409976915, 4.247863594588718, 8.470062640080771, 5.802963417970983, 6.862333549242857, 11.1868482475896, 13.335509208274074, 13.68281274556324, 18.478634894708954, 5.9592131264437, 3.5297668978930083, 4.501666557554668, -3.8903765702746345, -10.044445801870589, -12.954571341480337, -8.468422959814024, -10.910840224093736, -11.391687808052094, -11.61393560947088, -4.002851262384658, -1.9071382872661866, 8.267665789032753, 3.021841943378787, 20.429493649866462, 24.144445253443383, 18.791249362213758, 32.17956648650452, 20.284449758304568, 19.29021439572428, 9.031020277272042, 8.542667663730931, 1.418282595081342, -9.909634594263554, -16.37011241461361, -23.98474563713576, -21.7833419525017, -18.856664329485, -12.111094389836062, -14.578991291732525, -10.997782611371942, -7.980935831289278, -0.8658210534958091, 3.760883533164325, 0.3198650718308755, 2.527490232408624, 6.470798244466824, 1.5385752412488607, 5.235658222529445, -8.764874145325308, -7.385180934784053, -11.505801612900505, -21.79436101885886, -23.9192286991763, -30.34904749503781, -38.803296485344, -46.306440716704756, -41.984386219661616, -48.7656604588554, -46.893528043960465, -48.690005232481, -51.64804193862888, -41.22963602671598, -50.949623210030694, -52.96905858690894, -56.50108625139529, -62.697462916537205, -70.46227898158843, -85.88876514572578, -90.36660986861266, -106.08993488810246]|956265988096.0000000000000000|    411.52263374|[281, 40, 0, 5]                                                            | 
       6|[102.4555831289543, 56.17022597642129, 68.33496046539561, 117.35606687010502, 111.51213111542586, 53.356631524502944, -32.68689797868991, 101.75486430360215, 70.18267140101045, 98.85140786416886, -61.06284701909329, 72.78853057609837, -128.55137486577615, 20.23395717466994, 5.308601593931648, 29.116610615143138, 57.54015273584887, 19.988640356885245, 80.62050022939124, 43.47980570619923, -25.211074770869427, -9.17725539382985, 33.389325841365356, 62.959733695167856, -8.171483016636117, 6.478903774646753, -55.53169005713006, 23.526947478208125, -30.20080096124388, 2.6702201748042302, -14.910424193817516, 24.796300713118992, 5.595774557957968, -19.83798964599386, -27.01028989436066, -41.10663930123852, -55.18369397776108, -41.67376989603832, -38.25553792633597, -54.56037152931802, -43.18844141509527, -26.1825356366592, -29.514577391197484, -43.17262725939012, -16.865736817325676, 5.235017706384706, -22.41542739755565, -16.338354048744232, -33.401313920628105, -15.682979359918837, -28.359076916416576, -28.543632581328573, -22.87336069333996, 2.244951947595954, -2.942569898534156, -30.857279690520617, 23.104437931206668, 8.845885457767459, 7.745654916964515, 44.67792426897126, 37.323810852207494, 52.394093599720016, 22.037045474706172, 30.962037091001623, 10.302249296946272, 0.1887306488166587, 4.570442527814805, 25.96288021953894, 22.551692607193257, 12.123911953447394, 13.938478688974394, 16.93752939511259, 36.843090259238544, 6.618759477195866, 22.965335462511163, 48.30762838362698, 35.007184097450036, 33.31839709887222, 22.378915146056528, 51.1036496316222, 42.93608910365223, 24.233360386170435, 30.486494872601043, 26.11423604378055, 7.590002617439204, -4.6473602113336625, -1.7483251234702095, -2.8602649510429003, -18.1672001478423, -70.14536183038139, -20.052933906402316, 11.247178243303551, -4.187408549386163, -4.942386223627693, 24.673748953682832, 3.9982386825838887, -2.3676897481899886, -11.997758675999222, -26.778921422567734, -60.56253773234074]|788744634368.0000000000000000|   1371.74211248|[449, 64, 0, 8]                                                            | 
       7|[102.4555831289543, 56.17022597642129, 68.33496046539561, 117.35606687010502, 111.51213111542586, 53.356631524502944, -32.68689797868991, 101.75486430360215, 70.18267140101045, 98.85140786416886, -61.06284701909329, 72.78853057609837, -128.55137486577615, 20.23395717466994, 5.308601593931648, 29.116610615143138, 57.54015273584887, 19.988640356885245, 80.62050022939124, 43.47980570619923, -25.211074770869427, -9.17725539382985, 33.389325841365356, 62.959733695167856, -8.171483016636117, 6.478903774646753, -55.53169005713006, 23.526947478208125, -30.20080096124388, 2.6702201748042302, -14.910424193817516, 24.796300713118992, 5.595774557957968, -19.83798964599386, -27.01028989436066, -41.10663930123852, -55.18369397776108, -41.67376989603832, -38.25553792633597, -54.56037152931802, -43.18844141509527, -26.1825356366592, -29.514577391197484, -43.17262725939012, -16.865736817325676, 5.235017706384706, -22.41542739755565, -16.338354048744232, -33.401313920628105, -15.682979359918837, -28.359076916416576, -28.543632581328573, -22.87336069333996, 2.244951947595954, -2.942569898534156, -30.857279690520617, 23.104437931206668, 8.845885457767459, 7.745654916964515, 44.67792426897126, 37.323810852207494, 52.394093599720016, 22.037045474706172, 30.962037091001623, 10.302249296946272, 0.1887306488166587, 4.570442527814805, 25.96288021953894, 22.551692607193257, 12.123911953447394, 13.938478688974394, 16.93752939511259, 36.843090259238544, 6.618759477195866, 22.965335462511163, 48.30762838362698, 35.007184097450036, 33.31839709887222, 22.378915146056528, 51.1036496316222, 42.93608910365223, 24.233360386170435, 30.486494872601043, 26.11423604378055, 7.590002617439204, -4.6473602113336625, -1.7483251234702095, -2.8602649510429003, -18.1672001478423, -70.14536183038139, -20.052933906402316, 11.247178243303551, -4.187408549386163, -4.942386223627693, 24.673748953682832, 3.9982386825838887, -2.3676897481899886, -11.997758675999222, -26.778921422567734, -60.56253773234074]|788744634368.0000000000000000|    411.52263374|[617, 88, 0, 11]                                                           | 
       8|[102.4555831289543, 56.17022597642129, 68.33496046539561, 117.35606687010502, 111.51213111542586, 53.356631524502944, -32.68689797868991, 101.75486430360215, 70.18267140101045, 98.85140786416886, -61.06284701909329, 72.78853057609837, -128.55137486577615, 20.23395717466994, 5.308601593931648, 29.116610615143138, 57.54015273584887, 19.988640356885245, 80.62050022939124, 43.47980570619923, -25.211074770869427, -9.17725539382985, 33.389325841365356, 62.959733695167856, -8.171483016636117, 6.478903774646753, -55.53169005713006, 23.526947478208125, -30.20080096124388, 2.6702201748042302, -14.910424193817516, 24.796300713118992, 5.595774557957968, -19.83798964599386, -27.01028989436066, -41.10663930123852, -55.18369397776108, -41.67376989603832, -38.25553792633597, -54.56037152931802, -43.18844141509527, -26.1825356366592, -29.514577391197484, -43.17262725939012, -16.865736817325676, 5.235017706384706, -22.41542739755565, -16.338354048744232, -33.401313920628105, -15.682979359918837, -28.359076916416576, -28.543632581328573, -22.87336069333996, 2.244951947595954, -2.942569898534156, -30.857279690520617, 23.104437931206668, 8.845885457767459, 7.745654916964515, 44.67792426897126, 37.323810852207494, 52.394093599720016, 22.037045474706172, 30.962037091001623, 10.302249296946272, 0.1887306488166587, 4.570442527814805, 25.96288021953894, 22.551692607193257, 12.123911953447394, 13.938478688974394, 16.93752939511259, 36.843090259238544, 6.618759477195866, 22.965335462511163, 48.30762838362698, 35.007184097450036, 33.31839709887222, 22.378915146056528, 51.1036496316222, 42.93608910365223, 24.233360386170435, 30.486494872601043, 26.11423604378055, 7.590002617439204, -4.6473602113336625, -1.7483251234702095, -2.8602649510429003, -18.1672001478423, -70.14536183038139, -20.052933906402316, 11.247178243303551, -4.187408549386163, -4.942386223627693, 24.673748953682832, 3.9982386825838887, -2.3676897481899886, -11.997758675999222, -26.778921422567734, -60.56253773234074]|788744634368.0000000000000000|    123.45679012|[785, 112, 0, 14]                                                          | 
       9|[102.45596121568072, 67.63554751725381, 67.68961066480891, 96.62916486204838, 125.77597274445418, 47.821766622006606, -30.107808575537447, 90.82059153748887, 51.13147244165987, 75.70181260354875, -89.18186366643215, 49.54334853874485, -129.48383457780466, 1.017761114489275, -18.368909621278313, 45.45703992117341, 63.21418351664111, 8.123671103345206, 98.29065098622718, 22.11068606203419, -35.82910627263945, -5.999428989258316, 56.52252553313782, 56.689958304542856, 0.0097503894307778, 3.428331617740625, -45.25507586798211, 23.30509910956341, -33.46293861268736, -10.219041070923309, -29.737352332550426, 15.41264230400034, -8.137423607935586, -35.37548335174337, -41.23498700739777, -50.80207673257397, -62.37405023233872, -46.85567373514965, -40.14229005493704, -54.82976527140252, -40.739695925974786, -22.53798292898708, -25.956627609779638, -38.836791802541974, -13.154558752979362, 10.649720121851015, -17.73005838281566, -9.972600874916107, -29.125836034428154, -12.24383594065309, -20.541237293919018, -22.71293742904586, -16.643127977733272, 8.236537202265144, 3.5276468525644766, -26.115150841491076, 26.970352275994266, 9.678276004566165, 9.241429782114967, 44.304715686569985, 34.96091274086411, 48.04904231111528, 15.79943608826208, 21.52269363854801, 0.2298873508403148, -12.462985583483146, -9.997635513261855, 10.482882584651243, 8.10035288551357, -4.086533450605341, -1.9163949682521686, 0.3579490881057552, 19.95053692977077, -11.623843824806087, 6.354640577257257, 29.72962163924221, 20.280025551002282, 22.22232490191177, 11.520544365111704, 44.60402347195423, 41.402666991187324, 25.89893958596139, 35.261653754742156, 36.12402837166141, 22.989427170356684, 10.590369814911455, 17.50751327069483, 18.257857149787178, 0.8054618242035971, -48.43159001031303, -0.3727142561337615, 31.69042699208285, 12.10822095195661, 8.09728567426049, 35.342876417977266, 11.660054325894436, 1.4921275182742448, -10.747976352161942, -32.19142371138609, -66.16958290598576]|724964016128.0000000000000000|    411.52263374|[841, 120, 0, 15]                                                          | 
